,company,headline,date,overall_rating,author_position,pros,cons
0,Raiffeisen International,1,2022-04-07,5.0,Recruitment Coordinator,"stability before a war, interesting tasks, a great team, possibilities of growth",sometimes difficult cooperation and communication between functions
1,Raiffeisen International,Strong IT and friendly atmosphere,2022-04-06,5.0,IT Manager/Senior IT Technical Lead,"Modern Technologies, motivated people, agile","conservative bank, low salaries, russia"
2,Raiffeisen International,Analysing marketing campaigns,2022-04-04,4.0,CRM Analyst,"Great colleagues, good work life balance","Not progressive, slow approval of everything"
3,Raiffeisen International,Would recommend it,2022-04-04,5.0,Anonymous Employee,"Great team spirit, work life balance","It offers low salaries, even for long experienced staff"
4,Raiffeisen International,Good place to work in,2022-04-03,5.0,Senior Software Engineer,Bigger responsibility for one. Digital transformation and inclination towards new technologies,Still some legacy. That is it
5,Raiffeisen International,Great place to work and grow,2022-03-31,5.0,Product Designer,"– Great team
– A lot of opportunities
– Competitive salary",Sometimes it is hard to communicate with other teams because of the company size.
6,Raiffeisen International,Good job,2022-03-30,5.0,Senior Java Developer,They pay you a lot of money,You need to work for money
7,Raiffeisen International,Positive environment,2022-03-30,4.0,Senior Analyst,"- Great team
- Varied job
- Flexible hours","- Continuous cost-cutting
- Saving on small things"
8,Raiffeisen International,Good place for Data Engineer,2022-03-29,5.0,Data Engineer,Trying to use top notch technologies,"Nothing, but the system of KPIs seems strange"
9,Raiffeisen International,It is a great experience working for this company.,2022-03-29,5.0,Card Business Expert,"Competitive,  customer experience focus,  innovative, new digital experience, real school.","big company with standard & strict procedures in place,"
10,Raiffeisen International,avoid,2022-03-26,3.0,Economist,collegues were very nice and friendly,working hours are tricky and confusing
11,Raiffeisen International,One of the best employers,2022-03-23,5.0,QA Automation Technical Lead,Comfortable work in every way,----- ----- ------ ------ -----
12,Raiffeisen International,Nice job,2022-03-23,5.0,Employer Brand Manager,Enjoyed the team and atmosphere,A bit long processes in everything
13,Raiffeisen International,Nice place to work,2022-03-23,5.0,Product Onwer,"Every team player share the values of the whole domain
Agile driven team",Banking processes are too long (e.g compliance)
14,Raiffeisen International,Good company,2022-03-22,5.0,Marketing Manager,"Great corporate culture, flexibility, interesting projects",Never had any negative experience
15,Raiffeisen International,Great company,2022-03-19,5.0,Data Scientist,A great place to work with friendly people and growth potential.,Sometimes their is too much bureaucracy
16,Raiffeisen International,Frontend Developer,2022-03-17,5.0,Senior Frontend Developer,"Really cool work/life balance, agile teams, easy and comfortable to work",A lot of meetings :)
17,Raiffeisen International,Raiffeisen bank employee,2022-03-15,4.0,IT Support,"Very good environment to work in.
Professional team.",Offering IT support for a lot of bank employees.
18,Raiffeisen International,Growth and Learning have no limits in IT,2022-03-15,3.0,IT Consultant,You can learn and grow a lot within IT Departments by working with top trends technologies,There are a lot of Politics
19,Raiffeisen International,Team of mobile development,2022-03-15,4.0,Trainee,"well organized processes for start career in bank sphere (onboarding for beginners, good describing of how bank processes going on)",long period of its internship
20,Raiffeisen International,Relationship Manager,2022-03-11,5.0,Relationship Manager,"- Flexible Hours
- Good social package","- traditional banking system, lack of fast digitalization"
21,Raiffeisen International,Rapid growth,2022-03-06,5.0,Data Scientist,"- private medical insurance
- remote job opportunities
- friendly atmosphere, especially among DS community
- open to new ideas
- promotion based on performance","- have to follow many regulations
- many security concerns (its ok since it is a bank)"
22,Raiffeisen International,Good,2022-03-05,5.0,Collections Specialist,Good company to work for and develop,No cons that I can remembef
23,Raiffeisen International,Best sides of startup and enterprise,2022-03-03,5.0,Lead Frontend Engineer,"- full remote 
- good salary for Russia",- vpn client works so bad
24,Raiffeisen International,"Ok people, not good higher mamagement",2022-03-02,3.0,IAM Analyst,"Nicer atmosphere 
Pleasant people
Goon location","Higher management makes promises and does not keep on them
Low pay conparing to others"
25,Raiffeisen International,everything was ok,2022-02-28,4.0,Senior Data Scientist,"Culture, team, excellent management, great challenges","no career perspectives, no salary increase"
26,Raiffeisen International,Analyst,2022-02-28,5.0,Anonymous Employee,"Strong team, good manager support","Not competitive salary, having to work from the office"
27,Raiffeisen International,Great and dynamic surrounding,2022-02-25,5.0,Quality Assurance,"- Great atmosphere 
- Great team members
- Dynamic projects",- Salary could be better
28,Raiffeisen International,Good job,2022-02-24,5.0,Lead Machine Learning Engineer,Everything is perfect Everything is perfect,No no no no no
29,Raiffeisen International,Headline of the review,2022-02-23,5.0,Senior Software Engineer,"Love to work here, friendly atmosphere","No downsides, everything is just perfect."
30,Raiffeisen International,-,2022-02-18,4.0,Financial Controller,Team are very professional !,Paying is under the average
31,Raiffeisen International,Multiple challenges,2022-02-16,3.0,Deputy Director,"Financially stable, small team, nice office","Old fashioned working style, weak it support."
32,Raiffeisen International,Working at Raiffeisen Kosovo,2022-02-09,4.0,Data Integration Specialist,"Benefits, flexibility and good location","Toxic enviroment, no promotion, no upskilling, no time to learn new skills"
33,Raiffeisen International,Best company to learn,2022-02-08,4.0,Innovation Specialist,"- endless possibilities to learn new methodologies, technologies, be part of interesting projects",- not the best on the salary fairnes
34,Raiffeisen International,Average employeer,2022-02-07,3.0,Anonymous Employee,"Regulated, contract based, good benefits based on the country.","Toxic culture, no chance of promotion, minimal pay rise during years."
35,Raiffeisen International,/,2022-01-23,5.0,Anonymous Employee,Really amazing environment for personal growth,"Nothing so far, everything is great"
36,Raiffeisen International,All the best,2022-01-14,5.0,Legal Counsel,"Very good company, all the best",No disadvantages to speak off
37,Raiffeisen International,Good atmosphere,2021-12-28,4.0,Analyst,"great colleagues, homeoffice options based on your job",Limited carreer options because of the flat structure
