,company,headline,date,overall_rating,author_position,pros,cons
0,Royal Bank of Scotland International,Fulfilling role great culture,2022-04-07,5.0,Anonymous Employee,Excellent management and culture in the organisation,Restructuring post recession led to some difficult decisions
1,Royal Bank of Scotland International,Awful,2022-04-05,2.0,Payments Administrator,I can't honestly think of any except free parking due to office location.,"Did not care about the staff at all, no bonuses for clerical level, only mangement."
2,Royal Bank of Scotland International,Great Place To Work,2022-04-03,5.0,Analyst,Career and professional development opportunities,"Depending on area, long hours that go unrecognisws"
3,Royal Bank of Scotland International,good place to start career,2022-03-30,5.0,Anonymous Employee,"WLB good, good learning experiance","No cons, since I worked only for 2+years"
4,Royal Bank of Scotland International,It had it's ups (and downs),2022-03-25,4.0,Deputy Branch Manager/Customer Service Manager,"Good, strong corporate environment, structured, management style. Great at acknowledging achievement.",Poor at supporting those failing to perform. Mentoring left a lot to be desired.
5,Royal Bank of Scotland International,Not a Good place to learn,2022-03-25,1.0,Anonymous Employee,No such specific reason there,"Partiality, they won't give task for talkitive women employee."
6,Royal Bank of Scotland International,Business,2022-03-22,5.0,Manager,Great place to work and grow,No cons and very good place to start career
7,Royal Bank of Scotland International,Dreadful place to work,2022-03-22,1.0,Analyst,"Nice staff. 
Lovely building. 
Great food to choose from. 
Good coffee options.","Managed like a sinking ship. 
Skill sets not utilised. 
Career progression very limited. 
Short sighted in the box thinking.
Not a particularly positive place to work.
Staffing changes increasing pressures on business."
8,Royal Bank of Scotland International,Looked after staff,2022-03-21,5.0,Anonymous Employee,"Employee focus, Good training, Flexible working",Restructure causes change in roles
9,Royal Bank of Scotland International,Overall good,2022-03-21,3.0,Anonymous Employee,Flexibility and support from management in every aspects,"Slow growth, compensation and not much to explore, trainings are boring"
10,Royal Bank of Scotland International,good for my career field,2022-03-17,3.0,Paralegal,plenty of development opportunities in the team,Lack of permanent role in the company.
11,Royal Bank of Scotland International,Good culture but bad remuneration,2022-03-16,3.0,Anonymous Employee,Great culture and still some good people there,Underremunerated compared to the rest of the sector
12,Royal Bank of Scotland International,fair and rewarding place to work,2022-03-14,5.0,Equity Trader,Good money and high performance gets rewarded,"Usual office politics, the best people don't always get on if they don't tow the right line"
13,Royal Bank of Scotland International,Good for work life blance,2022-03-14,4.0,Senior Analyst,"employee centric , work life balance , shift time","not applicable….. less salary, no growth"
