,company,headline,date,overall_rating,author_position,pros,cons
0,Sberbank,great place!,2022-04-08,5.0,Anonymous Employee,very innovative and ambitious bank,currently is a SDN bank
1,Sberbank,sberbank,2022-04-07,4.0,Lead Developer,"relaxed work, low peer competition","no professional developement, lots of buerocracy"
2,Sberbank,Good compensation,2022-04-07,5.0,Senior Machine Learning Engineer,The salary is quite good for Russia,Some processes may take a lot of time
3,Sberbank,Fine,2022-04-07,5.0,Software Engineer,"Interesting projects
Smart people
Word-life balance
Sales for employee","Bureaucracy
A lot of legacy
Under sanctions from over the world"
4,Sberbank,Sberbank is a nice place to work,2022-04-06,5.0,Senior Business Analyst,Nice company overall. Quite a good salary,Strongly tired to on-site work. Remote work from other regions is prohibited at all
5,Sberbank,"Lot of bureaucracy, low amount of resources per task",2022-04-06,3.0,Senior Enterprise Architect,"Good office, strong brand, wide range of industries covered","bureaucracy in IT, lot of people"
6,Sberbank,Work in Sberbank,2022-04-06,4.0,Data Engineer,Competitive salary and year bonuses,Too much burocracy and IT infrostracture problems
7,Sberbank,Big corporation and bureaucracy,2022-04-06,3.0,Strategy Manager,Social bonuses and huge annual bonuses up to 2-3x of base annual income,300k employees and huge government and politicial risks
8,Sberbank,Fairly good but burocracy is still strong,2022-04-06,4.0,Senior Product Manager,"Good Salary for the market
Fair Opportunities
Great Impact
Unique Experience
Wide Reach","Burocracy
Sbergile != Agile
Boss-Order-Driven-Development and KPI-Driven-Development, not Data-Driven"
9,Sberbank,ok,2022-04-06,4.0,Software Engineer,"stable company, annual bonus (13th salary), at least I have interesting project (but depends)","(sometimes) strange management, salary growth is limited by 30% per year"
10,Sberbank,old school company with strong bureaucracy and hierarchy,2022-04-05,3.0,Head of Partnerships,- good salary and bonuses,"- hierarchic top-down culture
- people"
11,Sberbank,Not worth it,2022-04-05,1.0,Data Analyst,good for start without work experience,work in state bank with all cons
12,Sberbank,Strong company,2022-04-04,4.0,Program Director,A technology company with extensive banking experience,Sberbank is a bureaucratic nightmare
13,Sberbank,Credit risk monitoring,2022-04-04,2.0,Anonymous Employee,Friendly peers who willing to help you,limited career growth in your field of work
14,Sberbank,Two sides of the same coin,2022-04-03,4.0,Frontend Engineer,"Nice hr-related things, all-in-one application for handling all the work-related things, easy to get any kind of education courses",The government is the major stakeholder
15,Sberbank,ok for leadership positions,2022-04-03,5.0,Executive Director,A lot of resources and high level subject matter expert,"very bureaucratic and inertial environment/culture

Come here only on managing positions. Otherwise you may face with incompetence, which you will not be able to challenge or fix."
16,Sberbank,"Good, stable.",2022-04-02,5.0,Anonymous Employee,"Salary above the market.
Good standart","Bad work life balance. 
No enough space in parking lots."
17,Sberbank,Client oriented fintech company,2022-04-02,5.0,Head of Development,"Friendly, agile, competitive salary, good office","too large, bureaucracy,  a b c"
18,Sberbank,Reiview,2022-04-02,4.0,Product Owner,"Nice office, stable salary, one can do a really cool things if in a right team","bureaucracy,  promotion opportunities, hard to retain talented IT-staff"
19,Sberbank,A lot of big and small projects inside. If you find interesting you are OK,2022-04-02,4.0,Enterprise Architect,"Modern technologies, strategic projects, good salary, internal and external trainings",It is hard to inroduce new technologies and approaches because of security restrictions
20,Sberbank,A lot of big and small projects inside. If you find interesting you are OK,2022-04-02,4.0,Enterprise Architect,"Modern technologies, strategic projects, good salary, internal and external trainings",It is hard to inroduce new technologies and approaches because of security restrictions
21,Sberbank,Bad not,2022-04-01,4.0,Embedded Software Engineer,"Good offices, flexible shedule, competent colleagues","Company associated with government, long processes"
22,Sberbank,-,2022-04-01,4.0,Manager,"- Technologies
- Salary
- Coworkers
- Positive atmosphere",Sometimes goals are not compatible to the reality or research results / audience feedback.
23,Sberbank,Good company,2022-04-01,5.0,Sberbank CIB,"Good team, pleasant atmosphere, health insurance and other benefits","Monotony of tasks, unwillingness to delegate work"
24,Sberbank,Not good not terrible,2022-03-31,3.0,Senior Product Manager,"Cool projects but a lot problems with business operations, cool programmers",a lot of toxic managers
25,Sberbank,Not so good,2022-03-31,3.0,Senior Data Scientist,"All income in cash, stability",Too mach bureaucracy in the company
26,Sberbank,Nice,2022-03-31,4.0,Delivery Lead,Interesting and active job with many activities,Not found yet since didn't work too long yet
27,Sberbank,Data Analyst review,2022-03-31,5.0,Data Analyst,"I like working here, the people are great, salary is good",It depends on a team
28,Sberbank,Island of Western values and decent attitude towards clients and employees in Russia,2022-03-30,5.0,Graphic Designer,Highly qualified team. Freedom of creativity. Great opportunities for development. Free educational programs. Caring attitude towards employees. Relatively high salary. Preferential mortgage. Comfortable and beautiful office.,"Since Sber is a large corporation, some decisions are made for quite a long time. Because of the long chain of approvals. However, this is quite understandable and basically necessary."
29,Sberbank,-,2022-03-30,5.0,Project Manager,"good team, interesting projects, lots of drive",not good work-life balance at all
30,Sberbank,Review of sberbank,2022-03-30,4.0,Android Team Lead,Nice people and good stability,"Has a little of burocracy, you know
No option to work abroad"
31,Sberbank,From outstay to staff,2022-03-30,4.0,Senior Product Manager,Stable companн with a pleasant annual bonus,It is possible to work remotely once in Russia. Lots of bureaucracy.
32,Sberbank,Average company,2022-03-30,3.0,DWH Specialist,Working in the banking industry,No variety in technology and work tools
33,Sberbank,Company,2022-03-29,1.0,Cashier,Has lots of fun there with my teammates,No problems at all while I was there
34,Sberbank,modern but disorganized,2022-03-29,4.0,Data Scientist,"- various projects
- cool hardware
- high salary
- comfortable office","- disorganized hierarchy
- bad technical documentation
- remote work only in Russia
- low salary raise"
35,Sberbank,good employer,2022-03-29,5.0,Java Software Developer,"good salary, good office, good colleagues","burocracy, management, promotion, office work"
