,company,headline,date,overall_rating,author_position,pros,cons
0,Schroders,Excellent place that values employee wellness and work balance,2022-04-05,4.0,Wealth Management Analyst,"- Flat, open structure that facilitates conversations and communication
- Strong culture of doing people right, managers and supervisors value employee satisfaction and wellness highly
- Adequate employee benefits and health coverage
- Good brand name","- Small office size and amenities
- Limited opportunities due to scale of business and product range
- Starting to get left behind in terms of tech adoption and transformation although initially did well
- Not much structure in place, especially for junior level employees; no visible progression path"
1,Schroders,good firm,2022-04-04,5.0,Marketing Director,good cutlure and people there,"nothing specific, competitive in the firm"
2,Schroders,Review headline,2022-04-04,5.0,Head of TP,Its often quite good really,Its sometimes a bit bad
3,Schroders,Great firm for development but poor compensation,2022-04-04,3.0,Anonymous Employee,"Early responsibility
Large pool of senior investors to learn from
Work is respected at junior level","Compensation below market and assessment opaque
Resources are being cut for investment staff (reduced access to Bloomberg, unique data sets like Euromonitor, etc.)"
4,Schroders,"Very progressive company, Tech focused",2022-04-03,5.0,Senior Analyst,"- Great management
- Tech focused
- Work life balance",Global initiative led by HQ in London
5,Schroders,Avoid the declining parts of this business,2022-04-03,2.0,Anonymous Employee,Good building and very good canteen,Areas in structural decline are difficult to manage and result in political decision making and backstabbing
6,Schroders,Good Start,2022-04-02,1.0,Operational Support,Good start for fresh grad,little room for career progression
7,Schroders,Solid company,2022-04-02,4.0,Senior Associate,"- Strong culture
- Great people; very friendly and helpful co-workers
- Although pay is mediocre or even slightly below market, the company offers a great benefits package","- NY office operates like a satellite office, which at times may lead to a disconnect"
8,Schroders,Great,2022-04-01,4.0,Delivery Lead,Great benefits package especially pension,Diversity isn’t as good as it should be
9,Schroders,Good,2022-03-31,4.0,Graduate Trainee,Good work balance and supportive environment,"Large company, is easy to lose ownership of your work"
10,Schroders,Excellent place to work,2022-03-29,5.0,Senior Portfolio Manager,Great benefits and competitive salaries; flexible working options; collegial environment,Limited advancement opportunities and sometimes poor communication from executive staff
11,Schroders,Solid firm to start a career in financial services/investment management,2022-03-27,4.0,Performance and Risk Analyst,The office is great and the benefits package is top tier. Quality of work is high as well.,At times can feel a bit old fashioned in terms of office culture; image is a big thing but sometimes maybe excessive
12,Schroders,Great place to work,2022-03-16,4.0,Fund Manager,"Great people, collaborative, decent work/life balance",Won't suit everyone. Can come across as old school (which can be good or bad)
13,Schroders,Worst Management,2022-03-12,1.0,Business Analyst,Front office are very helpful and cooperative,"Manager wont let you grow
They will make you work long hours including weekends
Under-resourced
too much meaningless meetings and heavy on admin work"
14,Schroders,great asset management company,2022-03-11,4.0,Anonymous Employee,good salary and work culture,sometimes the hours of work are long
15,Schroders,Great,2022-03-11,4.0,Fund Accountatnt,Big name and good perks,Work not varied and long hours sometime
16,Schroders,Great training and culture,2022-03-09,4.0,Wealth Manager,"Training and development 
Flexibility of working hours","Comp
Could be more diverse and inclusive"
17,Schroders,Great place but leadership in HQ lacks direction,2022-03-08,4.0,Specialist,"Excellent Apac culture, great for collaboration",Slow growth due to industry saturation
18,Schroders,Okay,2022-03-08,3.0,Operations Analyst,work life balance is good,the compensation is relatively poor
19,Schroders,Friendly and supportive,2022-03-04,4.0,Senior Business Analyst,Support you if you are interested in new areas,Salary lower than market average
20,Schroders,Good team,2022-03-02,5.0,Project Support,"Good corporate culture and teams, very supportive and kind, professional and efficient.",No headcount for new grads.
21,Schroders,Inclusive culture,2022-03-02,5.0,Data Analyst,Good place to learn and develop,You can become too comfortable
22,Schroders,Company culture and benefits,2022-03-02,4.0,Anonymous Employee,Culture and benefits are good,Not enough career growth potential. Job can turn boring after a while
23,Schroders,"Great platform, great brand",2022-03-01,3.0,Analyst,"a large and reputable asset manager with great resources, a great place to build your network and skills",culture is not super performance focused
24,Schroders,Pillar 2 reporting,2022-02-22,5.0,Regulatory Analyst,Good exposure to business as a whole,Pressure points thoughout the year due to annual process
25,Schroders,Transparency is a key,2022-02-21,4.0,Junior Product Specialist,"Meal vouchers, annual bonus, healthcare insurance",Slow career progression unless you've right connections/ sponsors in place. A good performance is not an indicator.
26,Schroders,Cliques at work holding back ideas,2022-02-17,2.0,Digital Marketing,"Trying to be innovative shows the potential for the brand and the digital channels
Good benefits overall with a strong bonus culture
Great CEO with a strong & well articulated vision for the company","Long standing cliques within central marketing hold back digital innovation
Little chance to change approach as middle management leadership works against supporting digital change as its protects established processes"
27,Schroders,Company Review,2022-02-16,4.0,Operations Manager,Good staff benefits with plenty of learning opportunities,Fast pace environment with complex business model and products
28,Schroders,Comfy,2022-02-16,4.0,Quantitative Developer,"comfy environment, good benefits, nice people","not challenging, no promotion, bad tech"
29,Schroders,Excellent,2022-02-14,4.0,Operations Lead Specialist,Excellent place to work. Nice people and good salary,None really a bad comment about Schroders
30,Schroders,Generally a nice place to work at,2022-02-13,5.0,Fund Manager,Nice culture; Work and life balance,Can be a bit disorganised as the firm grows very quickly to the current size
31,Schroders,Good culture,2022-02-11,4.0,RECONCILIATION SPECIALIST,Good culture and working environment,"little and slow progression, hard to climb"
32,Schroders,Moving,2022-02-11,5.0,Project Manager,"Never stands still, always developing",Not for those who don't like dynamic environments
