,company,headline,date,overall_rating,author_position,pros,cons
0,Shriram Transport Finance,Marketing,2022-04-10,4.0,Marketing,"Good company 
Good env .
Great culture",Worst environment not good at all
1,Shriram Transport Finance,WORK ATMOSPHERE,2022-04-06,4.0,RURAL In Charge,"Great staff, Supporting, Career Growing, Knowledge Enhancing Company","Low Salary, Should add saturday holiday."
2,Shriram Transport Finance,Good for work,2022-04-06,5.0,Assistant Credit Manager,Working freely environment and great experience,No cons here good for work
3,Shriram Transport Finance,Unprofessional work,2022-04-04,3.0,Junior Executive,Job security is good there,Unprofessional behavior of the staff.
4,Shriram Transport Finance,Not for Mechanical Engineers,2022-04-04,3.0,Management Trainee,"No technical role, Mainly Office Job and Loan disbursement.",Poor Salary and Slow career growth
5,Shriram Transport Finance,Good Place to learn about vehicle finance,2022-04-01,3.0,Branch Manager,"1.Good place to learn about vehicle lending business 
2. Job security 
3. Friendly colleagues","1. HR needs to more strong 
2. Needs to be fast paced to move ahead 
3. Compensation and appraisal system needs to revisited as per modern times."
6,Shriram Transport Finance,Good company,2022-03-26,2.0,Executive,Work culture is good and permanent,Frequent transfer is bothering in this company
7,Shriram Transport Finance,Good,2022-03-24,4.0,Relationship Manager,Helps senior to work and support,Collection target and file target
8,Shriram Transport Finance,Good,2022-03-22,3.0,Assistant Manager,Good company in 2nd hand vehicle finance,"Low salary, low growth of emoyee"
9,Shriram Transport Finance,Good company,2022-03-22,4.0,Operations Executive,Good working atmosphere in the company,Lack of growth and less salary
10,Shriram Transport Finance,Good company,2022-03-18,3.0,Customer Relationship Executive,Good company to work environment,Nothing to share about these
11,Shriram Transport Finance,Good Work Experience,2022-03-17,4.0,Relationship Executive,Working Culture and On time salary.,No Cons of STFC I learnt many thing about transport finance.
12,Shriram Transport Finance,About the company,2022-03-16,4.0,Anonymous Employee,Vert good company salary also very good,Too much work load in company
13,Shriram Transport Finance,Best company,2022-03-16,4.0,Credit Executive,"Good peoples
Good enviournment
All good
All good",I dont found any cons in this company
14,Shriram Transport Finance,Worse management team,2022-03-15,3.0,Management Trainee,No pros there only cons,They will ruin every aspect of your future life.
15,Shriram Transport Finance,Good,2022-03-13,3.0,SENIOR RELATIONSHIP EXECUTIVE,Good invoroment which helps to maintain good mindset,Work load and management for pressure
16,Shriram Transport Finance,Salary,2022-03-13,3.0,Branch Team Leader,Good place to learning for fresher.supportive senior.,Growth reate is very slow.salary is also low.
17,Shriram Transport Finance,Good,2022-03-13,1.0,Assistant Manager,Good salary and handsome amount,Target related torture no humanity
18,Shriram Transport Finance,Good work culture,2022-03-05,5.0,CSE I,Very good company with good work culture,Good to work in company
19,Shriram Transport Finance,"A place to learn, but not to grow",2022-02-28,3.0,Executive,"Shriram group provides training not only to the new joinee(s), but also to its current employees. The company focuses on overall development of the personnel.","Like any other Non Banking Finance Company, sundays are generally working. 
Secondly, with the lack of proper verticals, majority of the work is sometimes given to a single personnel which sometimes leads to delay of work. The compensation pattern is also not competitive with the market therefore people are more likely to switch after one or two years."
20,Shriram Transport Finance,They really care about their employees,2022-02-28,5.0,Anonymous Employee,Great management team that cares about their employees.,Not much room for advancement.
21,Shriram Transport Finance,Handling branch operation,2022-02-27,3.0,Branch Team Leader,Salary on time annual. Bonus insentive,Often Sunday open low salary
22,Shriram Transport Finance,Wonderful work experience,2022-02-24,4.0,Credit Executive,Cooperative subordinates at workplace and in tours.,I don't think any problem.
23,Shriram Transport Finance,Was a great experience,2022-02-15,4.0,Marketing Executive,Good management and work atmosphere,Salary is not that much for the timing
24,Shriram Transport Finance,For initial step you can join,2022-02-14,4.0,BTL,You have lots of things to learn about financial,Salary hike is very minimum
25,Shriram Transport Finance,Timing,2022-02-14,5.0,Relationship Executive,"Timing, salary, GROWTH etc etc",Poor Management policy etc etc
26,Shriram Transport Finance,heavy Pressur,2022-02-09,1.0,Senior Relationship Officer,Before 2012 The Company had Good Atmosper. But From Star 2013 company have been Expanding the Branches To every 30km Then evry Feild offcer facing Turcher from Head office even Managers Also getting Headech like Harrasment.,AM WORKING WITH GOOD TEAM
27,Shriram Transport Finance,Work culture,2022-02-03,5.0,SENIOR RELATIONSHIP EXECUTIVE,"Good place to work to gain knowledge of NBFC.
Mainly have the responsibility to handle loan and recovery section.",Low pay grade and slow growth.
28,Shriram Transport Finance,Nice place to work,2022-02-02,4.0,Accounts Executive,Very good manager and team leader,Salary is ver less compared to other finance company
29,Shriram Transport Finance,Right place to start career in finance field,2022-02-01,5.0,Credit Or Administrative,Safe and sound environment for female employees,People are the only thinks
30,Shriram Transport Finance,Good,2022-01-29,3.0,Accoounts Payable,Good company to work with,Nothing to say in specific
31,Shriram Transport Finance,Nice,2022-01-27,2.0,Management Trainee,"Nice place
Good environment
Excellent team
Less salary","Not for engineering students 
Less salary 
Less opportunity"
