,company,headline,date,overall_rating,author_position,pros,cons
0,,Fine place to work,2022-04-05,4.0,Associate,- Decent exposure to mega sponsor deals,- lots of turnover at all levels
1,,Ok company,2022-03-27,3.0,Analyst,Great experience to learn about the business,Lot of turnover due to not many deals
2,,It's OK,2022-03-22,3.0,Vice President,"A lot of vacation time, not very stressful, regular hours","No growth, promotions are few and between"
3,,Intern experience,2022-03-21,3.0,Global Markets Intern,workload is fairly manageable and pay is okay.,You don't get any type of coaching and pretty much you have to learn by yourself since everybody else is always busy.
4,,Generale,2022-03-19,4.0,Vice President,"Excellent benefits
Generous vacations
Hiring in all departments
Promoting diversity and inclusive","Compensation is average
Long hours
French culture"
5,,Good Place to Be,2022-02-26,4.0,Department Head,Deep international Experience and data driven.,Central Decision making. Difficult to challenge.
6,,Mediocre,2022-02-24,2.0,Director,"Nice location, decent office space, good benefits.",Feels like the outpost that it is vis-a-vis Paris. Tons of turnover. Mediocre bank performance and senior management translate to an overall mediocre employment experience.
7,,Decent,2022-02-07,3.0,Vice President,Solid Personal Time Off given,A lot of office politics
8,,Good place,2022-01-20,4.0,IT Business Manager,Good balance between private and professional lifes,Bonus low. Based salary correct
9,,Lots of work and most focused on internal constituencies vs clients,2022-01-18,2.0,Investment Banking Managing Director,Lots of opportunities with clients as investors look for alternatives to big American banks,Conform to the culture of mediocrity or perish
10,,Not good people managers,2022-01-13,2.0,Service Solution Manager,Salary and benefits are greet here.,Managers micro manage and they don’t have good people skills.
11,,Great,2022-01-11,5.0,Intern,Good pay for the job,A lot of work for the job
12,,nah,2022-01-10,5.0,Project Manager,Good Environment with good people,the salary could be better
13,,Administravie,2022-01-06,3.0,Executive Assistant,Good healthcare and time off,Don't expect support in growth
14,,Recomended,2022-01-06,5.0,Chief Operating Officer,"environment, projects, impact on the changing organizaton",Complex organization with a lot of dependencies
15,,Company with Values,2022-01-05,4.0,Data Scientist,Supportive Management and Challenging Tasks,Work From Home policies based on needs
16,,Satisfying company,2021-12-27,4.0,Algorithmic Trader,"Work-life balance. Over-time is very rare.
Job security. They don't usually fire people just for cost reduction.",They are not the most generous payers.
17,,mismanaged business,2021-12-24,1.0,IT Support Analyst,"standard vacation days

constantly shifting priorities accomplishing little","mismanagement of people and resources at scale
extensive failed ventures reabsorbed by SocGen due to losses and fines."
18,,Trash place to work,2021-12-22,1.0,Relationship Manager,No pros to say currently,Everything here is slow and sucks
19,,Good Culture,2021-12-13,4.0,Intern,Culture is great here. Will like to come back,No specific Cons. Maybe technology is not always good
20,,Experience depends on team,2021-12-08,3.0,Legal Associate,More relaxed culture than typical banking industry,Mobility is unclear and largely limited to French speaking
21,,Ridiculous,2021-12-08,1.0,Sales,none that I can think of,so many useless French ex-pat muppets that never leave and never get fired
22,,It's a *very* French bank,2021-12-04,2.0,Managing Director,Many (many) comical situations arise due to managers in Paris who often come from other parts of the bank and have no familiarity with markets or Wall Street business norms / standard operating models.,Steeped in layers of hierarchical management -- there are many more bosses than at any other investment bank. The result is pay is about 25-40% below industry average (plus frustration). Their garden leave is also double that of competitors.
23,,Experience,2021-11-23,5.0,Middle Office Trade Support,"Great opportunity, Challenging environment, multasking","old process, verbal transmition knowledge"
24,,Terrible place to work,2021-11-09,2.0,Vice President,Lots of vacation days and management is so terrible that you can easily get away with not doing much work,"Pay is awful compared to other banks. 
Management is terrible and does not have anyone's back. 
Reorgs every 1-2 years 
In capital markets SG is losing market share every year"
25,,Director,2021-11-02,4.0,Director,Great benefits for the USA,"Long hours
Bad corporate philisophy
No long term plan"
26,,Collaborative,2021-10-19,5.0,Equity Research Associate,Great coworkers & collaborative environment,Too much bureaucracy gets in the way of productivity
27,,Not good place to work,2021-10-11,2.0,Market Risk Analyst,Most of people are not that knowledgeable so life wont be difficult even if you are mediocre,"People speak in French always don't think about others even they understand or not.
Bad salaries , bad bonus , no promotions .
Heavy workload and most of mangers are insensitive to your personal problem.
Growth is very limited.
No learning as most people are dumb or only dumb people want to stay back smart ones change job quickly.
Only criteria to grow is "" office politics "" and how close you are with your manager :) ."
28,,Good Experience - Low Street Cred,2021-10-09,4.0,Investment Banking Analyst,Great deal flow and exposure to leverage in exit opps,Not a classic target for megafunds
29,,Review,2021-10-05,3.0,Prime Brokerage Sales,Ability to have great exposure early in career,Rigid institution without room for creative solutions
30,,Good Start,2021-10-05,3.0,Credit Analyst,People are nice and coffee is great.,"Systems are horrible, need to be updated"
31,,Great,2021-09-30,4.0,PL/SQL Developer,Great experience working with this company,There is no specific cons about this company
32,,Nice company,2021-09-28,5.0,Production Support Engineer,Teams are connected and people are available.,KT is not always there where it is needful
33,,Good to learn,2021-09-25,4.0,Master Student,"good to learn, many desks",not good to have a full time after an internship as they don't recruit a lot
34,,Technology Infrastructure,2021-09-19,2.0,Anonymous Employee,Visibility to a global banking environment,"Pay is at the low end of the scale
High employee turnover
Low job security
Core strategic direction comes exclusively from Paris (France centered company)"
35,,Okay,2021-09-06,3.0,Risk Analyst,Good technology platforms and benefits,The company has a high turnover
36,,Nice French Vibe,2021-08-31,3.0,Product Control Analyst,I love the French vibe at SG.,Not that high compensation compared to market level.
37,,Operations,2021-08-29,3.0,Vice President,"Great benefits (health, dental, vision, and vacation days)","I found the work life balance in my area to be quite challenging. I often worked 60+ hours each week. I think this is due to the ""meeting paralysis"" nature of the organization. Much of the day (approx 95% according to my Office Insights) is spent in meetings leaving the actual ""work"" to be done late night after hours. Organizational change is also quite prevalent. My department has changed names every year for the past 4 years."
38,,Bad company,2021-08-04,2.0,Senior Programmer/Analyst,Espresso available. A little more relaxed than other places. Ok for a couple of years to get some experience.,Horrible management. Unqualified managers and employees in IT.
39,,Good,2021-08-01,4.0,Software Engineer,"Good overall, good offices and great managers","Less flexible time, not interested in finance services"
40,,No Morale,2021-07-08,2.0,Executive Assistant,Excellent health coverage and great time off,Negative environment that doesn’t motivate you to want yo give 100%.
41,,Decent company with okay benefits,2021-06-23,4.0,Vice President,Decent company with okay benefits,Nothing major that I can think of
42,,Head of IT,2021-06-21,5.0,Vice President,"-Excellent inclusive culture
-Client focus
-Innovation driven
-Great benefits",-Larger player in Europe as compared to the Americas. There's opportunity for the firm to grow
43,,Employee Friendly,2021-06-20,5.0,Director,I liked the collegial atmosphere at Societe Generale NY. It support various employee resource groups and encourages participation in community and charity events.,Pay is lesser than tier-1 investment banks
44,,fo shoh,2021-06-17,5.0,Old Navy Sales Associate,great place to work fo shoh,non what so ever ever
45,,"nice culture, great benefits",2021-06-14,4.0,Anonymous Employee,"benefits are generous
people are very friendly, professional. Company is very sensitive to people's needs","The pay in lower compared to other banks, Not much rooms for career development. Outside of the mandatory trainings, there is no other training provided."
46,,Good WLB,2021-06-04,4.0,Quantitative Analyst,Leader in exotic derivatives trading,Low salary and very siloed structure
47,,Good,2021-06-02,3.0,Applications Support Engineer,Good culture pay work life balance,Slow to get anything done
48,,Risk Officer,2021-05-31,4.0,Vice President,"- great benefits 
- diverse 
- focus on ESG","- too much politics
- slow decision-making process"
49,,Very dynamic but stressful environment,2021-05-26,4.0,Vice President,"Great people, challenging environment keeps engagement high.",Can be tough to please senior managers.
50,,Great company to work for,2021-05-25,4.0,AVP-Analyst,Great working environment and room for advancement,Long hours and management could be more organized
51,,Global company in a changing time,2021-05-20,3.0,Vice President Operations,"Worldwide reach
Opprtunity to learn on a lot of topics",Not enough budget or leadership given to do a good job on any project
