,company,headline,date,overall_rating,author_position,pros,cons
0,Statestreet HCL Services,Good for beginners,2022-04-08,2.0,Middle Office Specialist,"Best place to start your career
Health Insurance is good","Managements are very poor even they don't care about process
No work life balance
Very less salary hike"
1,Statestreet HCL Services,Worst experience,2022-04-08,1.0,Specialist,"Worst management and HR people are of no use at all.
No career growth, no salary hike,
Worst corporate policy.",Worst experience in my career life.
2,Statestreet HCL Services,Don't join,2022-04-07,1.0,Specialist,"Relax sitting
No headache
Work not good","No growth.
You have to work on same level for 10 years"
3,Statestreet HCL Services,Fresher experience,2022-04-07,4.0,Analyst,As a fresher we can learn many things. Good place to begin carrier,Working from home so no yet cons seen
4,Statestreet HCL Services,Good,2022-04-06,4.0,Senior Analyst,"Good environment, Safety and cab facility.",Overtime Is the only disadvantage
5,Statestreet HCL Services,Good company,2022-04-05,1.0,Manager,Job profile and nature of Job,"Management, growth, promotion, No transparency in appraisal"
6,Statestreet HCL Services,ERM Manager,2022-04-01,3.0,Manager ERM,The job security. Good compensation,Ambiguity around the policy. Thing are not structure
7,Statestreet HCL Services,Salary,2022-03-31,4.0,Associate Manager,Good for learners and entry level job,"Recognition, salary, Growth, entertainment, culture"
8,Statestreet HCL Services,Overview,2022-03-31,4.0,Analyst,Good place to work and helps to improve knowledge,"Friendly organization, healthy team relationship, safe job.... overall SSHCL is a good choice to join"
9,Statestreet HCL Services,Nice place to work,2022-03-31,4.0,Subject Matter Expert (SME),"Lot to learn about the work, good exposure",salary feels to be below the market level.
10,Statestreet HCL Services,Good,2022-03-30,3.0,Senior Analyst,Good for beginners in investment banking,No growth after 2 to 3 years
11,Statestreet HCL Services,Not good,2022-03-30,2.0,Analyst,It's good for fresher to get basic understanding of Investment banking,"Poor salary, Pathetic Work culture, No HR."
12,Statestreet HCL Services,Good company to start the carrier,2022-03-30,3.0,Associate Manager,You can get promoted easily,Long working hours and not enough benefits.
13,Statestreet HCL Services,Overview,2022-03-28,1.0,Specialist,Nothing to be specified. Everything is worst,"All things are worst like work culture, salary, work life balance, benifits etc"
14,Statestreet HCL Services,Good company to work,2022-03-28,4.0,Senior Financial Analyst,Nice job opportunities Great job career,Flip flexible shift support and manage my stuff
15,Statestreet HCL Services,good for beginners,2022-03-26,3.0,Senior Analyst,Good company for beginners to start a career in IB,lack of career growth and lack of professional knowledge upgradation
16,Statestreet HCL Services,Review,2022-03-24,3.0,Team Leader,"Good company, decent work life balance.",Growth is a joke though
17,Statestreet HCL Services,ok,2022-03-24,3.0,Analyst,completely night shifts and may get allowances for that,salary is comparitively low with other companies though you have a master degree
18,Statestreet HCL Services,Good work culture,2022-03-23,3.0,Senior Analyst,"Managers are good , hike depends on manager","Shift allowances is less, max night shifts"
