,company,headline,date,overall_rating,author_position,pros,cons
0,Stone,A big company,2022-03-15,3.0,Anonymous Employee,There are a lot skills to develop um the company,"Being a new company, is a lot of disorganized."
1,Stone,Good,2022-02-23,5.0,Desenvolvedor Front End,The company is a Good place to work,Leaders very busy so you get a little lost sometimes.
2,Stone,God,2022-02-09,5.0,Software Developer,Great Company to work as,have some problems interns and
3,Stone,Depression and Disappointment,2022-01-27,1.0,Business Development Manager,The company is successful and has near unlimited resources,"They discriminate against potential tenants, didn’t even learn my name or acknowledge me as an employee on their website. I was indirectly forced to work or do work on my days off and I was abused."
4,Stone,Good place to grow,2022-01-05,5.0,Elixir Developer,"The people who work in stone are really good at there jobs, there is a lot of opportunities to grow there","they are already became a big corp so, is not so cool anymore"
5,Stone,Nice,2021-12-25,1.0,Anonymous Employee,Great team of people - smart and friend. Fast pace environment.,Not organised. Leadership not great.
6,Stone,Good,2021-11-13,5.0,Help Desk Technician,Its a Nice friendly calm environment,Some managers aren't great in warehouse
7,Stone,Unwilling to compromise,2021-11-04,1.0,Technical Support Engineer-3rd Line,Various events through out the year including free food and drinks,"If you dare to go against the status quo you will be ousted socially a lot of the office staff have worked there a long time (talking 10-20+ years) and as such it can be difficult to get your foot in the door.

And don’t think about asking for even the possibility of changing anything up in your role cause then they will give you the boot"
8,Stone,Software Developer,2021-10-21,3.0,Anonymous Employee,"Nice team mates, leaders support new employees",Many hours of work a day
9,Stone,Disrespectful,2021-10-15,1.0,Product Manager,No much to say here. It's a challenge to work there.,"Extra working hours without payment, management is completely disrespectful, age is more relevant than experience."
10,Stone,very good,2021-09-11,3.0,Administrative,there was good networking and some connections,there was nothing to mention to the job
11,Stone,About working there,2021-07-27,3.0,Chief Designer,"Great clients, good ambiance, great colleagues",I wish I was little bit more free for choosing the design and the right direction to give to the client.
12,Stone,pros and cons,2021-07-26,4.0,Investment Analyst,great colleagues; good hours and interesting work,hard to get promoted and a bit slow at times
13,Stone,Fast pace mess,2021-07-18,3.0,Front End Developer,"Good collaboration between coworkers
Multiple projects available to work with","Fast pace can eat you up
Poor management in development, leading to bad and slow software"
14,Stone,Very good place to growth and learn!,2021-07-18,4.0,Applications Software Developer,"Very good place to growth and learn! Nice and polite people, awesome team!",I think the salary need a review
