,company,headline,date,overall_rating,author_position,pros,cons
0,SumUp,Perfect work ethics,2022-04-08,5.0,KYC Analyst,Great team. Office feels like home.competitive salary.,I can't think of any
1,SumUp,Good people but very top down,2022-04-06,3.0,Anonymous Employee,"Colleagues are collaborative and kind to one another, fun environment",Top down. Many acquisitions may have led to quite a political culture
2,SumUp,Great culture and amazing product,2022-03-29,5.0,Anonymous Employee,"I joined SumUp not that long ago and I was amazed by the company spirit. For the first time in my life, I am wearing branded clothes and it is not just because I love our product but also because I am proud to be part of the SumUp team. Also, it is perfectly fine to wear a sweatshirt although you are part of the financial team :smile:
Within my department I feel free – free to share my ideas and point of view, free to do whatever I find suitable in a specific situation and not be told how an issue MUST be handled. Of course, such kind of freedom is not for everyone and most probably this is the glue within the team – we all like to be free.
For just a couple of months, I learned a lot and not only technical stuff (as there are various internal and external training options) but also how to be a better human being in the first place and how important that is. The way the war in Ukraine is currently handled within the company is another reason to feel pride.
Of course, there are downsides to every place on this earth, but personally, I find an opportunity here. If sometimes is broken, I get a chance to fix it and learn from it. If a process is not well designed – I have the opportunity to change it and grow.
In material terms – there are benefits such as a (significant) training budget, additional days off to use it, annual paid leave is 25 days, health insurance, life insurance, internal training.
In summary, due to all the freedom, everything could seem chaotic when you first join or hear about the company, but after a week or two, you realize that chaos is actually the willingness to provide the best.",My personal downside is the office location that's why I highly appreciate the opportunity to work from home :)
3,SumUp,Place to grow,2022-03-28,4.0,Senior Accountant,"Challenging tasks, dynamic business, great colleagues and management,","Work is very intense, missing performance bonus"
4,SumUp,Nothing boring in Accounting,2022-03-28,4.0,Accountant,Very iinovative and pro-activ company. Here employees are incouraged to share thoughts and actively participate in the decision making. The business is very divers and no day is like the other. The collegues are helpful and good profecionals. One can learn a lot here and there are many oportunities to grow.,Some times the work load is too big but at least it is not boring.
5,SumUp,Sumup,2022-03-27,4.0,Anonymous Employee,Fun working environment with room to grow,Terrible middle management that chokes any progression or work flow.
6,SumUp,"Bottom-up, empowering culture",2022-03-25,5.0,Anonymous Employee,"- Space for own initiatives
- Despite the company size, the company gives much autonomy to individuals and teams
-Mix of digital and physical product
- Great location in the city centre, by the lakes
- Empowering culture - rewarding taking the initiative and trying to improve the status quo
- Separate technical and management career tracks for engineers","- Sometimes it requires self-started mentality to get things done
- Some of the benefits in Denmark are not up to the level of the ones in the main HQ's in Germany"
7,SumUp,Stay away from Controlling,2022-03-24,1.0,Accountant,Overall good product aimed at small merchants.,"Highly unprofessional management. Total disregard of the so promoted company values from the management, looks good in theory yet in practice cant' be further from the truth . Way below market salaries at the same time a workload that is not manageable at all. Chaos reigns in controlling in terms of processes and good practices. The only good practice that can be derived from that experience is how not to treat the employees (they are treated like vermin from management and in better cases as slaves) and how not to manage a team let alone how shouldn't an accounting team look like. You can't learn anything (inadequate both professional and social experience) while at the same time you will be overwhelmed with work and tasks that have been butchered to this extent that you would wonder whether it wouldn't have been better if it wasn't even ""done"" in the first place."
8,SumUp,Great company with lots of innovation.,2022-03-23,5.0,Copywriter,"Lots of benefits are afforded to employees.
Management has an open door policy.
Processes are always under review and refined.
Highly capable teams.",Maybe a little more communication amongst the different facets working at SumUp to make sure we work as a team.
9,SumUp,Not terrible,2022-03-18,3.0,Support Worker,"Nice company 
Good people 
Some good office benefits eg kitchen stocked,gym, parties.",The job sucks the life out of you and will make you depressed.
10,SumUp,Crazy beautiful,2022-03-08,5.0,Anonymous Employee,"Smart people
Always changing
Fast environment","Always changing
Fast environment
The salaries are not always according to the market"
11,SumUp,Poor Senior Management,2022-03-07,3.0,Senior Software Engineer,"+ Nice colleagues make for a friendly and diverse environment.
+ Good work-life balance.
+ Competitive compensation.","- Incompetent tribe leadership and above.
- Lack of vision and strategy leading to impulsive decisions.
- Many organisational issues arising from poor senior management.
- Lack of a strong software culture in some parts of the org.
- No product leadership at C-level is a major problem.
- Unable to attract good tech talent."
12,SumUp,sde,2022-03-03,4.0,Anonymous Employee,good company to work for fresher,not much i can think of on
13,SumUp,Great Culture,2022-02-21,5.0,TA Partner,"Good culture, flexible and funt teams","Startup problems, can be chaotic and disorganised"
14,SumUp,Not great not terrible,2022-02-17,3.0,Product Security Engineer,"- Nice office in terms of location and facilities
- Flexible work time
- Nice remote working policy
- No blame culture","- Lack of ownership
- A lot of talks and no action
- No bonuses or rises
- A lot of culture, diversity etc talks without any outcome
- A lot of useless meetings
- A lot of pushback when security measures are introduced or whenever you require policies to be followed."
15,SumUp,Cool company with low salary,2022-02-15,4.0,CRM Manager,"- No bureaucracy & flat structure
- IT infra and the tools usage is amazing
- Free beers","- Mid level managers are empowered more than required to take decisions
- Mediocre level of leadership
- Multi culture comes with a challenge"
16,SumUp,"Good people, and a good place to work",2022-02-08,5.0,Analyst,Working with SumUp is fun with the right people and together you make the dream work.,I don't have any for now.
17,SumUp,Great place to work at,2022-01-11,5.0,Business Development Manager,"Good perks, Collaborative network, Flexibility and diversity",Not the best salaries but still fair
18,SumUp,An absolute disappointment,2021-11-26,2.0,Anonymous Employee,"Really depends on what you're expecting out of a workplace. There are lots of social events and the kitchen fridges are always stocked with sparkling wine and beer, but I particularly would want different things. Met incredible coworkers and did grow a lot professionally, so those were the things that made a difference for me.","So many... People cry in bathrooms and have panic attacks from interacting with leadership, all the big projects this year ended with people resigning immediately after finishing them because the pressure and lack of support were just too high. Leads and HR seem to work hand in hand to stop promotions and complicate career progression. Office politics are high and you'll get nowhere if you're not a show-off. A true burnout machine."
19,SumUp,Average at best,2021-11-24,3.0,Marketing,They have money to throw around which is good as it allows for experimentation. Most people there are nice and there are benefits to fill the gap where they know they need to improve.,Highly different experience depending on which team you are in. Also believes they can get away with an extremely pressured environment (many people suffer burnout) by throwing a generic perk at it rather than solving the actual issue. Suffers badly from office politics.
20,SumUp,"Best part are the employees, from leadership is not trustworthy",2021-11-18,2.0,Mobile Engineer,"The company mission and products themselves are interesting. Obviously this is a tad subjective.

Good feedback and collaboration culture: Coworkers are always up to give you a hand and provide valuable and constructive feedback. There's almost always someone to answer your questions and help you out

Making a safe space for diversity: Although there's plenty of work to do, the company has good initiatives to make people of different ethnic/nationality/gender backgrounds feel
 welcome.

Work and life balance is good, and there's also mental health panels and discussions every now and then.

The urban sports club subsidy is very nice.","Mediocre salary and benefits. 
For engineering positions compensation is underwhelming, even though the company claims their offer to be ""competitive"". To make it worse it varies across teams with similar qualifications and experience. 
As a foreigner after some time in Germany, I learned I was being significantly underpaid by talking with external recruiters. Offers that SumUp had no intention of matching. 
They will try to justify it by claiming it's consistent with their internal ""ranks/scales"", but these are never communicated and you don't have any way of verifying their claims. You just have to ""trust them"".
No automatic raises take place, you have to go ask explicitly for one.
Benefits are laughable, other than urban sports club, you get almost nothing for public transportation. No equity, no lunches/breakfast, bellow average vacation time, ok private pension scheme.

Leadership is not trustworthy.
They destroyed our trust with the layoffs earlier this year. The entire ordeal was managed unprofessionally, irresponsibly, and with complete lack of action to reflect and do better. 
Full responsibility was never taken, it consisted of empty apologies with no action whatsoever to regain that trust. Giving a sabbatical month after 3 years of work does not make up for showing they don't care about their employees.

Teams are silos.
With the excuse of being more ""agile"", squads were restructured as smaller teams which only introduced silos of people working separately and collaboration took a big hit. Cooperating with other teams became much more cumbersome and time consuming.
This change also introduced unnecessary middle management with the expected micromanaging that comes with it.

Going the extra mile gets you nothing.
Even during the toughest moments during the pandemic, we worked hard to bring features and products forward, all we got from it was kurzarbeit and nothing else even as the company started making a profit again. Even if you collaborate with things outside your job description, and even profession, you won't get a thank you, even less some sort of bonus.

No Engineering roadmap or leadership.
SumUp is a company with thousands of employees, it stopped being a start-up a long time ago, stop using it as an excuse.
For a company that claims to be ""tech"", it's a significant flaw not to have company wide engineering policies and roadmaps regarding best practices, design and architectural recommendations, documentation etc. Each team is encouraged to make such decisions independently, but with even more team fragmentation happening, the result is a lot of inconsistent design choices within the same codebase.
In the case of mobile engineering, there's no leadership or roadmap in place to make a reliable and robust product. For example, the CI is ridiculously unreliable, and no one wants to allocate resources to work on it.
With this points in mind, the engineering onboarding process is virtually non-existent, you have to figure it out by yourself and wait for someone to have time to assist you.

Diversity performativity.
Even though the company tries to foster a diverse workforce, this doesn't apply to leadership. It consists in its vast majority by white cis men that happen to be friends with the CEO.
Diversity MUST also come from leadership positions."
21,SumUp,end customer,2021-11-16,3.0,L%26D Analyst,"great hassle-free product
company vision
office environment
company culture","low salaries
low motivation
overall inability to keep high performers"
22,SumUp,Great place to start,2021-11-12,4.0,Customer Support,"- Company is growing and there are plenty of opportunities to learn in different areas
- Great to learn new CRM tools and gain new skills 
- Weekly meetings to align with different stakeholders about products and service
- Constant feedbacks and teamwork 
- Amazing colleagues","- No career development. Sumup is a great place to start but not recommended to stay more than 2 years
- Micromanagement 
- No Work-Life balance"
23,SumUp,Great company!,2021-11-04,5.0,Anonymous Employee,"Great Evolution 
Good Management 
Incentives
People 
International",Decisions can take more time if working from people not based in your office
24,SumUp,Startup mentality,2021-11-04,4.0,Anonymous Employee,"- Great environment, easy to connect to anyone from top to bottom
- Big annual budget for trainings and certifications in Engineering (2000€/year)
- Very easy to try new tools and develop new ideas, pretty much without needing approvals
- Fast growing company","A company of 3000 people still operating under a startup mentality, meaning:
- The focus is on putting stuff live, not in doing it without bugs, nor in finding efficient ways to do it, nor in maintaining it.
- Aversion to processes and structure
- Teams constantly changing scope
- Due to lack of structure, the most dominant people easily make their own rules, with the others simply following
- High employee churn"
25,SumUp,Good company to work,2021-10-31,5.0,Data Science Analyst,Good company to work for,Many challenges to overcome in projects
26,SumUp,good enviroment,2021-10-31,4.0,Purchasing Specialist,"good enviroment, friendly coworker, modern office",salary could be better than the current
27,SumUp,Great place to work and grow,2021-10-27,5.0,Anonymous Employee,"Startup environment, lots of room to grow and lots of responsibilities",Sometimes can be a bit disorganized
