,company,headline,date,overall_rating,author_position,pros,cons
0,,Working at SIG,2022-04-12,4.0,Desktop Support Technician,Free canteen food every day,Weekend work sometimes required to be complete
1,,Slowly going down hill,2022-04-08,4.0,Anonymous Employee,"Free lunch, nice gym, fun events",Pay could be better. Long hours at times.
2,,Not good not bad,2022-04-06,3.0,Network Engineer,"ok but hard sometimes
good WL balance","management pushing hard
Comp could be better"
3,,Great company,2022-03-31,5.0,Operations Analyst,Good pay perks and average hours,Not very flexible around wfh
4,,company culture,2022-03-25,4.0,Software Engineer,"flat structure,friendly colleague,good landscape view,free lunch,lots of fun","salary under industrial average,promote opportunity is slim"
5,,Review,2022-03-24,5.0,Equity Research Associate,"Get free lunch, hours are great, people are very supportive and helpful",bonus a bit smaller than competitors?
6,,Nice company,2022-03-23,4.0,Database Developer,"Free lunch
Good perks
Good salary 
Good flexible
Out side to Philli so save taxes","Long working hours
Long commute
Optional weekend support"
7,,Great place to work,2022-03-21,5.0,Anonymous Employee,"Great work environment , plenty of opportunity for growth and really interesting work.",Can't thing of much as of now
8,,Great place to work,2022-03-21,4.0,Anonymous Employee,"* Great group of people and a very collaborative, supportive culture
* On-site gym and regular company activities","Not as interesting as the other prop firms, lack of innovation"
9,,"Good company, great team, needs to pay more",2022-03-16,4.0,Operations Support Analyst,I liked working for SIG in Dublin in the Options Support team. The role covered multiple parts of the business and had a lot of room for learning. The team and my managers were very easy to work with.,"There needs to be a big improvement in salaries for this and similar roles. I believe the developers and traders would get paid well, but other teams deserve higher pay."
10,,Short Review,2022-03-11,5.0,Anonymous Employee,"Good CPD, good company benefits.",Quite long working hours. Limited growth
11,,okay,2022-03-11,1.0,IT Support,work together and help each other out,very straight to the point and a little intimidating
12,,Terrible culture and management from the 80s,2022-03-10,2.0,Software Developer,Poker games are pretty cool,Bonus numbers are ok but nothing great compared to other prop trading firms
13,,.,2022-03-04,2.0,Equity Trader,great compensation and cash bonuses,bad for work life balance
14,,Excellent people,2022-03-02,5.0,Software Developer,The perks are great. Canteen is packed with good food free to eat all times. Managers and colleague are extremely kind and care about my success. People stay here long term and not as a temp place. Highly recommend,"No cons. There are 2 days of WFH now, but It’d be great if there are more."
15,,Great place to work,2022-02-28,5.0,Software Developer,"Great environment
Smart people
Great office
No stress",I don't have any issues working here
