,company,headline,date,overall_rating,author_position,pros,cons
0,,Overtime/Training,2022-04-14,1.0,RAM Associate,None no work life management at all,"OT
Training terribly rushed Tiring non caring"
1,,T Rowe Nice,2022-04-11,4.0,Senior Internal Wholesaler,"Internal opportunities
LOTS of opportunity for negotiations when starting at the company","not flexible about WFH post covid
Not a ton of work
Hard to get raises once at the company"
2,,Great company culture,2022-04-08,4.0,Content Marketer,"Loved the company, the role just wasn’t a good fit.","The call center rep jobs for retirement were horrible, but there were opportunities to move beyond that role."
3,,Be minful,2022-04-07,1.0,Retail Account Manager,Supportive Environment from your peers,"pay, lack of work life balance, huge turnover"
4,,Nice place,2022-04-07,4.0,Staff Accountant,"Diverse
Modern
Collaborative
Nice campus
Cash bonus and stock plan bonus
Good benefits","Too many layers of management
Inconsistencies in benefits among departments"
5,,Great Company with Great Benefits,2022-04-07,5.0,Product Analyst,The benefits are really good with this company. Also the people are all very nice and supportive,None that I can think of
6,,If you are 35 and Up this is a great place for you!,2022-04-06,1.0,Special Correspondence Writer,"great facilities, guaranteed bonus every year, people are nice, so many incentives for employees (LOVE)
great benefits too","Everyone will know your business before you lol
under pay (T. Rowe pays lower than financial industry standard)
high turnover because of low pay"
7,,Operations Manager,2022-04-05,4.0,Operations Manager,Decent culture at the lower levels,Average Pay below market rate
8,,Aa,2022-04-04,5.0,Anonymous Employee,Beautiful work with amazing people love it,There is No downsides in my opinion
9,,Solid Company,2022-04-01,3.0,Client Service Representative,"Training. Good place to begin your career. Get your 7, 66 , 24 and move on.","Micro Managing, Propriety and Restrictive."
10,,Great company,2022-04-01,5.0,Inbound Phone Associate,"Professional, everyone is a pleasure to work with. Just an outstanding company with solid vision and mission.",I cannot think of anything that would go against the company.
11,,Decent pay,2022-04-01,4.0,Anonymous Employee,Pay was decent and free lunches on O.T days.,Mandatory overtime can be stressful at times.
12,,Pleasant job,2022-03-30,5.0,Analyst,"job was never too busy, always had some down time even during the busy days, pretty respectful regarding work life balance","made people come back to work after lockdown and after being employed with good performance reviews on the same team for almost two years, i requested full telework so that I could move to a new city (was previously based in baltimore) and pretty much got approvals through multiple levels in the chain of command, and the highest person decided that to let me work fully remote would be setting a precedence for everyone to work remote"
13,,It was awesome until it wasn’t,2022-03-30,3.0,Senior Technical Analyst,Health Care and yearly retirement contributions.,Low upward mobility and no loyalty to longtime employees.
14,,Great place to work,2022-03-29,4.0,Senior Software Engineer,"Lots of smart tech people here that are willing to teach, work life balance is great",Work can get stale at times
15,,Nice company,2022-03-28,5.0,Software Engineer,"Nice company to work, very good benifits.","Only salary is the issue, they have very less salary."
16,,"Benefits are decent, work-life balance not-so-much",2022-03-25,4.0,Associate Platform Analyst,"TRP matches a % of what you contribute to your 401k.
Healthcare is Aetna, which is ok for me. I don't have a family on my plan, so I can't speak to the family plans and how well it works out for others.","Pay is not keeping up with SOL and inflation, but we should be happy with what we get. If you need time off, some groups are more flexible than others in allowing it, even if you've got a lot to take. There is little appreciation shown to most, unless you're a C-level manager. Work/Life balance varies across departments and despite rising costs of childcare, after being home for the last two years, everyone has been required (unless you're not vaxxed) to come back to the office 2-3 days a week. There is no consideration for those who want to remain working from home full-time, even though work has carried on just fine the last two years with everyone doing that. We are told folks WANT to come back, and if that's even true - all are being forced to do so. It's been a rough couple months and morale is low."
