,company,headline,date,overall_rating,author_position,pros,cons
0,,TCF Branch Manager,2022-04-10,4.0,Branch Manager,"Great Support
Great Co-workers
Always something new happening","Many goals to reach
Very limited on staff"
1,,TCF,2022-04-09,3.0,Anonymous Employee,easy and good and fun and nice,no sitting down while working
2,,..,2022-04-06,4.0,Relationship Banker,Good benefits and decent pay,"No Cons, good place to work."
3,,My Review,2022-04-04,5.0,Sales Representative,"Great place to work, great culture, good benefits",Not much bad at all.
4,,Ok job,2022-04-01,2.0,Anonymous Employee,Coworker were nice to work with,Pay needs to match job
5,,It’s gone,2022-03-29,5.0,Anonymous Employee,I loved everything about working for TCF.,TCF is no longer in existence since Huntington took over
6,,Great Work Experience,2022-03-26,4.0,Loan Servicing Specialist II,It was a great opportunity to get back into the workforce as entry-level work. Everyone was easy to work with and you felt like family. We had daily huddles to discuss work but also check in with each other When we had we work remotely they were very also very accommodating. If you had family emergencies they would allow you to step away and return later to make up for missed time.,"Sometimes there were high demands and unrealistic expectations towards the end of my work assignment. They would expect a certain number of output but they changed the system to a slow awful system.

They kept merging with banks and unfortunately got so large with a Bigger Bank that they laid off the people who kept their company going during the pandemic."
7,,good,2022-03-22,3.0,Anonymous Employee,very nice to work there,not great for advancement opportunities
8,,entry level experience,2022-03-21,3.0,Supervisor,"career growth, entry level experience, flexible","low pay, weekend hours, high turnover"
9,,Good Company to work for,2022-03-14,5.0,Product Owner,Very Good company with good benefits and pay,Impacted by lot of mergers
10,,Terrible,2022-03-09,1.0,Manager,"If you have decent co-workers, the work becomes bearable.","Terrible business ethic (one major source of revenue for this company is by charging banking/overdraft fees to their customers; keep in mind, their market audience is lower income)

High turnover in all levels of employment"
11,,Freedom,2022-03-06,4.0,Supervisor,Here we were free to make our own way and achieve goals.,Constant threat of layoffs through mergers/acquisitions.
12,,Miss TCF,2022-03-01,5.0,Branch Manager,TCF was a nice place to work for.,Acquisitions were rough and poorly planned by tcf.
13,,Not a terrible job,2022-02-27,4.0,Relationship Banker I,"***PAY IS AN ESTIMATE*** 
Good mission and commitment to it's customers.",Lots of customers who weren't happy with overdraft fees among other fees. Made for difficult relationships with customers.
14,,Teller,2022-02-09,5.0,Bank Teller,"Work/Life Balance
Parties
Culture
Managers
I have entered at least 5 words.","Turnover
Staff
Hours
Location
Robberies
I have entered at least 5 words."
15,,Great People,2022-02-08,3.0,Analyst,"Excellent coworkers, decent benefits, and great direct management.","Constant pressure from mergers. Not great communication during mergers made for even more stressful environment. Consistently understaffed, which made for bad work life balance. Hard to be promoted internally."
16,,Good job,2022-02-08,4.0,Supervisor,"Working for this company it was Supportive, engaging,",Only con was the merge that made my job cancel out
17,,review,2022-02-05,3.0,QC Analyst,Worked with a great team.,"Too many reorganizations, made job difficult."
18,,Good,2022-02-04,3.0,Senior Customer Service Representative,"Good pay, decent benefits, somewhat flexibility.","Long hours, management was terrible. They do not care about you."
19,,TCF Bank Culture & Values,2022-02-04,2.0,IT Manager,I worked with some great people at TCF. Some of my collogues were really engaged and had a great work ethic. I was able to forge some great relationships during my 8 year tenure.,The company culture at TCF bank was toxic. The company did not recognize value in employees and felt everyone was could be discarded and easily replaced. Employees were treated extremely poorly.
20,,Okay company,2022-02-03,4.0,Anonymous Employee,Flexible work environment and management,None that I can think of
21,,Employee Review,2022-02-02,3.0,Customer Service Representative,I enjoyed working with my co-workers and management was responsive and created a team environment.,Insurance and pay were average and not much opportunity for advancement.
22,,Not a good place to advance,2022-01-31,3.0,IT Helpdesk Technician,Paid time off. Flexible hours,No room for advancement here
23,,Good work life balance,2022-01-26,3.0,Operations Specialist,Can take appts as needed.,Manager was awful. Totally gaslighted the entire team. Micromanager.
24,,Good,2022-01-24,5.0,Bank Teller,Nice coworkers made the atmosphere nice.,Bad systems taken on from a bad conversion made working rough sometimes.
