,company,headline,date,overall_rating,author_position,pros,cons
0,Tesco Bank,Great place to work however underpaid,2022-04-06,4.0,Fraud Chargebacks Representative,"Great colleagues to work with
Good training provided
Opportunities to move up
Good management",Pay grade doesn't reflect the work we do
1,Tesco Bank,New joiner Review,2022-04-05,5.0,Commercial Analyst,Great people and culture. Off to a great start,None for now as I’ve just started
2,Tesco Bank,Good,2022-04-05,4.0,Fraud Prevention Agent,"Good job, good people and good salary",Management was at times unprofessional and would not take accountability
3,Tesco Bank,Good place to work,2022-04-04,4.0,Senior Marketing Manager,Very friendly colleagues to work with,Sometimes too much red tape
4,Tesco Bank,Great Employer,2022-03-29,5.0,IT Analyst,"Flexibility, Challenging, Interesting, Friendly, Engaging","Challenging, Workload, Constraints, Processes, Bureaucracy"
5,Tesco Bank,okay,2022-03-25,5.0,Human Resources Specialist,good pay and employee benefits,none cant think of any
6,Tesco Bank,No opportunities for part time,2022-03-24,2.0,Customer Service Representative,Colleagues. Tesco Discount. Part time hours.,Lack of progression if part time. Poor middle management. Poor team managers. Always short staffed. Little chance to take annual leave.
7,Tesco Bank,Poor progression opportunities,2022-03-22,4.0,Financial Care Assistant,Good shifts and pay rises,"Management are cliquey and if the face fits you can progress but if even one person doesnt like you, expect a hard time."
8,Tesco Bank,Avoid!!,2022-03-12,1.0,CSA,Met some nice people to work with,"Underpaid compared to industry average.
Payslips impossible to understand. left underpaid 3 months after leaving and still not been corrected!
Very regimented, treated like a number and a statistic.
Processes changed at will by upper management who don't seem to think about the impact it has on the work or the people."
9,Tesco Bank,Ok,2022-03-08,4.0,Anonymous Employee,Nice people nd nice building to work in,Was sold as a department to another company
10,Tesco Bank,"Good place to work - Good, flexible culture, nice people",2022-03-07,5.0,Software Engineer,"Hybrid working allows WFH
Nice team and culture
Good holiday, sick pay, pension, benefits policy
15 days international remote working allowed on request","Office is not in Edinburgh city center
Niche technologies
Salary ranges and career trajectory not very clear"
11,Tesco Bank,Good,2022-03-06,3.0,Cashier,"Nice perks and benefits
Shift work","Poor pay
No job progression
Hours unsocial"
12,Tesco Bank,"Tesco Bank makes work, work for me!",2022-03-04,5.0,Talent Acquisition Specialist,"- flexible in how, where & when I work.
- encouraging, supportive management.
- proactive and collaborative internal communications with staff.
- great, clear and open benefits policy.
- strong team dynamics, with a great attitude to work and helping each other. 
- encourages internal career moves and easy to see current vacancies.
- exciting journey becoming a digital first bank with new Tesco customer focused products.",- Don’t currently share salary bandings on job adverts.
13,Tesco Bank,N/A,2022-03-03,3.0,Risk Assessor,Work life balance is great,Pay rates are very low compared to other companies
14,Tesco Bank,Family like place,2022-02-26,4.0,Customer Seevice Representative,Great people great culture great place not harsh on targets,No progression changing times repeated secondments etc
15,Tesco Bank,Good experience,2022-02-25,5.0,Business Analyst,"Everything is great, loved my time","Nothing, everything is all good"
16,Tesco Bank,Tesco,2022-02-24,3.0,Security Guard,Professional work atmosphere and good security,Holidays are mostly worked through
17,Tesco Bank,great place,2022-02-22,5.0,Customer Service Representative,good place to work for,staff turnover managers not badits okay
18,Tesco Bank,Ok,2022-02-22,3.0,Customer Service Representative,Shift patterns worked for me,"No development, if your face fits culture"
19,Tesco Bank,good to work for,2022-02-14,4.0,Anonymous Employee,great to work for - people place,far too much bureacract and not much scope for development
20,Tesco Bank,Number not a person,2022-02-14,2.0,Customer Advisor,4 weekly pay is useful,The managers have no management skills
21,Tesco Bank,"Okay, could be better, could be worse",2022-02-11,4.0,Customer Service Representative,"The people couldn’t be any more supportive. Training was quite thorough and the support offered was great. The company was incredibly welcoming, the discounts in Tesco stores was great. In Glasgow, the location was great and the office environment really pretty.","Got very repetitive after a while, systems were quite temperamental as well. Processes could be quite frustrating at times. Some managers and senior managers were a bit unapproachable, but majority were fine. I didn’t like being paid every 4 weeks but that’s more personal preference. Pension wasn’t amazing compared to other banks and building societies out there."
22,Tesco Bank,Good Benefits,2022-02-10,3.0,Information Security Manager,"PTO is good, working hours flexible",Culture and cliques are an issue
23,Tesco Bank,Good most of the time,2022-02-08,4.0,Personal Injury Claims Handler,Decent place to work and good people. Friendly department.,Always getting other departments worked pushed on you because they are behind. This happens all of the time and it’s if your not allowed to doing the job you’re employed to do. No prospect of career progression
24,Tesco Bank,good,2022-02-08,3.0,Customer Service Representative,"nice people, atmosphere, casual dress","hours, non home working, busy"
25,Tesco Bank,Great colleagues,2022-02-07,4.0,Customer Service,"Some of the best people I've worked with, always great team atmosphere.
More flexible than any job I've had in the past.",Leadership can take people for granted and have can be short sighted
26,Tesco Bank,Good career progression ops and shift patterns but not the best pay/benefits,2022-02-04,3.0,Customer Service Representative,"Good career progression opportunities 
Good colleagues and managers","Pay and benefits aren’t competitive
Pay rises aren’t kept if minimum starting wage goes up midway through year and you’re back to what new starts are on"
27,Tesco Bank,Decent company,2022-02-03,4.0,Customer Service Representative,"great colleagues, flexible hours and overall decent company to work for","policed for stats, they say the company is not focussed on targets but this is not true"
28,Tesco Bank,Structure is bad,2022-02-02,3.0,Anonymous Employee,Good benefit and 5 weeks holidays at least,company dinner need to be paid by employees
29,Tesco Bank,Decent pay + WLB,2022-01-31,5.0,Intern,"Good pay
Good central location
Good WLB",none that I can think of as of now
30,Tesco Bank,Good,2022-01-22,4.0,Retail Sales Assistant,long hours friendly manager relaxed,"long hours, short contract, no sick pay"
31,Tesco Bank,Best call centre,2022-01-21,4.0,Customer Service Representative,"-staff are welcoming and accommodating 
-jobs not very difficult 
-not sales focused, but performance instead (call quality etc, things that acc matter)
-flexible breaks/starts
-opportunities to move up/around the bank","-don’t offer hybrid working (home and office balance, it’s one or the other) 
-issues with pay/schedules can be hard to rectify 
-holidays aren’t the easiest to acquire"
32,Tesco Bank,Xxx,2022-01-20,3.0,Associate,"Value staff, market rate of pay",Made redundancies and let staff go
33,Tesco Bank,Just a number,2022-01-19,2.0,Business Online Helpdesk Agent,Good pay for a student,Treated like just a number
34,Tesco Bank,"Management, Job security, benefits",2022-01-18,5.0,Customer Service Representative,"Great management, Job security, have been working for almost 6 years, you get colleague discount 10-20% on groceries, home/Car insurance, mobile phones contract. Instead of sales targets, customer services is mainly focused on customers","Pay needs improving, high employee turn over"
35,Tesco Bank,Review,2022-01-17,2.0,Fraud Investigator,Friendly people and atmosphere to work in,No progression and terrible shift patterns
36,Tesco Bank,Good place for students,2022-01-14,5.0,Customer Service Representative,"Accommodating for the work load of students, good pay for part time, opportunities to learn.",Shift patterns are usually fixed so it is hard to change shifts without using annual leave
37,Tesco Bank,"Good culture, poor pay",2022-01-11,4.0,Analyst,Culture and people are the positives for me,Remuneration and progression opportunities are the negatives
38,Tesco Bank,Salary doesn't reflect role,2022-01-11,2.0,Fraud Investigator,Flexible working. Office location is very central,"Stressful
systems aren't aligned to each other
Poor training
Salary isn't reflective of work done"
39,Tesco Bank,Great place but no progression,2022-01-06,4.0,Customer Service Representative,Great people good hours good company,No development or opportunities to progress
40,Tesco Bank,Good place to work,2021-12-31,4.0,People Partner,Flexibility and Tesco discounts are good,Workload high with not enough prioritisation
41,Tesco Bank,Good place to work,2021-12-22,5.0,Senior Manager,Good work life balance and opportunities to move,Certain business units can be very cliquey
42,Tesco Bank,analyst,2021-12-15,3.0,Analyst,room to bring in initiatives,limitations to progress and move roles
43,Tesco Bank,50/50 Workplace,2021-12-13,5.0,Customer Service Representative,"Discount, Inclusive and pays okay","Put a positive spin on things but often find any challenge made against new get treat as an attack 

Often find there are quite a lot of clicks amongst different teams and can quite hard for people to get included"
44,Tesco Bank,Good part time,2021-12-10,5.0,Customer Service Representative,"They facilitate for students for part
Time roles which is great",Not got anything bad to say
45,Tesco Bank,The long process of becoming agile,2021-12-09,1.0,Senior Software Engineer,"Supportive colleagues and organization.
Intranet contains all the information a worker needs.","The mix of old project management and new agile approach is frustrating and it will take years at this pace to get a grip of it.
I have been few months and I haven't managed to start any project."
46,Tesco Bank,Not great,2021-12-06,2.0,Customer Support Specialist,Not many if any unless you leave general banking,"Poor shifts, lack of staff welfare care"
47,Tesco Bank,Going down hill,2021-12-03,2.0,Customer Service Advisor,Employees who currently work there are all great and everyone is friendly. Customers who call up are generally happy and are pleasant to speak with.,The company values profit way more that they do their customers and their staff. A colleague of mine has worked there for nearly 6 years and the new starters are on £200PA less than what she currently is on. The company is the lowest paid CS job in the business. Because of this the company has lost alot of staff recently for higher paid jobs and in turn this has made the job very difficult at times as we are busy from when we open to when we close
48,Tesco Bank,Not good,2021-12-01,1.0,Anonymous Employee,Flexible hours and good progression if you're in with the right people,Management are like a cult
49,Tesco Bank,good,2021-11-19,4.0,Customer Assistant,good work environment and management,nothing to say about this company
50,Tesco Bank,Well structured development path,2021-11-19,4.0,Associate Software Engineer,"- Eased into the role gently
- Lots of support from all levels
- Great team
- Good benefits","- Very large company, so can be hard to understand where you sit in all of it.
- Essentially remote only working."
51,Tesco Bank,Stressful,2021-11-17,2.0,Car Insurance Sales,"Good benefits, 8pm finish, Pension is decent","Manager was nightmare, 8pm finish"
52,Tesco Bank,Good company,2021-11-16,4.0,Customer Service Representative,"Great company to work for, managers at my office were friendly and helpful. Amazing team.",Hard to get flexible hours
53,Tesco Bank,good,2021-11-10,5.0,Warehouse Operative,"good job, nice job, friendly","heavy work tried, equipment always have problem"
54,Tesco Bank,Great job,2021-11-09,5.0,Customer Service Representative,"Good place to work, very positive","None, I really enjoy working here"
55,Tesco Bank,Customer service representative post,2021-11-08,2.0,Customer Service Representative,"Team Leaders and staff are friendly and helpful. Good for anyone disabled, LGBT community and diversity. Nice modern, comfortable building with parking.","Very poor ongoing training, expected to just get on with things. Very difficult to get time off for any reason, or get back time owed to you. Lack of morale in staff."
56,Tesco Bank,Good company,2021-11-07,3.0,Anonymous Employee,Was great to work at,Some of the managers and very disorganised
57,Tesco Bank,OK - room for improvement,2021-11-05,3.0,Anonymous Employee,Interesting linkage to wider Tesco business - different experience within Financial Services,"Understaffed, workload prioritisation is inconsistent at best, pay ranges aren't transparent"
58,Tesco Bank,Customer assistant,2021-11-03,3.0,Customer Service Representative,"Fun Christmas prizes/ activities

Many incentives","Pay could be better 
No enough opportunities
Location"
59,Tesco Bank,Terrible,2021-10-30,1.0,IT Project Manager,"None really, Work from Home","Confusing culture
Bullying
Dept v Dept
Politics 
Very Old School"
60,Tesco Bank,Ok,2021-10-29,3.0,Anonymous Employee,Good teams to work with,Poor salary for certain areas
61,Tesco Bank,job,2021-10-28,2.0,Fraud Investigator,great team atmosphere with good help,management could be more approachable. Management should be positions on merit not who you know or a pals act.
62,Tesco Bank,Accounts Assistant,2021-10-26,4.0,Finance %26 Accounts,"Solid work, good team members, learnt experience","Corporate, repetitive, long hours, remote working"
63,Tesco Bank,Ok job,2021-10-25,3.0,Analyst,Tesco club card discount up to 10%,Pay isn’t great for the experience they require for the role
