,company,headline,date,overall_rating,author_position,pros,cons
0,,Flexible hours tax exempt,2022-04-14,4.0,Consultant,Flexible hour and tax exempt,No benefits and job security
1,,Growth,2022-04-13,5.0,Human Resources,Good company to work in bank,Career growth is very slow for few levels
2,,Engaging team,2022-04-12,4.0,Anonymous Employee,Lots of interesting people to collaborate with.,Analytics are top-down from management and are a bit old fashioned.
3,,Competitive salary,2022-04-11,5.0,Anonymous Employee,strong salary compared to other organizations in the same field.,salary set within bands which can make it harder to get increases.
4,,Great internship,2022-04-11,5.0,Research Assistant,amazing experience for an unpaid-internship,"no pay, held virtually but no complaints"
5,,HR,2022-04-10,4.0,Human Resources,Great organization with great benefits,No cons in this organisation
6,,Good for as a short-term gig only,2022-04-06,3.0,STC,Name and the good reputation,Poor career prospects for consultants. No benefits. Average compensation.
7,,Great,2022-04-06,4.0,Anonymous Employee,Great international organization for development,Very few disadvantages in the sector
8,,Toxic work culture,2022-04-04,1.0,Program Manager,Contractors get to stick around and become a staff and get their green cards,"- Lack of team spirit, everyone staff is for himself
- Endless meetings due to incompetent team leads and politically hired managers
- No career path and no lateral movements
- HR is a useless function that need to be fully outsourced 
- Lack of true diversity
- Team leads who are bully and with questionable ethics and integrity"
9,,Junior Analyst,2022-04-02,4.0,Junior Analyst I,"- Mission driven org and impactful work
- Great benefits 
- Diverse employees from all around the world","- Bureaucratic and unorganized
- Not up to date with private sector"
10,,Working at the World Bank,2022-04-01,4.0,Economist,One of the best international organizations,International travels can get a bit much
11,,Good job,2022-03-30,3.0,Risk Officer,Great job and great benefits,If you are dependent on G4 visa can’t work anywhere else
12,,Fulfilment but difficult work life balance,2022-03-30,4.0,Practice Manager,Interesting meaningful work and reasonable benefits,very tough on family life given amount of travel involved
13,,Fantastic,2022-03-27,5.0,Task Team Leader,Very Professional and professionally fulfilling,Maintaining work-life balance could be challenging
14,,Motivating place to work for a good cause but very very busy..,2022-03-24,5.0,Economist,Motivating place to work for a good cause,but very very busy.. work life balance can be tricky
15,,Depends on manager,2022-03-23,2.0,Energy Specialist,Lots of access to opportunities,Pigeon hole people really fast. Lots of smart people but not the warmest.
16,,World Bank,2022-03-23,3.0,Research Assistant,"Stimulating job
Work with smart people
Good salary",Consultant contracts is not so good
17,,GE grade is not worth it,2022-03-19,3.0,Analyst,"International colleagues, fascinating access to expertise, constant stimulating knowledge flows, etc.",Very hierarchical organization with very little prospect for career growth for junior staff. Short term consultants are still poorly treated.
18,,"Overall great job with high economic security, but comes with unhealthy working environment",2022-03-18,4.0,Economist,Staff position provides great economic insecurity. Their health and pension scheme are among the best in the market. The job can be fulfilling if you have passions in international development,"Depending on the team and manager, working environment can be very demanding and unhealthy. Competition between staff is high and bullying in the office is real. There's a clear gap between the local vs international staff in terms of career progression, the latter benefiting utmost."
19,,Good work life balance,2022-03-17,3.0,Business Analyst,"Good work-life balance
Multi culture work environment
Tax-free income","No promotion Growth/ less opportunities
Internal politics"
20,,...,2022-03-15,4.0,Senior GIS Consultant,Wonder full job i like my work,There is no cons in that job
21,,"Smart people, decent pay",2022-03-14,4.0,Anonymous Employee,Coworkers are smart and the pay is competitive. Staff is very diverse.,There is often not much room for upward advancement.
22,,Best place to work in development,2022-03-14,5.0,Senior Manager,"Mission, global footprint/ travel, diversity, intellectual stimulation","political and bureaucratic, slow career growth"
23,,Great professional experience for a Junior Researcher with PhD in Econ,2022-03-14,5.0,Short-term Consultant (STC),"I am working writing technical notes to evaluate the effect of the Pandemic on labor market outcomes. 
WB has great micro data which allows to find interesting research questions and come up with appropriate identification strategies.",It is very autonomous so you may get sucked into the void ! You have to manage carefully your time.
