,company,headline,date,overall_rating,author_position,pros,cons
0,,Meh,2022-04-14,3.0,Branch Coordinator,"Benefits
vacation
maternity leave
sick time","short staff
long hours
angry clients
corporate says they ""care"" but doesnt
horrible pay"
1,,Good Company; Experiencing Growing Pains,2022-04-14,4.0,Universal Banker,"- Lots of room for advancement
- Good fit if you enjoy working face-to-face with clients
- Pay is good and generally competitive
- Good access to benefits and professional training/development","- Bank just recently formed due to a merger, and many systems and departments have been slow to adapt to the new size of the bank
- Customer service is not yet able to handle the growing needs of the bank, so you often end up dealing with issues in person that should be handled over the phone with other departments."
2,,Review,2022-04-14,4.0,Bank Teller,Great to have relationship with clients,They Push credit apps a lot
3,,Worst Place to Work,2022-04-14,1.0,Capital Markets,The merger btw BBT/Truist was a mess. Good old southern boys who only care about their own pocketbooks. Environment and culture is terrible for minorities,"Terrible place to work. Too many layers of managers making alot of money. 
Not a good environment for minorities . Would never recommend working there ."
4,,HR employee review,2022-04-14,4.0,Anonymous Employee,"By far, the PEOPLE are why I stay at Truist. I have amazing collaborative partners that care about our work. I also realize the grass isn't always greener with other companies.",If you are efficient you get rewarded with more work.
5,,.,2022-04-13,1.0,Senior Relationship Banker,health benefits are pretty decent,way too many to name...
6,,No growth opportunities,2022-04-13,3.0,Copywriter,- good work life balance,- cliquey and hard to move up even after lots of time
7,,intern,2022-04-13,3.0,Intern,"good experience, great people working there",not enough pay to live off of
8,,"Used to be great, until Truit was born",2022-04-13,1.0,"Administrator, Variable Pay Compensation",Flexibility and pay are nice. But that's not worth the stress.,"There is a great falling away from Truist. Upper management says they want to understand why. But when they’re told, they come up with a politically correct excuse and try to discredit the reason. Teammates are extremely overworked. One person leaves, no one is replaced. An already overworked teammates gets those old teammates responsibilities. We see this time, after time, after time.  There have been many teammates that went out on leave because of stress induced events. Anxiety, cardiac issues. It's not right.  Can't tell you how many Fridays afternoons I've been on a call and not even asked if I could work Saturday, it was ""well this is when something is being ran, and you need to work it."""
9,,Portfolio Management,2022-04-13,4.0,Asset Manager,"Benefits, ability to work remote, work ethics, methods, values and team work.","Locations, pay and career changes internally."
10,,Bumpy but will prevail,2022-04-12,3.0,SVP-Commercial Lender,Not much in the Financial services space they can't handle,They don't pay well. Never did at BB&T and now don't at Truist
11,,Regional bank dragged down by bureaucracy,2022-04-12,1.0,Senior Business Information Analyst,"Fair benefits, PTO, 401k, insurance. 
Slow pace. 
Steady position. 
Collaborating environments.
Friendly to new techs, concepts.","Merge is a mess.
Low pay and limited promotion opportunity. 
No boundary on responsibilities. 
Minimum transparency.
Out-of-date hardware and software development.
Pleasers take all the credit."
12,,Do Not Recommend for Women,2022-04-11,1.0,Mid-Level Manager,It’s a job that pays money.,No advancement opportunities for women. Men dominate every department leadership - and we’re talking below average men that clearly shouldn’t be in charge of anything. It’s a mess.
13,,Great company,2022-04-11,5.0,Sales Associate,Worklife balance is amazing for me,None that i have to report
14,,Investing in tech,2022-04-10,4.0,User Experience Designer,"Great teammates 
Decent benefits
Investing into technology","Not great pay
Not very remote friendly"
15,,Ok,2022-04-10,3.0,Relationship Manager,No goals everyone works as a team,Lack of leadership in power
16,,No structure. Terrible onboarding. Instant buyers remorse,2022-04-10,1.0,Branch Leader III,"Benefits, nice team, pay is somewhat competitive","Where do I start? From day 1 I had no training and felt like I was thrown in with zero guidance or training. Training started 1 week after I started. With only 2 days per week of virtual training for an hour each day. Been there 2 weeks haven’t even been told of all the benefits. I feel like I am being set up to fail. Learned that Branch Leaders/ Managers are expected to be individual performers while also responsible for their team and managing the branch. I mean opening Accts, opening loans, referring to partners, servicing client accounts while hiring, coaching, operations, managing angry clients etc all while not even being trained properly. Came from a big bank and I have instant buyers remorse. Please think twice before joining Truist."
17,,Growing pains,2022-04-09,4.0,Mortgage Risk Program Execution and Administration Analyst,The company provides good PTO and health insurance discounts.,"The company has grown a lot and is experiencing some growing pains as it tries to work out how things work in the new company, post-merger. Pay is low for the size of the bank, and there are not many opportunities for growth for high performing employees. You’re mostly stuck where you are."
18,,good foot in the door,2022-04-09,4.0,Junior System Analyst,easy for people who havent dipped their toe in the IT feild,New bank so some things area little rough
19,,"Good company, good culture, reasonable salary",2022-04-09,4.0,Senior Technical Recruiter,"The management over the recruiting group is supportive.
The salaries are reasonable, but there are companies that pay better
This is an organization where you can have career longevity","As a recruiter, you have limited career growth opportunities
The recruiting organization is not focused on pay for performance"
20,,Great culture and opportunity for growth.,2022-04-08,4.0,Senior Vice President Program Manager,Great culture and growth opportunities.,Salaries are below market rates and are not commensurate with experience.
21,,They Don't Care About Frontliners,2022-04-07,1.0,Bank Teller,"Insurance and PTO. I love my coworkers.
I love SOME of my clients","Pay is no longer worth it. We're understaffed. They closed branches witch made other branches triple in clientele. Every office should be open on Saturday here, but no. That's not fair for the builder branches. There busy non stop but the dead branch has every weekend off.

Being cursed at my clients and you can't react.
Being blamed for back office and you can't react.
Being yelled at in the phone and you can't react.
Having to apologize for back office outside of my control.
Coming home so drained every night is not right. Again...pay is not worth it. Company does NOT appreciate their front line, just presses them to sell products"
22,,"Good people, poor pay, deceptive recruiting",2022-04-07,1.0,Collateral Management Specialist,"The people I worked with were great and my manager was supportive, though strongly limited by policy.","Biggest cons are poor pay and recruiting practices. Pay is generally well below market rate. The annual increaes max between 2-2.5%. This is below the normal rate of inflation. Over time, you are effectively paid less as a result.

My experience with recruiting was even worse. I have been studying IT and applied for an IT role internally. When I was sent an offer, it was for a lower job title than what I applied for, at a different location, and at a substantially lower pay. The recruiter even told me that the title they offered normally pays 10-12k over what they offered me. When I countered asking for the location I applied for at what they admitted was the normal rate, they refused.

I got an offer the next day from another company, at the market rate for the job."
23,,Great stepping stone,2022-04-06,2.0,Financial Crimes Analyst,"hybrid work from home positions 
employee discounts and benefits","unorganized 
underpay 
dishonest
lack of communication"
24,,Bright future,2022-04-06,4.0,Anonymous Employee,"Change is never easy, this organization is rebranding and building out a very thoughtful business model that will provide great services to its growing client base",The mix of experiences within departments and overall confidence in certain job tasks can be frustrating
25,,Okay,2022-04-06,3.0,Compliance Officer,"Flexible, decent management depending on department","Salary differential broad amongst peers in same role, growth potential seems limited, poor technology"
26,,Not terrible,2022-04-06,3.0,Cyber Security Engineer,"Pay is good, medical is expensive but great",Merger issues are still ongoing. Still a mess with regards to org structure and getting anything accomplished.
27,,Growing pains,2022-04-06,3.0,Associate,Exposure to multitude of deals with IB headed in right direction (hiring of strong MDs from bulge brackets to build out better culture/competencies),Stagnancy and complacency in work is a big part of current culture
28,,Culture needs an overhaul,2022-04-06,2.0,Anonymous Employee,"Great pay, diverse, lots of other great benefits, room to grow","Roles are not clearly defined, work is chaotic, culture needs work"
29,,great company,2022-04-05,5.0,Anonymous Employee,this company offers great benefits for both full time and par time employees.,need to increase the salary for retail teammates.
30,,So so,2022-04-05,2.0,Senior Relationship Banker,Not much to the jury is still out,Lots of moving parts underwhelmed
31,,Sales manager,2022-04-05,4.0,Sales Manager,"Benefits, salary, flexibility are great",Merger issues can be very frustrating
32,,Great company,2022-04-05,4.0,Anonymous Employee,Depth of resources are tremendous,Merger still being ironed out
33,,like working in saes,2022-04-04,5.0,Sales Manager,I like working in sales and it's a fast-paced environment,it can get pretty boring at times.
34,,Just Don't Care..,2022-04-04,2.0,Universal Banker,"Pension Plan, Insurance, 401k, Friendly Staff","Scams Businesses, Too Many Fees, Surprise Charges, No Care about Employees Mental Health, Don't Care for Employee Reviews on Company"
35,,Pro Cos,2022-04-04,3.0,Registered Client Service Associate,"Health, PTO, Benefits, employees, work","Salary, growth, growth, time,  pay"
36,,Great company,2022-04-03,5.0,Universal Banker,"Great company, good benefits, good pay","Poor training, merger issues, understaffed"
37,,Tough Environment,2022-04-03,3.0,Financial Analyst,"Good pay, can be fun","Toxic relationships between managers, long hours"
38,,Just avoid,2022-04-02,1.0,Relationship Banker,Benefits some weekends off federal holidays off,Training is inadequate and no resources at branch
39,,Tough,2022-04-02,3.0,Universal Banker,"Opportunities to climb. 

Lots of opportunities to network and meet lots of new people.","Client's complaining about things you can't control.

Vacation blackouts.

Call centers consistently give clients wrong information about what can be done at the branch level."
40,,Great place to work,2022-04-02,5.0,Associate,Pay and benefits are great,None that I can think of.
41,,Not At All What I Thought,2022-04-02,3.0,Client Care Specialist,"Good pay for the area, great co workers, gym, health insurance well great benefits in general, hour lunch,","Training was horrible! The worst I have ever experienced in my life, came in during merger and only trained for 2 weeks out of the 6 weeks we were supposed to get and the whole team got thrown out on the floor to start taking calls and no one was ready, wait times were so long clients were already angry by time they got you on the phone, support while on a call from team leaders was ridiculous you literally have to wait 20-30 mins before someone can help you to assist a client."
42,,Fantastic workplace!,2022-04-01,5.0,Business Career Foundation Program,"Such a family feeling, great benefits, they are awesome to work with you and ensure they find a way off for you to get any time off you need","Honestly, I don’t have any!"
43,,Toxic work environment,2022-04-01,1.0,Branch Leader,Great medical insurance benefits and employee benefits,"Upper management doesn’t care about associates beginning with the area leader. This company truly does not care , Not a inclusive type of environment, very toxic, constant disrespect, unprofessional /unfair. Human Resources is poor and does not protect you from retaliation.Recommend going with a bigger bank or another market other than north Miami dade market in Florida!"
44,,A good company,2022-04-01,3.0,Anonymous Employee,They do not put employees' situations into consideration and expect them to work even when they have legitimate reasons for not showing up,"Pays well, the company creates a family type of relationship with its employees"
45,,Good company values,2022-03-31,4.0,Business Analyst,Management had good vision for the future and a solid organizational structure,Extremely difficult to move up in the company. They hired from outside instead of promoting within.
46,,If you are not working 7 days a week 12 hours a day... you wont make money,2022-03-31,4.0,Mortgage Loan Officer,Your department knows there stuff and the employees are nice,"Too much work for the commission that you are doing
They dont think outside the box"
47,,Recommend,2022-03-31,4.0,Human Resources Manager,Great benefits - still has a fully funded employer pension AND 6% match on 401k.,Still going through merger growing pains.
48,,Great company to work for,2022-03-31,4.0,Anonymous Employee,"Large, professional, growth, talented colleagues",Lack of work life balance
49,,Pay,2022-03-30,3.0,Anonymous Employee,Good pay and benefits with room to grow,Better management needed and communication is lacking
50,,"Sales focused, but good employee",2022-03-30,4.0,Universal Banker,"Great employees
Great branch manager
Decent hours","Everything is sales to the point of intrusive, with a dash of helping people on the side."
