,company,headline,date,overall_rating,author_position,pros,cons
0,,Analyst,2022-04-15,5.0,Analyst,The culture is really good,Work life balance is good
1,,Good people,2022-04-15,4.0,Associate Director,Overall nice people in the firm,Face time was important; health care benefits not great
2,,Friendlier than most but,2022-04-14,3.0,Head of Equity Sales,Friendlier work environment than most investment banks. High focus on collaboration. Huge focus on working across the isle. Relative flexibility.,Relative laggard in terms of pay. Bad at promotions.
3,,Good Company Overall - Would Recommend,2022-04-14,4.0,Business Analyst,"- Pretty good work life balance
- Good culture, friendly people at least in my division",- Pay is by no means horrible but could be better especially in a high COL city like NYC
4,,Product Controller,2022-04-14,3.0,Anonymous Employee,"Good people to work with,","Stress, no work life balance life"
5,,N,2022-04-14,1.0,Liquidity and Funding Analyst,"Centrally located, opportunites to network",Work life balance was terrible
6,,Cannot trust the people in this company,2022-04-13,4.0,Associate Director,"Good pay, perquisites and company atmosphere",People showcase themselves as friendly but the politics is inbuilt with every individual there
7,,Great company,2022-04-13,4.0,SWSA,Great people who really care. Strong on the asset management side,Investment bank not the strongest
8,,x,2022-04-13,2.0,Managing Director,Large and profitable wealth manager provides stable core  vs most European banks.,"Culture is about stability - rarely entrepreneurial
Chip on shoulder vs US banks"
9,,Average banking company - typical profit-oriented corporotation,2022-04-13,3.0,IT Architect,"- stable company for low-rank employees at the beginning of career as company is struggling with high employee rotation
- if you are technical, task-oriented with no or a little ambition for growth this is a good place for you
- flexible working style - full remote/hybrid model now since 2020","- no or a just a little chance to be promoted to responsible role, it lasts years
- promotion and working overtime (non-paid) is needed otherwise there is no real chance for your salary growth
- no relationship or no sponsor in CH/UK = no promotion - as simple as that"
10,,Not recommended for Tech people,2022-04-13,2.0,Technology Analyst,Leaves Balance. Cab facility. Brand name.,Very old technology. Very less hike. No career path defined. Lack of promotion. You get stagnant after working few years.
11,,"Great Culture, Team mates",2022-04-13,5.0,Analyst,"Great culture within the company, encourages you to learn and be proactive",Might be hard to access/find information given the scale of the company
12,,Good place to work,2022-04-12,3.0,Technical Graduate,"Really good people, and friendly culture","Difference in pay between front office and technology.
Fixed, very low, compensation package at junior roles on the tech side."
13,,Good Company to join overall,2022-04-12,4.0,Technical Analyst,"Work culture is good
Transport facility also provided",Not happy with the appraisal cycle
14,,Great opportunities to grow,2022-04-12,5.0,Director,"You have opportunity to work on critical projects with brand new technologies, grow your skills in areas like Azure, project management and people management.","Probably the biggest is corporate culture, but this is also changing with agile way of working."
15,,Good place to work,2022-04-11,5.0,Trade Analyst,"structure
benefits
working hours
shift allowance is good","bonus
slow growth compared to other IBs"
16,,Great company,2022-04-11,4.0,Financial Controller,"Good people, good work culture",Not likely to get salary increase
17,,Risk Manager,2022-04-11,3.0,Risk Manager,Flexibility to work remote due to Covid. Strong revenues,compensation and culture are decent
18,,great,2022-04-11,5.0,Anonymous Employee,great to work. great experience,none to report. all great
19,,Internal Mobility,2022-04-11,4.0,Associate Director,"A firm that invest in employees' career and personal growth via internal mobility, tools and platforms that are readily available for individuals to develop.","May be similar to other firms, not a pay master."
20,,Good learning,2022-04-10,4.0,Authorized Officer,Good exposure and learning opportunities,"Not good leadership
Old technology
Not enough work life balance"
21,,Risk analyst,2022-04-10,4.0,Risk Analyst,"Good culture and people, internal dialogue","Salary way below market rate, bonus capped at 2 weeks for junior professionals"
22,,Old fashioned,2022-04-10,1.0,Administrative Assistant,"Excellent Salary 
Beautiful offices
Christmas bonus","Misogynistic 
Elitist 
Sexist
Manipulative 
Management practices"
