,company,headline,date,overall_rating,author_position,pros,cons
0,,Great place to work,2022-04-15,5.0,Bank Teller,Great staff and training experience,Currently closed as of today
1,,Great,2022-04-13,5.0,Teller,"Support students, Benefits and, Flexible schedule",Had to work on Saturday
2,,Operations intern,2022-04-05,5.0,Intern,I love working in back office great company culture,A lot of work here
3,,"Great comp, poor culture",2022-04-05,3.0,Anonymous Employee,"Compensation, learning, mentoring. Money, pay","Work life balance, culture, time off"
4,,Abx,2022-04-05,5.0,Manager,Great work culture and perks,Nothing to be highlighted and of concern
5,,Pros and cons,2022-03-31,3.0,Relationship Banker,Good benefits and stable income,"Working weekends. Coaching, hours of working"
6,,Awesome,2022-03-30,5.0,Anonymous Employee,"Awesome, no words, it was fantastic!",Did not find any Cons
7,,Banker,2022-03-17,5.0,Anonymous Employee,Great benefits the company has.,The Saturdays at work are very slow.
8,,Awesome job,2022-03-17,3.0,Teller,Friiendly environment. Learned alot about banking,I had short breaks. Not enough free time.
9,,Great,2022-03-06,4.0,Home Advisor,"Good place to work, remote options","CEO is rude sometimes, but is very hard working"
10,,Income,2022-03-05,2.0,Senior Software Engineer,Work from home .. diversity is workinh,Low salary not worth that much
11,,Great place,2022-03-04,5.0,Associate,"People, relationships, perks, benefits, learning systems",It was a long commute for me.
12,,Good place to work for,2022-02-12,3.0,Administrative Assistant,"Nice people, collaborative working environment",Not much opportunity available to be promoted
13,,I worked here,2022-02-11,3.0,QA Analyst,I got paid some money,It was not super engaging work.
14,,Good place to start career,2022-02-05,4.0,Anonymous Employee,"Benefits, fast paced environment, and 401k.",Sales pressure. Bosses like to micromanage.
15,,very good place,2022-02-01,5.0,Quantitative Analytics Specialist,"great place to work, good health benefits","long hours of work, no free parking on premises"
16,,Responsible,2022-02-01,3.0,Teller,"Salary, time off, no weekends",Can’t think of any Taft his time
17,,super mario world was cool,2022-02-01,5.0,"Serever, Bartender, Trainer",Cool fun super mario world,Butter cream pie was dry
18,,Great place to work,2022-01-29,4.0,Supervisor,very flexible to work with if you have to leave to attend to your family or personanl issues,Mergered with Wells Fargo now there is no flexiblity
19,,Opportunities,2022-01-23,5.0,Financial Specialist,Rewarded financially for completing goals,"No downside, fair work fair pay"
