,company,headline,date,overall_rating,author_position,pros,cons
0,,nice,2022-04-13,5.0,Anonymous Employee,nice people to work for,low pay could be better
1,,Terrible company to work for! Constant revolving door - Employees always leaving,2022-04-11,2.0,"Fundraising/Development, Manager",Salary / compensation is good.,The company has ineffective leaders and management micromanages employees. There is no work life balance. The onboarding is also insufficient and they don’t value employees. The company is like a revolving door. Employees are constantly leaving.
2,,Good company to work for,2022-04-08,4.0,Escalations Specialist,"- fully remote during covid-19
- no pressing
- a lots of trainings available",- communication from top could be better
3,,Great Company,2022-04-07,5.0,Tax Associate,Great work life balance and flexibility.,Competitive for jobs within company.
4,,Great place to grow,2022-04-07,4.0,Specialist,Ample opportunities to learn and further your career.,The wage could be better.
5,,Agile program manager,2022-04-04,4.0,Manager,"Good benefits, work life balance","As long as you get along with your leaders, none"
6,,Great place to work,2022-04-04,5.0,Senior Information Security Engineer,Great place to work. Westernunion have office all over the glob and its easy to work with different people across the world.,Still company is going to catch up with current technology
7,,Working at WU,2022-04-03,5.0,Manager,"Challenging, always learning something new! Great team.",Getting something approved or changed can be difficult since it's such a large organization.
8,,Associate Software Solution,2022-04-01,5.0,Anonymous Employee,"*Good Leaders
*Great Place to Work
*Great Place to Learn","No cons, until and unless you are not letting them to add you in best team"
9,,Company that cares to provide good work/ life balance,2022-03-31,4.0,AML Specialist,"Great to start career in AML
Multinational company
Great work/ life balance
Multiple opportunities to build career",Nothing comes to mind right now
10,,Ok,2022-03-31,3.0,Know Your Costumer Analyst (KYC),Western union have Good social package,In western union hard to grow professionally
11,,Terrible management that'll do anything to get promoted,2022-03-30,2.0,Sales,Good salary and some good people,"Old tech/platforms. 
Little to no training or leadership for the staff. 
Siloed structure meant that it was always a challenge to collaborate across teams/regions. 
Extremely poor management that happily throws people under the bus so they can get promoted. 
Different rules and opportunities if you were part of the right cliques. 
I witnessed multiple instances of bullying and harassment from both managers and colleagues and it was always just swept under the carpet by HR and leaders."
12,,Good place to work and to progress,2022-03-29,5.0,Head of CRM,"It is a Good place to work and to progress.
Results oriented people are welcomed but also people involved in product field.",Centralized and the majority of the positions are in those countries
13,,Good place to work,2022-03-28,3.0,Senior Data Analyst,"Work/life balance, good environment, and benefits. Average salaries.",Management is rigid and does not listen. Old fashion style.
14,,Software Engineer,2022-03-24,4.0,Associate,Great work culture and great colleagues,Tricky promotion system in the company
15,,Marketing,2022-03-23,4.0,Marketing,"good benefits, work life balance",cons - restructuring 3 times in 5 years
16,,High turnover,2022-03-22,2.0,Anonymous Employee,"People are friendly, easygoing environment",High turnover due to remuneration below industry standards
17,,Client Service Specialist,2022-03-22,2.0,Client Service Specialist,Work from home temporary due to covid,Boring and not motivated management
18,,-,2022-03-21,4.0,Project Manager,Can be a great place to work if your leadership team is respectful of all employees.,Advancement is limited. Managers tend to prefer to talk down to employees beneath them rather provide an environment of growth.
19,,Brand with nice leader,2022-03-19,5.0,Anonymous Employee,"Best company I work with
Leaders are great and always helpful","Nothing
All are good
Great place to work"
20,,Great company,2022-03-18,5.0,Dealer Account Manager,Good people and oppertunity great management,Competitive industry usd is the same from every company
21,,Good to work,2022-03-17,5.0,Tibco Software Engineer,Friendly  co workers and a great place to work,Nothing as such and cant really think of any
22,,Best work culture,2022-03-17,5.0,Associate,"Work life balance
Employee centric culture","No promotion policy,
For promotion you probably give an interview."
23,,Very good company,2022-03-15,5.0,Solutions Architect,"Work life balance
Very great pay and annual hikes",Bonus pay is very less
24,,Agent,2022-03-15,4.0,Agent,"Good support, fast and east",Getting misunderstood for Headoffice of WU
25,,Associate manager,2022-03-14,5.0,Assistant Manager,Good company. Good work life balance.,Promotion is a tricky thing.
26,,Good Job,2022-03-14,5.0,Front Desk Agent,Moree to cashiering job. Collecting money and transfer to the preferable countries. Give away money to customer. Handling the branch alone was a good experience.,Limited time for personal developmeny
27,,Good,2022-03-12,4.0,Administrative Assistant,"Fair, good, nice, reliable, steady",It was not all the time
28,,Flexible working,2022-03-10,4.0,Salesforce QA Engineer,Friendly and co operative working environment. leave policies are good. WFH policies,Poor management and leadership in QA domain. no career scope for QA.
29,,Pros and Cons,2022-03-05,4.0,Anonymous Employee,"Good mission of serving migrants, excellent and smart boss who cares about team","Old technology stack, not as customer focused as it needs to be."
30,,Corporate Environment,2022-03-03,1.0,Account Payable Specialist,Alternative career path which leads you to move in.,Totally toxic environment at which there were business ethic/
31,,Not the best,2022-02-28,3.0,WFM Real Time Analyst,"Decent salaries
Late-night transportation
Live insurance subsidy",Too Toxic place to develop a career
32,,Really love team,2022-02-27,5.0,Salesforce Developer,"as a Developer in this project, I have been involved and guiding and coaching with the best practices, and with any issue of SF implementation to all junior developers in my fellow offshoot team. Also I have suggested and guided best practices to my subject matter expert and product owners.","And the best part where I enjoyed the most, was the sceduling part, where we integrated the zoom into SF. So this SF platform can directly send the zoom link to their calendars, so they can join the video session. And as I said we had a very friendly team."
33,,Good Policies & Work Life Balance,2022-02-26,4.0,Anonymous Employee,Good Policies & Work Life Balance,compensation need to be improve.
34,,Good,2022-02-23,4.0,Bank Teller,Its good to have experience with public management. It helps you to talk to different people and solve their problems,The time schedule is not fixed and can be called at any hour of the day
35,,Overall,2022-02-23,4.0,Senior Customer Service Representative,Company listens to you and checks you monthly,Average pay for newcomers and newbies
36,,Review headline,2022-02-21,3.0,Data Analyst,"good working hours, good pay, supportive management","Need to adapt technology, too much useless compliance,"
37,,Not a bad place to work,2022-02-20,4.0,Regional Account Manager,"Nice pay, benefits and autonomy",Not sure how long their products will be relevant
38,,Best place to work,2022-02-20,5.0,Associate Manager,Good Work life balance and work culture,Nothing I can think about
39,,"“Unproductive"" Associate Managers"" In Pune Office”",2022-02-20,5.0,Senior Associate,"Good pay, Company policies (Don't fall for it I have regretted joining WU every single morning I woke up )","Associate Managers:
1.Are more active in social media the whole day and less active in work
2.Very poor in technical knowledge 
3.Have no idea what is happening within the team
4.Do certifications by copying from various websites and show the lead ship and stakeholders how smart they are"
40,,It’s the culture of the company that makes you stay,2022-02-19,4.0,Operational/Fraud Manager,"Culture
Career opportunities
Diversity
Opportunity to participate in various projects
Business Trips
Recognition system
Summer/winter festivals/celebrations","Compared to the market salaries are low or not high enough to keep the talents in the company.
Promotions are possible only if the openings are available, it’s not common to get promotion for high performance (by creating a relevant role within the function).
Work from any country policy available only 2 months per year (pron and a con depending on once needs)."
41,,Work life balance,2022-02-18,5.0,Associate,Everything is pro in Westernunion. One of the best product base companies in India,No such cons. Everything is pros.
