,company,headline,date,overall_rating,author_position,pros,cons
0,Wirecard,Good - Average,2022-04-06,3.0,QA Executive,"Good team members, friendly environment","Long hours, tired working, double work"
1,Wirecard,Good to work for,2022-03-31,5.0,Fraud Analyst,Great managers and good benefits,None. Enjoyable place to work
2,Wirecard,Awesome company,2022-03-23,5.0,Support Analyst,"*Great work culture and work life balance
* gives priority and importance to employees
* Great HR team
* good hike and bonuses",Nothing that I know of
3,Wirecard,Great culture bad management,2022-03-23,5.0,Sales,All good nice awesome leader,COO gone mia still on the run
4,Wirecard,Good hours,2022-03-22,3.0,Fraud Analyst,"Good hours. In early, out early. Fun work environment",Low pay. No raises given
5,Wirecard,Work cultural,2022-03-14,5.0,Business Continuity Manager,"amazing place to work with people across globe, friendly hr","no cons as such, just the company got bankrupt"
6,Wirecard,Unexpected turn of events,2022-03-13,1.0,Anonymous Employee,Was a considerably huge organisation,"well, it went down, totally unexpected"
7,Wirecard,Bhfh,2022-03-12,1.0,Business Development and Sales,The company was really Great,The company Went insolvent after fraud
8,Wirecard,Good,2022-03-06,2.0,Engineer,An average company so so.,Nothing really good or bad.
9,Wirecard,Good company,2022-02-28,3.0,Anonymous Employee,Good work life balance and less work pressure,Nothing specific but much scope for developers
10,Wirecard,Company that takes care of it's employees,2022-02-25,5.0,Information Security Engineer,"Flexibility
Open door culture
Trainings and industry examination funding
Health Insurances
Bonuses
Annual Medical Checkups
Overseas travelling",No cons in this company
11,Wirecard,Very moden and people centric company,2022-02-25,5.0,Application-Engineer,"Good managers, good salary and many opportunities for training",Honestly i couldn't find one for the time i was there
12,Wirecard,Good,2022-02-17,5.0,Quality Assurance,"Good environment, great experience, good teammates","Working overtime, little basic salary"
13,Wirecard,Good company,2022-02-10,4.0,QA Analyst,"Good salary, considering the country where the branch was",Some times the managers are rude
14,Wirecard,Sad story,2022-02-07,2.0,Procurement Manager,"Was a very positive workplace in my experience, although me interaction at the HQ was somewhat limited. I enjoyed working with the various department personnel as well as the established vendor relationships.","Unfortunately, the German parent company ceased operations due to bankruptcy as the result of mismanagement and illegalities (financial fraud). This took me by complete surprise, and I was sad to see it all come to an end."
15,Wirecard,Nice place to work,2022-01-28,4.0,Product Owner,Nice place to work for tech,Rapid changes in senior management decisions
16,Wirecard,Horrible company,2022-01-26,1.0,Sales,Some colleagues are great. Most colleagues are aweful.,"A lot, poor management, non sense process"
17,Wirecard,It was a great place of work,2022-01-25,5.0,Anonymous Employee,Company culture was great. Teamwork and company culture was amazing,As employees were not provided with important updates concerning the company.
18,Wirecard,Account Executive,2022-01-18,3.0,Account Executive,Convenience and good working location,Deal with different stakeholder in company
19,Wirecard,Project Manager,2022-01-16,2.0,Project Manager,Had a good Work Enviorment,Unfortunaly now defunct and bankrupt
20,Wirecard,Employee Centric,2022-01-10,5.0,Anonymous Employee,Once you are selected then manager and above hierarchy allows their team mate to take lead in tasks which builts confidence in any individual and it also helps them to grow.,In my experience I didn't see any downside.
21,Wirecard,Busy but warm,2021-12-30,5.0,Software Developer,People are super sweet and helpful. Great place to work.,"Old technology stack, complicated projects and code."
22,Wirecard,Great place to work,2021-12-28,4.0,Senior Lead Product Manager,"absolutely enjoyed working there.
alot to learn
flexible
young energy","lower salary Bands
politics 
too many people doing same jobs"
23,Wirecard,Review,2021-12-26,5.0,Anonymous Employee,Nice company and environment to work,Good management team and understand employees needs.
24,Wirecard,Lousy company,2021-12-21,1.0,Manager,Nothing good enough to be mentioned,"Over promise, under deliver ... fraudulent activity"
25,Wirecard,Normal,2021-12-15,3.0,Technical Lead,Overall good relationship with colleagues,Technical skill hard to improve
26,Wirecard,Regular,2021-12-09,1.0,Database Administrator,"work environment, parking place, nice office","salary not great, the company end"
27,Wirecard,good,2021-12-08,5.0,Consultant,good time work life balance,no growth in the company
28,Wirecard,Good Company,2021-11-29,4.0,Technical Support Engineer,My first job in Germany. I am happy to have joined Wirecard,Too much chaotic place. You dont know no one
29,Wirecard,Told you so...,2021-11-12,1.0,Senior Software Engineer,I don't work there any more,Do I really have to specify that?
30,Wirecard,Awesome Experience,2021-11-03,5.0,Anonymous Employee,there were more employee benefits,Company completely shut down within one day
31,Wirecard,Nice company to work,2021-10-25,5.0,Senior Java Developer,"Good team and Employee Benefits
WFH option",Collapsed due to senior leadership
32,Wirecard,handling day to day project activities,2021-10-22,4.0,Technical Project Manager,overall is good and nice place to work,no cons during work in there
33,Wirecard,Good enterprise,2021-10-16,5.0,Community Manager,Salary and conditions are the best ive seen,Doesnt exisit anymore sadly for us
34,Wirecard,Good until it falls,2021-10-11,2.0,Risk Manager,Tee team and colleagues were the best I worked with and a decent package also,"What to say, the company top management should have integrity else this will happen"
