,company,headline,date,overall_rating,author_position,pros,cons
0,Worldline,Fast-Paced company,2022-04-05,3.0,Hardware Validation Engineer,"- Decent salary package
- Good WLB",- Lack of transparency on high-level vision & strategy
1,Worldline,Friendly environment,2022-04-01,4.0,Anonymous Employee,"Friendly environment , better opportunities for learning",no benefits other than yearly hike
2,Worldline,Great Company to Work,2022-03-31,4.0,Senior Manager IT,"Best place to work, great culture, flexible timings and work life balance. Salary always on time. Freedom to do your job at your best. Reporting manager awesome!",Nothing to mention for Cons
3,Worldline,Good,2022-03-25,3.0,Test Engineer,Good team and very cooperative,Management is not that good
4,Worldline,Customer Communications Specialist,2022-03-24,5.0,Customer Communications Specialist,"Flex income benefits, Career growth",Complexity of typical large organisations
5,Worldline,Great company with poor leadership,2022-03-22,2.0,Anonymous Employee,Domain of work is very good. Great hold on the European and Global market.,Absolutely poor and direction-less executive leadership team (decision makers) in India
6,Worldline,Good Company,2022-03-22,2.0,Anonymous Employee,good office to work at,pressure place wokring over here
7,Worldline,A legacy company,2022-03-19,2.0,Head of Digital Transformation,"1. A flexible workspace.
2. Collaborative team","1. Legacy culture
2. Legacy management"
8,Worldline,Best place to work,2022-03-18,5.0,Senior Applications Manager,"Flexible
Work life balance 
Colleagues and managment corporation","Interdependent on other teams, department slow decision process"
9,Worldline,Pays well,2022-03-16,4.0,Anonymous Employee,Good opportunity for developers to enhance skills,"Low salary, too many tasks"
10,Worldline,Worst ever employer,2022-03-15,1.0,,"None.
no work life balance
no work culture
no HR to hear and solve your problems or issues
higher management is basically numb and deaf","All one can think of.
1. first of all, No HR 
     they have HR only for payroll and recruitment
     so nobody to listen to your issues at all
2. Poor Management
     if you approach management for solutions 
     they have one sentence - see yourself what you 
     can do, as of now we cam only advise you to 
     wait for solution from our side
3. Poor planning of projects and time lines
4. No employee health or work life care from management
5. Poor leaves and pay roll policies
6. Offices don't even have network, working Lan cables, cafeterias or vendors but management keep asking you to report to office anyhow"
11,Worldline,Average company with pros/cons,2022-03-15,3.0,Product Manager,"Job stability
Good intention from management team","Slow process
Not clear direction from management team
Lack of resource that makes it very hard to focus"
12,Worldline,Fragmented Business,2022-03-12,2.0,Project Manager,"Recently Renovated Office
Performance related bonus","Fragmented Business
Lack of opportunities
Behind the curve of more forward thinking employmers. 
High attrition rates"
13,Worldline,Good company,2022-03-12,3.0,Senior Software Engineer,Overcall is good company and good working culture.,Work life balance is not good.
14,Worldline,Compensation needs to be improved,2022-03-11,4.0,Senior Consultant,Lots of learning and good team,Low salary and ineffective HR team
15,Worldline,The best organization,2022-03-11,5.0,Anonymous Employee,"Environment, work life balance, opportunities ,learning, harmony",Nothing seen as of now
16,Worldline,Challeging day-to-day work in a multi cultural environment,2022-03-08,3.0,Head of Business Controlling,"Responsibility
Make difference for the company
Personal development","Processes and how they are implemented
Hierarchy"
17,Worldline,Good company to balance your personal and professional life,2022-03-08,3.0,Marketing Communications Manager,"remote work, balance your personal and professional life","low salary, no empowerment, it is difficult to develop your career"
18,Worldline,Overall a solid company,2022-03-07,3.0,Manager,"Flexible working conditions
Good team work
Good intentions to make improvements
Varied product and projects 
Great D&I programme
Global mobility","Lack of investment in new technology
Legacy systems
Remunication on low end
High intake of inexperienced staff"
19,Worldline,Job security,2022-03-07,5.0,Azure Devops Engineer,"Work life balance
Support projects
And Excellent international projects support","No learning scope
No production development"
20,Worldline,Pricing Manager,2022-03-07,4.0,Pricing Manager,"good company, a lot of benefits, competitive salary","a lot of changes, boss changes, structure changes, it is not a Dutch company anymore"
21,Worldline,Culture not great. Demanding clients with little support from management,2022-03-03,3.0,Customer Service Manager,"Flexible working
Good on-site facilities
Pension contributions matched
Cycle-to-Work and other flex benefits","Poor renumeration for the hours you will need to commit to
Management not very supportive
Many client escalations to manage. Often this will trickle down from mgmt"
22,Worldline,Nice,2022-03-03,4.0,Support Analyst,Good benefit and Good team members,"Working environment stress, but overall is ok"
23,Worldline,not a good company,2022-02-27,3.0,Anonymous Employee,people are nice to work with,general low salary payment compared with other companies
24,Worldline,Poor Management,2022-02-26,3.0,Senior Java Developer,"1- Goog Payment
2- in some project they use new thechnologies","1- Poor management style
2- Poor Planning"
25,Worldline,Good,2022-02-26,3.0,Anonymous Employee,Retain their employee at all situation,nothing as such to mention.
26,Worldline,Good,2022-02-24,2.0,Senior Linux Systems Administrator,Great place to have a good work,Lesser job security and Lesser availability or resources
27,Worldline,Great work culture and environment especially for fresh grad,2022-02-22,4.0,Software Engineer,"- Open minded office environment
- Offer training for fresh grad
- Optimal work load
- Good infrastructure for remote working
- Great starting pay","-Low increment
- very few benefits"
28,Worldline,Great but not so great,2022-02-21,4.0,Software Developer,"Awesome culture, great people, good coffee.",Very slow moving when it comes to tech
29,Worldline,Good to Work,2022-02-18,1.0,Software Engineer,It was good to work but have a hactic schedule there,"You have to work in nights and have to be available all the time, there is no work life balance."
30,Worldline,Good to work,2022-02-17,3.0,Anonymous Employee,"Company culture is good
Based on project you will get to learn new technologies",Pays less salary for existing employees
31,Worldline,Good company to work for,2022-02-16,4.0,Business Development Manager,"Friendly colleagues, allowing you to feel part of the team easily and quickly.
Very knowledgeable teams in both product and marketing
Wide range of product and service offerings","Quite a lot of admin work such as timesheets. I have never had to complete a timesheet in sales.
Lack of real on-boarding process"
32,Worldline,Good,2022-02-13,5.0,Consultant Testing,"Work Life Balance , Good Management",Salary is not as per IT standard.
33,Worldline,Great,2022-02-12,4.0,Lead Product Manager,Great office space and colleagues,Sometimes too much work also in weekends
34,Worldline,Good place,2022-02-11,4.0,Anonymous Employee,Overall good company to work,Can't think of any as of now
35,Worldline,Working as a project manager,2022-02-11,3.0,Project Manager,Good work culture good knowledge gaining,Extra time work need to do
36,Worldline,Good culture,2022-02-10,4.0,Global Account Manager,Human-sized company with good benefits,There are too many managements layers…
37,Worldline,Good for freshers,2022-02-08,4.0,Applications Developer,"1. Good environment.
2. Friendly peers.","1. Low compensation.
2. Internal politics."
38,Worldline,No the best place to be,2022-02-07,1.0,Analyst,"Diversity, international people, pretty stable compny","Awful management, don't care about the employees, company culture is oriented only on managers, so only they have perks and benefits"
39,Worldline,Good company,2022-02-04,4.0,Project Management,Lot new things you will learn,"Dont find any issues, very good company to work"
40,Worldline,Normal working place,2022-02-02,2.0,DevOps/Systems Administrator,Salary is paid on regular basis,Big corporate company with some corporate problems
41,Worldline,Good company,2022-01-28,4.0,Anonymous Employee,"Good working environment
Worlwide company
Multi-cultural environment",The salaries are not too high
42,Worldline,Sr software engineer,2022-01-28,5.0,Senior Software Engineer,Nice company. All are Indian client.,No cons. All good to work
43,Worldline,A good company to get early big responsibilities,2022-01-19,4.0,Account Manager,"Responsibilities
Experience
Good image on the market
Strong relation with customer
Large deal exposure","Sometimes hard to coordinate internally
Complex environment
Sometimes too French Culture
Package hard to negotiate"
44,Worldline,Salary,2022-01-18,3.0,Payment Specialist,"Bonus, good for starter, holiday allowance is included","Low salary, no scope to grow"
45,Worldline,Current Employee,2022-01-17,3.0,Anonymous Employee,"work-life balance, vision care, medical claims, parental leave, birthday leave etc.",a lot of plan retire employees and people there working attitude quite lazy.
46,Worldline,Big company,2022-01-17,3.0,Business Operations Manager,Good coverage of payment solutions,"Cons of a big company: too big, many consolidations programs following acquisitions"
47,Worldline,Feedback for Worldline,2022-01-16,3.0,Associate Consultant,Very good work culture in team,"not as such, good for new joinee"
48,Worldline,benefit,2022-01-15,5.0,Software Engineer,good work culture in the company,challenging tasks that help to grow
49,Worldline,Good company work,2022-01-14,4.0,Delivery Consultant,"Flexible working hours
Work life balance","Nothing as such
Focus on employee recognition"
50,Worldline,Management issue,2022-01-13,2.0,Junior Engineer,"Good salary, growing company,bonus and good for fresher",No job security and not a good place to learn new things if u r experienced. They want you to work like 6 days per week still u won't get any credit
51,Worldline,Fantastic Experience,2022-01-06,5.0,Anonymous Employee,"-Good work-life balance
- Excellent work culture",None I can think of.
52,Worldline,"Nice place to learn,",2021-12-31,4.0,Test Engineer,"- Can work with clients from Europe
- Good place to learn
- Friendly teammates",- Hikes could be better
53,Worldline,Good,2021-12-20,5.0,Senior Software Engineer,Nice place to work and good work cutler,I don't feel anything -ve
54,Worldline,Testing,2021-12-16,4.0,Software Tester,Good company and good staff with good enviornment,no cons for this company
55,Worldline,Nice workplace,2021-12-15,4.0,Anonymous Employee,Good company to work with,Not much to write about
56,Worldline,I have 2 year experience in reconciliation and mis,2021-12-15,5.0,Senior Officer,Good and friendly environment and also they taken games to entertainment to reduces employees stree,There are a challenge to improve process better
57,Worldline,Nice place to work and is at forefront of Payment related business,2021-12-10,5.0,Architect,Good place to gain payment business experience,None I could see so far for the company
58,Worldline,Good company to work with,2021-12-08,4.0,Business Analyst,Employee friendly company which is good,Being a new company still there are few challenges
