,company,headline,date,overall_rating,author_position,pros,cons
0,XL Dynamics,Fine,2022-04-07,2.0,Risk Associate,Good salary and pay hikes within half year,Management is a bit strict
1,XL Dynamics,"Nice Organization, happy to be part of it.",2022-04-07,5.0,Software Developer,"Technology Loving Company
Scope to learn new languages & technolgies
Very approachable and helpful management
Good Salary",I have not encountered any.
2,XL Dynamics,Worst work culture,2022-04-07,1.0,Associate Analyst,There are no pros available.,"1.Not at all employee friendly.
2.Very poor micro management. 
3.Irrelevant HR Policies.
4.No learning and progressing.
5. Frustrating work culture."
3,XL Dynamics,I had the best time of my life working at XL Dynamics,2022-04-06,5.0,Financial Analyst,"Great working environment 
free lunch 
many perks",Strict hr policies are implemented
4,XL Dynamics,okay,2022-04-06,1.0,Analyst,nothing I can think of,"They don't pay you your salary according to the CTC. HR treats you like a crap no respect to people working from them, kinda treat employees like salves"
5,XL Dynamics,Good place to get an entry in the market,2022-04-05,3.0,Anonymous Employee,Good Salary and Scope for growth,Too many restrictions which will make you feel suffocated.
6,XL Dynamics,NA,2022-04-04,1.0,Financial Analyst,good salary for fresher and incentive,long working hours and night shift
7,XL Dynamics,Good,2022-04-04,3.0,Production Supervisor,Good to work for new learnings,Company have strict protocol while working on production floor
8,XL Dynamics,Nil,2022-04-02,1.0,Analyst,Whole e company is fake,All things are counted in cons
9,XL Dynamics,Good,2022-04-02,3.0,Associate Analyst,"Fixed shift timings
Salary package 
Growth",Work pressure is very high and company policy is very rigid.
10,XL Dynamics,Worst company,2022-03-31,1.0,Anonymous Employee,"Worst...
Management is not good
Cruel Hr","Worst
Bad environment
Laid off 
Brutal management"
11,XL Dynamics,They will ruin your career. I curse you Pavan Agarwal,2022-03-29,1.0,Financial Analyst,Good Compensation and nothing else,"No work life balance
Toxic work culture
HR thinks the company belongs to their Dads
They can kick you out any time with the most stupid reasons
I was part of a layoff. More than 200 employees were TERMINATED with a reason that they do not have 8 hours of activity on the system. The HR proudly said that we do not care about the 8 hours of production, only 8 hours of activity matters. This is soo poor practice."
12,XL Dynamics,Worst work environment and Useless work experience in finance domain,2022-03-29,1.0,Associate Financial Analyst,"Snacks, tea, coffee, 2 days off, fix working hours.","Useless work, no proper training, can not talk with anyone for 9 hrs, worst hire & fire policy, wrong salary show, pay less than what is mentioned in CTC (for 3.5 lac CTC they pay 12800 per month to fresher)"
13,XL Dynamics,Worst company to work for,2022-03-29,1.0,Financial Analyst,"Salary
Work from home
Technical support
Gifts
Night shift","Mental stress
Physical
No career growth
Bad management"
14,XL Dynamics,Mortgage statements,2022-03-27,4.0,Associate Analyst,"Salary on time all the time
Good compensation","Pressure while working on the new team.
Growth is far low
No work life balance"
15,XL Dynamics,Pathetic Organization,2022-03-26,1.0,Partner Development,No Pros in working for XL Dynamics,"Pathetic HUman Resources
Pathetic work environment
Pathetic Management"
16,XL Dynamics,XL dynamics deals in us mortgage,2022-03-25,3.0,Associate Analyst,"salary is good, breakfasts at table",Hectic work schedule. No future prospects
17,XL Dynamics,Not a good company,2022-03-24,1.0,Associate Analyst,The pay which this company offers is good.,"Environment is so pathetic.
No Job security.
Mental pressure."
18,XL Dynamics,Good Benefits,2022-03-24,5.0,Financial Analyst,Good Benefits for Financial Analyst role,Nothing that I can think of
19,XL Dynamics,Best in terms of salary,2022-03-23,4.0,Financial Analyst,"Best salary,Good superiors, Office environment","Repititive work
Positions notactually related to finance"
20,XL Dynamics,Healthy Organisation,2022-03-21,4.0,Associate Analyst,"Good management, Learning, Monetary and health benefits",Nothing as such for now
21,XL Dynamics,Good if you can work hard,2022-03-19,4.0,Financial Analyst,"good salary, good hike and no challenging work","over work, salary deduction on error"
22,XL Dynamics,Great In-house Growth Opportunity,2022-03-17,4.0,Associate Analyst,"Better pay scale, continuous growth.",Nothing as such if you are smart work oriented.
23,XL Dynamics,XLD maintains its Career Management Model to provide comprehensive control to employees to decide their career growth. X,2022-03-17,5.0,Team Leader,XLD maintains its Career Management Model to provide comprehensive control to employees to decide their career growth. XL Dynamics strongly advocates “No Politics” at the workplace.,"Lot of stress
This is cons"
24,XL Dynamics,Associate,2022-03-16,3.0,Associate,well reputed organisation to work with,no problem till now. As far good
25,XL Dynamics,Good company,2022-03-14,4.0,Analyst,"-Opportunity for freshers
-Competitive pay
-Team work",-Culture could be more friendly
26,XL Dynamics,Financial Analyst,2022-03-13,1.0,Anonymous Employee,"Good Training Program, learning process is cooperative.","Low salary, less of analysis work more of a manual role"
27,XL Dynamics,Peacefully talking,2022-03-10,5.0,Picker/Packer,Friendly people and helpfully managers,Talking nice understanding supervisor and manager
28,XL Dynamics,"If you want to experience worst company culture,join XL Dynamics",2022-03-10,1.0,Analyst,No pros to write so leaving this area blank,"Absolutely worst culture.
Doesn't respect it's employees and treats them like school or college students.
Exploiting fresher's which is really bad, this is not the way, you  build careers
You are making a first job experience worse for them.
You  build a company by building people not by detiorating them."
29,XL Dynamics,Sound able pay structure,2022-03-10,4.0,Associate Analyst,"Good pay
Benefits policy
Earnings are moreover based on the performance of an individual","Work-Life balance - Due to some work policy there is the pressure while working and after that too, that is very strict"
