,company,headline,date,overall_rating,author_position,pros,cons
0,Zenith Bank,Good place to start,2022-04-08,3.0,Business Development Manager,Good Job security. Diverse workforce.,"very slow career growth, possibility of getting to the top is currently impossible."
1,Zenith Bank,Good organisational culture,2022-04-07,3.0,Operations,"Good brand, amiable colleague and good team leads",Poor remuneration and stifled growth
2,Zenith Bank,Zenith bank job,2022-04-07,3.0,Funds Transfer Officer,It is a old and solid bank,Slow and does not give room for growth
3,Zenith Bank,Good organization,2022-03-30,4.0,Anonymous Employee,Good place to work and friendly colleagues,promotion is slow and would prefer more training
4,Zenith Bank,Awesome,2022-03-30,5.0,Customer Service Representative,"Career development 
Conducive work environment 
Great vision","Remuneration ,Staff welfare, Hierarchical issue"
5,Zenith Bank,Five star,2022-03-27,5.0,Senior Internal Auditor,Good organization to work with for growth and career advancement,No cons as Zenith Bank is a wonderful organization
6,Zenith Bank,Zenith,2022-03-26,5.0,Anonymous Employee,Suitable environment for growth and development,You can be subdued to overwhelming pressure
7,Zenith Bank,Great place to work,2022-03-26,4.0,IT Business Analyst,They have a decentralised organizational hierarchy,"Improve salaries 
stop contract staffing"
8,Zenith Bank,Job Review,2022-03-25,3.0,Customer Service,Job security is guaranteed when you work there.,"Delayed promotion, especially for non-marketing staff."
9,Zenith Bank,Zenith Bank review,2022-03-24,4.0,Head Of Operations,You get all the necessary trainings and experience you need to excel in the Banking industry.,Growth is very slow for operations staff
10,Zenith Bank,Not the best,2022-03-23,3.0,Graduate Assistant,"Job security and brand reputation,",Laid Back in today's world
11,Zenith Bank,Na,2022-03-20,4.0,Learning And Development Specialist,Sure of your salary at the months end,None I can think of
12,Zenith Bank,Company review,2022-03-16,5.0,Relationship Manager,Good place for career growth,Compensation for low level employee is poor
13,Zenith Bank,NA,2022-03-16,3.0,Head Of Operations,Can't say much about them.,"It wasn't enjoyable, staff welfare is poor. There's no appeal line when you're queried for any offense. They always have the final say whether you are innocent or not it doesn't concern them."
14,Zenith Bank,great bank,2022-03-16,5.0,Assistant Banking Officer,"good working environment
great customer service","long working hours
high financial target"
15,Zenith Bank,Zenith is a leading financial institution when it comes to banking in Nigeria and Africa at large.,2022-03-15,3.0,Human Resources Manager,No delays in payments of salaries,Staff welfare is very necessary
16,Zenith Bank,Good company to start your banking career,2022-03-15,3.0,Financial Representative,"Nice work environment 
Meeting and interacting with customers everyday 
Decent pay that is paid on time given the Nigerian culture to owe salaries","Nepotism and favoritism
Eye service culture 
The fact that you are not matched according to your skill but whatever they feel like. You would see lawyers being thrown into marketing"
17,Zenith Bank,Review,2022-03-15,4.0,Operations Staff,Global Brand with a great platform,Slow Growth Rate for junior Staff
18,Zenith Bank,Relationship Management,2022-03-14,4.0,Business Development,Fantastic work culture and ethics,"Poor work life balance.
Unreasonable targets for the sales team"
19,Zenith Bank,2 years working at zenith,2022-03-10,3.0,Security Engineer,Hands on experience. Good and nice people,Poor welfare and slow growth
20,Zenith Bank,Customer service representative,2022-03-10,4.0,Accountant,Great environment to work in,More vacation time should be available
21,Zenith Bank,Zenith Bank Review,2022-03-08,3.0,Relationship Manager,The bank had a great brand name.,No clear cut criteria for getting promotions on the job
22,Zenith Bank,Good,2022-03-08,4.0,Operations Associate,"Job security, awesome colleagues, average pay",it is not so flexible
23,Zenith Bank,Full staff,2022-03-07,3.0,Funds Transfer,Nice place to work for a start,Very poor welfare and slow career growth
24,Zenith Bank,Financial Transaction officer,2022-03-07,3.0,Operations,Used to have top talents that are admirable,Staff are overworked with little hope of career progression.
25,Zenith Bank,great,2022-03-05,3.0,Anonymous Employee,Its a very great place,demands a lot so a great opportunity to learn more too
26,Zenith Bank,Working,2022-03-03,3.0,Senior Software Engineer,"Very friendly co-workers.
Prompt payment of salaries.",Lack of work life balance.
27,Zenith Bank,N/A,2022-03-03,2.0,Anonymous Employee,Good place to be in,Salary and growth is poor
28,Zenith Bank,Staff welfare is ridiculous,2022-03-03,2.0,Customer Service Representative,"Enjoyed working with my colleagues, brand visibility",Terrible pay! No motivation. Poor staff welfare. No opportunity for growth
29,Zenith Bank,"Caring and genuine personality, takes front line ownership and love to see people happy",2022-03-01,5.0,Customer Service Representative,"Honesty, caring and dedicated to service.",Inability to say no sometimes when it comes to putting people's needs before mine.
30,Zenith Bank,Nice environment for growth and development,2022-02-28,5.0,Customer Service,Nice place to work in,Everything was ok for me
31,Zenith Bank,Good reputation,2022-02-24,3.0,Information Technology,Good reputation in the industry,No clear cut growth plan for young staff
32,Zenith Bank,"Assertive, meticulous, and analytical professional with excellent banking and relationship management skills.",2022-02-20,5.0,Customer Relationship Manager,Zenith Bank is customer centric which focuses on creating the best experience for customers,Still new in the system.I would be able to speak better to this in the future.
33,Zenith Bank,Review,2022-02-20,1.0,Funds Transfer Officer,"Company Brand name is the only pro. 
You may be lucky to meet good people while working here.",Very very Slow career growth
34,Zenith Bank,Solid,2022-02-19,5.0,Personal Banker,Best customer focused bank in Nigeria,Not UK in Nigeria as I am
35,Zenith Bank,Experience,2022-02-17,5.0,Account Executive Trainee,Good brand image and culture,Poor salary structure for lower staff
36,Zenith Bank,2 years experience,2022-02-16,1.0,Executive Trainee,working in a dynamic environment and facing targets and challenges that demands you give your best,lack of employee personal and professional growth mindset. unrealistic targets and appraisal methods. Slow promotion and poor renumeration
37,Zenith Bank,Adequate,2022-02-12,4.0,Sales Associate/Cashier,It’s lovely and nice company,Long hours and inflexible times
38,Zenith Bank,Job Review,2022-02-12,4.0,Network Engineer,"Access to Prime Technology
Membership of a global brand","No work life balance
Career development is stunted"
39,Zenith Bank,Nil,2022-02-10,2.0,Retail Representative,You learn on the job,Too much pressure to meet targets
40,Zenith Bank,okay,2022-02-09,4.0,Customer Service Supervisor,"stability ,integrity,  technology ,good staffs","uncertainity of promotions ,long hours of work"
41,Zenith Bank,Beautiful people and nice place,2022-02-08,5.0,Qualified Trainee,Beautiful people and all the other,None there really good people
42,Zenith Bank,Okay,2022-02-08,4.0,Banker,It's a nice place to work.,High salary gap between higher and lower level staff
43,Zenith Bank,Career,2022-02-08,4.0,Information Security Officer,there is room for career growth,none at the moment .
