,company,headline,date,overall_rating,author_position,pros,cons
0,Agoda,Pay gap and no career progression,2022-04-08,1.0,Market Manager,Good stepping stone to further your career,"Huge pay gaps between people doing the same role. No clear career progression opportunities, almost deliberately masked. Decisions were made in Bangkok and rolled out globally without any consideration for local market conditions or positioning, local market managers then bore the backlash from partners with limited control and sometimes limited knowledge of what was happening."
1,Agoda,Travel Company,2022-04-08,4.0,Connectivity Coordinator,You get discounts for hotels stays,Their system needs an upgrade
2,Agoda,Not bad,2022-04-08,4.0,Accommodation Service,"Payment is not bad in the H&T industry
Co-workers are nice",A bit stressful since they check your KPI weekly and make ranking
3,Agoda,Good  company to work with,2022-04-07,4.0,Market Manager,Helpful colleagues and supportive team leaders makes the job so much better. Employee benefit & welfare is well taken care of.,"Fast changing, rush deadlines & high kpis but country director has no direction & lacking of leadership."
4,Agoda,Good,2022-04-07,5.0,Software Engineer,"It was good working at Agoda, good people, Good culture",There are no cons I can think of
5,Agoda,A Company with Full of Learning,2022-04-07,3.0,Senior Market Manager,"L&D Department
Freedom
Network & Reach
Cash & Data Rich company","Selfness
Boundries 
Less Trust in team"
6,Agoda,Good place to learn and grow further in your career,2022-04-06,5.0,Senior Area Manager,"Agoda knows how to take care of its employees. Right from money/salaries to celebrations to compliances to regular feedback surveys, Agoda is right up there with the best in class. 
Experimentation and data focus culture of Agoda help employees in becoming more data driven.
Global operations provide a good opportunity to gain international experience.","Work life balance is not too good. May be work from home has added a bit to it.
Things move a little slow at times majorly due to global operations/teams.
A little more than required focus on presentations."
7,Agoda,Good,2022-04-06,4.0,Associate Director,Lots of ownership and independence to make decisions,Travel sector is slower since covid
8,Agoda,good company to work at,2022-04-05,5.0,Customer Service Experience,good teamwork in the company and transparent reviews from managers with clear goals of the company,working hours as well as offdays
9,Agoda,Great company for 'Doers',2022-04-05,5.0,Talent Acquisition Lead,"No micromanagement
Ability to make meaningful change
good balance between structure, and freedom",Definitely not a place for more 'administrative' types
10,Agoda,A great place to grow,2022-04-04,4.0,Learning & Development,Professional  environment to work. Great career path. Friendly colleagues. The company really cares about their employees. Lots of fringe benefits. Fast-paced. Inclusive. Great culture.,Sometimes the company moves too fast so might be stressed sometimes with the workload if peak season
11,Agoda,Encouraging people development,2022-04-04,5.0,Senior Real Time Specialist,Agoda is a fast-growing company that pursues intelligent business solution. Agoda also encourages its own people to grow and be more intelligent in tacking problems.,nothing specifically at the moment
12,Agoda,A good tech company to kick off your career,2022-04-04,5.0,Senior Analyst,They offer a solid series of trainings for newbies,you must have a good manager to get used to everything here at Agoda
13,Agoda,Great company,2022-04-02,5.0,Customer Experience Specialist,"Agoda really does take care of the employees, and provides lots of benefits. Have positive work culture and environment. All colleagues are supportive and helpful.","None so far, great company but very stressful job."
14,Agoda,This company takes care the employee,2022-04-01,5.0,Staff Software Engineer,"- Very international and diverse company.
- A lot of challenges and things to learn.
- Performance objectively measured.
- Very data-driven company. Everything can be measured using experiments (even bugs).",The compensation is comparatively low compared to the other Global OTA players.
15,Agoda,Good salary but inflexible working hours,2022-04-01,4.0,Customer Experience Specialist,"-Good benefits and incentives
-Seasonal bonus","-Work environment 
-Strict procedures
-Inexperience management"
16,Agoda,Overall a good company,2022-03-31,5.0,Customer Experience Specialist,"Many perks and can claim a lot of expenses type
People oriented
Good pay even for fresh grad","Shift working hour
High stress level"
17,Agoda,Old position's name is Project Coordinator.,2022-03-31,5.0,Project Associate,"1. Work in multi cultural environment.
2. Provide good benefits.
3. Have work-life-balance.",There is nothing for me.
18,Agoda,good place to work,2022-03-31,5.0,"Senior Analyst, Legal Operations",workplace respect and move fast environment.,"would say the move fast environment, have to move on quickly and adjust yourself."
19,Agoda,Professional OTA company,2022-03-31,5.0,Staff Software Engineer,"- Always open for new technology
- Employee welfare",- Quite hard to growth here
20,Agoda,Micromanagement on steroids,2022-03-29,2.0,Senior Market Manager,"Colleagues, healthcare, and other perks","Leadership struggles to be relevant, many of them don't even know how to do basic tasks, instead, they just micromanage you to death."
21,Agoda,Good,2022-03-29,5.0,Product Marketing Manager,treat everyone equally and well,nothing to much complaint about
22,Agoda,GOOD COMPANY TO WORK,2022-03-27,5.0,Accommodation Services Specialist,Work life balance is assured,Benefit is plenty to enjoy
23,Agoda,Good Overall Thailand based company,2022-03-26,5.0,Software Engineer,"Competitive salary, good environment, good manager","Sometimes not enough snacks, not much relax/private space"
24,Agoda,very good,2022-03-25,5.0,Software Engineer,very good very good very good very good,nothing nothing nothing nothing nothing
25,Agoda,A good place to earn money with fresh graduate holder,2022-03-25,3.0,Customer Service Representative,"Young energetic team, a good place to earn money if you have goal. good place to evaluate yourself in terms of emotional, service skills and etc..",worst leader and politics management
26,Agoda,Good company,2022-03-24,5.0,Customer Service Teammate,Good working culture and good company.,"All good, nothing bad at all."
27,Agoda,Good Team Atmosphere,2022-03-24,5.0,Customer Experience Specialist,"Good team atmosphere, supportive manager, good employee benefits",no downside so far then
28,Agoda,Good company,2022-03-21,5.0,Customer Service,agoda cares for their employees a lot. there are many opportunities you can build here.,"favoritism from the seniors. they dont really like newbies that much and we need to stop this culture. growth needs huge support, and they need to offer that to the new comers."
29,Agoda,Very reasonable company,2022-03-20,5.0,Senior Partner Development Specialist,"-Work from home 
-Very good co-workers including seniors 
-My suggestions & opinions are well heard
-Values ideas and suggestions 
-Quite good compensations (monetary) 
-Make sure employee grows in the company","-Localization is slow & almost impossible due to its size 
-Products does not suit local situations
-Low employee benefit compared to competitors (non-monetary)"
30,Agoda,Customer Support Specialist,2022-03-19,3.0,Customer Support Specialist,Agoda provide many benefits to staff and events,It can be a stressful environment in call center
31,Agoda,The best,2022-03-19,5.0,CX Specialist,Best place to work and grow,I feel there is nothing
32,Agoda,Challenging rote work,2022-03-18,3.0,Customer Service Representative,Learn how to manage and adapt to fast paced work and sudden procedural changes,"Extremely high demands and touchpoints, must ask for permission to go toilet during work hours (you are generally not allowed to leVe your seat) and constantly being monitored"
33,Agoda,Fast moving company with lots of learning opportunities,2022-03-18,4.0,Anonymous Employee,A very diverse company allowing you to have a taste of expat life in a relative low cost of living city,Average work life balance as the business is constantly expanding with limited resources within the team.
34,Agoda,Great place to learn and grow,2022-03-18,5.0,Principal Product Manager,"Never a dull moment. Work is data centric, and analytical. Everyone is very smart and driven. Things get done, and failure is accepted. Pushes employees outside of their comfort zone. I have learned a lot, and continue learning on the job. Good overall work life balance.","Fast paced work environment is not for everyone. Very little processes, and employees have to rely on their own ingenuity and go-getter attitude to get things done."
35,Agoda,Awesome culture,2022-03-18,5.0,Senior Software Engineer,"- Great work culture.
- Learning
- Opportunity to work on complex projects.
- Everyone is always ready to help you.",Salary bracket is not competitive compare to top product companies.
36,Agoda,Great company for people who are looking to stay on the learning curve,2022-03-18,5.0,Director of Product,"Startup culture, very advanced on experimentation and data, things are constantly moving and management actively try to keep people in places where they can learn and evolve.","If you're the type who wants to feel comfortably numb, it's not the place for you."
37,Agoda,Good,2022-03-17,5.0,Customer Experience Specialist,Positive environment with great benefits,Stressful in handling customer but nothing you can do
38,Agoda,Nice company,2022-03-16,5.0,Customer Service Representative,Was a great experience at agoda,I didn't feel any cons
39,Agoda,Great place to work in,2022-03-16,5.0,Manager,"Good culture, takes care of employees well",COVID-19 was just difficult for travel industry in general
40,Agoda,A company who cares about their employee,2022-03-16,5.0,Customer Experience Specialist,"- Very good benefit (even cover courses and sports-related matter)
- Huge salary for a fresh graduate
- Kind colleagues and managers",- Error in their systems occurs frequently
41,Agoda,Company review,2022-03-16,4.0,Customer Service Representative,"Good company environment 
Effective company Culture",Stressful on your performance with comparing with your teammates
42,Agoda,Nice company overall,2022-03-15,4.0,Language Specialist,"Nice and friendly people, people supporting you",Pay is a bit low
43,Agoda,Amazing culture and work/life balance,2022-03-15,5.0,Senior Product Manager,"- Fast-paced 
- Cutting-edge Tech
- Driving impact
- Culture","Departments work in silos and make collaboration inefficient. 
Wrong manager - Wrong experience"
44,Agoda,Great Tech Company,2022-03-14,5.0,Engineering Manager,"Salary, Challenging Projects, Tech Stack, 
Yearly Bonus","Legacy Apps
Unnecessary Complexity in Architecture 
KPI Culture"
45,Agoda,Good place to work,2022-03-14,5.0,Software Engineer,"- Nice and smart people around you. Strong ownership culture.
- Competitive local salary.
- Uses Scala in backend, thus a plus for Scala lovers.
- Full WFH in covid period.
- Flexible work hours when WFH. Very good work life balance.","- Uses moderate amount of internal tools.
- Don't have a concrete goal or motivation to improve oneself as an engineer. You have to allocate yourself a time for that.
- As an engineer, your skills more or less contribute to your salary. Although, it definitely will in the last minute when you try moving out to another company."
46,Agoda,Good Technology Stack and Working Environment  But getting Bad in Salaries,2022-03-12,3.0,Software Engineer,"Good Technology Stack 
Working Environment
Super Hardworking People","Poor Increments
Alot of Salary difference between people of same rank and skill
A lot of Work but still good work life environment"
47,Agoda,Good work life balance,2022-03-11,4.0,Data Analyst,"Clear goals, nice colleagues, travel industry and Thailand was fun",Product is not innovative and take lots of tests to launch a new feature
48,Agoda,Customer Experience Specialist,2022-03-10,5.0,Customer Experience Specialist,great benefits and working culture,"meal time changes everyday, must follow schedule"
49,Agoda,Days in Agoda,2022-03-08,4.0,Customer Experience Specialist,"- Great learning opportunities
- Able to work with people from all of the world",- Can be quite stress at times due to high volume of calls
50,Agoda,Fantastic,2022-03-05,5.0,Market Manager,Team. Work and culture amazing,No cons no cons no cons
51,Agoda,Amazing company,2022-03-03,5.0,Fraud Prevention Specialist,"Care for employee, Everybody was treated equal, so many opportunity to grow and develop your skill, Performance based.",I need to keep myself well updated to change which is happen really fast
52,Agoda,Pay is higher than market,2022-03-03,4.0,Customer Experience Specialist,"Pay is relatively higher than market
wfh allowance",Not good for body health
53,Agoda,Good,2022-03-02,5.0,Customer Service Representative,Good So far nothing wrong,Nothing to change Keep up
54,Agoda,Competitive fast-paced environment,2022-03-01,4.0,Senior Software Engineer,"Good place if you're looking for strong engineering culture, fast-moving environment. Competitive salary compare to what local market has to offer.","Depending on the project, some time working across team is a bit tedious"
55,Agoda,Take a pass,2022-03-01,2.0,Anonymous Employee,Good salary and bonus for expat professionals,"Amateur-hour leadership, atrocious ethics (none), generally poor standards for professionals and managers"
56,Agoda,Good work life balance,2022-02-28,4.0,Senior Data Analyst,"Good work life balance 
Smart people around you",Payment Bonus and development space
57,Agoda,Good company,2022-02-27,4.0,Customer Experience Specialist,nice benefit and system in the company so professional,mostly hard complaint customer regarding cannot get the room
58,Agoda,Good,2022-02-27,5.0,Customer Service Representative,Its a shift job job,Everything else is good good
59,Agoda,Micro management at it's best,2022-02-26,2.0,Senior Market Manager,"Great colleagues
Many positions had the opportunity to be remotely based. 
In normal times, travel was flexible.","Management was forever changing goals, micro-managing your every move and awarding 'points' as if you were children playing a game."
60,Agoda,Still the greatest IT company to work for in Thailand,2022-02-26,5.0,Software Engineer,"- Smart teammate
- Work-life balance","- A lot of tech debt
- Some technologies is kinda old"
61,Agoda,Part time,2022-02-24,5.0,Anonymous Employee,"Good team communication
Helpful co-workers
Good benefits
Macbook",Cant comment on it since havent been working for long
62,Agoda,Great working environment,2022-02-24,5.0,Senior Software Engineer,There are a lot of smart folks that can help you learn and grow quicker,On call depending on teams
63,Agoda,Backstabbing,2022-02-22,4.0,Senior Manager,"Awesome people, great location, best data system I encountered in very long time",In high level extreme politics - constantly trying to backstab going over careers of others (if not under their command)
64,Agoda,Not too bad,2022-02-22,4.0,Anonymous Employee,The benefits are somewhat great.,Robotic management for the site I worked with
65,Agoda,Call center,2022-02-22,5.0,Customer Experience Specialist,Great work environment and high benefits,There is nothing I would like to complain.
66,Agoda,Good benefits,2022-02-20,5.0,Senior Finance Analyst,Good employee benefits in The region,Endless working hours. Very tired
67,Agoda,Good place to work,2022-02-19,5.0,Accommodation Service Specialist,"Company environment is welcoming and supportive, good salary and benefits, outings and rewards.",Smaller opportunity to grow from within the company
68,Agoda,Great,2022-02-17,5.0,Partner Development Manager,Good HR process values employees,Inter department communication lacking across large org
69,Agoda,between partners and company,2022-02-16,5.0,Accommodation Service Specialist,good pay n good facilities,shift rotating and tiring. need rest
70,Agoda,Bad manager,2022-02-16,1.0,Anonymous Employee,"- Inhouse technology
- Good engineers","- Bad management
- Bad onboarding"
71,Agoda,Salary not bad,2022-02-16,4.0,Customer Care,Salary not bad colleagues are smart and nice,Nothing nothing for me to raise
72,Agoda,Company Life,2022-02-15,4.0,Technical Recruiter,The company very well supports their employees. There are so many good perks and benefits.,"However, job security is uncertain as they relay off employees many times."
73,Agoda,Best place to work in Thailand,2022-02-15,5.0,Anonymous Employee,The best international place to work in Bangkok,None that I can remember of
74,Agoda,Empty promises,2022-02-15,2.0,Anonymous Employee,"Nice people, friendly interview procedure and fast offer",The promised one-month training was reduced to 10 days and we were thrown in for the high holiday season as newbies without any experience.
75,Agoda,Design team can improve,2022-02-14,1.0,Senior Designer,"The business team is good
Data-driven company","PM driven design culture.
Only white people get promoted on the design team. 
The design team only pushes pixels. PMs influence design 
Work like an agency"
76,Agoda,Fun place if youre in the right team,2022-02-14,4.0,Data Analyst,"Challenging work, massive scale, good data infrastructure.",Confusing pace and maturity of company may not be enticing for people used to rapid velocity
77,Agoda,Great company,2022-02-14,5.0,Customer Service Representative,- Great benefits and compensation,- Nothing to say for now
78,Agoda,Great opportunity to grow,2022-02-14,4.0,Assistant Project Manager,"- Nice colleagues
- Good firnge benefit
- Nice office","- Stressed
- You need to be quick, learn fast and always be ajust to new knowledge coming in the future at all time."
79,Agoda,good,2022-02-13,4.0,Customer Service Specialist,"high salary, more flexible, good environment",need to work on public holiday
80,Agoda,Vacancies,2022-02-12,3.0,Account Manager,Account manager positions in travel industry,Due to covid now more difficult!
81,Agoda,Great company to start,2022-02-10,5.0,Customer Experience Specialist,Higher salary than majority of the companies. Loads of benefits. Employee’s wellness well taken care of. Promising career growth!,"Work in rotating shift, thats all."
82,Agoda,poor middle management,2022-02-10,1.0,Senior Analyst,"Agoda is headquartered in Bangkok, this is a great city to live in","highly political environment, with petty middle managers and considerable amounts of infighting. Not a fun experience, high turnover."
83,Agoda,Great Place to Grow,2022-02-09,5.0,Associate Director,"Excellent Culture 
Flat Org 
Stretch Projects 
Good Comp","Can be quite fast paced, if you come from more traditional company you may struggle here. If you come from a tech company you will thrive"
84,Agoda,Good work culture,2022-02-08,5.0,Software Engineer,"- Culture is good
- Provide bonus
- Opportunity for learning and growth",- Decision changes sometimes without proper plan
85,Agoda,Not too shabby,2022-02-08,4.0,Customer Experience Specialist,Good basic salary plus allowances,"Rotational shift work, shift can vary from 7am-4pm to 5pm-2am"
86,Agoda,Working environment,2022-02-07,4.0,Customer Service,Working in a great great environment,The air conditioning sometimes is too cold
87,Agoda,Good Company,2022-02-06,5.0,Anonymous Employee,"Love the company, training and benefits provided and payment received",Have to be able working in fast pace environment and work under pressure but if you have the spirit you can nailed it
88,Agoda,Good pay,2022-02-06,3.0,Customer Service Representative,"Good pay for entry level candidate, especially fresh grads",Forget the possibility of climbing the corporate ladder
