,company,headline,date,overall_rating,author_position,pros,cons
0,Allstream,Good place to work,2022-04-08,5.0,Manager,"Visionary and committed senior management
Broad product set
Competent, motivated employees
Collaboration in and between functional teams","Some aspects of comp plan
Some processes"
1,Allstream,Decent company,2022-02-02,3.0,Sales,Great People to work with,Leadership was going in every direction
2,Allstream,Lost hope,2021-12-29,2.0,Anonymous Employee,Extreamly hard to be fired. Pro for bad employees but aweful for everyone else,Company has made questionable after questionable decisions that have driven customers away and shows no sign of positive growth. Seems to soon be rolled back under zayo or sold off
3,Allstream,Don't work here,2021-12-13,2.0,Enterprise Sales Executive,Benefits are not bad. Compensation is average.,Management hires friends not based on merit but based on relationship. No promoting from within.
4,Allstream,Focused on customer,2021-11-03,4.0,Anonymous Employee,Dedicated employees that care about the customer.,At the time Zayo the parent company cast a shadow over all decision-making.
5,Allstream,Good company to work,2021-07-13,4.0,Senior Account Executive,"Agility, pricing flexibility , good offer , very competitive in regards to voice servic",Product portfolio focus only on voice
6,Allstream,Work life balance,2021-06-24,3.0,Financial Analyst,work life balance is good,yearly increase hard to come by
7,Allstream,Not a healthy place to work,2021-04-09,1.0,Customer Service,There is a new challenge everyday,An extremely fractured org structure
8,Allstream,Great company I just started working at less than 1 year ago,2021-04-07,4.0,Senior Account Executive,Good compensation. Great team atmosphere. Employee centric and customer centric,Small markets which require extensive prospecting.
9,Allstream,A great place to work.,2021-04-06,5.0,UC Remote Technician,"Good benefits, fantastic team, and a good product set.","Pay could be higher, based on the industry."
10,Allstream,Lots of changes,2021-04-02,4.0,Information Technology,People are great. Benefits are decent.,There has been a lot of change as a result of merger activities.
11,Allstream,Very happy with this job,2021-03-31,4.0,Business Development Associate,Great co-workers and great management team,"Our team is still fairly new, so many strategies still need to be shaken out, but they are always continuing to develop our skills."
12,Allstream,Not good place to work,2021-03-20,1.0,Analyst,Can not think of any pros,"Bad company culture, worst benefits."
13,Allstream,Okay place to work,2021-02-21,4.0,Pre-Sales Engineer,"Seasoned & professional workforce.
Excellent customer service.","Revolving management door
Salaries below industry norm"
14,Allstream,Quality,2021-02-03,3.0,Senior Manager,Excellent job opportunities for new ataff,Bad management by mid level managers
15,Allstream,The company is changing for the better,2021-01-21,5.0,Pre-Sales Engineer,Senior leadership is focused to making the company better. Great work life balance.,Nothing that I can think of
16,Allstream,Good company,2021-01-15,4.0,Director Sales,"Culture, Network and Leadership is strong","Lots of change, new owners 2019"
17,Allstream,It's all right,2021-01-15,3.0,Account Executive,"Good people, good pay. Overall are working to get better.","Lack of name recognition, lack of resources, unrealistic quotas during a pandemic."
18,Allstream,Underpaid and over worked,2021-01-15,2.0,DevOps Cloud Engineer,"Great employees 
flexibilty of hours and worklife balance","poor pay
expensive benefits
weak bonus structure
long wait between pay increases"
19,Allstream,Things Need To Change,2020-12-31,2.0,Solution Sales Specialist,Great culture. Innovative solutions. Embraced remote working many years ago.,Cannot deliver their solutions. Company is losing money. Senior Management vision was not clear.
20,Allstream,Great people on a mission,2020-12-21,5.0,Anonymous Employee,A company with high integrity and a dedicated workforce in the midst of transforming its business.,There is a lot of opportunity but it comes with high expectations.  Not a place to sit back and relax.  Be ready to work.
21,Allstream,Great culture and moving in the right direction,2020-12-21,5.0,Director,"- Focused Sr. Leadership 
- Marketing is updated our branding messaging
- Programs and Campaigns are on track for maximum success
- Great culture and fun atmosphere",Market Share is low - but team is working hard to make that happen.
22,Allstream,People and Client focused organization,2020-12-21,5.0,Anonymous Employee,They truly care about their people and clients and its ingrained into their DNA.,"minor things, like all companies."
23,Allstream,People are nice and good strategy,2020-12-21,4.0,Anonymous Employee,A good mid size company with strong investors. company has a well thought out strategic plan and people work towards meeting these goals. Marketing team is really starting to use technology to help promote the brand. People here are genuinely nice.,Product offerings need to mature and be more advanced for today's market. A lot of recent changes have been disruptive - but things do appear to be getting back on track.
24,Allstream,Good company to work,2020-12-10,4.0,Engineer,"Good growth, excellent company to work for",politics within the higher management is not good
25,Allstream,Great culture great company,2020-11-27,5.0,Account Executive,"Flexible, employee culture amazing, remote, good pay","resources limited, training not great, market share, feedback, marketing resources"
26,Allstream,Good company with some ongoing challenges,2020-10-14,3.0,Sales,"Technology, Customer Care, Nimble, Very competent employees","In the US, Allstream is an unknown brand. Even former Integra (purchased by Allstream) customers still don't realize they're Allstream. Need more marketing and brand awareness, battling Ring Central, CenturyLink, 8x8, et. al. is an extreme challenge when nobody knows who you are."
27,Allstream,Rise of the Phoenix...,2020-10-13,4.0,Manager,"Was such a great company, with so many fantastic employees, and still felt small enough that everyone practically knew each other. You won’t find a better group of people working towards the same goal. The customer satisfaction stats speak for themselves. Hoping that this once mighty company will rise again!","There are many, and it starts at the top. Unfortunately, reduction and creating division seems to be their only agenda these past few years. So many missed opportunities, while the competition inherits the irreplaceable knowledge and talent. Hopefully it’s not too late because the potential is still there, for now."
28,Allstream,Great People & Very Customer-Centric,2020-10-08,5.0,Sales Training Manager,"The people are great. We are a ""team"", all of us supporting each other. Focused growth strategy. Strong leadership team who believe in the value of the employees.",There's a lot of work to do and sometimes not enough time. But we work together to get it done.
29,Allstream,Enterprise Customer Focus,2020-10-06,4.0,Senior Account Executive,"Fast Pace, New Tech, Commission Driven",Very large dominate competitor with brand recognition
30,Allstream,I built my career in Allstream and learned so many new technologies including SD-WAN and Cisco ACI,2020-09-15,4.0,Network Engineer ACI,Allstream used to provide ability to work remotely,Constant management changes and Layoffs
31,Allstream,Nice company culture,2020-08-24,4.0,Network Specialist,Nice company culture and coworker are very friendly,It would be better if there are more promotion opportunities
32,Allstream,.,2020-08-12,5.0,SDC Operation Manager,Great employees and managers eho care,No cons that come to mind
33,Allstream,Abrasive Culture and Mismanagement,2020-05-21,1.0,N/A,Individual contributors were great to work with,Management didn't understand or appear to care about employees
34,Allstream,Great place to work,2020-04-11,4.0,Telecommunications Engineer,Good Benefits package - Health Plan and Dental Plan were good.,"No ability to work from home. 
No Performance Bonuses"
35,Allstream,Glad I'm Gone!,2020-04-08,1.0,Remote Services Technician,Allstream  has no Pros!,Allstream management is a Con.  Human resources should be called In-human and uncaring resources! I's amazing how a person can spend years giving just to be turned away!
36,Allstream,Too much work with not enough employees,2020-01-10,3.0,Repair Technician,"decent pay, good manager, great people","not enough employees, too much churn"
37,Allstream,Good Experience,2019-11-26,3.0,Technical Specialist,Good people to work with. Comparable salary,work life balance not the best
38,Allstream,Executive Assistant,2019-10-25,3.0,Anonymous Employee,the people were nice to work with,some of the executive team was unbearable to be around
39,Allstream,Integra was a great company to work for.,2019-09-04,5.0,Converged Technology Field Engineer,"Good management, good pay.",No real cons to speak of. It was a good place to work and a lot of good people.
40,Allstream,Terrible company,2019-08-18,1.0,Telecommunications Technician,Salary was fair.  Good co-workers.,Incompetent managers. Upper level management absolutely incompetent. They ran a good company into the ground.
41,Allstream,a declining telco,2019-08-13,2.0,Human Resources,"- good cell tower and wires coverage across canada
- teleworking program
- some solid government accounts that are the only ones keeping it alive","- the company has been acquired a few times in just a few years with too much change and little integration
- not profitable - losing clients; no operating strengths"
42,Allstream,Love it,2019-08-13,1.0,Customer Service and Sales Representative,"Amazing atmosphere, great coworkers, great pay",Minimal hours available at certain times for casual employees
43,Allstream,Alright place to work,2019-07-16,3.0,Warehouse Clerk,Make lifetime friendships at this company,"No guidance, Random employees selected to be manager who have no prior experience"
44,Allstream,Fair,2019-07-09,4.0,Customer Service,There is a good team environment,"Unfortunately, layoffs are an ongoing issue"
45,Allstream,Allstream will eventually be a good place to work ...,2019-06-21,3.0,Major Account Manager,Voice and Phone System Experts,Very unstable - no team culture - cutthroat
46,Allstream,Sales,2019-06-20,2.0,Manager,good people to work with,inconsistent management in the senior level
47,Allstream,OK place to work,2019-05-22,3.0,Customer Service Representative,"Co-workers and good manager of department.  Business hours so no weekends or holidays, generous PTO program",Company liked to lay off people every quarter when sales did not meet their expectation which created over worked staffed in all departments.  No growth or room for advancement.
48,Allstream,IT Ops Mngr,2019-05-10,4.0,IT Operations Manager,Really enjoyed the staff working there.,company was in constant change and there was a regular fear that it would be sold and more staff layoffs would take place
49,Allstream,Director,2019-04-09,4.0,Anonymous Employee,Amazing people...culture is very important,owned by an American company so be weary
