,company,headline,date,overall_rating,author_position,pros,cons
0,AppDirect,Unclear Direction and Leadership,2021-12-02,2.0,Anonymous Employee,"AppDirect is a very flexible work from the home situation during covid and even before, depending on the manager. There are a few good people there and they put a lot of effort into building a virtual employee experience. Often we had local and global all hands.","- Leadership often changes GTM strategies, which feels like 3-4 times a year.
- Not truly a B2B enterprise software company, more of a software reseller trying to focus on the gross merchandise value (GMV)
- Equity interest is low in the secondary market as the company is no longer hyper-growth and is now in debt financing rounds.
- Top Talent and leadership have been leaving. Recruiting top talent is hard.
- Shifted hiring to less talented regions (not SF) and the quality of new hires is subpar.
- leaders that are left lack top tier tech experience and leadership
- No WFM or adjusted Covid benefits ( no more in-office snacks or meals)
- Still no 401K match- this is a 10 year + old company..."
1,AppDirect,Talk to Former Employees First,2021-11-09,2.0,Anonymous Employee,There are some good people throughout the company. There is also great diversity and inclusion throughout the company. The all hands meetings are informative and fun. Dan Saks is a great charismatic leader and leads a very informative podcast.,"The strategy changes often, causing very high turnover. There are also lots of leadership changes at AppDirect and AppSmart as the strategy changes almost monthly. The company tells a compelling story to hire employees in. So I highly suggest you do the research and talk to others on LinkedIn who recently left AppSmart or AppDirect to learn more about the culture and reasons for turnover before accepting a job here. AppSmart and AppDirect have very different cultures, even though they are both under the umbrella of AppDirect."
2,AppDirect,.,2021-03-21,5.0,Program Manager,Fun company to work at now,Management can be slow to make changes
3,AppDirect,Even unicorns have a few warts...,2021-02-15,3.0,Senior Marketing-Manager,Working relationship with Sales; Accountability; Autonomy; Work Life Balance; Dan Saks' charisma,"Ambiguous product roadmap; lacked insight, vision, and commitment to key verticals; infighting among marketing leadership"
4,AppDirect,Working at AppDirect,2021-01-19,5.0,AppDirector,Culture is incredible. You won’t find one person at AD that isn’t a respectful and kind individual.,"The product is truly ahead of its time. experience in tech won’t help you here - you learn something new everyday. This can be overwhelming for some, but everyone at the company is extremely intelligent."
5,AppDirect,Great place to start your career.,2020-10-05,4.0,Design Lead,"Overall, a great and stable company to work for. Great people.",Not a lot of opportunities to innovate. It's very top-down managed.
6,AppDirect,Growing Global Company with Focus on Culture & Virtual Wellness,2020-08-31,5.0,Anonymous Employee,"The diverse global culture and shared values
Fun activities including global talent show, olympics, and family day
Leadership commitment to employees well-being and investment in peak performance and mental health awareness 
Mission driven business helping businesses transform",Like other tech companies working remote through July 2021
7,AppDirect,Why I chose AppDirect over Venture Capital,2019-07-30,5.0,SDR Team Lead,"//   Mentorship - I went from minimal sales experience to setting up deals with some of the largest enterprise companies in the world. AppDirect has also given me a deep understanding of industries like ISV, Manufacturing, MSP/VAR, FinServ, Telco, etc. 

//   View - 360 unobstructed view of San Francisco from the 25th floor (I’m writing this while looking at the Golden Gate Bridge and Alcatraz) 

 //   Friends - I couldn’t wish for a more supportive and friendly work environment, even senior leadership has taken the time to get to know me personally 

 //   Flexibility - I’m given the freedom to take daily gym breaks and work from home when needed 

//   Career Development - I get ~$,1500/yr to go to events, take classes, buy books, etc. as well as unlimited free access to Udemy courses 

//    Salary - they pay is above market average (with an uncapped quota + accelerators) with significant career growth opportunities, 401K, fully covered health/dental

//  Enablement - I’d like to think we are the most enabled SDR team out there...AppDirect has invested in giving us world-class sales tools and marketing collateral, and hands-on training (making my job easier)

//   Andddd yes there’s free lunch every day and all the snacks/drinks you could want","We've had some turnover, but that's the nature of the industry.  The reality is that we're getting invaluable experience."
8,AppDirect,No,2019-07-19,1.0,Anonymous,"Good view
Salad lunch every day
Hot lunch on Friday
The teams are still trying their hardest and are generally great
Plenty of work to do
Healthcare is decent only if you have no dependents.",Compensation is not competitive for any role in SF. The only promotions are for sycophants or those that threaten to leave after working themselves to death.There is no meritocracy at AppDirect. The leadership team does not provide any leadership. Management does not know how to coach their teams or make improvements for their teams. Leadership could not tell you what success for the company is. All the extra work from the lay offs last year is still with the remaining employees but with no increase in pay. HR does not take action on yearly feedback survey.
9,AppDirect,"This is an ""imaginary"" unicorn",2019-04-11,1.0,Anonymous Employee,"Location, Office views, Remote Work, Snacks, Friday Lunch","Poor Management
Weak Leadership
Compensation not competitive with the market
HR team is trying to improve things by letting people know things are improving. Basically doing nothing and just saying for the sake of it.
Smart people not appreciated
Sycophants promoted
Lack of transparency
No clear direction for success
Lack of managers and leaders who are coaches. Newbies who are sycophants are promoted to managerial positions."
10,AppDirect,Great culture and amenities,2019-02-07,5.0,Anonymous Employee,"Friendly and fun culture, great office/views, approachable management/leadership, opportunity to grow in and even change you career path",Open floor plan can feel a little messy
11,AppDirect,"Great people, culture and office!",2019-02-07,5.0,Anonymous Employee,"Awesome people, food, and view of SF. Very supportive, friendly people.  Exciting things happening for this company.",Several interviews but they move very quickly and want to ensure it's the right fit. There was recent reorg but things are looking up!
12,AppDirect,Recently laid off about 50 employees in which most of them are based in SF office.,2018-11-20,2.0,Engineer,"Work life balance is good.
Product teams rarely have to work over time or ok weekends.
Amazing view of the city. 
Convenient location to restaurants. 
Catered lunch once a week on Fridays. 
Plenty of snacks. 
20 days PTO a year.","20 days PTO a year, but you have take 3 mandatory PTO for Christmas and new year. 
Recently laid off about 50 employees. Pretty much all Tech supports, Account managers, and QAs are laid off in SF location. 
Sunnyvale Plug and Play location is shut down due to down sizing. 
No performance bonus. 
No 401k marching. 
Healthcare is expensive if you have dependents.
Lots of partners have terminated partnerships with the company due to low profit/sales."
13,AppDirect,Zero culture,2018-08-22,2.0,Anonymous Employee,"Good access to resources, tools, and technology needed to help get the job done. They are aware of the lack of women in the office (HQ) and are actively trying to recruit more","Intensity (core value) is taken to the next level here. There is zero company culture and I'm not exaggerating -- people are not friendly, exec management and leadership don't care about the employees, very little cross-collaboration between different orgs and teams. Mgmt is so far removed from the day-to-day operations of the company.  Zero female leadership outside of HR."
14,AppDirect,Great technology company with a strong focus on culture,2018-04-08,4.0,Sales and Business Development Representative,AppDirect has a great business solution to solve for the changes in digital transformation. A great strong team environment with a razor like focus on culture.,Too much time of the sales organisation is spent on selling internally
