,company,headline,date,overall_rating,author_position,pros,cons
0,AppFolio,AMAZING,2022-04-07,4.0,ISR- Inside Sales Representative,Culture is perfect. Open door policy is great as well.,Pay is not good. Not compensated properly
1,AppFolio,"Good Culture, low total comp",2022-04-06,3.0,Data Services Manager,"Good Culture, low total comp",Super low total comp compared to market.
2,AppFolio,Amazing Company,2022-04-05,5.0,Customer Service Representative,"Amazing company to work for, they have created a fantastic work environment and culture to be apart of. The managers are unbelievably HELPFUL and are always there for support and to communicate.",I have only been with Appfolio for 7 months and wish I could say longer!
3,AppFolio,Great Company Culture,2022-04-05,5.0,Senior Site Reliability Engineer,The company culture is great and the technology stack is modern.,Compensation feels a little below industry standard
4,AppFolio,The amazing culture is crumbling,2022-04-02,2.0,Engineering,"- Very good work life balance 
- Used to have an incredible culture. Still have strong social connections because of this  
- Very easy (almost mindless) work
- Santa Barbara office is beautiful","- Culture has completely crumbled post-COVID 19. Appfolio can’t figure out what it wants to be, and it is bleeding talent as a result  
- Employees are disengaged and uninterested in the work 
- Compensation is extremely low, particularly in equity
- Brain drain. The most talented people are all leaving or have left 
- Managers and leaders don’t seem to accomplish much 
- Highly political 
- Management seems like an “old boys club” at this point.  The new talent they’re bringing in / promoting for senior management roles is more of the same"
5,AppFolio,tech,2022-03-30,2.0,Website Onboarding Specialist,"fun company culture
cool offices
easy job","only cares about bottom line
huge emphasis on production 
does not pay well
no career growth"
6,AppFolio,Great culture,2022-03-30,3.0,Customer Support,"Culture, wfh, mental health, benefits.",Training seems to set you up for failure. Stress over tests because every day your job is on the line.
7,AppFolio,Love this company!,2022-03-29,5.0,Senior Business Development Representative,The people you get to work with are really awesome - the culture really is what you make it but it has been better than any company I've ever worked at. Management cares and is always willing to help. I have loved my time here and can't wait to continue to grow my career.,Pay is less than other tech companies
8,AppFolio,Great Company; Lot of Work,2022-03-28,4.0,Associate Customer Service Representative,"Great Culture- like actually people you want to talk to/rely on.
A hybrid workforce and caring about employees' well-being is great.",The software has a big learning curve for trainees but an even steeper one for clients since they will only have a couple of training sessions at onboarding. The number of requests that come in can be overbearing.
9,AppFolio,Room for Improvement,2022-03-27,3.0,Business Development Representative,"Team culture is real at AppFolio. 

Lots of autonomy within the BDR position.

Many tools at your disposal to succeed.","BDRs and Sales are now required to be in the office multiple times each week, despite the fact that the bulk of the company’s departments are allowed to stay remote

Unusually low quota attainment on the team - therefore OTE is not accurate for the majority of team members.

If the OTE was accurate, though, the pay would still be very low for SaaS - especially considering AppFolio is headquartered in such a HCOL area.

Lack of momentum with career progression - it does happen, but much slower than at other SaaS companies."
10,AppFolio,Great Culture - Low Paying!,2022-03-25,4.0,Data Migration Specialist,"Great sense of culture, awesome team experiences, great managers. The people here really love it!","It is a hard place to grow a career salary-wise. The company takes the approach of finding entry level positions and moving you up from there. Beware, this approach often does not reward more responsibility or even promotional status with monetary salary increases. While it is a great place to get in the door for tech, watch out for complacency when it comes to salary."
11,AppFolio,"Collaborative, Supportive Work Environment",2022-03-24,5.0,Customer Care Representative,"- remote/hybrid work
- opportunity for growth
- great people
- competitive (decent) pay
- semi-autonomous role","- workload can be stressful at times
- really nothing else!"
12,AppFolio,Great company,2022-03-24,5.0,Anonymous Employee,I absolutely love working at AppFolio. I started here right before the pandemic in 2020 and throughout the past 2+ years AppFolio has done amazing things to help our employees get through the remote work transition. They go above and beyond for employees' well being and really care about fostering a culture that makes you want to show up to work every day.,I really don't have anything bad to say!
13,AppFolio,Great place,2022-03-22,4.0,Anonymous Employee,"great benefits, great atmosphere ,understanding management. 
great benefits, great atmosphere ,understanding management. 
great benefits, great atmosphere ,understanding management.","Repetitive, weekend working , holiday shifts
Repetitive, weekend working , holiday shifts
Repetitive, weekend working , holiday shifts"
14,AppFolio,Good first career job out of college,2022-03-21,5.0,Software Engineer,"People are very nice, intelligent, and supportive.","Pay is not competitive, RSU grants are small as well."
15,AppFolio,Nice people but needs better benefits,2022-03-21,3.0,Anonymous Employee,"Fun environment, cares about customers, good onboarding","Not flexible time off, salary is not great, lower lever manager was terrible and didn’t have proper management training."
16,AppFolio,Solid,2022-03-18,3.0,BDR,Good culture in the workplace,Not the highest pay in saas
17,AppFolio,Best workplace I've ever had!,2022-03-17,4.0,"Manager, Onboarding Services",Leadership is dedicated to listening to clients and employees. Change is thoughtful and well executed. Diversity is encouraged and there is proactive training on this topic. Culture is positive and inclusive with many opportunities for growth. Great benefits and beautiful hub offices designed with our work needs in mind!,"Salaries aren't as competitive as they once were **though I know they're working on this actively!! So this could be improved soon!** Other than that, I can't think of anything."
18,AppFolio,In tune with the times,2022-03-17,5.0,Director,"AppFolio genuinely values its people and exiting the pandemic, has made major investments in compensation and benefits & workplace flexibility to stay competitive in the talent market. That combined with AppFolio's continued growth trajectory (Fortune's Fastest Growing Companies list 2x) makes it an ideal place to start or grow a tech career.",Overreliance on Google Slides in meetings and as part of plan development
19,AppFolio,Incredible Place to Build Product,2022-03-17,5.0,Anonymous Employee,"I've been at AppFolio for several years and love it. We have an incredibly collaborative, customer-focused product development culture/",Growing pains. As we scale we are still trying to figure out the right blend of autonomy vs. alignment between teams
20,AppFolio,Great work,2022-03-15,4.0,User Experience Designer,"Autonomy, kind people, interesting problems",Pay is lower than avg
21,AppFolio,The inside,2022-03-14,5.0,Business Development Representative (BDR),"Culture, Enviroment, pay, realestate, people",there is no cons for this job
22,AppFolio,Great people,2022-03-08,3.0,Account Manager,Great entry level role great people,Not much career development within company
23,AppFolio,Great Company Culture and Environment,2022-03-08,4.0,Data Migration Specialist,"Great friendly team, beautiful renovated offices,  opportunity for job-growth",Pay can be on the lower-end
24,AppFolio,Love the people,2022-03-02,5.0,Marketing Manager,Work-Life balance and the people,Some small company habits which are slowly changing
25,AppFolio,Best company to work in the US,2022-03-01,5.0,Machine Learning Engineer,"Excellent work-life balance.
Working with smart people. 
Customer feedback.",No bad things to mention about this company.
