,company,headline,date,overall_rating,author_position,pros,cons
0,Baidu,full stack， from 0 to 1,2022-04-07,5.0,Senior R&D Engineer,"Good at discovering problems from business, putting forward their ideas, conducting research and analysis, and finally implementing the implementation, like to go through the process from 0 to 1, most of the key projects
	The project is a self-discovery project and promotes the landing project
	Have strong logical ability and judgment ability, strong self-motivation, serious and responsible work, a strong sense of responsibility, and team consciousness.
candid, optimistic, good at expressing one's ideas and understanding of others' ideas, good interpersonal relationships, and strong learning ability and innovation ability.","I didn't remember，be able to devote yourself to your work with a good attitude, work in a team, be strict with yourself, and withstand greater work pressure."
1,Baidu,Fine,2022-04-07,2.0,"Associate Director, Business Operations","Caring people, food culture, flex",Constant fire fighting mode and
2,Baidu,-,2022-04-06,4.0,Product Manager,good location and flexible working hours,small size in Hong Kong
3,Baidu,Excellent,2022-04-02,5.0,Vice President,Fast growth Good pay nice,tired 80 hours work one week
4,Baidu,good,2022-03-31,5.0,Senior Java Developer,"It is very good, nice!",It is very hard and tired!
5,Baidu,good company to learn,2022-03-28,5.0,Software Development Engineer In Test (SDET),"for a new-grad, there is a good place to learn something new in formal way.",Therw will be some time will cost in useless thing.
6,Baidu,good good,2022-03-28,4.0,Programmer Analyst,"high salary, large platform ,good colleague，boss management",high churn rate so sad
7,Baidu,coder in baidu,2022-03-27,4.0,Coder,"Nice worksop, nice friendly environment and collegues",Too much work and have to stay up late
8,Baidu,Good working place,2022-03-23,4.0,Marketing Manager,Working environment is great. Technology. Colleagues are friendly,"Long working hours, stressful project sometimes"
9,Baidu,Management,2022-03-23,3.0,Management,"salary, bonus, allowance, environment, colleagues","overtime working, tired, no leave, no meal, no transportation"
10,Baidu,take a look,2022-03-19,4.0,Strategy Manager,good work life balance. least amount of 996 amongst Chinese Internet companies,a lot of unnecessary work. typical of big corps
11,Baidu,nice,2022-03-18,4.0,Data Scientist,"Well, I think it's pretty good.","Everything was ok, especially the colleagues were very nice."
12,Baidu,hh,2022-03-17,4.0,Senior Marketing Manager,try to innovate in AI product,gap between product sales and marketing
13,Baidu,"Good engineering culture, no work life balance",2022-03-17,4.0,Senior Software Engineer,"Overall, it has good engineering culture, and colleagues are generally good in what they do.","no work-life balance, work overtime a lot"
14,Baidu,skip,2022-03-17,4.0,Web Software Engineer,"big company, technology, self improve, challenge work","hard work, work overtime sometimes"
15,Baidu,good internet company,2022-03-16,4.0,Anonymous Employee,Baidu is the largest search engine company in China.,the workload of the business team is heavy.
16,Baidu,baidu review,2022-03-13,5.0,Machine Learning Engineer,pay attention to innovation and self-driving,The way of profit depends on advertising
17,Baidu,good,2022-03-12,3.0,Software Engineer,can do development work sometimes,a lot of maintainence work though
18,Baidu,Good,2022-03-06,3.0,Software Engineer,Good tech stack and experienced engineers.,Work life balance does not exist in this company.
19,Baidu,PMO,2022-02-24,5.0,Project Management Officer (PMO),"attractive environment and culture, excellent working relations with peers, great peers and boss",There is no cons for Baidu from my idea
20,Baidu,Great but not the best,2022-02-22,4.0,Anonymous Employee,"professional workflows, easy personal relationships","overwhelming team working, could use more innovation on strategy"
21,Baidu,Good,2022-02-19,4.0,Anonymous Employee,People are great and good perks,Low salary for demanding roles
22,Baidu,Good Job,2022-02-19,4.0,Data Analyst,High salary; Work-life balance; Motivation; Good pantry; Large team,Long working hours; limited mobility; far working location; limited promotion; none
23,Baidu,Good,2022-02-15,4.0,Anonymous Employee,"Good treat, good people and salary",long working hour. sometimes work overtime
24,Baidu,pressure,2022-02-15,4.0,Software Engineer,"work life balance, we can get up late.",I am not very interested about what I do
25,Baidu,Working Environment,2022-02-15,5.0,Big Data Analyst,perfect environment to work in,Sometime you need to work overtime
26,Baidu,work as a SDE,2022-02-14,5.0,Software Engineer,good for learn and work life balance,boss frequently adjust the organization
27,Baidu,Good,2022-02-14,5.0,Anonymous Employee,"good location, good opportunity and so on",maybe the weather in Beijing is bad
28,Baidu,very good,2022-02-08,5.0,Computer Programmer,"It's a very good company,","but he's a bit heavy on the job here, so I'm stumped"
29,Baidu,Systems Engineer,2022-02-03,3.0,Systems Engineer,plenty of challenging tasks and opertunities,not a good work-life balance
30,Baidu,Great experience,2022-01-28,4.0,Product Manager,great people and working environment here,the working site in BJ is far from subway station
31,Baidu,China means bad management,2022-01-24,1.0,Anonymous Employee,"- Good salary
- Fun colleagues to work with","- Terrible management team who never know what to do when problems arise
- The boss will be there just to follow up on the numbers, not giving you any advice or support."
32,Baidu,Great company,2022-01-24,5.0,Software Engineer,"Great experience, great people, great pay, good food nearby, nice culture.","Long work hours/culture, 996, but if programming is your thing, shouldn't really matter."
33,Baidu,average,2022-01-20,4.0,Product Manager,"work life balance, sort of","poor strategy on company-level
currently on a layoff"
34,Baidu,Marketing,2022-01-18,5.0,Marketing,It located in Shenzhen China.,It only located in Shenzhen China.
35,Baidu,good,2022-01-14,5.0,Internship,good I like this company good environment,to stressful pay lower but working hours long
36,Baidu,poor company,2022-01-10,3.0,Machine Learning Engineer,nothing good but poor salaries,poor company poor company poor company
37,Baidu,good company,2022-01-10,5.0,Product Operations,Baidu is a good company,too large to have personal growth
38,Baidu,good,2022-01-09,5.0,Software Engineer,Godd good do food brain goooos.,"long hours, nice colleagues, good environment."
39,Baidu,Great and Free Experience,2022-01-03,5.0,Intern,small office but lovely and friendly staff,not as big as shenzhen office
40,Baidu,QA,2022-01-01,4.0,Software Development Engineer In Test (SDET),Working at Baidu is great.,Working hours is too long
41,Baidu,Introduction,2021-12-27,5.0,Software Develop Tester,"Good salary, good experience, high technology level.","Need extra time to finish work, usually"
