,company,headline,date,overall_rating,author_position,pros,cons
0,Betsson Group,European Sports Trader,2022-04-04,4.0,Trader,Remote Working and Flexibility at work,Difficult to move forward with career
1,Betsson Group,Awexome,2022-03-30,5.0,Systems Engineer,Good company to wòrk fo4,Ño comments at the moment
2,Betsson Group,One if the best place to work and grow,2022-03-29,4.0,Product Manager,Enough opportunity to learn and grow.,Too early for me to say something
3,Betsson Group,Too big to function properly,2022-03-29,2.0,Marketing,"Recognizable company in the industry, having worked at Betsson Group for a while can be a good experience to further your career

The company has many offices across the world and you get to meet a lot of new people and make new connections","One of the company values is ""One Betsson"", but in reality it couldn't be further from the truth. The company is very fragmented and as soon as you need to involve another department in any task, no matter how simple, it can take months. Especially when working with external partners this can be very frustrating. Different regional teams get very territorial and will withhold information from other teams on purpose. There is no sense of working together towards one goal as a company, different departments are competing with one another.

A lot of questionable hiring and promotion practices, oftentimes someone gets promoted just because they are friends with the hiring manager or one of the higher level managers/directors. I've encountered managers that had very little experience in the respective field and couldn't even answer basic questions that a junior level employee in my field should know. 

There are many cliques in the company, which can make integrating in a team very difficult. The upper management feels like a boys club that make decisions between themselves, without involving knowledgeable employees in any decision making process. Multiple times I witnessed very high level employees making agreements with external partners disregarding any processes, just because they are friends with the owner or CEO of the external partner company. Most of the time these agreements didn't make commercial sense and weren't budgeted for properly."
4,Betsson Group,devops engineer,2022-03-14,4.0,Devops Engineer,Great people to work with.,Long hours and shift work is a little uncomfortable.
5,Betsson Group,Netops Engineer,2022-03-03,5.0,Netops Engineer,"Competitive salary, very good location",There were very large teams.
6,Betsson Group,Disappointing end,2022-02-20,2.0,Customer Service Agent,"- Nice offices
- Friendly coworkers (mostly)
- Daily lunch Mon-Fri","- Conflicting information on procedures
- Misleading advice - told things are going well in monthly meetings to then lose your job with no reason provided, even when asked.
- If you work here or are interested, be careful. You can lose your job at any minute (during a shift) and won't be given a reason.
- Back offices etc outdated
- Too much emphasis on customer reviews
- Work/life balance not great, one weekend off scheduled in 5-6 months"
7,Betsson Group,Betsson as a Software Engineer,2022-02-16,4.0,Software Engineer,"Interesting domain, great culture, nice offices. Focus on customers and responsible gaming is a top priority.","Quickly changing regulations can introduce tight deadlines
Constantly changing career models"
8,Betsson Group,Betsson group review,2022-02-11,4.0,Manager,"Good athmosphere, a lot of great people working within the company & good career opportunities.","Lower salaries than the competition, no remote work(hybrid only)"
9,Betsson Group,Human Resources Business Partner,2022-02-11,4.0,Human Resources Business Partner HRBP,"International company, chance of relocation, normal salary, good organizational culture",No direct communication with management
10,Betsson Group,Great Company Spirit,2022-02-07,5.0,Analyst,"- very open communication
- good company spirit
- good collaboration throughout different departements
- great benefits",- pay is on the lower side for the industry
11,Betsson Group,Good place to work,2022-02-05,4.0,Anonymous Employee,Fast paced and Great atmosphere. Great office in Malta.,Sometimes company tries to do too much at the same time.
12,Betsson Group,Nice place to work,2022-02-04,4.0,User Experience Designer,Lot of talent in a big organisation,You are a drop in the pond
13,Betsson Group,It's like a rollercoaster there are highs and lows.,2022-02-02,3.0,Team Lead,"Great WFH policy.
Everyone treats everyone with respect.
When there were events they were always top notch
Used have breakfast and Friday beers","Deadlines at times are unrealistic.
This leads to bursts of overtime.
Lots of old code.
Not enough time to work on stability improvements.
Too much effort on continously delivering new functionality."
14,Betsson Group,Okay,2022-02-02,3.0,Customer Support Agent,"Structure, nice office, big, okay","Not very welcome, cant friend with people"
15,Betsson Group,Life,2022-02-01,3.0,Anonymous Employee,Its good to work in this company,some times you dont know where you are or what is going to happen
16,Betsson Group,Accountant,2022-01-30,4.0,Senior Accountant,"Multiculteral, great office location, industry leader","Might be too intense for some, as it's an ever-growing company"
17,Betsson Group,"A large ship, which takes sometimes too long to manoeuvre",2022-01-28,4.0,Anonymous Employee,"- Large range of tools and good marketing budgets
- Friendly work environment
- Possibility of evolution",- Too much bureaucracy & dependency which can affect sometimes the performance has it is impacting on the agility
18,Betsson Group,-,2022-01-27,3.0,Risk Analyst,"People
Offices
Free food
Culture
Taking new ideas seriously","Salary is not the greatest but will do in Malta
Malta might not be the place for you"
19,Betsson Group,The best,2022-01-20,1.0,Customer Service Advisor,Best work place to work at,Every work place have its cons however at betsson I would say there is nothing to complain about its like a small family
20,Betsson Group,Betsson review,2022-01-18,2.0,Customer Support,"Good colleagues, always kind and helpful.","Bad really bad management, if you arent pretty you will get bullied"
21,Betsson Group,Overall Good,2022-01-17,4.0,Customer Service,"Overall good pay, good collogues, ability to self develop is great","Sometimes too fast phased, but you you will learn how to tolerate stress"
22,Betsson Group,Great place to work,2022-01-12,5.0,Paid Social Manager,Great company culture and flexibility,Not looking at the remote option in the long term.
23,Betsson Group,Avoid at all costs,2022-01-07,1.0,Software Engineer,You get salary at each month.,"I don't believe in 5 star feedbacks, maybe a different area is totally different, but my feedback is for the SportsBook area.
- No onboarding /knowledge sharing at all. All team consists of new joiners.
- You are ignored by seniors who has domain knowledge.
- ""Don't care"" mentality. Unit tests are broken, QA enviroment is broken, tools are broken. If something fixed will break next time.
- You have to be very pushy, you are expected to chase people all the times, for your task, for deployment, for any information. Sometimes you'll get reply sometimes you have to chase again"
24,Betsson Group,Great,2021-12-30,5.0,Anonymous Employee,"Learn, grow and real progression","Big challenges, can be very political"
25,Betsson Group,None,2021-12-22,5.0,Anonymous Employee,Great company with good perks,Don't offer fully remote working.
26,Betsson Group,A constantly changing but fun rollercoaster,2021-12-17,4.0,Frontend Developer,"The company has swivelled into the direction of self-governing teams, which is great. It's possible to choose how you approach different tasks inside your team. Of course there's always some external pressure going on, but it's more manageable now.","The benefits are nothing to write home about: standard insurance, gym allowance, some sick days paid by the company. No bonuses and salary review tends to be underwhelming"
27,Betsson Group,Great place to gain experience,2021-12-07,5.0,Casino Coordinator,A very good place to start iGaming career and learn a lot.,Corp environment and poor work-life balance (depending on department though).
28,Betsson Group,Not bad at all,2021-12-04,4.0,Software Developer,"Nice colleagues, cosy and comfortable office environment, good salary","HQ heavy culture, lack of transparency"
29,Betsson Group,Payment,2021-11-24,5.0,Financial Analyst,Best people cooperative nice and fan,"Nothing, everythign was fine to be honest"
30,Betsson Group,Good vibes in the office,2021-11-24,4.0,Anonymous Employee,"Friendly working environment, you can build relationships even outside work because people go out for team lunch or dinner or drinks. It's not all about work but also having fun as well.",High workload sometimes but I guess that's normal to any company
31,Betsson Group,Good place,2021-11-19,5.0,Campaign Coordinator,Good place to work at.,"High workload, short dead lines."
32,Betsson Group,Best place to work,2021-11-19,5.0,Software Engineer,"- career progression
- friendly working environment
- flexibility
- diversity
- global projects",I can't think any cons
33,Betsson Group,Good Employer,2021-11-14,5.0,Senior Developer,Good and adapts to needs of employees,Sometimes all too idealistic and transitioning to plans without considering consequences to people's roles
34,Betsson Group,"Hard work, great atmosphere",2021-11-12,5.0,Copywriter,"Great atmosphere, opportunities for growth, competent people throughout organization","High workload, certain managers under a lot of pressure"
35,Betsson Group,No Career progression,2021-10-27,1.0,Senior Digital Designer,Managing my own time and work.,Didn't get a salary raise in 5 years nor had bonuses.
36,Betsson Group,"Long work days, but nice colleagues",2021-10-22,3.0,Customer Agent,"- Friendly colleagues and teamleaders/managers.
- Often party/events.
- First few weeks you get a free apartment when relocating.
- Career Opportunities is good but harsh environment and tough job interviews.","- Low salary for such a big company.
- it looks better on the outside than on the inside.
- Some managers can micromanage even the simplest things.
- You don't feel valued by team leaders/managers.
- Difference in salaries for people doing the same job."
37,Betsson Group,Toxic company #1,2021-10-21,1.0,Senior Manager,"Great logo, coffee and free coke.","I was only a contcator, but people came to me with their problems with management. I did surveys on Psychological safety and got all time low scores. 
Internal surveys with high scores must have been tampered with. People laughed at the scores. People made jokes about the managenment as the ""russian governement"".
No swedes want to work there due to the toxic culture, low salary and business without a purpose."
38,Betsson Group,Old school,2021-10-20,3.0,Human Resources,"- some ok benefits 
- nice office","- people are very clicky at Betsson 
- rude managers do not get dealt with (favouritism to those managers from nordics especially) 
- generally not the best environment to grow and progress, alot of managers higher up do not know the day to day of their staff"
39,Betsson Group,Better than its competitors,2021-10-18,5.0,Anonymous Employee,"Great ""grown up"" benefits. 
Strong C-level and management team.
A big focus on Employee Experience. 
REAL career growth opportunities.
Hybrid remote working model (2 days at office and 3 days from home).
10 days working abroad every year.",Not many cons I can think of. There are no after work events anymore but that is due to covid.
40,Betsson Group,Think twice,2021-10-18,1.0,Product Manager,"Salary, mostly fun ppl, and salary","The job title should be project management, which is a warning sign if you are a product manager"
41,Betsson Group,Best Company I ever worked for....,2021-10-08,5.0,Product Owner,"....and I'm not just saying that, it truly is. I've never before had the privilege to work with such passionate and smart people in such a people focussed and International environment. For me, Betsson gives me everything....a stimulating and challenging role, in a state of the art office environment. Its fast paced with no day the same and no matter the obstacle, we never lose our sense of fun!",You'll struggle to find a better place to work.
42,Betsson Group,Employer of choice,2021-10-04,5.0,Senior Recruitment Partner,"Have been with Betsson nearly 7 years ago - left after 2 years and today I find myself here again. Not too much to add to this, but being a local who have worked in family run businesses, manufacturing and software houses, i can state that i look at this Company as the Employer of Choice on the Maltese islands.",Nothing much to say other than positive remarks :)
43,Betsson Group,Good opportunity to grow and develop,2021-10-04,5.0,Front End Developer,We are working with cutting-edge technologies,I don't exactly agree with the structure of the company
44,Betsson Group,Fun working environment,2021-10-04,5.0,Anonymous Employee,"Betsson is definitely fun - great colleagues, challenges and the work is never mundane. 
Working at such an international company is always great and opportunities to grow professionally and personally is always encouraged!",There are so many moving parts to Betsson Group and there is always something new coming up. It's good to keep alert to always keep up with the changes in the market and within iGaming in general.
