,company,headline,date,overall_rating,author_position,pros,cons
0,BetterHelp,"Plenty of Clients, Low Pay",2022-04-10,3.0,Licensed Professional Counselor,"I've never had a problem keeping a full caseload, they send clients at your pace","Low pay, no benefits unless you maintain an extremely high caseload"
1,BetterHelp,Impossible to manage caseload in order earn a living,2022-04-08,2.0,Mental Health Counselor,Flexible schedule. Set your own hours. Reliable in-flux of new clients. Responsive support team.,"VERY low pay, and you aren't compensated for time with clients beyond 45 minutes per session, regardless of time actually spent. In order to reach a decent wage, you must manage a massive caseload of messaging-only clients, no-shows and inconsistent participation, to get enough reliable patients to earn decent pay. There is also no autonomy over discharging patients and the system doesn't always allow you to select clients suited to your clinical strengths, they're automatically assigned and messaged on your behalf to your surprise."
2,BetterHelp,"Poor pay scale, disappointing , I left after 6 months",2022-04-08,2.0,Licensed Clinical Social Worker LCSW,"Fairly consistent Referrals
Good platform potentially","Extremely poor pay scale, They do not pay you hourly, you have to have two 45 minute sessions to earn the equivalent of an hour and a half of work.
No reimbursement for late cancellations or no-shows, while the platform is still getting paid whether or not the client makes use of their sessions.
Misleading advertisement, clients are led to believe that they have access to their therapist 24/7. In reality, this is setting a very bad precedent. Clients have difficulty accepting boundaries that therapist set on their time.
Clients also are allowed to believe that they will have immediate access to their therapists, some clients have complained because a therapist they were matched to did not respond within the hour. Completely unrealistic! Sometimes the match was made at one or 2 AM and the client expected an immediate response.
Therapists do not have access to the clients information, making it is very difficult if someone presents with suicidal ideation or thoughts of harming others. The burden is on the therapist to collect the clients information and often there’s quite a bit of pushback from the clients who expect the platform to be completely “private”. They do not understand at a therapist license is at risk if we don’t collect demographic information and ID, just like in a “real” office."
3,BetterHelp,"No one said Id be working for 90-100% free doing most back office, admin, off session client communication",2022-04-08,1.0,Therapist,"sign on bonus and referrals
quick and easy hire for onboard process
diversity of clients and global
platform entry experience for better one after","Onboarding was inept and lost my sign-on bonus due to their mishandling and lack of reply from customer service.
The calendar schedule is got major problems and reboots old schedule on top of a new one, continues to auto-populate inaccurately. 
customer service doesn't assist usually. They'll copy and paste template directions into emails and not respond to direct issues or not respond at all.
Pay is extremely low. Thought it might be an easy side gig while in pursuit of ither projects, but the admin, back office, off session communication and problems with system that require emails and chasing/begging customer service to help, fixing calendar autopopulate mistakes every day is atrocious and time wasting. I have no time for anything else and getting paid nothing.
The requirement to return messages that all clients can send anytime and each one requires return message within 24 hours or a big red banner and warnings are everywhere , causing stress and offense, as its taking advantage of the therapist while slacking on taking care of them.
Notes are disocuraged, any writing actually, as one gets 1-2 mintues of pay for 60 words. These words are not creative writing, they are professional and take thought and careful consideration, as its therapist rep, liability and influences a human being. This is most unethical. The therapist gets ripped off and the client is the one who will suffer. Its sad, because I like my clients and believe I need to get out quick, as most other offers are better and take care of me. Benefits are not readily available and hard to get to, as is a higher pay scale. Interface of system is insufficent and lack effective usability. Im resentful every day already, so I need it out of my life now."
4,BetterHelp,Steady work,2022-04-06,4.0,Licensed Marriage and Family Therapist (LMFT),"flexible hours, flexible scope to work as much or as little as you want, convenience","the pay is on a incremental scale: the more hours you work, the higher your hourly pay"
5,BetterHelp,I’m enjoying Betterhealth,2022-04-05,5.0,Licensed Marriage and Family Therapist (LMFT),I was able to see clients and begin getting paid very quickly.,"Pay could be a little better, but not terrible"
6,BetterHelp,Flexibility in schedule & Financial Incentive,2022-04-04,3.0,Contract Therapist,"Plenty of flexibility in the number of hours you’d like to work, the number of clients you’d like to see, and your schedule",Pay begins at $30 per hour for the first 1 to 5 hours worked that week then increases in $5 increments for each 5-hour Included Health is There can be significant amounts of time that are not “captured” within this payment arrangement.
7,BetterHelp,A dream come true!,2022-03-31,5.0,Talent Team,"I really enjoy working at BetterHelp. It is a tight knit group and everyone supports each other to succeed! You get tons of hands on experience and challenging problems to work with. The leadership is also very supportive of the team - I feel like I am genuinely appreciated and heard! Lastly, it is so refreshing to see such a diverse group of individuals!",Nothing as of yet - I will edit this comment once I get a better feel of the company.
8,BetterHelp,Great place to work for new graduates,2022-03-30,4.0,Data Scientist,"great teammates, great diversity of culture and amazing perks","The company is growing so fast, and now about more than half of the team joined within 6 months. The learning process is almost continuous all the time. But it's actually very helpful for career growth for new graduates like me."
9,BetterHelp,Great place to work!,2022-03-29,5.0,Marketing,"- amazing benefits and accommodations 
- supportive team
- lots of opportunities to grow professionally
- hands on work experience",- could invest more in DEI
10,BetterHelp,Mission + Management + Coworkers,2022-03-29,5.0,Full Stack Engineer,"- Support from seniors and other coworkers is strong, I'm learning a ton
- Engineering management is excellent, they provide the right amount of oversight without micromanaging
- Company culture is great, very relaxed yet fun to be part of
- Benefits are excellent
- Company is doing _very_ well, and it reflects in the treatment they return to the employees","- Tech stack is a bit antiquated, could hurt next job prospects if I had to leave the job with BetterHelp (This is being worked on though)
- Options to stay fully remote remain ambiguous, though it may work out that way as more and more waves of covid hit"
11,BetterHelp,Amazing company & work culture,2022-03-29,5.0,Product Manager,"This company is a silicon valley dream come true. 
Working at BetterHelp gives you an amazing opportunity to make an impact at a high growth tech startup. The company has an awesome work culture & a leadership team that is highly supportive of their team.

The compensation is pretty solid, and the perks are amazing.",The stock (RSU comp) is extremely volatile right now.
12,BetterHelp,Amazing place to work,2022-03-29,5.0,Full Stack Software Engineer,"Extremely helping people, diversified culture, and great service provided to the clients makes Betterhelp. I feel very fortunate working here. Great CEO, provides excellent benefits and perks, very comfortable work environment with flexible hours.",I didn't see any cons so far.
13,BetterHelp,An amazing organization,2022-03-25,5.0,Anonymous Employee,Extremely caring people who believe in the company's mission. BetterHelp has such a great culture despite many virtual employees such as myself. The new hire onboarding experience was seamless and I've had great mentorship. You will have great opportunities to interact and engage with all levels of leadership. You will have high-impact and high-visibility in any role at this exciting company.,None. It is such a great place to work.
14,BetterHelp,Job,2022-03-25,2.0,Behavior Therapist,Quick and easy to get started and easy to get a full case load as fast as you want.,"Low pay, takes long to get responses to your questions from the support team, do not have full control of how you manage clients in that you cannot discharge a client if the tell you they are stopping services, you have to wait for the client to terminate services in the meantime you keep getting notices the client has not responded to you and you have to message them in order and you will keep getting notices for at least 30 days. This is a good set up if you are looking to make some extra income or part time, but I have not been able to make enough to do this full time due to the pay scale and inconsistency with clients."
15,BetterHelp,Worst idea ever,2022-03-24,3.0,Therapist,"Easy to set a schedule, maintain a caseload, and the platform is relatively problem free.","Better Help will send a client an email, stating they are you, and engage the client in a conversation. I hate this. Typically you can look at the information and see if the client is a good fit for what you do, but when Better Help does this, you are left to deal with the mess they made. This seems inappropriate at best."
16,BetterHelp,Great Mission and Culture,2022-03-22,5.0,Anonymous Employee,"The team at BetterHelp is really passionate and bright. Everyone is a pleasure to work with and the overall culture is top-tier. It's still a pretty fast-paced, ""start-up"" environment, which I feel gives everyone a ton a room for growth. They prefer to promote internally. We're also pretty spoiled with all of our perks and team/company-wide events.","Leadership can be a bit too hands-on at time, which can slow things down."
17,BetterHelp,Cannot Believe I Landed This Job,2022-03-18,5.0,Marketing Administrator,"--The benefits and perks of working here are enormous! They definitely take care of their employees and prioritize the person over the work. This person-centric focus contributes to the overall culture.
--Unlimited PTO is recognized and used frequently by the employees.
--A culture that prioritizes community and togetherness. I value my coworkers as my peers, but also as my friends. 
--They are extremely conscious of workload. Consistently checking in to make sure I'm not overwhelmed, but I'm also definitely never bored. This does feed into a culture that values proactivity, however. You don't typically get assigned tasks, rather, you ask to work on the things that you're interested in. It's your responsibility to monitor your own workload and make sure you're not taking on too much.","I haven't been employed by them for too long, but, so far there haven't been any cons."
