,company,headline,date,overall_rating,author_position,pros,cons
0,Bolt,wow,2022-04-07,5.0,Driver,awesome services bolt support great,no thing I can say
1,Bolt,Bolt,2022-04-06,4.0,Customer Support,Great place to start your career,Salary could be a whole lot better
2,Bolt,okayish,2022-04-05,3.0,CS Specialist,"cool office and friendly young people, while I was there","a prime example of a a badly managed, frugal startup focusing on going corporate/selling"
3,Bolt,Great place to work,2022-04-04,5.0,Anonymous Employee,"All is good, lots of growth potential",None come to mind currently
4,Bolt,good,2022-04-04,3.0,Remote Customer Service Representative,flexible work hours . great support,"big targets , but doable , lots of screen time"
5,Bolt,Great place to work,2022-04-03,5.0,Data Analyst,"- Great Culture
- Very Smart Colleagues
- Fast pace",- A lot of workload
6,Bolt,Great,2022-04-01,4.0,Software Engineer,Good culture with ok pay,Management could be better at managing
7,Bolt,Good place to work,2022-03-26,4.0,Senior Software Engineer,Great for work - life balance. Friendly management and teammates. Interesting projects.,"Bad city climate.
All usual startup."
8,Bolt,Great tech company with many challenges,2022-03-25,5.0,Engineering Manager,"* Great culture within engineering, high level of talent
* Many opportunities for career growth
* Really easy to be aligned with company mission, Bolt does care about the world. Feel proud working here","* Some teams can be fast-paced
* Since company prioritised efficiency, it's not a place for everyone - not a place to do ""pet projects"""
9,Bolt,Great company to work,2022-03-23,5.0,Business Development,"Great team, spirit and fast growth mindset.",No cons for the time being
10,Bolt,Partnering with Bolt NG,2022-03-23,2.0,Driver,"Flexible working hours.
You get to meet some important people too.","The total fare of each ride isn't totally transparent.

Very limited access to the ""decision makers""

In an event of an alteration during a ride, the first person to report the incident is innocent and the accused is instantly penalised!"
11,Bolt,Best oportunity to grow in a fast paced  environment,2022-03-22,4.0,Senior Operations Specialist,"oportunity  to do something new, build from scratch
talented people
flexible time of work
good equipment, treats, benefits
good cause to make  world better
stock options","fast paced causes small chaos in structure
pleasure  of  the ride depends on the manager you are going to get"
12,Bolt,Bolt Review,2022-03-19,4.0,Operations Coordinator,"1. Fun workplace with friendly coworkers
2. Fast paced
3. Good environment for learning","1. Low salary
2. Unorganized
3. Lack of recognition from ""upper"" management"
13,Bolt,Great place grow your skills,2022-03-17,5.0,Lead Mechanic,"private medical care with dentist, credits to test provided by company services, helpful team, great management team.",sometimes work looks really hard.
14,Bolt,Mechanic,2022-03-16,4.0,Mechanic,Working environment and management is good,No I have not found any cons
15,Bolt,Great place to work,2022-03-16,5.0,Sales BDM,"* Good salary
*Work-life balance
* Perks and benefits.
* 7 months paid maternity leave for women
* No corporate BS",There are none for now.
16,Bolt,Bolt didt pay me for 3 weeks...,2022-03-16,1.0,Driver,No proper customer service and no offices in cape town... no contact number for fleet owners and customers,I've been struggling for 16 days with bolt to find a simple question... where is my money i worked hard for .. they can't answer me. That baddest part is everything is online heres no offices in cape town and no contact number for fleet owners
17,Bolt,Below average environment,2022-03-16,3.0,Anonymous Employee,If you are machine this is a nice place to work.,Everyone is expected to be a machine.
18,Bolt,Great company,2022-03-16,5.0,Staff Software Engineer,"- Very good salary
- A lot of opportunity to grow
- Craziest summer days I've ever attended 🤯",- No beer on tap
19,Bolt,Great Oportunity,2022-03-13,5.0,FOA,"great Job, Flexibility, Chances to ascend",Work with a 3rd party company that doesnt care about the Bolt Company.
20,Bolt,Recommended,2022-03-11,5.0,Anonymous Employee,"International environment
Taking care of employee","Stressful work
No regret for mistake"
21,Bolt,Fantastic,2022-03-11,5.0,Driver,Cash rewarding and meeting new people,Car maintenance and attitude behavior from riders
22,Bolt,Amazing place to work,2022-03-11,5.0,Customer Support Specialist,"Remote work
Gym membership
Amazing Team
Nice offices
Office Snacks","Improve on Health Insurance
Also have a salary Band for all job grades"
23,Bolt,Great opportunities to grow,2022-03-11,5.0,Anonymous Employee,"1. Freedom – you won't find handholding at Bolt. This also means that you will not have people telling you what to do, you are expected to focus on high value projects only and execute them well. 
2. Culture – people in Bolt are amazing. Everyone around you is smart, intelligent and ready to rock the world. 
3. Opportunities to grow. If you perform well you'll grow there. A lot.","1. Workload. As a fast growing startup the company is constantly under-hired. This means a lot of tasks. However, you are not expected to get them all done with limited resources, you just need to focus on high value tasks only."
24,Bolt,Amazing environment,2022-03-11,5.0,Escalation Specialist,"Work culture
Salary + Benefits
Co-workers
Problem-solving
Communication
Human approach
Grow opportunities
Unlimited home-office and beautiful well-equipped offices","The work environment is growing rapidly, it is not for people who wish for a boring job."
25,Bolt,Great,2022-03-09,4.0,Anonymous Employee,"friendly, kept informed, fun events","intrusive, not a reliable income"
26,Bolt,Fun place to work,2022-03-09,5.0,Customer Service Specialist,Fun place to work. Great team spirit,They could improve on how salaries are reviewed
27,Bolt,good,2022-03-08,5.0,Anonymous Employee,like it so much ....,i like working there ....
28,Bolt,Great company - with awesome perks,2022-03-07,5.0,Sales Representative,"Free credits to test products
Awesome perks 
Stock options
Continuous growth
Amazing parties|
Good pay
Great teams with a lot of learning opportunities","Teething issues with continuous growth 
Some times required to do more than your allocated tasks"
29,Bolt,Good,2022-03-07,5.0,Anonymous Employee,Startup mentality and high impact work,Highly competitive and growth pains
30,Bolt,I am very glad,2022-03-04,5.0,,I like a Bolt company,I can face a any challenges
31,Bolt,Food courier,2022-03-03,3.0,Food Courier,Well Paid Friendly atmosphere International,I couldn't promote as a food courier.
32,Bolt,Weekly Payment Payout Super,2022-03-01,5.0,Taxi Driver,Rate for trips is great!!!,Give Rider too much power over the driver!!!
33,Bolt,Best place to work!,2022-03-01,5.0,Anonymous Employee,Bolt is the best place to work!,I don't have nothing to share
34,Bolt,Burdensome workload,2022-02-27,3.0,Finance,"Pecks not so bad
Salary is average
Plenty of stuffs in the kitchen to eat","So much work load
Too fast paced
No work/life balance due to work load
Work load and expectation makes it depressing"
35,Bolt,Not what you think it is,2022-02-25,1.0,High Priority Specialist,International company with potential opportunities,The team seem to have more sentimental individuals than professionals
36,Bolt,Fast growing,2022-02-22,4.0,Anonymous Employee,Good environment and everyone working with same goal,Sometimes can get too competitive
37,Bolt,None,2022-02-22,4.0,Operations Specialist,Great work culture with protection,Poor compensation in certain cases
38,Bolt,Good and Helpful,2022-02-21,3.0,Software Developer,Good and helpful and fair,Dont really have any downside
