,company,headline,date,overall_rating,author_position,pros,cons
0,Bukalapak,great company,2022-04-06,4.0,Software Engineer,"good pay, wlb, working culture",hybrid instead of wfa / wfh
1,Bukalapak,Everything is perfect but salary,2022-04-02,5.0,Product Designer,Bukalapak (only as far as I know) has the best insurance benefit in any startup company at Indonesia,The salary benefit need to updated
2,Bukalapak,Good Benefit,2022-03-31,5.0,User Experience Designer,"- Work-life balance
- Good insurance benefit","- Very fast-paced working condition.
- Sometimes uncertainty can be super high"
3,Bukalapak,A Good Place To Work,2022-03-30,5.0,Associate Vice President,"Suitable for people looking to deepen their knowledge and learnings, strong collaboration and cooperation across teams. People here are very supportive and talented. Growth mindset people will be suitable to work here—fast pacing company. Good compensation. Flexible working hours. Good company culture that it seems there’s no gap between levels.",Nothing cons from My side. I enjoy working here.
4,Bukalapak,Great work culture and team dynamic,2022-03-30,5.0,Senior Manager,"+ Good work life balance
+ Supportive managers and access to higher management
+ Great insurance benefits (best)
+ Flexible working hours and location",- career path can sometimes be ambiguous just like in any other startup companies
5,Bukalapak,It's a great company to work for.,2022-03-30,4.0,Product Manager,Enabling the employee to learn and positive culture and environment.,Sometimes the direction can changes a lot.
6,Bukalapak,Nice working culture,2022-03-27,4.0,Recruitment Specialist,Nice working culture and environment,Working hour may be time shift depends on your role
7,Bukalapak,Good place for work,2022-03-26,4.0,Front End Developer,"Friendly coworkers, reasonable work loads",Limited ability to improve my skills
8,Bukalapak,Fun,2022-03-26,4.0,Software Engineer,Smart peers and challenging work,Company growth seems stagnant compared with other
9,Bukalapak,Good place to stay,2022-03-25,3.0,Software Engineer,"Good Workload balance, average meeting hour in a week, not much of benefit but still a good place to work","recently they take out their WFH policy, and the C level is being passive aggresive"
10,Bukalapak,Working Environment,2022-03-24,5.0,Anonymous Employee,"Flexible, good team work and agile",Too frequent in changes of direction
11,Bukalapak,It's a nice place to work,2022-03-24,5.0,Senior Graphic Designer,You can work everywhere you want,No more overtime payments now
12,Bukalapak,good place to work,2022-03-23,5.0,Anonymous Employee,driven bunch of ppl. dare to do things differently. not mainstream type.,still differences in quality of talents across different tribes
13,Bukalapak,nice to work here,2022-03-22,4.0,Software Developer,happy anytime everytime with team,salary not up cause limit of level
14,Bukalapak,"It's actually good, before they choose to use outsourcing.",2022-03-21,4.0,Customer Service,The benefit was good. Especially the health benefit.,It's hard to be a full-time in Customer Service Dept.
15,Bukalapak,Great Team and Work Place,2022-03-21,4.0,Senior Backend Software Engineer,"Great team, very talented and pleasure to work with",Has many legacy codes and sometimes not very well documented
16,Bukalapak,Amazing team,2022-03-17,5.0,Anonymous Employee,"Bukalapak is a great place to grow. There are so many new opportunities being explored within technology and product.
The people at Bukalapak are some of the most caring and kind people I've met.",There is probably more work than people within technology.
17,Bukalapak,Great work life balance and innovative!,2022-03-17,4.0,Anonymous Employee,"- Work-life balance is really great
- The team is also really great, no drama whatsoever
- Innovative, keen on doing new businesses and have great ambitions to always grow the company
- Have a lot of sessions for mental health, finance and accounting, etc for employees
- Benefit is quite ok (relatively speaking)","- A lot of people are quite slow response, and sometimes they don't really want to get involved or answer your questions (prepare to be pingpong-ed)
- Had a case when I needed their help in explaining about tax, but they didn't really help. Also, if you move to the company from somewhere else in the middle of the year, please know that you will have to pay some money due to underpayment of taxes (they don't receive & continue tax calculations from the previous company)
- Dynamic environment, so can be quite challenging"
18,Bukalapak,The company where there is real chance for you to pursue your passion,2022-03-16,5.0,Head of Business Unit,"The culture is pretty much result driven, means its good work life balance as long as your job is good.","People in Buka generally polite, sometimes its pretty hard to understand critic's and point of improvement coming from certain team"
19,Bukalapak,Great culture and innovative,2022-03-16,5.0,Product Manager,Working culture is very open and collaborative. People are generally willing to help one another even in a different function or leader. Willing to try innovative ideas and take calculated risks. It is ok to challenge one another respectfully including your boss if you have data to back your idea.,Pace is quick like a typical tech company.
20,Bukalapak,Great culture,2022-03-16,5.0,Supervisor,"great culture, open minded, never settling","industry challenges. 
not much other than that"
21,Bukalapak,Awesome Environment,2022-03-16,5.0,Anonymous Employee,"Promotes creativity and innovation with a sprinkle of hustle, pushing forward tech in Indonesia",Office is far from Home
22,Bukalapak,SME Champion,2022-03-16,5.0,Anonymous Employee,Bukalapak is True champion for SMEs,It is a company that has strong emphasis on profitability and not growth
23,Bukalapak,Good Place to work,2022-03-16,5.0,Software Manager,"Good Place to work
Remote working capability","Pace too fast
Management changes directions"
24,Bukalapak,Very Comfortable for Engineers!,2022-03-15,5.0,Senior Software Engineer,Very Comfortable for Engineers. Nice salary with enough workload.,Needs extra effort to get promoted and to evolve
25,Bukalapak,Good Culture,2022-03-11,5.0,Anonymous Employee,Great working culture and great environment,Salary is under average i suppose
26,Bukalapak,Well balanced growth for personal and professional,2022-03-10,5.0,Marketing Manager,"great leaders, always provides insightful feedbacks and clear direction",too many products without clear objective shared with everyone in the company
27,Bukalapak,Good for me,2022-03-08,5.0,Software Engineer,The reward is so good to the point that I was surprised for a moment,No cons for a moment
28,Bukalapak,Great place to work,2022-03-07,5.0,Growth Specialist,Lots of great talents with many opportunities to explore,Have not experienced any downsides so far
29,Bukalapak,Technical Program Manager,2022-03-07,4.0,Technical Program Manager,"Good culture, facility, insurance coverage",Work life balance. Internal issues. Burn out
30,Bukalapak,Nice!,2022-02-27,4.0,Customer Service,"Good work environment and good team, if you are in the right division",There's an circle that makes us uncomfortable
31,Bukalapak,Good perks but bad politics,2022-02-24,3.0,Manager Logistics,They give you good perks,"Internal politics
Too many ex consultants"
32,Bukalapak,-----,2022-02-23,5.0,Purchasing Buyer,Handle procurement process in term of administration,Make sure all the process specification and delivered in the most prudent way
33,Bukalapak,A great place to work!,2022-02-21,5.0,Product Manager,"Very healthy working environment with many benefits. They are expanding internationally, too.",Company branding might  not as bright as the others
34,Bukalapak,Greate place!,2022-02-19,5.0,Software Development Engineer,"- Fun Squad
- Great Employee Services
- Growth Skills and Experiences",- Too much meeting maybe
35,Bukalapak,good management,2022-02-18,5.0,Product Manager,"-great insurance
-friendly colleague
-supportive environment
-nice benefits
-good reputation","-salary below expectation
-no benefits for self improvement
-overwhelming
-pressured work
-business vision"
36,Bukalapak,"A great role for those who wants to get the best of every aspect in Product, Design & Eng",2022-02-17,4.0,Technical Program Manager,"Great salary and manager, as well as benefits","Sometimes work can be tedious, and quite complex"
37,Bukalapak,Best Place to Grow,2022-02-14,5.0,Software Development Engineer,"- I'm pretty lucky I'm assigned in a squad that has friendly environment. It's very flexible thanks to WFH policy. 
- There's a huge opportunity to grow. There are so many internal programs to push your skill to the limit.
- I have awesome teammates that really support my work. 
- The benefits are really good; BL has one of the best health insurance. 
- Engineer can actually push product if anything went wrong. Every voice is heard and feel like everyone has the power to change.","- We're still not a settle ground even as a unicorn. The movement inside is really fast, any initiative can change quickly. 
- While the product demand is increasing every time, the resource does not follow."
38,Bukalapak,Good,2022-02-13,5.0,Team Leader,So good and I hope I can join,"Good place to work, with good team"
39,Bukalapak,great places to gain experiences and knowledge,2022-02-13,5.0,Junior Growth Campaign Specialist,great places to gain experiences and knowledge,please make to work from office and increase wages for the employee
40,Bukalapak,Great Company,2022-02-12,4.0,Software Engineer,"comfort environment to work, nice place to learn",the development plan could be better
41,Bukalapak,Good place to work.,2022-02-09,5.0,Senior Product Designer,"Friendly environment for work, also good place to learn things.",Sometimes hard to work with other stakeholder. But we can make it
42,Bukalapak,Good place to learn!,2022-02-07,4.0,Community Management,"Great colleagues, full of flexibility, full of autonomy",Unclear career path and so much going on
43,Bukalapak,Great Work-life Balance,2022-02-03,4.0,Senior Front-End Engineer,"+ work life balance
+ career opportunity
+ health insurance
+ WFA*","- salary (compared to another big startup in Indonesia)
- no CTO yet 
- WFA certainty"
44,Bukalapak,Nice Place to Work,2022-02-03,5.0,Software Engineer,Pretty nice place to work.,Career path/ performance review that changes every few months
45,Bukalapak,Good Team and Benefit,2022-02-03,4.0,Lab Technician,"Full benefit standart
Good teamwork
Good Facility",Different policy in next year
46,Bukalapak,Great company to work,2022-01-31,4.0,Software Engineer,"Family culture, blameless culture, flexible working hour, work from home",to much ambiguity within management decision
47,Bukalapak,Greedy,2022-01-26,3.0,Partnership Manager,Good benefits and nice people,The company by itself is too greedy for its own good
48,Bukalapak,Bukalapak Pros and Cons,2022-01-19,5.0,Brand Marketing,Great teammates and supportive supervisors,"heavy work load, minim work life balance"
49,Bukalapak,Great Company with lots to learn,2022-01-08,5.0,Manager,Ability to make impact for Indonesians,Too dynamic at times. Change of strategy
50,Bukalapak,A Great Company to work for,2021-12-31,5.0,Software Engineer,"- Remote Work
- Health Benefit",- Performance and Career Review is done yearly
51,Bukalapak,Environment,2021-12-18,4.0,User Experience Designer,"- Good & Collaborative Team.
- Friendly Coworkers",- Lack of mentoring for self development
52,Bukalapak,Good company for anyone who loves WLB,2021-12-16,5.0,Digital Marketing Manager,"Work life balance, supportive leader",Lack of guideline in how to carry out cross-functional efforts
53,Bukalapak,working at bukalapak,2021-12-15,5.0,Account Manager,bukalapak has a supportive working environment !,none for right now .
54,Bukalapak,Bukalapak,2021-12-15,5.0,Campaign Specialist,Good Company for explore ecommerce industry,Hard to level up your career
55,Bukalapak,Good Work life balance,2021-12-02,5.0,Strategy Analyst,Work life balance and great opportunity to discuss with high level management team,"Unstructured workflow, low demands from the marketplace"
56,Bukalapak,Pros Cons,2021-12-01,5.0,Product Designer,"Top notch insurance, shares, high skilled peers, competitive salary, annual bonus, mental health support system, annual salary adjustment","fast pace of development (rushed), reward system need to improve (promotion and salary adjustment)"
57,Bukalapak,It's going to the right direction (hopefully),2021-11-28,5.0,Department Head,"Most engineering team from SVP to junior level are down to earth
Gotong royong ftw
Lots opportunity for contribution",Still in process of getting more mature as organization
58,Bukalapak,Great place to work,2021-11-23,5.0,Software Engineer,"- Very well paid
- Good colleagues, ""Gotong Royong"" is one of our core values
- There are many beneficial programs, for example, Laptop ownership program. With this program, we can get our dream Laptop for free (we pay this with our years of service). Also there is a House ownership program where we can get a lower interest when we want to take a KPR.
- WFO Optional (till now)","Difficult to get promoted to senior level engineer, especially if you're not in the CORE teams."
59,Bukalapak,Good,2021-11-15,4.0,Software Engineer,"Good salary, Good job, Good culture",No Cons so far Im there
60,Bukalapak,A good company to learn with,2021-11-14,5.0,User Experience Researcher,"Healthy working culture, every UX researcher and designer are willing to help each other. the other function also good at collaboration and willing to learn things together.",Difficult to get promotion because we need to fulfill high standard of the advanced position compared to similar companies.
