,company,headline,date,overall_rating,author_position,pros,cons
0,Cabify,Great place to work,2022-04-06,5.0,Senior Android Developer,"Flexible working time, lots of holidays and great environment",Remote working can be a bit boring but not due to them
1,Cabify,Good Company,2022-03-07,4.0,Talent Development Manager,very good benefits and culture.,Base pay lower than the average in the market.
2,Cabify,Bad,2022-02-10,1.0,Sales,Nothing good I believe. Very disappointing.,Very bad company. Do not recommend.
3,Cabify,"Great place to work and, specially, learn",2021-12-29,5.0,Strategic Planning,I loved every day at Cabify. It was a huge learning. People are great and the company cares about its employees.,Salary is not great and some days are very long in terms of working hours. Sometimes you can feel the structure is not very well organized and changes a lot but that also gives opportunities to do different things if you are looking to learn something new.
4,Cabify,Good ambiente,2021-12-16,5.0,Data Analyst,"Good ambient, competitive team, good tools, good perks.",Not full time remote available
5,Cabify,Great culture and technology,2021-11-30,3.0,Software Developer,"- Very smart people
- Great tech stack(s)
- Amazing work culture
- Full ownership of services and projects
- Lots of trust on Engineers
- Engineering has a lot of power in the organization","- Big high level management mistakes from the point of view of engineering
- Some ""top down"" decisions on what to do which do not match the general culture
- Very low salaries compared to market
- Very difficult to grow (role, salary, etc)"
6,Cabify,Na,2021-09-04,5.0,Finance Manager,Very nice place to work,Really do not have a con for this place
7,Cabify,Good vibes,2021-09-01,4.0,Software Engineer,"People, projects, flexible hours, full-remote, everything is essential in a company.",Hard to move between projects.
8,Cabify,Good place to work,2021-08-08,4.0,Software Engineer,Working environment and coworkers. They are TOP,"The salary has been frozen due to COVID, so even if you promote, your salary does not grow…"
9,Cabify,Benefits are not for all,2021-07-15,2.0,Operational Excellence,"Good team work
Great system
Good culture","Bad management
Hours of work incompatible with personal life."
10,Cabify,HR Administrator,2021-06-18,3.0,Human Resources Administrator,"Fun office, free fruits, friendly environment, strong values, strong culture","work overload, growth opportunities, company structure, fewer benefits, less job security"
11,Cabify,AVERAGE,2021-06-06,3.0,Sales Representative,It has a good compensation package. They are constantly changing which is good and innovating which is good. You can have your voice heard across levels,Too much change specially in the team does not provide a stable vision specially because it does not reflect if the team or ideas implemented were effective or not.
12,Cabify,Loving it,2021-05-31,4.0,Sales Associate/Keyholder,It is so awesome honestly!,It sucks that we don’t make a ton of money
13,Cabify,Awesome company,2021-04-23,5.0,Head of Growth,"Knowledge, career path, experience, culture, people.","Work-life balance, stress, risky industry because of covid"
14,Cabify,Challenging and full of learning,2021-04-19,3.0,Process Improvement Analyst,The atmosphere of constant change,Few opportunities of being promoted within the company
15,Cabify,Good work/life balance.,2021-04-16,4.0,Software Engineer,The company offers a good work/life balance.,I wish the company was more remote friendly.
16,Cabify,Senior Growth Executive,2021-03-15,5.0,Senior Growth Executive,Great company to work for,"Markets not enough mature, at least in Colombia"
17,Cabify,Awesome experience,2021-02-27,5.0,Software Engineer,Awesome colleagues to work with,Promotions and raises are hard to get
