,company,headline,date,overall_rating,author_position,pros,cons
0,Capital One,Great company,2022-04-09,5.0,User Experience Designer,Great atmosphere and work life balance is great,Communication can lack in departments at times
1,Capital One,"People are good, performance culture and work are poor",2022-04-09,2.0,Design Strategist and Researcher,The people at Capital One are great.,"The perforamce stucture relies heavily on manager favourtism and popularity. This can be hard for people who are favoured and those who are not. A lot of emphasis is put on presenting work publically to be 'seen' and feels like a zero sum game, you have to compete with the people you work with to 'own' the work.

The work is also limited in scope. The only product is credit cards, and after a couple of years this can get very tiresome."
2,Capital One,Great,2022-04-08,5.0,Anonymous Employee,Great company great hours great location,"Poor management, covid testing rules"
3,Capital One,Eh Ok,2022-04-08,3.0,Fraud Intake Coordinator,"Good benefits. 
Competitive salary.
Different schedules.","Instead of increasing salaries they send dumb gifts like tshirts and sunglasses
They say they are supportive for mental health but if you need time off for that the process is ridiculous"
4,Capital One,Overall Excellent Company,2022-04-08,4.0,Senior Proposal Manager,The culture at Capital One is fabulous! Better than most companies I've worked for. Benefits are fantastic. Very flexible company.,Certain managers should receive some coaching as there are opportunities for growth in people management and leadership.
5,Capital One,Easy,2022-04-07,5.0,Branch Ambassador,"Great benefits, pay, and fun.",A lot of change happening on the retail level. Will not be around long.
6,Capital One,Great Work Life Balance,2022-04-07,5.0,Senior Product Manager,"Non-stressful work, smart coworkers, great products","not the highest pay, problems with attrition"
7,Capital One,So so experience,2022-04-07,3.0,Software Engineer,"wlb is ok, depends on team.","performance review is a joke,, before Amazon came, everyone is hard to promo,, after, everyone become manager. so it is pure luck"
8,Capital One,very nice work culture,2022-04-07,5.0,Associate Software Engineer,"work-life balance, great work culture, respect","don't remember, may be promotion"
9,Capital One,Good Work Life Balance,2022-04-07,4.0,Capital One Senior Associate,"Project flexibility, customer impacting work, awesome team",banking regulations and red tape
10,Capital One,Good work/life balance,2022-04-07,5.0,Machine Learning Engineer,"Tech-savy, work-life balance, good culture, emphasis on learning and growth",Has some amount of large company beuarocracy
11,Capital One,awesome,2022-04-07,5.0,Coordinator,employees are well taken care of,"non so far, stop pressing me for info"
12,Capital One,"Great Culture, Competitive Salary & Benefits",2022-04-07,5.0,Senior Associate Product Manager,"Work life balance
Technology and engineering and data science team proficiencies
Culture and support","Meeting heavy
A bit too much in the product management vs ownership"
13,Capital One,Great Company,2022-04-07,5.0,Business Manager,"-Smart people
-Nice People
-Benefits are great","-as with any financial services company, a lot of regulation/red tape"
14,Capital One,Great company,2022-04-07,5.0,Software Engineer,Good work life balance and good pay.,The company is huge and things are slow but if you don't care about the product then it doesn't really matter.
15,Capital One,Decent pay,2022-04-07,4.0,Anonymous Employee,Decent pay & benefits. Cool people to work with,There’s definitely a glass ceiling if you start off in operations. I was promoted twice in two years but it was clear that no amount of working my way up would land me in a management or strategy role.
16,Capital One,Ok,2022-04-07,4.0,Associate,Ok benefits but no advancement,Not enough money for what you are doing
17,Capital One,Great place to work,2022-04-06,5.0,Senior Collections Representative,"Salary and benefits, 401(k), great colleagues and compensations","Workload, career growth, proximity of the location is quite far from where I lived"
18,Capital One,Awful internal mobility,2022-04-06,1.0,Principal Process Manager,Can’t think of any right now,Unbelievably difficult to move internally. Pay discrepancy is ridiculous. They talk about diversity but women of color especially are at the bigggest disadvantage here. They’re not set up for success.
19,Capital One,Good place to learn,2022-04-06,5.0,Quantitative Analyst,mentorship program is top of class,advancement is slow due to top heavy structure
20,Capital One,Good company,2022-04-06,4.0,Senior Business Analyst,Good work life balance and culture,Sometimes work can be not so interesting
21,Capital One,Pretty good place to start,2022-04-06,4.0,IT Specialist,Great people and good balance,Too much contradiction internally  and boring work
22,Capital One,N/A,2022-04-06,5.0,Service Technician,Work environment is very comfortable. Really like it,There is no cons available for now
23,Capital One,Great work culture,2022-04-06,4.0,Fraud Coordinator,"Positive interview process
Great culture with supportive managers
Great graduate scheme routes/opportunities for existing colleagues","There was a divide between front line roles and higher roles within operations and, in my experience, difficult to break into a role with more progression from a coordinator level role. However I believe the system has changed since I left the company in 2020."
24,Capital One,"Glacially Slow Progress, but Progress",2022-04-06,3.0,Solutions Architect,"Capital One is a progressive company in terms of their diversity, inclusion, and belonging initiatives and from an engineering and architecture standpoint, they're very tech-centric, finding tech not only as a means to an end in growing their business, but as core to delivering on their intents and audacious goals.","Like many large, well-established companies, especially in the financial services space, the pace of change and innovation here feels glacial at times.
Making changes feels like moving mountains and while we profess to have many moving independent parts, we quickly find that one wheel cannot turn without the explicit written consent of other wheels which feel affected by the turning of the other wheel.
Decisions by committee and a convoluted hierarchy of decision making and bureaucracy are stifling for innovative tech thinkers here."
25,Capital One,Commercial Card has a fun and energetic culture with some growing pains,2022-04-06,5.0,Senior Software Engineer,"Great work culture
Helpful and understanding co-workers and leadership
Interesting problems to solve as a Software Engineer","Sometimes big companies can be slow to change direction, but once everyone gets going it is hard to stop the momentum"
26,Capital One,Not a fan,2022-04-05,1.0,Anonymous Employee,great pay and benefits good work culture,Not a lot of room for growth
27,Capital One,Good Company with lots of bureaucracy,2022-04-05,5.0,Product Manager,"company invests in people and, if you have the right manager, really connects you to internal opportunities
Generally working with smart people","High levels of bureaucracy lead to slower movement
Can work with people with limited product mindset which impedes work"
28,Capital One,"Good culture, average comp, can be political",2022-04-05,4.0,Data Scientist,"Good company culture, good WLB","Comp bad compared to tech, a lot of deadweight teams which can cause a lot of politics. Some mid-level managers/directors can be extremely political/bureaucratic. Encountered a few that were hostile at times"
29,Capital One,Contract management,2022-04-05,4.0,Anonymous Employee,Work life balance is amazing,Pay is not on par
30,Capital One,Great company,2022-04-05,5.0,Associate Recruiter,"career growth, great management that supports you",there are no cons to working here
31,Capital One,Good Place,2022-04-05,5.0,Associate,"Good people, culture, balance, lifestyle","Not much, pay a little below market"
32,Capital One,Great to start,2022-04-05,4.0,Product Manager,"Flexible work life balance
Great benefits","Slow development 
Promotion to generalist
Hard to get things done"
33,Capital One,Salary,2022-04-04,5.0,Work From Home Customer Service Representative,Money is great for the work from home,Better pay but hours are great
34,Capital One,Ok place to work,2022-04-04,5.0,Front-line Manager,"Parking, Benefits, Location, Food, Hours","Senior management
Not diverse
Under paid
Engagement 
Surveys"
35,Capital One,swe,2022-04-04,4.0,Software Engineer,work-life balance and pay scale,lack for promos for new grads
36,Capital One,Great Company,2022-04-04,5.0,Associate Treasury Management Consultant,Great company culture and trying to be a more progressive bank,Strategy often shifts and too many vendor partnerships vs. building products in-house
37,Capital One,Good work life balance,2022-04-04,5.0,Anonymous Employee,Good work life balance for most of the time,Compensation can be better for certain job roles
38,Capital One,Good to get feet wet,2022-04-04,4.0,Associate Software Engineer,"Decent work life balance
Get to work with pretty good tech","Office politics is painful, especially during performance review"
39,Capital One,Great Company to work for,2022-04-04,5.0,Senior Internal Auditor,Great team and culture to work for.,No complaints. Can't think of any cons.
40,Capital One,Agency warehousing Finance,2022-04-04,3.0,Sr. Loan Processor,"Work remotely, excellent communication with CRE Team",Loan Operations Sr leadership needs to value their associates
41,Capital One,N/A,2022-04-04,3.0,Banking,"Great Benefits, Inclusiveness, Flexibility, Good people, Hours of operation","Very strict guidelines for performance, Workload, Leadership, System Issues"
42,Capital One,Good Company,2022-04-04,5.0,Anonymous Employee,Fair company to work for,Have to work Sunday or Saturday within work schedule.
43,Capital One,Why work at Capital One,2022-04-03,4.0,Software Engineer,"There are a lot of interesting projects that use a lot of different software such as cloud, AI, etc.",Can be a big company so your work may not be as visible.
44,Capital One,Great company,2022-04-03,5.0,S S E(Senior Software Engineer),"Great company, really cares about its customers and employees. Nice work life balance as well.","Can be political, performance management process is heavily reliant on who your manager is."
45,Capital One,"Good Environment, bad talent management",2022-04-03,4.0,Supplier Manager,"Good environment, good benefits; listens to associates","bad talent management - review process seems random at times and if you are not in the right role in the right time, you can miss career advancement opportunities"
46,Capital One,Work life balance,2022-04-03,5.0,Senior Relationship Manager,Plenty of PTO with flexibility depending on deot,Disparity in pay for internal associates
47,Capital One,Great Start,2022-04-03,4.0,Branch Ambassador,"4 week vacation after 90 days
Benifits are fenominal","General public can be rude
Raises are not great"
48,Capital One,Good company,2022-04-02,4.0,Anonymous Employee,"Good work-life balance, great benefits.","Very political, competing agendas among leaders."
49,Capital One,Best company I’ve worked for yet,2022-04-02,4.0,Associate Relations Specialist,"Fantastic health benefits, co-workers are typically  friendly and hardworking. Get the sense that the company generally cares about their employees.","Performance review process sucks. It’s not enough to be good at your job, you need to be better than your peers to be ranked well. You also have to play office politics."
50,Capital One,Good wlb and decent salary,2022-04-02,4.0,Software Engineer,"Great wlb, decent salary, and good benefits",Really big company so lots of red tape
51,Capital One,Ok experience,2022-04-02,4.0,Senior Vice President Product Management,"Interesting and challenging work, competitive compensation and benefits, great investment in employee development.","The employee review (aka “calibration”) process is inaccurate, biased, and politically motivated, where individuals outside of your org with little intercession with you, weigh in on your ratings, resulting in high turnover of employees."
52,Capital One,Head in Sand,2022-04-02,3.0,Attorney,The overall culture is positive,"There are too many roadblocks to advancement and little transparency. If you are good at your job and keep your business happy, you could probably stay there forever but never advance beyond Director. At some point they just made it next to impossible (unless you are one of the anointed) to progress beyond that level. They have also started hiring attys at ridiculously low levels so even getting to the ""catch all"" Director stage is much more challenging."
