,company,headline,date,overall_rating,author_position,pros,cons
0,CarDekho,Excellent Working Environment,2022-04-06,5.0,Key Account Manager (KAM),"Cardekho is fast growing company in decades 
It's Customer centric company
Employees Satisfaction 
Job Security,",Need to think about new ideas coming from team
1,CarDekho,Good,2022-04-05,5.0,Delivery Driver,Excellent service of this company,Not at all any bad review about this company
2,CarDekho,Completing 5 years at cardekho,2022-04-03,5.0,Territory Lead,"There is a amazing work culture where everyone gets the chance to learn and grow and the vision of the company and targets is getting downward clearly by leadership team.


PS: In every job role there may be ups and downs but a positive and problem solving attitude can leads us to the success and happiness.",No downsides of working at cardekho if you have positive and problem solving attitude.
3,CarDekho,Feedback - company,2022-04-01,4.0,Associate Director,"I see this opportunity as a way to contribute to a forward-thinking & fast-moving company, and I feel I can do good with my skills here.","There’s less room to experiment on the solution side , as we need more skillset to exercise anything"
4,CarDekho,Nice work culture,2022-04-01,5.0,Senior Credit Executive,Nice company & work culture is brilliant. Gives healthy salary according to your last employer.,"No cons so far, There can be but I don't know."
5,CarDekho,5-year of working with CarDekho,2022-03-31,4.0,Associate Director,"- challenging work is appreciated 
- suitable place to pick up a new skill
- met some excellent professionals and worked with them","- work-life balance 
- cross-functional functions can be a challenge"
6,CarDekho,Keep it up,2022-03-29,4.0,Business Manager,Cardekho is a good company. Salary and bosses are also good.,Everything was good. its a good company.
7,CarDekho,Brief review,2022-03-23,4.0,Key Account Manager (KAM),"Learning
Autonomy
Helpful 
Cooperative non toxic environment",No cons as experienced as such
8,CarDekho,Best Cultured Work Place,2022-03-15,5.0,Associate Director,"- Top notch leader.
- Highly connected and behaved culture being built.
- Caring and understanding management.
- Valued from both sides.",- Should be more technologically advanced or driven.
9,CarDekho,Great Experience,2022-03-14,5.0,Retail Sales Associate,"# Friendly work culture.
# In-house opportunities,
# Team-work,
# Supportive Managers, Territory Head, Zonal Managers, National Head, & Director.","# Fake Commitments for promotions, & to customers.
# Car Movement from one store to another is very task, so, we lost customers at the end, because of non-availability of desired cars on time."
10,CarDekho,it is very good,2022-03-14,5.0,Executive Assistant,"very supportive staff 
no one is aggressive",there is no down sides
11,CarDekho,Amazing culture,2022-03-14,5.0,Intern,"culture good, everybody is helpful",did not find any cons
12,CarDekho,Work Culture,2022-03-11,4.0,Assistant Project Manager (APM),Work Culture is good enough.,You may need to work on weekends.
13,CarDekho,Good Job but less career growth.,2022-03-02,3.0,Dealer Success Manager,"Great Company to work with, good policies.","Have to travel alot.
Less incentives and bonus
No career growth."
14,CarDekho,Work culture good,2022-02-24,4.0,Senior Technical Lead,"Work culture good
No time boundation","Not much tech oriented
Need to more focus on management"
15,CarDekho,"High pressure, Politics but decent learning",2022-02-14,4.0,Project Manager,"High pressure, Politics but decent learning",Lots of politics and not much support
16,CarDekho,1 SPECTACULAR YEAR,2022-02-11,5.0,Business Manager,I personally like the management.......... and.... More opportunities to grow... team always push up to grow...,I don't think that any downsides are there with working in this organisation.
17,CarDekho,A dynamic and trustworthy organization.,2022-02-11,5.0,Project Manager,CarDekho offers multiple opportunities to grow both in the professional and personal front,"Sometimes to find the financial fitment, you may have to resort to hardball"
18,CarDekho,Cardekho International team,2022-02-10,5.0,"Corporate Manager, Strategy","The vast scope of Learning
Out of box thinking culture
Super supportive Reporting manager
 Helpful Colleagues",Working remotely (but that is due to the Covid scenario)
19,CarDekho,"Is a Good Support for HR, IT, Manager Admin, Team. In time Response Our Car Dekho Service. I Miss you Girnarsoft auto",2022-02-10,5.0,Key Account Manager,Nice to have a great day both,Dealers onboarding for free Lanser ID
20,CarDekho,People centric organization,2022-02-04,5.0,BDM & KAM,"The owners are the Best part of the company, they really care for the people who work for them. Mr. Amit Jain is Extremely humble and down to earth person with lots of creative ideas and he is always up for new ideas and implementation.
Right place to start your career and growth","Politics as usual.
One to one review is never.
Sometimes it's your fault without actually bejng faulty"
21,CarDekho,Beat,2022-01-30,4.0,Software Development Engineer In Test (SDET),"1.Very dope cool guys
2. Learning curve
3. Very good environment
4. Supporting staff
5. Lifestyle of company","1.partial professionals.
2.Multitasking provided to everyone
3.Not gud support
4. No roadmaps for interns
5. Salary is low"
22,CarDekho,Good Start bad stay,2022-01-17,5.0,Executive,"good work
good opportunities (department specific)","Low pay.
offices in outskirts. Transport problems."
23,CarDekho,Review,2022-01-15,5.0,Senior Manager,"1. Provide opportunity to Grow along with company.
2. Great platform to share your ideas.
3. You may learn more because they are working in different businesses.",Work life balance is missing
24,CarDekho,Great place to work,2022-01-09,5.0,Associate Director,You are allowed to do what you want to. Your expertise is utilized to the fullest which is win-win situation for all stakeholders,"If you are passionately working to creating something meaningful/ impactful, you tend to not see any cons. Some temporary hiccups might be there, but those always get sorted at forums."
25,CarDekho,Good learning Exp,2022-01-06,5.0,Anonymous Employee,Offer lot of learning & growth opportunities,"Just like any other startup, things are always moving at a face pace, so for those who can work in unorganised environment as well."
26,CarDekho,Look forward to go to work everyday!,2022-01-05,5.0,Senior Vice President Sales,"- Great co-workers
- Positive attitude
- Company tuned Unicorn in 2021 and growing 
- Huge focus on learning
- High value is given to ownership 
- Teams are empowered
- Abundant opportunities for professional development
- Even at this scale - still feels like a startup
- Friendly policies in all areas
- All in all a fun place to be","No company is perfect, even at Unicorn, we are a work in progress, And we are hired to correct/improve things that need to be improved. While some would strongly feel about a particular issue others might not. 
Most people here would be correcting/solving issues that they feel strongly about. 
The good part is that you are heard and issues acted upon"
27,CarDekho,B2B Auction,2022-01-01,4.0,SRM,Freedom to Implement all Ideas for Business improvement …..No communication barrier & Gr8 working environment ….,Less focus on training & management learnings
28,CarDekho,Best Company,2021-12-28,5.0,Senior Dealer Success Manager,"Total 9 years of work experience in Company , Best thing i can say it company thinks of their employees benefit","Nothing so far, A nice Place to work"
29,CarDekho,Best working environment,2021-12-26,5.0,Associate Technical Lead,Best working environment. Really a great place to work.,"No cons, Best working environment"
30,CarDekho,Fab Place - Tons of Learning,2021-12-13,5.0,Senior Associate Director,Great place to learn and grow,NA - nothing at the moment
31,CarDekho,Things need to be improved,2021-12-07,2.0,Anonymous Employee,"1. facilities
2.salary on-time and good appraisals","1. No work life balance
2. No personal space
3. long working hours
4. No planning for work
5. Un-professional behaviour of seniors"
