,company,headline,date,overall_rating,author_position,pros,cons
0,CarGurus,Amazing place to work,2022-04-07,5.0,Manager,Incredible benefits and training programs. Upper management actually takes the time to get to know the lower/mid level employees,nothing to mention at this time.
1,CarGurus,Great company who take care of staff and reward hard work,2022-04-06,5.0,Dealer Relationship Manager,"I have worked with CG for the last year and I have found them to have a very inclusive culture where they focus on staff wellbeing, I have been challenged and supported to learn more and grow as an individual. 

They reward hard work. Targets are set high but there is a lot of support and an array of products to sell. If you exceed target you are rewarded for it.

The best work life balance I have had in a job yet, if you are structured it is a dream job.",We are about to move back into the office from being fully remote which will cause some difficulty.
2,CarGurus,Great work life balance,2022-03-29,5.0,Sales,Working at CarGurus allowed me to have a great work life balance. The perks were also very generous and it was clear they wanted us to be happy.,Quotas changed each quarter and there was a delay in getting them to us
3,CarGurus,Best of both worlds,2022-03-27,5.0,Marketing Director,"CarGurus has vibe of a startup but the resources and structure of a public company. The culture is casual and fun, but the work feels ""big"" and you know you will get the support you need to be successful at your job. The business is also really diverse and interesting--I didn't realize the extent of this until I started and learned more. People were super welcoming and the work life balance is pretty real. I know a lot of companies say they care but I really believe they do here.",There is turnover but I don't think it's a reflection of the company but rather broader trends (great resignation) and also people who long for the pre-IPO days leaving to to startups. Though the upside is that new people who are coming in are very energized about where the company is going next.
4,CarGurus,Still the best after 6+ years!,2022-03-25,5.0,Senior Regional Sales Director,"People, pay and a kick-butt product! Sam Zales is truly the bright spot at CG!! Wouldn’t be the same without him!!",Attrition. Always sad to see people you know and love move on.
5,CarGurus,Buyer beware!,2022-03-21,1.0,Sales,"I want to start by saying it is hard to find pros, When the last time I left a review I believe it was deleted. But here it goes again… They try to make a Silicon Valley type office with lunch, snacks, even some games and happy hours on the premise.","Not even sure where to start here. I worked at CarGurus for roughly a year and a half. In the year and a half I started regretting my decision roughly after training started. In a year and a half I burned through about four different managers - All of which made promises that were never kept.  If you are a favorite in the organization, (generally this is Men), you WILL succeed.   If for some reason (that you will likely not be made aware of) you get on the wrong side of your manager or their manager, look out!  After about six months into my tenure I started having that sick feeling on Sunday nights. About two months later the sick feeling started coming on Saturday nights, by the end I started feeling sick in my gut Fridays because I knew that Monday was just a short couple days away and the threats and stress to be better would just keep surmounting!  This place is a glorified fraternity. If you’re not in the inner circle You might as well start looking for a job. Buyer beware- this company is a lemon!"
6,CarGurus,Amazing,2022-03-13,5.0,Account Executive,"The product is simple to understand  and offers excellent value compared to main competitors. 
KPIs are very achievable, and a 6-month ramping target is very fair. 
If you want a job where everyday is different and the culture is fun and challenging, this is the place to be . Management is supportive and leaves you to take responsibility for your own targets and to organise your own day. 
The office is in a great part of Dublin with free catered lunches and a fully stocked kitchen.
Pay and benefits are excellent and ahead of a lot of Tech Companies in Ireland .",Nothing really other than from June we are back in the office 3 days a week  when a lot of the team are now use to full WFH
7,CarGurus,Great company with a solid work/life balqnce,2022-03-04,5.0,Anonymous Employee,"Good perks: bonuses, commuter benefits are paid for, free lunches, snacks in office, health/dental are solid, and they did perk boxes during the pandemic
 
Culture is very much based around work hard, play hard. A slack channel for every hobby or interest. Warm and inclusive environment.","Products debut without care for the teams that support them. Business decisions can be short sighted. 

Snacks in office aren’t exactly healthy."
8,CarGurus,Great place,2022-02-22,5.0,Account Executive,They care about you as an employee and have clear career paths.,No full remote option offered.
9,CarGurus,American companies just do it better!,2022-02-22,5.0,Marketing Executive,"Amazing perks and benefits (including shares and monthly free gifts)
Generous salary and bonuses 
Big friendly community feel
Big on diversity 
Cheesy (but fun!) American spirit 
Lots of fun work events, seminars etc
Senior team is honest and open","Some areas still lacking in diversity
More investment needed in technologies and infrastructures 
UK teams feel a bit divided from rest of the business
No London office"
