,company,headline,date,overall_rating,author_position,pros,cons
0,Care.com,Great Work Environment,2022-04-05,5.0,Anonymous Employee,"Remote Equal, Benefit packages and PTO policy",Growing Pains of expanding Business
1,Care.com,Bad,2022-03-28,1.0,Security Officer,Whatever don’t like it I’ll there,It was unprofessional investigation type
2,Care.com,Slightly disappointed,2022-03-27,2.0,Remote Receptionist,Getting to work with children and help them grow and develop,Very underpaid for the amount of tasks I complete. Disrespected by parents and children.
3,Care.com,Best ever,2022-03-25,5.0,Anonymous Employee,Amazing flexibility and downtime for it,Money is kind of on call
4,Care.com,Decent,2022-03-19,4.0,Software Engineer,Very good and smart coworkers.,"Very average compensation, no equity."
5,Care.com,Good pay and benefits if you can deal with toxicity and high stress,2022-03-18,2.0,Senior Software Engineer,"Good pay, good benefits. Modern tech stack.","Toxic environment - while many people here are very smart, arrogance and toxicity is rampant. 

Good luck getting support. Management will have the answer to figure it out yourself. 

While the tech stack is more modern, documentation is terrible. It covers only the most basic cases and expects you to already be an expert. If you ask questions, good luck finding a single answer. 

High stress environment."
6,Care.com,Work From Home Flexiblility,2022-03-14,4.0,Anonymous Employee,Ideal for families with small children. Flexibility with hours and days. No benefits but PTO and a 401k.,Low pay with only small yearly per hour increases.
7,Care.com,Great company culture,2022-03-10,4.0,Marketing Solutions Specialist,"Team Environment, Great Support, Fun, and Flexible",Hard to earn consistent commissions
8,Care.com,Good,2022-03-08,4.0,Business Consultant,"Good benefits, great team, fun","Unpaid, nothing really else though"
9,Care.com,"If you need somewhere to land, i guess?",2022-03-08,1.0,Manager of Information Technology,"IF you are in a tough spot, this is not terrible to go to.
if you are new and need to build up experience, this OK to stop at on your way.","Burnout culture. 
No communications, Workaholic middle-managers.
Lots of attrition
No vision from the top 
No plans - they are just here to build it up so IAC can sell it off. 
CEO Tim likes to say all the time ""we are a technology"" or ""we are going to become the Tinder of the Care Industry"" If swipe right/left sounds the right way to pick the next spot to leave your kids or elderly loved ones, then you could stomach being here."
10,Care.com,great,2022-02-12,5.0,Internship,"good pay, good hours during your work time",I don't have any at this time
11,Care.com,Great Company to Work For,2022-02-10,5.0,Marketing Solutions Specialist,"Remote
Can work anywhere
Great team environment",Days seem long since were on a phone but the team makes it fun
12,Care.com,Terrible pay,2022-01-28,1.0,Quality Assurance,Great team of people to work with.,They expect so much of employees and refuse to pay a decent salary. College grads make double what we are making.
13,Care.com,Love it!,2022-01-28,5.0,Anonymous Employee,The Company is very flexible and the people are great!,I cant think of any Cons!
14,Care.com,Great Training Program,2022-01-20,5.0,Marketing Specialist,"Complete Training Program
 Very patient staff. Well organized.",Don't see any as of yet.
15,Care.com,Good place to work,2022-01-10,5.0,Lead QA,Good. Place to work and good team,I didn't find any issue with working at care.com
16,Care.com,Good Company for Working Parents,2022-01-07,5.0,Trust and Safety Analyst,Company provides flexible work environment for working parents. Communicates well with employees. Strong benefits package.,"Not a lot of team interaction for hourly employees, but that may be a result of the pandemic work environment."
17,Care.com,Good,2022-01-04,1.0,Customer Service,Got me a job when I needed one for nannying,Not all profiles are legit
18,Care.com,Great place to work,2022-01-04,3.0,Sales,Work life balance is great,More competitive pay for their roles
19,Care.com,Sales is sales,2022-01-03,4.0,Sales,"Remote working, very supportive. Great benefits and pay","Cold calling is challenging, either you love it or you don’t"
20,Care.com,Avoid the LifeMart department!,2021-12-20,2.0,Email Marketing Manager,"Good benefits (unlimited PTO, 401K match, decent insurance & HSA). Let us work from home from March 2020 onwards.","The company has a stupid discount shopping service called LifeMart. The deals (stuff like Omaha Steaks, HelloFresh, T-Mobile, etc) suck and no company should be paying Care.com to use this service. Most of these offers can be found throughout the web, usually on the actual merchant website. I worked here for 2 years and never bought a thing thru LifeMart.

When we had to work in the office, this place was a 21st century version of Office Space. Very hierarchical and the higher ups were thrived on a culture of fear (resorting to PIPs without even talking to you). For reviews, they make you review your own performance and then cherry-pick mistakes to make you look horrible. It's beyond degrading. 

Zero support for working parents and only 3 days of paternity leave. They also drug test for a job that you could do half asleep. Raises are non-existent and no bonuses. I was the only non-white person on my team and management took zero interest in me and my career goals. It was very isolating. 

I was ready to leave after 1 year. The pandemic delayed this by a year. 

My manager had ZERO boundaries and would give me unsolicited advice on finding childcare just so I wouldn't ""be distracted"". Sorry, my child has interrupted nothing and you have ZERO authority of what I do at home."
21,Care.com,Ehh,2021-12-08,3.0,Business Intelligence Analyst,Good 401k match. Flexible with working locations,Pay lower than industry standards. Executive board doesn't have a clue
22,Care.com,Good Job,2021-12-02,4.0,Anonymous Employee,I have flexible hours during the week.,Hard to find someone to cover hours when I need time off.
23,Care.com,Company that Cares,2021-10-29,5.0,Director,"mission, benefits, compensation, people, programs, technology",sometimes a lot of process to complete
24,Care.com,Good place to work but I have achieved every goal I set myself and  need a new challenge,2021-10-21,4.0,Sales Advisor,"Good money
Local
Customers
Making a difference to disabled people","Unfair management 
Stock issue
Footfall low"
25,Care.com,Care review,2021-10-18,5.0,Editor,-Easy to use and safe.,-Challenging to be accepted again once deleting account
26,Care.com,Good place to work,2021-10-17,4.0,Anonymous Employee,Good work life balance and benefits,Volume can be very high and not always enough staff
27,Care.com,Great Company!,2021-10-11,4.0,Anonymous Employee,"Everyone I work with is extremely friendly and knowledgeable 
The training is well rounded and extremely helpful",Not as many growth opportunities
28,Care.com,All-around good work environment,2021-10-10,5.0,Senior Operations Associate,"good company culture, upward mobility, decent benefits, offers transparency to employees","below market wages, poor distribution of resources in terms of prioritisation projects"
29,Care.com,Great environment.  Not so great pay/appreciation.,2021-10-05,2.0,Operations Supervisor,People are amazing! It's a team environment and everyone is always willing to help each other.,Upper management doesn't seem to appreciate their employees and doesn't show gratitude towards them. The only way to get a raise is to be promoted and there aren't always opportunities for promotions.
30,Care.com,Best work environment I’ve ever been in,2021-09-27,4.0,Product Manager,"People are kind, push for more diversity throughout the business, investment in ERGs, opportunities to grow quickly, great work-life balanced, laidback environment","Management could do a better job communicating company vision and making the team feel more connected. No real programming to help with career progression (ie, speakers or courses within the org, though we did just start up a partnership with Udemy)."
31,Care.com,A Good Place to Work,2021-09-17,5.0,Anonymous Employee,"Supervisors who are caring, helpful and good communicators!
Allow remote/independent work",Occasional lows in work hours
