,company,headline,date,overall_rating,author_position,pros,cons
0,Cbeyond,Horrible culture,2022-03-16,1.0,Analyst,None that I can think of,"No work life balance, poor systems"
1,Cbeyond,Not great,2021-11-29,1.0,Sales Associate,Get commission for all sales,Management was not great and not a lot of training
2,Cbeyond,What you would expect,2021-09-22,4.0,Sales Representative,Pay growth for new emplorr,Pay decrease for existing employee
3,Cbeyond,Good job,2021-09-21,4.0,Collections,Competitive fun lots of calls,Schedule. Insurance. Time off. Managers
4,Cbeyond,good company but has a lot of flaws in mangement,2021-08-24,3.0,ReactJS Developer,"-timely pay
-free tea
-sat sun off","-Lack of magement 
-Lack of testing team (QA)"
5,Cbeyond,Hard work knocking doors and pushing sales,2021-08-14,2.0,Outside Sales Representative,I enjoyed the team environment and the fact that they offered a base pay in addition to the commissions. The have a great sales training program and teach the basic of outdoor sales techniques.,This job is hard and the company burns through their employees quickly. It is walking door to door all day and visiting every single business in a city to find a lead that you can sell the service too.
6,Cbeyond,no,2021-06-29,4.0,Sales Representative,Great sales training and coaching,Very high touch model and approach
7,Cbeyond,Long hours but good expereince,2021-06-25,3.0,Anonymous Employee,good opportunity for sales exposure,long hours and no vehicle reimbursment
8,Cbeyond,Great,2021-06-08,5.0,Sales,"Loved working there, very competitive industry.",Micromanagement was a bit rough.
9,Cbeyond,Great,2021-06-08,3.0,Administration Assistant,Great people and benefits and pay,Long hours and lots of work
10,Cbeyond,Great Environment,2021-05-17,5.0,Retention Specialist,The company fostered an environment of all around inclusivity. We were able to visit different departments to learn new skills which we could then apply to our skill set for new positions.,I didn't care for shift bidding but I understood it.
11,Cbeyond,Awesome Company to grow with,2021-04-13,5.0,Technical Support Manager,"Technical Education, Growth opportunities, Strong Team","Turnover, Satellite Office location away from corporate headquarters."
12,Cbeyond,Intern,2021-02-27,5.0,Intern,It was a good time,There were no cons in this position
13,Cbeyond,Great,2021-02-16,5.0,Sales Associate,Fun place to work really,Money is not the best
14,Cbeyond,Good training,2021-01-29,3.0,Account Executive,"technical training, career growth, environment, benefits, salary","management, base salary, working hours, expenses"
15,Cbeyond,job,2021-01-27,1.0,Sales Associate,Experience and good team atmosphere.,"Money, and difficult situations are common."
16,Cbeyond,Cold calling galore,2021-01-18,3.0,Sales Representative,"Thorough training, out of state.",Had to do a ride along for a few days as part of job interview. This seemed like a hard core cold calling job.
17,Cbeyond,good place if your nuts,2020-10-14,2.0,Sales Associate,"none, no work life balance","bad sales model, low pay, crappy product"
18,Cbeyond,Not good,2020-07-05,3.0,Executive,No leos just not a good compaby,Bad company and management not good long term either
19,Cbeyond,Don't work here,2019-09-03,1.0,Sales Consultant,"Can be good commission, great place to learn some sales techniques.","Everything, terrible company, high turn over, not competitive services, over priced."
20,Cbeyond,"Fast paced environment, good place to start career",2018-12-01,4.0,Software Engineer,Good mix of technologies used;  Staff is technically competent.,"Not much growth prospect longer term. Management hires their own leaders from outside, instead of promoting from within."
21,Cbeyond,Territory Sales Rep,2018-08-20,2.0,Territory Sales Representative,Good training program and good for entry level,door to door aggressive sales tactics with young managers and people don't act as a team always
22,Cbeyond,Tough gig,2018-03-19,2.0,Outside Sales Representative,"- Decent pay
- Great place to learn and understand sales","- Long days
- No real breaks"
23,Cbeyond,Decent,2018-02-26,3.0,Anonymous Employee,Neutral experience at this company,Nothing specific for this company
24,Cbeyond,IT Specialist,2017-12-06,5.0,IT Specialist,Amazing and intelligent staff who made work fun,Upper management sometimes didn't listen to engineer suggestions which lead us into known issues
25,Cbeyond,Telecom Company,2017-09-25,3.0,Network Manager,Great start up company and ideals.,Bad contracts and support lowered product quality.
26,Cbeyond,Market Director,2017-08-28,4.0,Anonymous Employee,"Training, income, tools, support was great","Hours, lots of pressure, micromanaging from all angles"
