,company,headline,date,overall_rating,author_position,pros,cons
0,Cimpress,good,2022-04-06,3.0,Graphic Artist,This company is good for first job.,Some of the managers are toxic.
1,Cimpress,support,2022-03-31,5.0,Senior Operation Support Engineer,great company to work in,lots of changes in manageme t
2,Cimpress,Good place to work.,2022-03-26,4.0,Software Engineer,"Excellent work environment, great culture.",There no cons as of now.
3,Cimpress,Amazing,2022-03-23,5.0,Anonymous Employee,"Benefits and work ethics, working hrs and flexibility regarding work place",Cons! There's nothing to add anything regarding cons.
4,Cimpress,"Remote work, Flexible timing, awesome fascilities",2022-03-12,5.0,Senior Software Engineer,"- Remote first strategy
- Flexible Timing
- IT Reimbursement for WFH 
- Communication expenses reimbursement
- Openwork culture",I did not find any cons till now.
5,Cimpress,Great Place to Work!!,2022-03-09,4.0,Product Manager,"- 100% Remote first
- Great work culture
- Work life balance
- Inspiring Vision and evolving roadmap of the organization",- Compensation not at par with market standards
6,Cimpress,Hampering growth,2022-03-04,2.0,Team Lead,"Amazing work life balance.
Inclusivity and diversity
Freedom to explore AWS
Great till you are a developer","Leadership across different quadrant are unaware what is happening in other quadrants. As a results promotions and growth are hampered.
Leadership fakes about caring attitude towards employees when it is related to career but in reality they do not care 
There is lot of bias behaviour but showcase they value the employee
Many reorgs without any rationale
Compensation is a concern as leadership does not care about it at all. When asked they don't have clear clarity 
Some quadrants are bullish and dominate a lot. But due to their higher rank in the company no one comes forward."
7,Cimpress,Nice work Experience,2022-02-27,4.0,Graphic Designer,Good environment and enjoyed work what you do,I don't want to talk about it
8,Cimpress,Best Company to Work In,2022-02-22,5.0,Senior Software Engineer,Very good work culture and environment. Competitive and less work load.,"No cons as such, that I could think of."
9,Cimpress,Awesome company to work,2022-02-18,5.0,Talent Acquisition Specialist,"Great culture, employee Centric.highly recommend",Nothing cons to say everything as per the bar
10,Cimpress,About cimpress,2022-02-17,5.0,Ui\Ux Designer,Great work culture and great ethics,No cons as of now
