,company,headline,date,overall_rating,author_position,pros,cons
0,ClearTax,Very good,2022-04-07,5.0,Anonymous Employee,Very supportive managers good work culture,Honestly no cons there. Everything is great
1,ClearTax,Good company,2022-04-06,5.0,Marketing Operations,Good management great to work,Managers work like shift supervisor
2,ClearTax,Really good,2022-04-06,4.0,Programmer Analyst,"No bond , no any stress , good atmosphere","Low work, not a good work you get."
3,ClearTax,handle inactive customers and make them active on software,2022-04-04,4.0,Customer Success Manager,"good salary, incentives,
Good employee benefits,","no stability keep on changing teams for every now and then, micromanaging"
4,ClearTax,nice place,2022-04-03,4.0,Sales Executive,"Good environment, good people, Parties",Work pressure is real here.
5,ClearTax,Good company,2022-03-25,5.0,Category Manager,Nice place to start your career,Need more agile teams to deliver better offerings to users
6,ClearTax,Not a good company to work for,2022-03-23,1.0,Software Engineer II,Good as a career stepping stone,Bad and toxic work culture
7,ClearTax,Great,2022-03-22,4.0,Sales,Good company to work with,Leadership alignment is missing in the company
8,ClearTax,"Toxic Work Environment , Manipulative founders",2022-03-19,1.0,Strategy Manager,"Salary always comes on time, junior to mid level managers are good people to work with; Good company for CAs","1. Incompetent, insecure and very manipulative founders and leadership team.
2. You will be doing work which will be 100% different from what you were hired for. Basically JDs given during hiring are fake. Departments are changed every 2-3 months.
3. HR is practically non existent. Co founder, takes all the HR decisions
4. Attrition is crazy - avg tenure is 6-7 months. Best people leave within 1 year.
5. Revenue is not scaling at all and random targets keep getting pushed down."
9,ClearTax,One of the best platform for tax filling.,2022-03-14,4.0,City Manager,Strongly recommend. Great working culture.,Nothing as such to mention.
10,ClearTax,No work life balance,2022-03-14,1.0,Software Developer,Obviously compensation is better as comparison to market standard,"Horrible work life balance, high level of micromanagement. Managers are merely puppets.
CTO have his own set of people who always says yes without thinking and then keep on pushing the everyone out there with infinite war rooms."
11,ClearTax,Toxic Culture!,2022-03-05,1.0,Human Resources Recruitment Coordinator,"-Salary package is okayish, not very good.","-Toxic work culture
-Long working hours
-Managers expect you to work from 9am to 9pm."
12,ClearTax,Good company,2022-03-04,4.0,Product Designer,Good work and good people,Lack of team building activities
13,ClearTax,A high achievers company,2022-03-01,5.0,Head of Brand Partnerships,If you are a performer Clear is one of the most stable and rewarding companies.,If you are looking for relaxed late back work culture then Clear is not a place for you.
14,ClearTax,Good place to grow urself,2022-03-01,4.0,Product Manager,"Highly competitive 
Exciting work
Great environment",Sometimes work gets overloaded but as a startup it is a common thing
15,ClearTax,not good now,2022-02-28,2.0,Anonymous Employee,was good in the initial days for almost 2 years after the upper management changed everything changed,It was not good environment later to 2020
16,ClearTax,Review,2022-02-23,3.0,Anonymous Employee,Was good in the past,Not good at the moment
17,ClearTax,Good work space,2022-02-11,5.0,Product Manager,Nice place to grow and learn,Less pressure and better hierarchy can be managed
18,ClearTax,Good,2022-02-08,4.0,Manager,"Good culture, leaders, quality of work",Not enough growth avenues for budding leaders
19,ClearTax,Nice,2022-02-07,5.0,Lead Generator,Nice working here cool atmosphere,None is there all is good here
20,ClearTax,Good job for freshers,2022-02-04,4.0,Operations Specialist,"Great culture
Young teams
Immense learning about fintech",Startups tend to have no proper process because of which you end up doing someone else's job too
21,ClearTax,Great Company,2022-01-31,5.0,Senior Software Engineer,"- Good work in terms of quality
- Good recognition 
- Great team
- Good employee friendly policies",Not any that I have observed.
22,ClearTax,Employee treatment is bad,2022-01-31,1.0,Customer Success Manager,Work from home and salary comes on time,"Bad work life balance, slow career growth, inaccurate appraisal system"
23,ClearTax,best in the line,2022-01-30,5.0,Enterprise Account Executive,everything about it is best in the line,nothing as such to recall
