,company,headline,date,overall_rating,author_position,pros,cons
0,Cloudflare,Great product,2022-04-10,4.0,Account Executive,Great product that companies need,Nothing really to note here
1,Cloudflare,"Great work, no prospects",2022-03-05,3.0,Research Engineer,"Work on challenging problems with some very smart people. Good work life balance. Encourages writing about work you've done, support for standards work.","Compensation is below market after a few years and promotion is rare. Hiring comes from outside. HR makes promises about fixing this but doesn't follow through.

Heavy favoritism: some teams get allowed to make problems for others, other teams bear the costs and aren't recognized."
2,Cloudflare,Meaningful work alongside amazing people in a company that cares about you,2022-02-28,5.0,Systems Engineer,"- Company mission
- Talent that you're surrounded by
- Career progression opportunities
- Inspiring leadership
- How much the company cares about its employees
- Work / life balance
- Strong performance of business",- Can be a lengthy interview process
3,Cloudflare,Great Company,2022-02-17,4.0,Business Development Representative,Great potential as a company for growth,Growing pains are very frustrating
4,Cloudflare,"Right People and Trajectory, Sales org weird",2022-01-23,4.0,Mid Market Account Executive,"- Great technology, incredible vision for market
- Smart, impressive people everywhere
- Sales management understands sales org problems and is patient with new hire struggles
- Constant updates/investments for products
- United Healthcare paid for
- RSUs and ESPP should pay off in future
- Way happier here than last company","- Sales org is messed up generally (low standards of salesforce hygiene, many people lazy in terms of activity), probably more so to so much scaling/growth
- No territories today (you could work accounts in California or Vermont) and you have to find YOUR OWN accounts, start book from SCRATCH
- Lots of confusion/conflict with ROE due to lack of territories
- Constant struggle to find (even sometimes to keep) accounts
- Due to above, difficult first 12-18 months for new hires
- More of a product-led org than sales-led (CEO does not like sales people)
- BDR org has extremely low standards. No cold calling, they do not even CALL leads, they will just email. Don't qualify their own opps, they just get a reply and let AE qualify with prospect. They're not hungry to get opps or even close deals
- No 401k match
- OFFICE FIRST company (weird about remote) but that is changing finally"
5,Cloudflare,Working at Cloudflare,2022-01-23,5.0,Senior Financial Analyst,Fast paced growth and learning culture,Long hours can be hard to balance
6,Cloudflare,Took a turn for the worst,2022-01-13,1.0,Anonymous Employee,"Good technology
Good opportunity for the company
Smart colleagues
Openness (depending on team and subject)","Work life balance,
Culture evolving in the wrong direction,
Constructive feedback is received as being negative, resulting in people not voicing issues,
Understaffed where it matters, overstaffed where it makes no difference,
Limited respect for people,
Almost no benefits,
Unfair rewards - out of balance between teams,
Below market salary,
'Winner' takes it all attitude from management,
Toxic sales culture,
Very limited personal growth,
Manager is the only real career path,
Parental leave get extended the week before the CEO became a dad???"
7,Cloudflare,Bad Sales Culture,2022-01-12,2.0,Account Executive,"Product is amazing, customers love it. Pay is good.",No territory structure. Everyone is trying to eat each other's lunch.
8,Cloudflare,Great company,2022-01-11,5.0,Cloud Support Engineer,Great Training and the benefits are out of this world.,Not enough of this company to go around.
9,Cloudflare,Awesome shop,2021-12-21,5.0,Product Manager,"Amazing culture 
Strong technical leadership
Solving problems people actually have",Comp and benefits severely lag the industry
10,Cloudflare,Disorganized not aligned sales strategy,2021-12-14,2.0,Senior Account Executive,"decent product, fairly competitive and decent benefits","Senior Sales Management has no strategy in moving company forward, also there is a air of Age Discrimination going on here"
11,Cloudflare,Cloudflare,2021-12-04,4.0,Technical Account Manager (TAM),Fun place to work and challanging environmnet,Salary is not up to the industry
12,Cloudflare,Great Company to work for,2021-12-01,4.0,Customer Facing Role,"Smart people, Innovation, Great customers, Good benefits, stock","Start up mentality
Junior Management
Too many product releases"
13,Cloudflare,Great Culture!,2021-10-29,5.0,Senior Account Executive,Great Culture which is rare for sales orgs,"Typical growing pains of a young company, but they're working hard to iron things out"
14,Cloudflare,company,2021-10-14,3.0,Sales Representative,"great industry , good technology, good team",stressful and toxic working environment
15,Cloudflare,Great company with great products,2021-09-29,5.0,MidMarket Account Executive,"- Large portfolio of solutions to sell
- In demand products
- Good benefits
- Actually cares about their mission","- Not fully remote
- requires a lot of independent work (not a con for all but will be for some)
- very frugal with internal spending"
16,Cloudflare,Great way to get a foot in the door of tech,2021-09-28,5.0,Business Development Representative,"Collaborative team sales environment
 Decent benefits
Managers drive professional growth,
Rapidly growing company","Top of funnel sales can be a grind
Company is focusing hiring efforts away from CA"
17,Cloudflare,Not mission driven,2021-09-27,4.0,Systems Engineer,"Great stock performance
Ok work life balance",Emerging tech organization is a mess. Not mission driven. Management picks random hype driven products to develop. Lack of engineering leadership and mentorship
18,Cloudflare,"Formative  Company, Great product on its path to becoming better. Still lacking in company culture and benefits.",2021-09-15,4.0,Business Development Representative,"Great Brand, great values, great product. In the sales org you feel like you are selling something with a lot of value no matter what. Good upward mobility. Lots to learn in this company.","Not a sales driven org, so commissions are mediocre. Very average SPIFF and accelerator structure. Don't come here for the money, come for the training and the knowledge"
19,Cloudflare,Love the leadership transparency and work life balance,2021-09-09,4.0,Expansion/Marketing/Growth,Really impressed by the transparency by the leadership in weekly meetings and also leadership making time in understanding the problems and helping take down barriers.,"Benefits can be a lot better, they dont match 401K or any other benefits that typical tech companies provide."
20,Cloudflare,Great Company!,2021-08-31,4.0,Anonymous Employee,"Diversity and inclusion, smart leadership, friendly environment.",At times management alignment is off
21,Cloudflare,Jumpstart your career,2021-08-18,5.0,Business Development Representative,Great momentum in the sales organization with good opportunities to move from the BDR role to further up the ladder in the sales or technical role.,401K contribution by the company would be great but not the biggest downside. No other glaring cons at the moment.
22,Cloudflare,Upward trajectory,2021-08-17,4.0,Account Executive,"New Leader -- lots of change since she came on board
Managers want you to be successful
Lot of time spent on new hires
Comp is great
I love my team","Communication to sales is bad. Other groups change all kinds of things that impact us with any sort of notice
No 401K match
CEO is not respectful of sales"
23,Cloudflare,Technical Support Engineer,2021-08-15,4.0,Anonymous Employee,"Great company and lots to learn. Diverse culture, transparent and very flexible. Great co workers.","Millions of products and super technical, salary is low compared to other companies in the same domain"
24,Cloudflare,Overall good experience,2021-07-28,3.0,Cloud Support Engineer,"Great tech and innovation, I learned a lot","Stressful work environment, too much work for the team head count"
25,Cloudflare,Great Product and Team,2021-07-16,4.0,Account Executive,"Very smart people, open to collaborate and help where they can. The product is amazing and the culture is very much based on curiosity and empathy - good spot to work at.",They design the sales org in a way to play people out against each other and it backfires. There are projects on ongoing to improve the sales culture so let's see if it improves
26,Cloudflare,They delete reviews,2021-07-15,1.0,Account Executive,"- you can constantly fight for opps
- you can get screwed on pay 
- the CEO hates sales people
- its a boys club",- no 401k match either
27,Cloudflare,"Great, but aggressive",2021-06-25,4.0,Head of Growth,Lots to do all the time.,Not enough time to do it.
28,Cloudflare,Great company with a lot to work on and a strong trajectory,2021-06-23,5.0,Systems Engineer,"Very interesting technical work on low level problems
Huge impact on the Internet
Solid work life balance, typical schedule is 9-5 or better
The execs know how to run a solid business, so stock performance has been great","Starting equity grants tend to be on the low side
So-so benefits
Not fully embracing remote"
29,Cloudflare,Growing pains,2021-06-02,2.0,Sales,"Competitive salary
Good Health Benefits
People are nice","No 401K matching
Poor Work/life Balance"
30,Cloudflare,Dream job,2021-05-24,5.0,Systems Engineer,"Challenging and impactful work, brilliant coworkers, and great leadership team",Full-time remote work is currently the exception but not the norm. I hope the pandemic changes that.
31,Cloudflare,Very Fast Paced,2021-05-19,4.0,Security Engineer,A Lot of cutting edge work,Results are expected very soon
32,Cloudflare,"Some growing pains, however, it's a great company with an amazing product",2021-05-17,3.0,BDR,"Great middle management and team leadership, amazing product, corporate leadership believes in mission statement and tech, healthcare is awesome if you're an individual","Long term corporate strategy hasn't been implemented (feeling repercussions in sales org due to lack of marketing and name recognition), expensive healthcare if spouse and/or family are on it"
33,Cloudflare,Dba and administration,2021-05-13,3.0,Database Administrator (Database Administrator),Flexible work hour. Good team of talented players,Less salary. Lack of direction
34,Cloudflare,Great Product,2021-05-04,4.0,Customer Solutions Engineer,The product just works. Company innovates faster than any other competitor.,We innovate so much it's hard to keep up. Work can sometimes be overwhelming.
35,Cloudflare,Fight over literally everything.,2021-04-29,2.0,Customer Development Manager,"Good tech, exciting company outlook.","CEO, poor management, systemic issues related to accounts, duplicity across organizations."
36,Cloudflare,Cool,2021-04-24,4.0,Business Development Representative,Cloudflare has really great parts about the job.,"The job title is based on the cost of labor, not the cost of living. Can be a downside depending on where you live."
37,Cloudflare,Great!,2021-04-20,5.0,Contracts Specialist,"Diverse, pay, growth, supportive, workshops","No 401k match, no pension,"
38,Cloudflare,Incredible place to work and grow,2021-04-20,5.0,Support Engineer,"- Great Team
- Everyone encourages each other to grow and is supportive
- Incredible training program and access to free Udemy courses
- Leadership that is transparent and cares.
- Everyone believes in the mission statement","- There is a lot of material to learn and understand. You will end up spending an additional 1-2 hours every night taking Udemy courses, working with study groups, doing trainings, or conferencing with peers to make sure your knowledge is kept up to date."
39,Cloudflare,OK place to work but promotions are hard to come by,2021-04-09,3.0,Customer Success Manager,"Start up culture, Good Benefits (except for 401k)",Super stingy with promotions. Especially for women and POC.
40,Cloudflare,Just Awesome!,2021-04-01,5.0,Technical Support Engineer,"Flexible, Unique and amazing products","None, Thats what my experience is!"
41,Cloudflare,"Great products, teams, not a lot of potential to grow or earn more",2021-03-23,4.0,Account Executive,"Great products, good people, reasonable leadership","Burnout, career stagnation, some passive aggressive political games"
42,Cloudflare,Lots of hard problems and amazing engineering,2021-03-12,5.0,Product Manager,You get to build things with lots of leadership support.,We magically ship products very quickly but need to invest more in infra.
43,Cloudflare,Good place to work with good purposes,2021-03-06,4.0,Software Engineer,There are lots to learn,Don't feel like engineers are compensated enough.
