,company,headline,date,overall_rating,author_position,pros,cons
0,Cogent Communications,"Call center environment, no hybrid/remote work possible",2022-04-05,1.0,Global Account Manager,"Great HR, Great onboarding, decent benefits","Company won't allow remote work, has to be in the office, leadership is old school.
Call center environment wasn't mentioned during the interview process.
Leads are from an outdated CRM and leads needs to be picked up from past reps."
1,Cogent Communications,"Extremely high turnover, no plans to improve conditions",2022-03-20,3.0,Anonymous Employee,Decent entry-level job if you’re fresh out of college and live with your parents.,"Extremely poor handling of pandemic response; the CEO laughed off the potential dangers before finally deciding that remote work was best, then brought everyone back to the office full-time before the omicron variant pushed us back home for three months.

Besides that there’s an extremely high turnover rate for both reps and operations. My team has had to replace five people in the last year, three for the same position. 

No room for advancement if you don’t work in sales. Cost of living adjustment not on pace with inflation (but the CEO has multiple cars in the garage). Work computers are outdated and poorly managed."
2,Cogent Communications,Ceo doesn’t care,2022-03-16,2.0,National Account Manager,"Pay is good, okay start, okay managers","Ceo, ceo, ceo, ceo, ceo"
3,Cogent Communications,not good,2022-03-13,1.0,Sales Associate,"friendly people, good management , good infrastructure.","everything, staff, work life balance ,timing."
4,Cogent Communications,Great training,2022-03-10,5.0,National Account Manager,Training is amazing. They really want to help you succeed.,No cons. You get out what you put in
5,Cogent Communications,Best company to work for,2022-03-03,5.0,Sales Associate,training and management is great,nothing to complain of being here for 5 years
6,Cogent Communications,"Great people, awesome product, terribly mismanaged company",2022-03-01,2.0,Regional Account Manager,Great teammates and office environment everyone is willing to help you succeed,no work from home whatsoever
7,Cogent Communications,Good company,2022-02-28,5.0,Quality Analyst,"Tataplay process, nice process good to work","Friendly atmosphere, good colleagues, but only salary is low"
8,Cogent Communications,Gateway Sales Opportunity,2022-02-22,3.0,National Account Manager,Best On-Net Solution for the best $$,"Transactional, selling, rather than customer-centric.
Work environment."
9,Cogent Communications,Work-balance not good,2022-02-21,3.0,Technical Support Engineer,Friendly environment and Good workplace.,Lack of promotions and less able to move into a higher position.
10,Cogent Communications,30 Days Was All I Could Stand!,2022-02-20,2.0,National Account Manager,"Good Training Program, Decent Co Workers",Glorified Telemarketing Position with Zero Remote Work. Cold calling Recycled Leads ALL DAY Long! Slight Micro Managing and Exposure to Covid in Small Office with Smaller Cubicle.
11,Cogent Communications,They don't care about you. You are robotic for the company,2022-02-15,1.0,Regional Account Manager,Probably they have great training. That's only reason,"You are micromanaging. if you don't call enough, have no appointment you don't do your job. Even someone had covid, they didn't tell you. You off work a few days and come back. No one cares. All the negative review is right. I work in there for over a year, the manager left and almost everyone left. You are competitive with someone in your company. RAM and NAM are the same. No culture, worse company environment. No company kitchen"
12,Cogent Communications,Messy,2022-02-10,3.0,Regional Account Manager,Great leadership on an individual team basis.,Bad leadership from the C-suite level. HR system is a nightmare. COVID policies are also a nightmare.
13,Cogent Communications,Accept your fate,2022-02-08,5.0,Global Account Manager,If you do the work it pays off. There are no short cuts. It's not easy but it is worth it!,CRM allows for duplicates to be created. It's an ongoing battle and I think many sales organizations face this same issue.
14,Cogent Communications,Pretty Bad Company,2022-02-08,1.0,Anonymous Employee,"Base is low, but the bonus being paid out in the first 6 months made it livable wages I guess.

THE CEO wonders why everyone quits in the 8 month range because that's when all the bonus are done paying out LOL.","Where should I start?

*CEO/Manager wants you to go in to work when office has Covid outbreak wtf is this?

*If you worked under a year, you have to work in the office (new policy) because CEO doesn't trust new employees

*insurance pricing recently got reduced by half but it's still pricy, so you can tell how expensive it was before and even now!

*HR never replies to emails. They were slightly better in the beginning but once an employee leaves in the company, they don't hire more people, but just let them do more work probably. Sales is different though, they like to mass hire because they know sales are always quitting after leeching the bonus.

*The company claims that everything will be fixed ASAP but no one responds to IT/support tickets internally nor externally. CEO should really be on top of the IT team not the sales people.

*Forces you to take an hour lunch and make you stay in the office 8-5, so you are basically working 9 hours because if they see in the office, they assume you already took your lunch lol."
15,Cogent Communications,No good,2022-02-06,2.0,Customer Service Associate,No pro there just politics you can see,Everything going on there sallery hold and etc
16,Cogent Communications,It sucks,2022-01-31,1.0,Account Executive,They don't know what's going on half the time,They don't set you up for success
17,Cogent Communications,Great for starting out in the industry.,2022-01-31,4.0,Sales Representative,They give you time to learn. They will give anyone will the desire to learn an opportunity.,Building conditions are not optimal as the buildings are old.
18,Cogent Communications,Sales,2022-01-24,4.0,Sales,"Decent team, leadership, and training.","Mundane, repetitive, some are OK with that."
19,Cogent Communications,Nice Salary that is about it,2022-01-21,2.0,National Account Manager,"Nice Salary 
That is really it
Great network infrastructure","High Turnover!!!
I didn't have good managers. Some offices do.
No windows in the office which you don't notice till you notice
Dialing for dollars. 50-75 a day"
20,Cogent Communications,worst place I have ever worked in my career,2022-01-20,1.0,Account Executive,benefits were the reason and my original manager,massive turn over and the micromanagement.
21,Cogent Communications,"Good place to start, wouldn’t recommend it as a long term career",2022-01-13,3.0,Regional Account Manager,Good training for new sales reps,"Product is expensive hard to compete (sells internet, some of our competitors are half the price) CEO believes that employees are commuting time theft and forces employees into office with Covid being extremely bad. Had symptoms was still required by HR to go into office, tested positive and was only given 10 days to get better before having to return to office. Really old school environment, I personally believe office work is dying which means Cogents services are starting to become outdated."
22,Cogent Communications,Horrible place to work,2022-01-05,1.0,Senior Billing Analyst,You have job. That's it!,No work life balance! They don't care about you.
23,Cogent Communications,Revolving Door,2021-12-19,1.0,National Account Manager,Can't really come up with any...,Sales model. You are basically an in-house telemarketer.
24,Cogent Communications,DO NOT JOIN IF YOU READ THIS,2021-12-18,1.0,National Account Manager,"Life or death like survival, good RLM's, approx 5 out of 20 days at the job will be ""good""","HR leadership, bad work-life balance, CEO, unrealistic expectations, flexibility"
25,Cogent Communications,Culture...Culture....Culture,2021-12-14,1.0,Global Account Manager,Free soda and coffee...and they allow you free internet access while in office. Oh and free phone.,Way too many to list.. would max out allowable word limit
26,Cogent Communications,Micro Management Big Time!,2021-12-12,2.0,Global Account Manager,"Company has competitive pricing and large foot print, and seem to install very quickly.","Micro management, no time to think or research companies you want to try and acquire, just dial anyone you can. The owner is very untrusting, thinks employees need to be watched at all times and everything is tracked and watched"
27,Cogent Communications,CEO is out of touch,2021-12-09,1.0,Sales Manager,Was a great company until recent changes from CEO,"Dave reached new levels apathetic and cognitive dissonance due to, you know what, (I can't see the ""C word"" on Glassdoor) and it is unbearable. Reps are leaving on a weekly basis but he doesn't care. 

Other telecom competitors I have close connections with are not doing this."
28,Cogent Communications,Great time to join in 2022,2021-12-08,5.0,Sales Manager,Competitive Salary & Higher commission structure for sales reps. Supportive mgmt staff that takes the time to coach and works with sales rep to be successful.,No work from home policy. Must come to the office everyday.
29,Cogent Communications,Always looking for new reps,2021-12-08,1.0,National Account Manager,"Great Boss, coworkers, benefits, salary is great, good product","Turnover, expectations are high, CEO, HR, always hiring new reps, bait and switch"
30,Cogent Communications,National Account Manager,2021-11-12,4.0,Anonymous Employee,"Decent pay, great atmosphere, takes work but worth it.",It's a grind. Must build your own acct base.
