,company,headline,date,overall_rating,author_position,pros,cons
0,Criteo,Great work environment,2022-04-09,5.0,Technical Account Manager,"Great work environment
Awesome company culture
The ability to learn and grow","As of yet, nothing to report here :)"
1,Criteo,Love my company,2022-04-06,4.0,Account Strategist,"Great multicultural workplace, spirit of helping and learning all the time",Insensitivity for my country's base salary
2,Criteo,Great place to work at,2022-03-31,5.0,Senior Account Strategist,"- Good salary and bonus (compared to Barcelona average pay)
- Good health insurance 
- Good people, good vibe, good offices, good managers
- It is evolving quite positively and I feel heard as an employee there 
- Great technology
- You learn a lot
- Work from home flexibility","- Difficult to get promoted sometimes, a lot of competition
- When the company is under pressure, you feel it (sudden micro managing) 
- Difficult to maintain a work/life balance if you want to do great (you will work a lot - but it is noticed)"
3,Criteo,Great Workplace to be in,2022-03-30,4.0,Anonymous Employee,"Great Work life Balance. Nice company to be in, good future prospects",None as of now I have faced
4,Criteo,"Great benefits, growth lacking",2022-03-26,3.0,Project Manager,"Great benefits, work flexibility and communication",Ability to grow in this organization is difficult
5,Criteo,Good,2022-03-25,5.0,Team Leader,Feeling valued as a person,It could be slow to evolve but if you put the effort they shouldnt be any pb
6,Criteo,"Great company, highly recommend",2022-03-25,4.0,Anonymous Employee,"Great energy, renewed management team executing well on multi-product platform strategy.
Very good work atmosphere","Still transformation ongoing, but really on the right path"
7,Criteo,Recommended company to work with,2022-03-18,5.0,Account Executive,"Good employee’s benefit
Good salary
Nurturing and growing culture",representative office for SEA only in Singapore
8,Criteo,Good company,2022-03-17,5.0,Software Engineer,Good company in Paris for engineers.,Nothing much to share here
9,Criteo,Was world leader in pure retargeting; new focus on retail media is strong but legacy business an issue,2022-03-17,4.0,Vice President,"- Outstanding engineering in Paris; top-tier folks from all over EU
- Truly global, scaled business
- Strong commitment to not getting distracted by shiny objects (i.e. Sales wants X today)","- Too burdened by quarterly concerns
- Stingy with headcount (though not pay), given profitability
- Sr leadership can be out of touch"
10,Criteo,Best Workplace By Far,2022-03-17,5.0,Field Marketing Manager,"Adore leaders, teams, every person and the culture is flawless.","Sometimes it’s difficult to get things done due to the size of Criteo. With that said, that teams are so helpful it’s always easy enough!"
11,Criteo,No faith in leadership,2022-03-12,1.0,Digital Marketing Manager,"Great benefits, cool offices, etc.",Leadership constantly changes direction. CMO is rude. Office Politics are rampant and dictate everything.
12,Criteo,Grateful for my experience @Criteo,2022-03-04,5.0,Software Engineer,"Company culture: value people and engineering quality; people are really nice and always there for offering help; colleagues are smart and go a great job; met best manager in my career; small benefit surprise.

Tech stack/tools quite modern (no much gap compared to tech giant).","Compared to some of similar tech companies(ex: DDOG), there might be a salary gap."
13,Criteo,Great tech company,2022-03-02,5.0,Management,smart people and good work environment,product is too Europe centric
14,Criteo,great for start,2022-02-25,4.0,Account Manager,"good environment, salary is competitive",on the whole all good
15,Criteo,Retail Media great place to work,2022-02-23,5.0,Director,"Leadership
Team work
Work Life Balance
Winning Team
Great Product",Criteo is 2 divisions. Retail Media and Marketing Solutions. The 2 divisions do not work as closely as they could/should.
16,Criteo,Great company,2022-02-22,5.0,Anonymous Employee,Great company to work for!,I don't have a con
17,Criteo,Great company to work for,2022-02-21,5.0,Anonymous Employee,"Great environment to work, with many benefits. People are nice and supportive. Work-life balance.",More locations should be added for more flexibility and talent attraction.
18,Criteo,Great company,2022-02-19,5.0,Data Analyst/Data Scientist,"- fast environment
- top technologies
- international company
- great talents to learn from
- transparent and supportive company
- good management
- many opportunities to learn and develop",- many transformations happened in the past 2 years
19,Criteo,Great company to work for,2022-02-17,5.0,Anonymous Employee,"Criteo has developed a genuine company culture, it's a people-first company. 
There are many ways to have a positive impact aside from your job, you can join communities, charities... 

Criteo offers career development opportunities, in 3 years time, I have had the opportunity to work for several offices in EMEA 

It's a fast-paced and competitive industry, with a lot of smart people.","Being within a fast-paced industry, employees need to be comfortable with constant change (new industry standards, advertising rules, product roadmap...)"
20,Criteo,One of the better companies,2022-02-16,3.0,Anonymous Employee,"Great company wide growth, position autonomy, and a solid vision. Love the CEO/leaders and the initiatives.","I joined more than a year ago and have yet to meet anyone in the company.

Really poor amount of PTO (I was surprised at how few days were given). 

Unless you’re fairly high management level, no stock options. 

Too many politics stunting growth.

Individual countries take their own route and don’t reflect the global culture / initiatives."
21,Criteo,Lack of growth,2022-02-16,4.0,Account Strategist,"Great work/life balance and learning experience, solid product that actually performs. CEO was great too",Lack of growth opportunities after a couple years
22,Criteo,A big company,2022-02-16,4.0,Software Engineer,"- all advantages of a big company (healthcare, stability, interesting projects)
- industry leader and innovative
- big data structure","- it depends on people you end up working with (some teams are more remote, others are more always thinking of work up and you may get notifications at 3am, others are more chill and so on). You have to ask with which team you'll end up working and meet them.
- some projects may be vowed to failure but as upper management is pushing you have to do it even if you don't believe in it
- close to impossible to negotiate the pay outside the evaluation process ; personally I am below what I could get on the market (but I stay for personal reasons)
- the matrix and the 360 evaluation system is actually a trap for people that don't especially make friends in the office. You think it helps your progress but for people that have a life after work you don't know a lot of people from work (because work is as you guess it only work) and then during the evaluation process people that make lots of connections have better evaluations
- the big data part is kind of a protected kingdom and it is very difficult to enter in it. The idea is that big data is the source of income of Criteo and so the closer you get to that the greater is your power in the company but this is less and less true and other people should be valued as such because at the moment people working in non-big data areas are not valued as much."
23,Criteo,Beats unemployment for sure,2022-02-14,2.0,Senior Software Engineer,"Criteo is tech focused and the engineers are the stars here.

* The management is somewhat open to change
* Company values diversity
* OK compensation
* Very good work life balance
* Paid overtime
* Varied tech stack (c#, java, scala, kotlin, python, ruby) so you'll find a match
* OK place to start your career","Coming from a FAANG company due to family reasons, I was shocked at the diversity of engineer skills here. You can see one skilled and enthusiastic engineer, and a staff/senior engineer that shouldn't even be hired as an intern. Though rarely, I've also encountered people in high tech positions that don't speak English very well. It's a mixed bag.

The company is very bureaucratic and slow; even small projects require several meetings in which some people's opinions matter more than others. The kickoff meetings are a joke, people just want to state things to sound smart and they block you in the process.

The codebase is very low quality, there's no coding standard, and the high number of supported languages doesn't help. When a feature is replaced, the old code doesn't get deleted, the migrations don't get done to completion, and the code grows and grows over time, becoming more fragile at each iteration. Then you find yourself reading code that's not even used anymore, because it turns out that the code you're reading was there just to support one project that prevented some migration from going complete in 2018 and it was decommissioned in 2020, but no one bothered to clean it up.

If you're coming from FAANG, don't make same the mistake I've made. Your skills won't be appreciated here and you'll struggle trying to be productive."
24,Criteo,Great place to work,2022-02-13,4.0,Solutions Engineer,"Full of great/easy-to-work people
Multi-cultural environment
Company cares about employees well-being and work-life balance","Criteo doesn't really care people leaving after couple of years, no effort spend on keeping employees in the company. 
Company loses lots of knowledge and expertise due to retention.
Employees encouraged to move internally with ""Criteo First"" idea but positions are filled with external hires often."
25,Criteo,Dynamic Team and great opp to learn In AdTech,2022-02-09,4.0,Account Executive,"Amazing team spirit, good salaries and an amazing location in Barcelona",Promotion cycles may bee too long
26,Criteo,A lot of opportunities for growth,2022-02-08,5.0,Anonymous Employee,A lot of transformation and opportunities to grow,Uncertainty as a result of transformation
27,Criteo,Cool company with sloppy execution,2022-02-08,3.0,Anonymous Employee,"- Great work culture that values work/life balance and that promotes frequent team outings
- Very dynamic organization and product portfolio that go through frequent iterations/evolutions which surfaces internal movement opportunities
- An overarching company mission that resonates well (the company likes to call itself the savior of the open internet)
- Your voice is always heard as an employee","- Poor track record of executing on the company vision
- There's not enough commitment on the management side to remove the blockers that thwart execution
- Not a clear correlation between performance and compensation (does not seem to be much of a difference between being a slacker and being a difference-maker)
- Lack of teams/people that own a product or an initiative in an end-to-end fashion (this could lead to a lot of you've got to speak to this team for this and then, this team directs you to another one). This also leads to managers/execs not focusing on their impact but being worried about their title prospects.
- Team structure is not consistent across different regions
- Its compensation level in comparison to market is not consistent across the countries where Criteo has a presence. Particularly, its compensation scheme does not work properly in high-inflation markets."
28,Criteo,Great place to work! Amazing work culture and life balance,2022-02-07,5.0,Anonymous Employee,"Great place to work, learn and grow in your career.",I didn't found any cons.
29,Criteo,Good company,2022-02-06,4.0,Technical Solutions Engineer,"Good work life balance
Good benefit",Long time to get promoted
30,Criteo,Good tech company but management to review,2022-02-05,3.0,Engineer,"Technical environment and interesting projets.
Salary","Too many processes, outsourcing and management not always fair"
31,Criteo,OK,2022-02-03,3.0,Sales Manager,"Average working environment
Ok salary and benefits","French centric
Not innovating quickly enough"
32,Criteo,Great product,2022-02-01,4.0,Client Partner,Great product. Fantastic benefits. Incredibly well-resourced,Too many silos at the time. I understand it’s far more efficiently run now.
33,Criteo,Great company to work for but lack of competitiveness on the job market since Covid,2022-01-29,4.0,Technical Solution Engineer,"Amazing company culture
Great product
strong sense of belonging",Slow and very corporate when it comes to evolution
34,Criteo,Executive Assistant,2022-01-27,3.0,Executive Assistant,"great benefits & employee perks, friendly people","difficult to get answers to questions, global team means coordinating with multiple times zones which can be challenging"
35,Criteo,good,2022-01-25,4.0,Anonymous Employee,good company to work for,not a bad company to work for
36,Criteo,Great company,2022-01-23,4.0,Anonymous Employee,"A lot of knowledge
Thought leadership
Amazing corporate culture and team spirit","Bad processes, a lot of manual operations"
37,Criteo,Excellent Experience,2022-01-22,4.0,Senior Account Strategist,"- Strong core product
- Good Manager",Not many cons in my opinion
38,Criteo,Great place to work!,2022-01-20,5.0,Account Strategist,"Amazing benefits and work culture. Lots of perks as well as supplemental trainings and PTO. Flexibility in career changes within the organization is encouraged should you be interested!

Always improving and recognizing their employees. I have been searching for an environment like this for along time and glad I was able to find it.","If you don't work hard, climbing the ladder may be difficult, but that's anywhere really!"
39,Criteo,"Great company, fun times had",2022-01-19,5.0,Business Development Manager,"Work life 

Office 

People are great",Lower salary pay than competition
40,Criteo,Great company to work for,2022-01-17,5.0,Associate Account Executive,"The culture at Criteo is amazing. Working on the sales team is exciting and fun, and there's opportunity to make quite a bit of money in commissions. Tthere's typical bureaucracy (i.e. waiting on higher ups for approval of certain things) but you'll find that anywhere.","Not a Criteo ""con"" necessarily, more so just the reality of working for a truly global company can be frustrating at times as we have to consider things that don't always have a direct impact on us, i.e. Covid-19. If things are bad in one part of the world but totally normal in another, there's sometimes the chance that you will still be affected on a company wide scale."
41,Criteo,Great working experience,2022-01-17,5.0,Global DEI Specialist,"I have been working at Criteo for more than 3 years and it is to date, the best working experience I have ever had. Great team, great people and great workplace. Criteo is putting people first and is always trying to improve its employee work conditions.",None to my own experience
42,Criteo,Awesome company,2022-01-15,5.0,Anonymous Employee,Work life balance is amazing,None. Can’t think of any
43,Criteo,French company,2022-01-15,3.0,Regional Sales Manager,"New CEO made great changes
More innovative now than before
Benefits great",Not very diverse too many French or Europeans in APAC offices. Mostly seconded.
44,Criteo,Retail Media,2022-01-13,5.0,Senior Account Strategist,"Treat employees very well, Mental Health / Work-life balance is great.",Time off isn't that good
45,Criteo,Family atmosphere,2022-01-13,4.0,Sales Manager Mid Market,"All of the staff are amazing, made me feel at home and part of a family.",Management was shocking! They had clearly just been promoted for being good at sales or from being there for so long!
46,Criteo,Great culture,2022-01-13,4.0,Technical Solutions Engineer,Really good company culture even in the Japan's office (Usually foreign companies in Japan would be localized),The C-level changed quite a lot from the past 2-3 years and so many new teams/departments appeared. Too many products and teams make work harder.
47,Criteo,Amazing company!,2022-01-11,5.0,Associate Data Analyst,Great culture. Love the direction of the company,Not the most competitive pay
48,Criteo,Plenty of better options elsewhere,2022-01-05,1.0,Senior Manager,"Some nice people, selection of good benefits including WFH","Constant cost cutting - operating on a shoe string budget but expecting miracles. 

Regular rounds of poorly executed redundancies and restructuring over the last few years - if you like security then avoid 

Incompetent and unqualified leaders, in particular amongst Directors and Senior Directors.  Speaking French seems to be the main criteria to get to this level. 

Lots of talk about being ‘People focused’ but in reality this is not the case.  Talent Development and promotion opportunities minimal."
