,company,headline,date,overall_rating,author_position,pros,cons
0,DAZN,Avoid if you are an ambitious PM,2022-04-07,1.0,Product Manager,"- Genuinely nice people in product and engineering who build things with a smile

- Good place if you see your future in an old school broadcasting company or in the betting industry","- ""Fast moving"", ""constantly changing"", ""not for everyone"", ""thrives on chaos"" are just duct tape phrases to gloss over a fickle-minded leadership that has made 4 x CEO changes and 3 x reorgs in 2 years

- PMs are just project managers who are supposed to deliver a top-down roadmap created at the whims of the marketing and rights teams. It is demotivating and kills your spirit

- DAZN had an inspirational product leadership from Amazon and BBC in 2018. Now it's full of mediocre managers from assorted Israeli and British betting companies with lacklustre pasts

- Do not join if you aim to work for Google or Facebook one day. All you will do here is deliver projects and not do any actual product management and that will reflect in your CV"
1,DAZN,-,2022-04-07,3.0,Partnerships Executive,"Sports experience, fun culture, people","Low pay, slow progression, high workload"
2,DAZN,Good,2022-04-05,4.0,Anonymous Employee,Flexibile working and open to change,Lack of structure prices challenging
3,DAZN,Shocking,2022-03-28,1.0,Anonymous Employee,The stress-ball and hoodie that was given on the first week,"I wasn’t with dazn for a long time, but soon realised this company has some extremely concerning issue’s especially the DSC in Leeds, 7 nights shifts in a row, bad attitudes, people come and go as they please, no return to work when people are off sick, management biased based on whether you go out to social events, people doing night shifts on there own poses a serious H&S risk. one of the biggest problems is the job is not as described it is described as a highly technical role when in fact it is not, all you do is log tickets then spend all day chasing other departments to get them auctioned with no OLA so people soon get annoyed. Also 7 nights in a row 80hrs is illegal and needs to be stopped"
4,DAZN,Engineering culture declining,2022-03-26,3.0,Anonymous Employee,Great flexibility to work as engineer,Upper management running DAZN into the ground
5,DAZN,Working Environment,2022-03-26,5.0,Global Desk Services,"Friendly working environment with supportive seniors.
Flexible working hours.",12-hour rotational shifts 3 days a week.
6,DAZN,-,2022-03-26,3.0,Graphic Designer,Exciting environment if you like sports,Busy and people could get not a right position
7,DAZN,Great,2022-03-25,5.0,Anonymous Employee,Great team and culture throughout,The senior leadership team are bureaucratic
8,DAZN,Excitingly chaotic company to work for,2022-03-15,4.0,Anonymous Employee,"Truly no day is the same
At the front of a changing industry","Chaotic environment at times
Easy to get burned out"
9,DAZN,So much potential,2022-03-09,3.0,Senior Vice President Marketing,Highly ambitious and changing an industry,Too many priory changes and reorgs
10,DAZN,"Awesome mission, some talented people, product culture having a hard time",2022-03-02,4.0,Product Manager,"- Disruptive company
- Huge ambition
- Solving problems no-one else has ever solved before
- Sports in your face which is awesome (if you love sports)","- Leadership changes / org restructure every year
- HR, Finance, procurement are generally blockers and not enablers
- Not a product led firm. In general top down decision making and design. Wider DAZN org don't really know what Product Management is"
11,DAZN,"Poor training, average pay",2022-02-28,2.0,MCR Team Leader,"Flexible working conditions
Global network or colleagues","Very low diversity
Training is non-existent at all levels"
12,DAZN,Average,2022-02-27,4.0,Cloud Engineer,"Salary’s are fine
Top edge technology",No stocks for the employees but it may change soon
13,DAZN,Best team ever,2022-02-17,5.0,Anonymous Employee,"Everyone who works here enjoys their position and their job, Dazn is a good place to learn and grow",Too many systems at DAZN
14,DAZN,Fast growing company,2022-02-15,4.0,Product Manager,"Never boring, lots of new challenges","Organizational changes every a few months, low compensation package comparing to other tech companies in Amsterdam"
15,DAZN,dazn,2022-02-15,4.0,Associate,awesome technologies with aws cloud,"salary is not upto industry standards
but you get extra for on call support"
16,DAZN,Great idea of a product however continuous changes cause a bad effect for Product to make progress,2022-02-14,3.0,Product Manager,"Great people, building a game changing product",Pay structure and career paths are not very clear
17,DAZN,Good but long hours,2022-02-13,4.0,Anonymous Employee,"DAZN is a great place to learn and succeed, people are great and it does feel like a 'family' culture. Overall a really fun company to work for.","Working 7 nights in a row without a day off in between - this shouldn't be allowed, working over 80 hours in seven days is illegal.

It can feel very micromanaged sometimes.

TL's need to trust that we'll do the job.

Some people have big egos."
18,DAZN,Avoid like the plague.,2022-02-11,1.0,Anonymous Employee,It’s a great industry to work for and invaluable experience in a place like NI.,"Hid the fact they had a bullying case. Then there is a bullying culture. Ableist language , , anti Irish language, constant gossip and insulting of others behind their backs. You can’t trust anyone there. One thing is right for them but not you. 

7 people have left/fired/quit over dreadful working conditions and bullying. and do not pay staff fairly with what the market value really is. Don't join if your not a Middle Aged white male who enjoys picking on minorities and won’t face the real issues. 

No progression either. Boss regularly said dereogatory remarks behind closed doors. Regularly insulted staff in public as well. Really has been the worst place I have ever worked."
19,DAZN,Empty Values,2022-02-11,2.0,Anonymous Employee,"Exciting technology, parts of the company have a great focus on wellbeing.","Senior Management comprised of the Perform Old Boys club. Culture of fear and fear of failure in the Operational space. Perception over data. Moving fast isn’t something to be proud of if the company haemorrhages money on failed ventures; resulting in dispirited and demotivated staff. Values are just words on paper. It’s a sports company, most key events are at a weekend - management expect availability at a weekend so you end up being online for 7 days."
20,DAZN,Good,2022-02-11,4.0,Anonymous Employee,Opportunity to work for game changing company.,Hard to progress as it has an rigid structure.
21,DAZN,Lots of potential but lots of work to get there,2022-02-08,4.0,Anonymous Employee,"Ambitious, lots of smart people, macro trends favor the business model","Lack of process, high-performance culture, too much volatility inside the company"
22,DAZN,Amazing place of work,2022-02-08,5.0,Anonymous Employee,"Great company and amazing colleagues. 
Everyone's very open and available - caring about your opinion.",I'm having a great experience - no cons
23,DAZN,Great company,2022-02-07,5.0,Anonymous Employee,"- Inclusive community 
- Flexible working 
- Great work-life balance 
- Many wellbeing initiatives
- Fast paced environment 
- Continuous learning
- Ambitious and supportive people",- No options for company shares
24,DAZN,Diversity,2022-02-07,5.0,Facility Administrator,I was amazed at how diverse this company was when i joined and the encouragement that comes from Shay towards us on a daily gives me motivation to want to deliver at the highest level for the company,. . . . . . .
25,DAZN,Engaging & fast paced tech-first place to work,2022-02-07,5.0,Software Engineer,"- A lot of focus on technology and allowing tech teams to do their thing best
- Good communication from higher ups
- Regular staff surveys to capture employee feedback and action concerns
- Very flexible in relation to remote work arrangements
- Shared vision and goals amongst tech and product teams","- As with any business in the scale up phase, there are kinks to be worked out with release and change processes, which sometimes causes unnecessary confusion and bureaucracy"
26,DAZN,Smart engineers limited by management,2022-02-07,4.0,Principal Site Reliability Engineer,Work with smart people find innovative solutions to interesting problems,Change process is very heavy - top level leadership still think the company is a broadcaster and haven't worked out we are a tech company yet
27,DAZN,"Fun, Engaging and Challenging!",2022-02-07,5.0,Internal Communications Advisor,"Really exciting place to work, everyday is different so really keeps you engaged! 

Down to earth, friendly folks - from Junior level right through Exec board and CEO :)",Nothing springs to mind just yet.
28,DAZN,Great place to work,2022-02-06,3.0,Senior Post Production Engineer,Freedom of work life balance.,TC was too low regardless of how hard you work.
29,DAZN,Poor Management and Infrastructure,2022-02-04,1.0,Media Manager,Great location in the city,Did not care about workflow or actually planning out the business. The company was run like a poorly managed startup with way too much money. Workflow and infrastructure was ignored and that neglect showed in the treatment of their employees and quality of their product.
30,DAZN,Neutral,2022-01-28,3.0,Post Production Technical Assistant,Company atmosphere is friendly. Many good people.,"Low pay, not much benefits. Hard to have a good work-life balance as the times are not that flexible."
31,DAZN,Great company,2022-01-26,5.0,Senior Product Manager,Awesome opportunities to have serious impact across all device types.,Be ready for a challenge - Not a con in my book!
32,DAZN,Great work life balance and great technology to work on.,2022-01-20,4.0,Cloud Support Engineer,"Good work life balance , great new technology stack to work on , fast paced environment, great and sharp people work here.","no stock options to employ despite being a young company at this age of company employees should get stock option or stock bonus. 
performance bonus is not great and benefits like eye test , glasses , gym membership reimbursement etc are not there which is there in most of companies in London."
33,DAZN,ambitious start-up - lots of learning,2022-01-17,4.0,Anonymous Employee,great variety of roles and opportunities to get stuck into.,cross-team communication could be better
34,DAZN,Work space,2022-01-11,3.0,Executive,"Working is good here.
Stress free",Payscale needs to be improved
35,DAZN,Mr,2022-01-09,3.0,Data Analyst,Good salary wok remote benefits,No much place to progress further
36,DAZN,"Avoid at all costs, terrible management",2022-01-08,1.0,Broadcast Engineer,"Fast interview process, good coworkers","Remote working, while promised is almost non-existent. IT management have zero planning skills past ""big picture* and rush changes caused issues that other staff have to deal with.

Non-technical staff have (rightfully) zero faith in the IT team and their ability to deliver working infrastructure. Shadow IT is rampant. Even basics things like backups are a time bomb held together by duct tape.

They will say anything to attract talent then overwork/abuse them, and lastly disrespect engineers, especially on topics they are knowledgeable on. Concerns aren't listened to."
37,DAZN,Great company,2022-01-07,5.0,Software Engineer,"- Lots of trusted placed in engineers to deliver solutions
- Great place to learn, good software stack
- Inclusive and proactive dev community",No options for shares although bonus structure is good
38,DAZN,It was all fine until the layoffs came,2022-01-06,2.0,Producer,Once upon. a time DAZN North America had a large budget and lots of employees,They laid off at least 50% of the US team
39,DAZN,Review,2021-12-26,4.0,Post Producer,"Great product, fast paced and nice people","Location, progression and staff turnover"
40,DAZN,Ok,2021-12-22,3.0,Anonymous Employee,Not much to say about,"Generic, not that great to work"
41,DAZN,Challenging and dynamic,2021-12-21,4.0,Head of Product,"Constrant stream of new challenges, never shortage of new learnings and opportunities for personal career development. Great team work.",Timelines to deliver are sometimes unforgiving.
42,DAZN,If you were a sports geek,2021-12-10,3.0,Anonymous Employee,One of global pioneers in live sports business,Unexpectedly very conservative and old culture.
43,DAZN,nice company,2021-11-24,4.0,Senior Platform Engineer,fast-growing platform with clear goals and highly qualified engineering teams,no cons have been found yet
44,DAZN,DAZN,2021-11-24,4.0,Advertisement,Work life balance is important.,None that I can think of.
45,DAZN,Never standing still,2021-11-21,5.0,Anonymous Employee,"Supportive team, generally working together towards a common goal.
Likeable senior management without machismo.
Listens to staff and listens to data, rarely drops unfounded mandates.
Results focused management, good work/life balance.","Constant shifts in priorities, priority lists literally change week by week.
Total focus on what's immediately the issue rather than investing in long-term sustainability.
Over emphasis on rushing to get things out the door to look good to investors."
46,DAZN,DAZN,2021-11-19,4.0,Executive,"Peaceful work
Helpful managers
3 day week off","12hour shifts
Pay is pretty less"
47,DAZN,Amazing culture,2021-11-12,3.0,Product Manager,Amazing people to work with.,Not enough time to develop all the amazing ideas.
48,DAZN,Exciting Product & Technology,2021-11-11,4.0,Senior Software Engineer,"* Great product which is evolving
* Great engineering team
* Career growth opportunities are getting better
* Technologies used are great
* Room for tech improvements","* Product priorities can change
* A lot of tech debt, slowly getting better"
49,DAZN,lots of complexity,2021-11-10,4.0,Senior Software Engineer,"- Talented colleagues
- Challenging
- Tools and personel possibilities","- Tight deadlines
- Should be more clear working paths"
50,DAZN,Supportive environment,2021-11-09,4.0,Senior Tech Recruiter,"Treated with respect at all times and role is genuinely valued within the business
Work with smart, like minded people
Cool, exciting tech brand that is passionate about diversity and inclusion
Culture/working environment","Challenging environment at times, things change very quickly"
51,DAZN,Exciting place to work,2021-10-25,4.0,Project Executive,Innovative and exciting product development with growth plans into multiple markets and becoming a global house name for sport content.,Growth may outweigh the efficiency of the product and company's target might be too big too early
52,DAZN,I fully recommend it,2021-10-18,5.0,Junior Product Designer,"DAZN is an amazing place to work both from a professional and personal perspective. The work is interesting and you have ownership to see your work to completion. 
- great development opportunities,
- great atmosphere in teams,
- interesting challenging projects,",None that I can think of!
53,DAZN,Impressive business with great opportunities,2021-10-11,5.0,Team Leader,"Multitude of opportunities
You get to work on the cutting edge of technology
Plenty of potential of personal growth
Employer looks after staff
Good pay","The work can be hard, fast paced and high pressure"
54,DAZN,No teamwork and pettiness,2021-09-29,1.0,Anonymous Employee,"At the start it was a ok place to work, I had co-workers that cared about me and helped me with anything I needed but after changes it took a turn.",Co-workers do not care about mental health and put so much work on you and when you ask for the support they never give it to you. They break promises of getting more help and they got rid of people like it was nothing.
55,DAZN,Good place for engineering,2021-09-29,4.0,Software Engineer,Great engineering culture that allows you to grow and flourish,Senior exec team can be a bit out of touch with the employees and use dated methods
56,DAZN,Best,2021-09-25,5.0,Software Engineer,Good company good benefits good team,"Young company, inexperience, still learning"
57,DAZN,Wonderful,2021-09-14,5.0,Student,Best company ever. They listen to me,"Cost too much money, dont go there"
58,DAZN,"Fun at times, but can be disorganised",2021-09-08,3.0,Manager,"Cool product and industry
Talented people 
Reasonable package of compensation","Unclear strategy from senior management
Undefined ways of working
Internal politics becoming more of an issue"
59,DAZN,Great first impressions,2021-09-07,5.0,Anonymous Employee,Great people & great salary!,New part of the business has started up and it's been a little rushed but everyone is trying to work together
60,DAZN,"Sport & IT, ideal place to work!",2021-09-06,5.0,Support Specialist,"Good people with different experiences making a great, supportive and diverse atmosphere! And free sport!","Jumping in at the deep end, there's a lot of things that need documenting but aren't...."
61,DAZN,So happy I made the leap,2021-09-06,5.0,Head Of Operations,"Fantastically engaged and energised company. Everyone is at the top of their game. Things happen quickly - really quickly! 
The company has such an exciting future ahead.","Nothing as yet. Can't pretend that everything runs 100% perfectly all the time, but the way people response to problems is fantastic."
62,DAZN,Covering live events,2021-08-26,3.0,Executive,Self care is taken by DAZN,As a long term carrier option not good
63,DAZN,Great company but won’t be for everyone.,2021-08-10,4.0,Anonymous Employee,Pushing boundaries and breaking new ground. Extremely motivating to be part of something which could change how we watch sport forever.,I don’t think there’s a long term vision nor are decisions made with great amount of detail. This can lead to unwarranted ambiguity and poor implementation when taking a little more care and dedication at the front end of processes would pay off in execution.
64,DAZN,Performance driven,2021-08-01,4.0,Head of Sales and Marketing,Always a room for opportunities,Was tasking at first but it got better with time.
65,DAZN,Great company to work for!,2021-07-26,5.0,Business Systems Manager,"Staff, Management, Communications, Rewards, Work",Nothing to best of my knowledge
66,DAZN,Acts like a startup but provide no benefits of an actual startup,2021-07-23,2.0,Product Manager,Company is an industry disruptor,"Pay 
No equity
No bonuses
No autonomy"
67,DAZN,Dazn,2021-07-10,2.0,Applications Support Analyst,Non technical people have good scope,There is nothing to learn from technical prespective and moreover its kind off monitoring job
68,DAZN,Good environment with lots of opportunities,2021-07-08,4.0,Senior QA Engineer,"working environment, colleagues, salary, opportunities","a bit chaotic sometimes, processes need refining, teams sometimes get isolated from the rest"
69,DAZN,Decent organization,2021-07-07,3.0,Platform Engineer,"- Learn opportunities
- Good people to work with","- Career progression is bad
- Switching teams is complecated"
70,DAZN,Great company where to work,2021-07-05,5.0,Indirect Tax Manager,"Nice people, good office and well paid",Mostly centralized in the UK those days
71,DAZN,Awesome company to work at!,2021-07-02,5.0,Security Engineer,"Opportunity to grow at security field from the ground-up (Application Security Champion programme), remote work flexibility",A lot of responsibilities to handle simultaneously
72,DAZN,decent,2021-06-25,3.0,Production Operator,not the nicest working environment,good location and nice colleagues
73,DAZN,Good place to work at,2021-06-25,5.0,Technical Program Manager,"Highly professional work mate, great place go improve and learn",Difficult to keep up with the continuous change in priorities
74,DAZN,"Great product, great ambition",2021-06-25,4.0,Software Engineering Manager,"- Really feel like the company is moving up at pace
- Friendly and highly skilled staff
- Flexible working
- Interesting technology","- Somewhat disorganised roadmap
- Tech leadership is lacking a little, more direction would help
- Pace can be slow
- Diversity is a problem, the product brand doesn't help"
75,DAZN,Easily the worst company I've ever worked for,2021-06-24,2.0,Media Manager,"The occasional nice coworker. Aside from that, nothing.","Rubbish HR 
Rubbish pay
Rubbish hours
Toxic bro culture"
76,DAZN,Great coompany and tech stack,2021-06-16,5.0,Software Engineer,Great company and tech stack,nothing at the moment everything still going well.
77,DAZN,Dazn,2021-06-15,3.0,IT Service Delivery Manager,"Good pay and benefits.
Freedom / Autonomy for learning and experimentation.",Hierarchy and lack of transparency of leadership.
78,DAZN,The worst experience in my professional career,2021-05-26,1.0,People Administrator,Work-life balance and flexible working,"This feedback is relating to the People (HR) department specifically and may not necessary apply to other departments in the business.

Toxic work culture, bureaucratic style decision making, high turnover (people leaving and joining constantly), unsupportive / dishonest managers, unfriendly colleagues, disorganised, reactive and never pro-active mentality, under developed processes, poor internal communication, “all talk no action” style of work, favouritism / biasness, lack of recognition for hard work, no career development and learning opportunities and terrible remuneration."
79,DAZN,Great tech company to grow your career,2021-05-24,5.0,Technical Recruiter,Great diverse tech company with great product,"None for me really, I really love my job"
80,DAZN,Not Great.,2021-05-21,1.0,Software Engineer,"Good Tech, Some Genuinely good colleagues.","Toxic nightmare, bad management, bad product, horrible deadlines."
81,DAZN,Great culture,2021-05-17,5.0,Software Engineering Manager,"Working with great people, transparency, and individuals contribution is a key to our success in DAZN",Domain knowledge can be limited sometimes due to lack of documentation
82,DAZN,Average,2021-05-10,2.0,Commercial Manager,Left to get on with your job,"Limited career growth, salary won't really change,"
83,DAZN,Great opportunities to grow if you can take the pace,2021-05-10,4.0,Senior TPM,"Great Culture - Genuine focus on employee well being and providing opportunities for personal development

Great Colleagues - Knowledgable, approachable and enthusiastic, everyone is willing to give you their time - lack of hierarchy

Exciting Product set to disrupt the industry","Fast paced - plans change quickly as opportunities arise, so difficult to have solid roadmap or plans beyond 6 months"
84,DAZN,"Great to work on scale with modern tech, limited career paths",2021-05-07,5.0,Senior Software Engineer,"Great people, modern tech, global product, you can make impact","a lot of changes which lead to chaos, recently big reorganization - seems to be going in the right way, limited options in terms of progression from senior engineer level"
85,DAZN,Confused Firm,2021-05-03,1.0,IT Support,Non that I can recollect,"Everything. If your a foreigner do not expect to climb up the ladder, Promise and Fails"
86,DAZN,Fast moving company,2021-04-29,3.0,Anonymous Employee,There are offices in many different countries.,Not great salary. Not much diversity specially in Management roles.
87,DAZN,"Good Potential, Lack of Leadership",2021-04-28,3.0,Manager,"Work is very involved, will allow you to work with many different teams",Lack of leadership - the company preaches well-being but rewards employees with below-industry standard salaries and little-to-no credit for hard work. Extremely hard to grow within the company
88,DAZN,Great company,2021-04-25,5.0,Administrative Assistant,"people, benefits, time off, culture, flexibility",There are none that I can think of
89,DAZN,Super Exciting company held back by legacy management,2021-04-23,3.0,Product Manager,"-Fantastic product on the bleeding edge of OTT
-Staff are passionate about the product
-Huge budget for acquiring sports rights
-Billionaire backer
-There are a few talented folks who make everything work","-DAZN is a consumer tech play, but it can't quite shake off its ad-network roots
-You keep reading news about DAZN paying e.g. Matchroom doing 8 figure deals, yet their pay is well below market rates
-ExCo are invisible to most of the staff and despite a few efforts here and there, the comms are terrible
-HR are basically doing payslips and sending a few emails here and there
-Huge conflict between the old skool TV side and the OTT side, where people are scared to ruffle feathers. 
-Once a commercial deal is done, the reality around executing it is an afterthought."
90,DAZN,Great place to work at with lots of flexibility. Tech stack not super good.,2021-04-23,4.0,Senior Software Engineer,Very flexible. You are your own boss. Good pay.,Some teams are a bit toxic but you can easily switch to other teams and find what best suits you. Tech is unfortunately quite messy.
91,DAZN,Product Owner,2021-04-11,1.0,Product Owner,Not that I can think of,"Favouritism at its best. People that don’t obey get pushed out from the organisation and labeled as troublemakers. The ones that stay are thinly stretched across different teams, worn down and get zero to minimum support from their managers that are good at talking, but have no prior product experience. The cherry on the top was the recent change of title, from PO to PM, presented as a promotion."
92,DAZN,"Unprofessional, Unorganised, Underpaid",2021-04-09,1.0,Anonymous Employee,Nothing comes to mind. Nothing.,"No pay structure. Unprofessional managers. This company is an absolute disgrace to it's employees. They are treated like dirt. Corners are cut constantly. The managers agree to more and more work but it's the lowest paid in the company who are expected to pick up the pieces and carryout the extra workload, without extra pay (when wages are already poor)."
93,DAZN,"Fast growing, exciting company",2021-04-09,4.0,Within Operations,"Great business attitude, A determination to succeed",Internal Pay structures could be improved.
94,DAZN,Cool place to work,2021-04-07,4.0,Anonymous Employee,"Exciting business, nice office and location",Long hours and hard to progress
95,DAZN,Up and coming,2021-04-01,5.0,Data Science,"Very fast paced, and most of the people are reasonably fast in their thinking
Almost all departments very passionate about the product and its success
Good support in terms of tooling and tech stack","Pockets of business extremely old fashioned, but it's changing for the better"
96,DAZN,Super fun and exciting working at DAZN.,2021-03-25,4.0,Administrative Assistant,Sport Fun Opportunities Team Building events,"working hours, no smart working,"
