,company,headline,date,overall_rating,author_position,pros,cons
0,Despegar.com,Ok,2022-03-24,4.0,Senior Software Engineer,"Remote work.
High-scale problems.
MacBook Pro.
Lots of teams.
Lots of techs.",Low salary in the world average.
1,Despegar.com,A good job to work,2022-01-02,4.0,Director,"Flexibilidad
Owmership Carrier Colores Ecommerce Good leaders","Local company (South america), 
Tourost companies has been afect do to pandemic"
2,Despegar.com,Great travel-tech company,2021-10-19,4.0,Commercial Manager,"Market leader in latam.
Professional co-workers, top talent. 
Great culture","Starting to get bureaucratic.
Salaries could be higher, and better travel perks"
3,Despegar.com,Great environment,2021-08-13,4.0,Anonymous Employee,Great environment in general terms. IT is the most important area.The salary in Operations is the average.,"They had a bonus policy as an extra salary to the employees, but it changed a lot for worse"
4,Despegar.com,good,2021-07-29,5.0,Help Desk,remote work and not obligation to go to an office,remote work and ear my baby and my wife lol
5,Despegar.com,Great company to learn,2021-05-10,4.0,Senior Software Engineer,"Work with a huge team of talented people, and a lot of high scale challenges to solve, difficult to find in smaller companies. That allows to learn a lot of technologies and skills in a short period. Recommended as a second job, to start with a better base salary.","A lot of people in IT, that generates that some projects are more important than others, and some leaders just want to keep their status. So your grow path in the company depends on your skills but also your luck to land in good teams and projects."
6,Despegar.com,Excellent work,2020-12-12,5.0,Software Developer,"Excellent place to work, nice people","Nothing, the place its really good"
7,Despegar.com,Organization refactor in progress,2020-10-24,3.0,Manager,Growing opportunities seems to be available as business start recovering,Lack of visibility of goals and objectives depending on the área you work for.
8,Despegar.com,A good place to learn,2020-10-05,4.0,Senior Software Developer,Good working environment. Challenging problems. Good Agile Software Development Practices,Complex business. It is difficult to get to leadership positions
9,Despegar.com,My career core,2020-06-02,4.0,Software Engineer,"- Very diverse and awesome tech stack (java, kotlin, scala, nodejs, linux, Cassandra, MongoDB, Redis, etc)... Microservice oriented architecture...
- Very important product company..Is a tech unicorn
- Depend on the team, but openness on adapting different technologies
- Good people in general","- Lately, the company is declining in many aspects...It doesn't know how to innovate anymore, it just thinks on improving market share in their business...its a management problem really
- Burocracy, we are now a big enterprise
- A lot of the best people Despegar had in the last years is lefting the company, and nobody is doing nothing...Its depressing
- The coronavirus impacted and will continue to impact badly to the tourism industry, we don't know right now what will happen, but it looks bad"
10,Despegar.com,Nice place to learn and leave,2020-06-01,4.0,Java Developer,Excelente environment and cool stuff,Hard to progress on Seniority
11,Despegar.com,Good place to learn.,2020-04-27,3.0,Software Engineer,In my experience it has been a good place to learn. Not being afraid of using new technologies. The moto is to fall in love with problems instead of falling in love with technologies.,"It highly depends on which team you are, weather you will be using new techs and starting new projects/"
12,Despegar.com,not great for career advancement,2020-04-12,3.0,Project Manager,young and talented team. lots of opportunities to learn and be included on interesting projects.,most people are seen as a cost. no real opportunities for career advancement.
13,Despegar.com,Great company to work with,2020-03-17,5.0,Senior Java Developer,"Great company, many benefits, interesting projects.",The human reosurce policy sometimes sucks
14,Despegar.com,Data Scientist,2020-01-23,4.0,Anonymous Employee,"Good bonus, some discounts for buying flight tickets.",Not customer centric at all.
15,Despegar.com,PM,2019-11-17,4.0,Anonymous Employee,The focus and dependancy in the Digital teams,The actual Economic situation Latam
16,Despegar.com,Very bad way to manage people,2019-07-09,3.0,Reporting Analyst,You can arrive at office some time after the normal hour,"Be prepared to spend hours and hours there. You don't know at what time you're going to leave the office.
There's no respect for people's feelings."
17,Despegar.com,"Stable job, Corporate revenues, below average salaries",2019-06-23,3.0,Team Lead,"Well established company, leading its market. Safe job. Good if you are starting your career or if you have parent-like responsibilities.
Top tier technical challenges, good place to learn new backend and web frontend technologies combined with site reliability.","Require more technical talent and expertise than what they are willing to pay for. Experts are leaving seeking better pay and life/work balance.
Meritocracy is a faux claim in their values.  Mid management is plagued with people placed by friendship / obedience / convenience rather than merit."
18,Despegar.com,Great company to work and learn.,2019-06-04,5.0,Java Developer,The best company for work and improve your skills,This is a perfect company for work and improve your skills. No Cons!
19,Despegar.com,Nice place to work and develop yourself,2019-05-18,4.0,Technical Leader,"Great technology, Interesting problems to solve, the opportunity of being part of a multinational company who needs to run 24x7 with all the challenges that entails.",It is a possibility that you can get a manager who are not the best on choosing the right direction in terms of technology or product targets.
20,Despegar.com,Developer in Application Security,2019-04-22,4.0,Anonymous Employee,"Good athmosphere, a lot of courses and capacitation to grow in the area.",The salary isn't amazing and the benefits aren't so good.
21,Despegar.com,Good overall experience,2019-04-22,4.0,Anonymous Employee,The possibility of ascending in the hierarchy,Bad bosses everywhere that only think if they can earn more money and use your work as like them had do it.
22,Despegar.com,Grow at lower than minimum wage,2019-03-15,2.0,Junior Software Developer,Great place to learn and build yourself as a professional.,"Very bad salary, by far lower than the average. Some people get promoted by being friends with the leaders. The environment is not so friendly, and if you're a woman you will receive a lot of sexist comments, including men judging how you look."
23,Despegar.com,A good place for Juniors and Semi Seniors,2019-03-08,3.0,Technical Leader,Great place to learn. There are lots of talented people that Despegar hired when employees where their priority.,Employees are not priority anymore.
24,Despegar.com,I miss the startup stage of the company,2019-02-13,4.0,Senior Java Developer,Great offices. You work on high traffic and availability applications. Good salaries. Constantly growing company. Benefits.,Despegar lost the startup culture. Current stage has a lot of bureaucracy to do your work. Promotions are based on personal preferences rather than merit.
25,Despegar.com,Nice place,2019-01-18,4.0,Software Engineer,Great place to work in big distributed systems,The senior IT managers and the career plans
26,Despegar.com,Analyst,2019-01-03,5.0,Anonymous Employee,"Dynamic company, focused on the growth of their employees. Effort is rewarded","Disorganized, sometimes is hard to get things done."
27,Despegar.com,Software Engineer,2018-12-16,3.0,Software Engineer,Quiet place to work.  Average pay.,Lack of interesting projects. Mostly maintenance of old projects.
28,Despegar.com,Junior Software Engineer,2018-10-30,3.0,Software Engineer,Very relaxed work environment. Good company for an unexperienced developer.,It used to be a really nice place to work until a big restructure in 2015. Much of the work talent escaped shortly after. Salaries were not that competitive. Offices in Parque Patricios might result in quite a travel for many of us. Not much career growing opportunities.
29,Despegar.com,Totally recommended for software developers,2018-10-16,3.0,Anonymous Employee,Nice environment to work. There are some interesting projects. Growing company.,Salary is not updated as expected by inflation.
30,Despegar.com,Nice place to work,2018-10-15,5.0,Senior Java Developer,"Good teams, good benefits, great place. Not too stressful.","Some extra hours if something happens, not payed or rewarded at all."
31,Despegar.com,Java Ser Developer,2018-09-27,5.0,Java Developer,Very Good! as you can work anytime,"Nothing specifically, you can work without problems"
32,Despegar.com,"Good to start, but too much uncertainty",2018-07-27,3.0,Android Developer,"- Reasonable benefits (though could be better)
- Home office, low supervision, generally speaking chill
- Great place to learn, lots of experienced and welcoming people
- Annual bonuses based on company targets","- Salary got worse compared older targets
- Bad retention strategies for higher seniority employees
- Lack of clear career path
- Culture is not uniform, despite attempts to fix this
- Terrible communication between teams, lots of NIH syndrome inside the same company
- Different managers have different opinions on how to handle similar issues
- Managers decide in technical matters based on own misguided ideas
- Mobile strategy is wonky at best, teams are coming apart despite being a core company objective"
33,Despegar.com,Excelent,2018-07-27,5.0,Ssr Javascript Developer,Great place to work. Good environment and salary,You need to be available in case something happens all the time
34,Despegar.com,Room for improvement,2018-07-09,3.0,Business Analyst,"- You will use leading edge IT technologies
- Team mates are friendly","Work/life balance is definitely not a core value for Despegar managers. Although home office is increasingly being adopted by similar companies, Despegar is not the right place to look for this benefit."
35,Despegar.com,Junior dev.,2018-07-02,4.0,Anonymous Employee,Great working environment and people.,Wrong seniorities marks: Juniors that have ssr/sr responsabilities and sr/ssr that should be juniors.
36,Despegar.com,One of the best places to work,2018-06-14,4.0,Manager,"* Challenges
* Disruptive technologies
* Excellent carrer opportunities
* Beautiful offices
* Accurate salaries","* Not so agile
* Constant goal changes
* Not compatible incentives with objectives"
37,Despegar.com,Dinamyc culture,2018-05-10,5.0,Anonymous Employee,There is a lot to learn and develop .,The company is developing its core values and culture.
38,Despegar.com,It used to be a great place to work,2018-04-23,3.0,Developer,"-  Good working environment.
- Nice offices.
- Top-notch technologies are used.","- Average/below average salary.
- The benefits are bad (the  discount provided in food service is less than 25%  ).
-  Extremely ridiculous campaigns from HHRR/Facilities area. E.g. ""clean desk"": you can't keep your belongings at your desk(Eg.: a water bottle, a cup). Otherwise they remove them."
