,company,headline,date,overall_rating,author_position,pros,cons
0,Directi,Cool company to work,2022-03-07,4.0,Anonymous Employee,Great young culture. No red tapes,Compensation hike promotion needs to improve
1,Directi,No guidance for freshers,2022-02-24,2.0,Platform Engineer,Pretty chill culture. People seem nice.,No guidance at all for freshers. They are left to fend off for themselves. I always feel so isolated. And no proper training when joining the company.
2,Directi,Great culture and benefits,2022-01-24,4.0,Associate People Partner,"Amazing work culture, like minded colleagues and employee centric policies and benefits.","Mentoring by leaders 
Growth opportunities"
3,Directi,.,2021-11-06,5.0,Software Engineer,Great place for work life balance,Not any cons as such
4,Directi,Ok,2021-09-22,4.0,Senior DevOps Engineer,Good work happening in the company,Not so much new work in the company
5,Directi,Amazing,2021-09-22,5.0,Senior UI Developer,Everything is great except monotonous work after a period of time.,- Nothing to mention about.
6,Directi,Best company to work for,2021-09-08,5.0,UI Developer,Good management. Good growth. Lots of opportunities,No work life balance. No other con
7,Directi,amazing work,2021-08-15,3.0,Software Development Engineer In Test (SDET),"amazing people
great work life balance","too much politics
salary not that great"
8,Directi,Not a bad company,2021-08-06,3.0,Lead Product Designer,"If you are a developer, you have a lot of opportunities to work with.",The work life balance depends on the team you are working with.
9,Directi,Places to work,2021-07-22,4.0,Anonymous Employee,"Unbiased place to work at
Great people
Good Compensations",Processes need to be better defined
10,Directi,pros and cons,2021-07-16,3.0,Software Engineer,you can have knowledge in other courses too.,there is project allocation delay
11,Directi,Badly managed. Role did not exist!,2021-07-12,3.0,Alliances Manager,"Good paymasters, Perks and Benefits,",Managers are giving the authority to roll out offers without knowing whether this need exists or not!
12,Directi,"good connectivity in terms of travel options, good HR, good people overall, good canteen, game rooms, freebies.",2021-07-08,5.0,Senior Solutions Expert,"good connectivity in terms of travel options, good HR, good people overall, good canteen, game rooms, freebies.","too much play, good canteen, game rooms, freebies."
13,Directi,Best place to work at.,2021-07-06,5.0,Senior UI-UX Designer,Everything from work to colleagues to even the campus.,There are no downsides really.
14,Directi,Good place to work,2021-07-02,5.0,IT Support Specialist,Flexible working hours and good management,No career growth in IT
15,Directi,Best company,2021-06-25,5.0,Senior Network Engineer,Best place to learn new things and grow up.,No open area for outdoor games
16,Directi,Very nice company to work for,2021-06-10,5.0,MTS1 Software Engineer,Pantry is not at all good,Very nice company to work for
17,Directi,One of the best co. in the tech space.,2021-06-01,5.0,Human Resources Generalist,"1. Since the company follows a flat structure the learning experience is great where one is not stuck in just the roles and responsibilities of his role alone and can learn new skillsets and get mentored if s/he chooses to 
2. Very employee centric co.
3. Excellent culture",1. has stuck to the startup way to doing things even after 20+ yrs being in the market - lack of structure in some area.
18,Directi,Decent experience,2021-05-28,4.0,Anonymous Employee,Catapult to get into b2b/tech industry,"Lot of politics, some people are favoured than others"
19,Directi,Good Place,2021-05-26,4.0,Lead Product Designer,"- Flexible Hours
- Work-Life Balance","- Location is okayish
- Innovation"
20,Directi,Best company to be associated with,2021-05-23,5.0,QA Engineer,Lots of learning opportunities in the organization,Not much to specify here
21,Directi,Full time working with great work life balance,2021-05-08,4.0,Senior Manager Sales Operations,"Good environment, cafeteria, Health insurance",No negative quality about the company
22,Directi,Best workplace,2021-05-06,5.0,Client Onboarding,"Good food
Good perks
Good travel options for commute 
good benefits
good teams
good HR","HEirarchy in media.net is too mch 
too much play
too much good food
too much party
too convinient to trave;"
23,Directi,Good to start,2021-04-27,4.0,Senior Account Manager,"Hire freshers - The firm does hire freshers
Diversity
Safe Environment","Late Appraisals - the appraisals are ssuper late
Late Bonus Payout"
24,Directi,Treasury,2021-04-19,5.0,Operation Executive,Best firm to work with,"Nothing as such , sometimes working hours are more"
25,Directi,Great to start career as support engineer,2021-04-19,5.0,Product Support Engineer,"- Balanced Pay

- Great Learning Curve",Have not found anything so far
26,Directi,A vibrant and young workplace,2021-04-16,5.0,Research Analyst,"They have a very employee friendly policy.
They lend ears to all your issues and seek to bring out the best in you.",There are actually no downsides except the fact that a little more work-life balance can be taken care off.
27,Directi,Lots of learning,2021-03-30,4.0,Project Manager,Creative environment and the ability to learn a great deal and take on responsibilities in your area of interest,The culture is creative and free and sometimes that can lead to a lack of discipline in some team members
28,Directi,Awesome place to work,2021-03-18,5.0,Senior Platform Lead,"Smart co-workers, good learning opportunities, higher salary",I did not find any cons
29,Directi,Google for dummies,2021-03-15,2.0,Sales Manager,"Cafeteria and snacks counter, FNCS.",Work is an illusion ...if your group company is doing any work that is intrumental be prepared to be run over/ merged by a rival company in the same space . Take a hike and leave.
30,Directi,Great company,2021-03-11,5.0,Quality Assurance Engineer,Culture like nothing else in India,Very difficult to get in. Interview is difficult
31,Directi,Review,2021-03-10,3.0,Associate,"None, not applicable, nothing to say",Work load can get heavy sometimes
32,Directi,Very bad HR people,2021-03-04,1.0,Data Scientist,I don't know because they gave offer letter then tookback,"First they will select you and that too will take months for them to tell that you are selected , then they will negotiate like a vegetable market and will be telling 2 digit growth(appraisals) which no one knows. I had a great image during my college days but after this interview and selection process of directi i hate it now, even freshers will earn more than experience person in data science in directi."
33,Directi,Great place to work,2021-03-03,4.0,Product Support Engineer,A very lively and fun workplace.,Being a startup(The business unit I worked for) a lot of new processes and modifications of old processes on a weekly basis.
34,Directi,Great place to work with best minds in the industry,2021-02-28,5.0,Sales Representative,Lots of learning and growth opportunities,none that i remember of
35,Directi,Great Company to work With,2021-02-28,5.0,Senior Research Analyst,Highly Motivated Team to work with,Central dependency on managers and less competitive pay
36,Directi,Amazing work Environment,2021-02-27,5.0,Human Resources Operations Specialist,"Work is play is the motto, regular trainings and developments, hackathons, reflexons are the thing to make sure learning continues while you are at work.","No cons, just enjoyed the whole 7 years of tenure at Directi!"
37,Directi,Nice place to work,2021-02-25,4.0,Software Development Engineer (SDE),Very flexible and lots of freedom to work,"No cons as such, canteen can get better"
38,Directi,Executive Assistant,2021-02-08,3.0,Executive Assistant,Very good working atmosphere to work with,Increment is not that good
39,Directi,Good company,2021-01-27,4.0,Big Data Engineer,nothing much I can say about,no normalisation two much of acquisitions
40,Directi,Great,2021-01-19,5.0,Software Architect,Great place to work here,Norhing as such till now
41,Directi,Great opportunity for freshers,2021-01-18,4.0,Campaign Manager,Space to grow and a fun work environment,Senior Management should allow employees to take on more responsibility
42,Directi,Best Place to start your career,2021-01-15,4.0,Research Analyst,Cool work environment and best people to work alongside,Cant really think of any cons
