,company,headline,date,overall_rating,author_position,pros,cons
0,Edmunds.com,Great company to work for,2022-03-17,4.0,Account Executive,This company supports you in good times and in bad. Hi energy very motivating.,None that I can think of
1,Edmunds.com,Great work life balance,2022-03-07,5.0,Senior Product Analyst,Great work life balance and benefit,"Constantly strategy change and roadmap change, executives change many times"
2,Edmunds.com,Great place to work!,2022-02-16,5.0,Anonymous Employee,"Everyone here is really nice and supportive, and the benefits are great, but what I think I appreciate most is the ROWE policy (results oriented work environment). So long as you get your work done and are a team player, Edmunds encourages and trusts you to be in charge of your schedule (even before COVID). I feel a great sense of autonomy and purpose working here. There are also a lot of people that have worked at Edmunds for a long time, which I think speaks to the career opportunities and work culture.",Nothing really comes to mind!
3,Edmunds.com,Poor Management & lack of diversity,2022-02-08,2.0,Anonymous Employee,"Currently working from home. Most likely will stay that way or go to a hybrid format. 
Not too heavy workload at least in the department I was in.","Managers micromanage. 
Poor training and unclear expectations. 
Hard to find answers when you have questions. 
Not a lot of diversity. Very few black people. Only knew one black person and they were a contractor, not a full time employee. 
No person of color in management to my knowledge. 
Biased and unsupportive management.
You are only viewed as an employee number, not spoken to like a person.
No positive feedback. You only will speak with your manager when they have negative feedback."
4,Edmunds.com,Truly the Best Workplace Ever.,2022-02-06,5.0,Sales Strategy Analyst,"Best work-life balance. Everyone is caring and friendly. The company knows how to treat their employees well. I’ve been to companies where they call their employees “family” but this is the only company where I truly feel like every one of my colleagues is my family. No wonder lots of employees in this company work here 10+, 20+ years. I would strongly recommend this company to all of my friends. The best decision I’ve ever made in my life is to accept an offer to work at Edmunds.",No cons… Like I can’t honestly think of one.
5,Edmunds.com,Account Executive,2022-02-03,5.0,Account Executive,Great work life balance and lots of flexibility,Upper management is often disconnected with the field
6,Edmunds.com,company at turning point,2022-02-01,3.0,Senior Director of Statistical Analysis,"great location, competitive pay and benefits","poor management from top down, no clear direction"
7,Edmunds.com,Run Away--Absolutely Awful Work Environment thanks to Horrendous Management,2022-01-14,1.0,Senior Director,Great people to work with. Colleagues are fantastic.,"Some of the absolute worst management teams in the business. Remote work is a promise, not a reality. They refer to the company ""like family."""
8,Edmunds.com,Best Place Ever!!,2022-01-12,5.0,Senior Program Manager,"• Amazing teamwork across all department 
• Approachable leadership 
• Salary 
• Benefits",I really haven't experienced any.
9,Edmunds.com,Great team meh company,2021-11-06,3.0,Data Analyst,"I really loved the people I worked with on a daily basis.

ROWE was cool","The vision they company V has at the time company vision was unclear.

Compensation was weak

No bonuses or stock (private company)"
10,Edmunds.com,Excellent company,2021-11-05,5.0,Tech Lead,good work life balance and innovation,cant think of any for now.
11,Edmunds.com,Excellent Training,2021-10-29,4.0,Account Executive,The training is excellent and the people are friendly.,There are way too many meetings! It distracts you from taking care of the client and focusing on selling.
12,Edmunds.com,Great Company,2021-10-29,5.0,Account Executive,"Great company to work for, Management is amazing. One of the best places I have worked at.",Great company they need new products
13,Edmunds.com,Work/Life Balance,2021-10-13,5.0,"Senior Director, Product Management","Edmunds has had a Result-Only Work Environment for several years now. This means that you must be getting results - making progress towards your goals - to succeed. But where you work is up to you, and no one expects you to be online more than 10 hours per day. This allows everyone to have work/life balance. It also means that raises and promotions are merit-based, and we have many women and people of color in executive roles.","Office is based on Santa Monica, which is very expensive. However upper management is rethinking how many days we'll need to be in the office next year, and it sounds like it will only be a couple days per week."
14,Edmunds.com,Best Company Ever!,2021-10-12,5.0,Account Executive,"Incredible training. Most innovative place I’ve ever worked. The systems set in place really arm you for success. Get to work with some of the most talented people in the industry and teams ready to help at the drop of a dime. Fabulous energy & the company genuinely cares for their people, which makes a huge difference. Everyone is heard & I’ve worked at enough  places to really appreciate that.",I honestly cannot think of one.
15,Edmunds.com,Great Company,2021-10-12,5.0,Anonymous Employee,"Work life balance is amazing! The work culture is team oriented and you have multiple avenues of support from other teams should you need it. Currently working from home, training was very detailed and different not having be trained in person, but the training was very efficent and effective. My team was very understanding and patient with zoom training.","The system is a little glitchy but there are work arounds for most things, so its not that bad."
16,Edmunds.com,Best place I have ever worked,2021-10-12,5.0,Sales Executive,"Great Benefits, fantastic people, awesome work environment, good pay. What else could you ask for?",Needs to introduce new product offerings more often.
17,Edmunds.com,I made a great decision  to work at Edmunds!,2021-10-12,5.0,Account Executive,I felt very welcome here when I started. The training for my position was excellent. I could not ask for a better teammates that continue to help me and each other. The company has great products and management cares about its employees. I could not ask for a better employer.,Nothing comes to mind and that is the truth.
18,Edmunds.com,Review,2021-09-24,5.0,Anonymous Employee,It was a really good company.,Didn't succeed in funding for series a.
19,Edmunds.com,Okay,2021-09-21,4.0,Marketing,"Unlimited PTO
Work life balance
Managers are willing to help you with career development","No bonuses
3% max salary increase annually"
20,Edmunds.com,Was once a respected brand. Now it is non-existence.,2021-09-16,1.0,Anonymous Employee,- ROWE is awesome and the office is very nice nice office. That is it!!!!,"- Great employees, very poor management
- President of the company is the CEO childhood best friend. He is set for life no matter how clueless he is as an executive.
- Lack of vision
- Good pay but won't ever be great unless you are an executive
- Hardly anyone know of Edmunds anymore. Carmax made a huge mistake buying Edmunds."
21,Edmunds.com,HR  needs coaching on empathy and diverse hiring,2021-09-10,1.0,Anonymous Employee,Great teammates. Great benefits and flexible work schedule,"There are certain people in HR/Employment Experience team that have zero empathy, especially during a pandemic. They say they care about their employees and their feedback but when it comes down to it you’re just a number to them that they can easily replace. Many questions have been sent into all hands meetings but they cherry pick and refuse to answer what matters to their employees. 

Lack of diversity: 
When you look at the people on the HR team and in other departments, they lack in hiring diverse people. It is Predominately white males and females in Sr and executive leadership roles. If you’re of any other race, hoping to move into a leadership role, your best bet is to go somewhere else."
22,Edmunds.com,Was once a great brand,2021-09-07,2.0,Account Executive,Competitive pay and above average benefits,"Substandard product offering with almost zero marketing or brand support. Competitors, more nimble and agile, are eating Edmund's lunch."
23,Edmunds.com,friendly people,2021-09-02,3.0,Senior Manager,friendly low key work environment,"not great vision from leadership, little appetite for hard work or new ideas"
24,Edmunds.com,It was fun while it lasted,2021-08-23,3.0,Account Manager,"Great office space, employee perks, option to WFH, awesome employees","Voted best company to work for 5 years straight, started to lose money and expected layoffs + cut backs on company perks made it not so great."
25,Edmunds.com,Best Company to work for,2021-08-16,5.0,Technical Lead,"ROWE Environment makes it easy to have a perfect balance between work and personal life.
Open culture and easy approachability within the company.",Located in the worst traffic area of Southern California in Santa Monica.
26,Edmunds.com,Great company,2021-08-02,5.0,Sales Representative,"Really Good people, great culture!",The products and solutions were not always effective.
27,Edmunds.com,Good work life balance / Lack of resources for growth,2021-07-20,4.0,Senior Marketing Manager,"Good work life balance, management puts in the time to help you grow and succeed",The company has had significant budget cuts lately...
28,Edmunds.com,Enjoyed my tenure,2021-07-01,4.0,Manager,"Great atmosphere, smart folks, a sense that the team wants to do what's right",Not as directed as other companies
29,Edmunds.com,Great Company - capped potential,2021-06-18,5.0,Account Executive,"Awesome culture, really cares about employees, feels like fun.","Just the lack of innovation, however this is poised to change in the coming years."
30,Edmunds.com,Great Company Culture,2021-05-04,5.0,Account Representative,"Flexible schedule, competitive pay, positive culture",Must hit goals every month. Doesn't matter what you did previous month.
31,Edmunds.com,A great company!,2021-04-28,4.0,Technical Recruiter,They have great benefits and are in a great location.,They weren't always clear on how the company would achieve their long term goals.
32,Edmunds.com,Good,2021-04-21,5.0,Assistant Manager,"Good, great happy interesting rewarding",No cons really good place to work
33,Edmunds.com,Dealer Success Specialist,2021-04-13,5.0,Dealer Success Specialist,Great company. Takes care of their people.,Been here for3 years and don't have any complaints.
34,Edmunds.com,"Great Culture, Training, and Management.",2021-04-11,5.0,Sales Account Executive,"Edmunds has been a great company to work for. The training, management, and culture is second to none.",I have had no cons to speak of.
35,Edmunds.com,Great place to work!,2021-04-05,5.0,Senior Analyst,"Very flexible, fun, and rewarding!",I don't have any cons.
36,Edmunds.com,Great culture,2021-03-26,5.0,Operations Coordinator,Flexible scheduling allows for great work life balance,It’s easy to get complacent
37,Edmunds.com,great company,2021-02-25,5.0,Administrative Assistant,great environment to work in,low benefits for employees in office
38,Edmunds.com,Racist... No Work Life Balance,2021-02-22,1.0,Sales Associate,They talk a good game,This is the worst company for any ethnicity out side of Caucasian to work for the company is racist. They do not support other cultures or back grounds. When you complain they harass you even more. This company does not support inclusion down to the owner. If you are African American you are likely to need counseling when you leave this company.
39,Edmunds.com,A Great Place to Work,2021-02-01,5.0,Anonymous,There is a reason Edmunds is recognized as one of the best places to work in Los Angeles. The Company values flexibility and wellness. There are weekly offerings geared at supporting employees' personal and professional growth.,"We haven't been able to enjoy the beautiful office due to COVID-19, but the Company has been creative with ways to keep us all connected and engaged. They also made sure we have all the tools we need to do our jobs effectively from home."
40,Edmunds.com,Great Place to Work,2021-02-01,5.0,Software Engineer,"The people, the talent, and the hard work.","The recent layoffs (end of 2019) were tough, but businesses make hard decisions."
41,Edmunds.com,Good company overall,2021-01-19,3.0,Senior Software Engineer,"Benefits, perks, and nice office","Too much politics, and life/work balance is a challenge."
42,Edmunds.com,Playing the favorites,2021-01-19,3.0,Sales Consultant,Pay and Benefits are good,"Political warfare, lots of playing the favorites"
43,Edmunds.com,Its good,2021-01-05,2.0,Cost Estimator,Management is good and salary is good,not that much except the top management
44,Edmunds.com,Ok job- ok work life balance,2020-12-07,3.0,Account Manager,No leadership but everyone was trying,Products did not evolve with the market
45,Edmunds.com,Great place to work,2020-12-02,4.0,Associate Account Director,"Great company culture, employees, perks",Poor operational and financial planning for business model restructure
46,Edmunds.com,Amazing Work Life Balance and Learning Opportunities,2020-10-28,5.0,Anonymous Employee,"Edmunds really takes care of their employees, especially during remote work in the pandemic. There are small things like Thinking Thursdays and extending Summer Fridays that really help with recharging and becoming a more productive worker. I was beyond burnt out from my previous company because of being overworked in a remote environment, which I imagine a lot of people are facing right now. Quitting that job and being hired at Edmunds has completely changed that, and my work-life balance is so amazing now. Meetings are focused and productive, deadlines and expectations are manageable, and I feel very rewarded for the work that I am doing. Weekly departmental and Cadillac Catch-up meetings with the CEO have been great for fostering innovation and cross-pollination of different domains. Coming from a fast-paced product-driven company, this has been amazing to experience, with time in the week actually dedicated towards growth and learning outside of immediate job responsibilities. The people here are some of the smartest and respectful people I have ever worked with, and as a remote new-hire I have felt super welcomed, especially with the Workplace Experience and PITSTOP teams making the transition very easy and accommodating during my onboarding.","It can be overwhelming at times when ramping up on automotive domain knowledge (especially for newcomers), internal Edmunds tooling, and documentation on all of the different processes and systems, but this has been getting better with time and experience. My advice for new hires is to be mindful of the Dunning-Kruger effect and to have a growth mindset."
47,Edmunds.com,Best Company I ever worked at...,2020-10-28,5.0,Executive Director,The People and Culture. The Product is awesome...,Don't have any at current time...
48,Edmunds.com,"Incredible Culture, incredible people",2020-10-28,5.0,Analyst,"My manager and company policies make me feel valued as a whole person. I don't know how it's happened, but almost all the people here are genuinely kind. I get to work on projects that yield real impact.",I'm not sure about the long term (10+ years) future of the company
49,Edmunds.com,Great place to work!,2020-10-26,5.0,Coordinator,"Understanding and collaborative environment. Has had a great transition to temporarily working remotely due to the pandemic. Everyone really strives to continue to make Edmunds a great business and a great place to work. The company hosts great events, now virtually, to keep everyone connected!",None that I can think of!
