,company,headline,date,overall_rating,author_position,pros,cons
0,Etisalat,Telecom IT operator in UAE,2022-04-10,4.0,Team Lead,"Balanced salary
Office Premises
Dubai, Abudhabi, Sharja lacation based","Old Technologies
No operations at India"
1,Etisalat,IT,2022-04-08,4.0,Anonymous Employee,Good Salary Benefits Bonus Vacation,working style work life balance
2,Etisalat,Big company small pay,2022-04-08,2.0,NOC Engineer,Name of Big Company attach to your career,Very less pay as compared to other Big Companies
3,Etisalat,NA,2022-04-08,1.0,Project Manager,Dynamic environment to learn from,Not a very friendly place to work
4,Etisalat,Good Place,2022-04-07,4.0,Anonymous Employee,Friendly people to work with,Old management style for decisions
5,Etisalat,Poor Management,2022-04-06,3.0,Back End Office Staff,Market competitive salary offered- but 40% of it outsourcing recruitment companies deduct.,"Poor management
Changes rules every day
No perks or even free water for the workers- hardly you can get coffee"
6,Etisalat,Company overview,2022-04-05,3.0,Senior Director,"good work life balance, benefits","limited growth opportunities, stagnant salary"
7,Etisalat,Lots of work but good company,2022-04-04,4.0,Customer Service Representative,Well known brand and reputated company,Long hours and tiring job
8,Etisalat,Its ok,2022-04-03,3.0,Customer Service Representative,It is easy sort of,Customers are mad most times
9,Etisalat,Not great,2022-04-03,1.0,Customer Service,Nothing but bad stuff Really,Poor conditions no help or anytging
10,Etisalat,Good,2022-03-30,5.0,IT Hepldesk,Excellent  environment they are  friendly,No info can take about it
11,Etisalat,Good company,2022-03-30,3.0,Senior Solution Architect,Stable and good company to work,"You have to negotiate salary at time of joining, promotion is rare and waiting time will be in decades"
12,Etisalat,best,2022-03-30,4.0,,"feature Advantage Benefits
sincerely should work",offers and promotions every one waiting
13,Etisalat,Toxic Environment,2022-03-29,1.0,Contact Center Developer,Gaining experience by engaging in different systems,"Too much pressure, no planning, bad internal communication between teams, low salary & no chance for career path."
14,Etisalat,Unfair termination,2022-03-29,2.0,Senior Manager,Salary is good and perks are also good,"If your boss doesnt like you they will let u go however good you are
HR has no role"
15,Etisalat,Worst Company to Work,2022-03-28,1.0,Senior QA Consultant,No Pros to this company as a QA,"No growth as a QA Engineers, Work load is too much, No proper guidance of anything, Never provide proper KT to new hiring, micromanagement is at full, one of the worst companies to work as a third party vendor, too much politics. It was the worst experience from day one"
16,Etisalat,Security Consulant,2022-03-27,4.0,Consultant,Good exposure to multiple platform,demanding role around week ends
17,Etisalat,Good,2022-03-26,5.0,Electrical Engineer,Good working environment for the jobs,Better experience & got new ideas throughout the time
18,Etisalat,HR,2022-03-25,5.0,Human Resources Assistant,Best place for work and challenging,No remarks everything is perfect
19,Etisalat,Friendly environment,2022-03-22,5.0,Anonymous Employee,Helpful Friendly Teamwork Fun Good environment,Alot of noise on the 6 floor
20,Etisalat,document controller,2022-03-22,5.0,Document Controller,The best place to work at. They give you many benefits.,Nothing much to say about
21,Etisalat,Evolving,2022-03-21,4.0,Specialist,"Get paid on time, There are new technologies been introduced","Takes years for a promotion 
. Almost never. Learning opportunities is there, however the opportunity to make use of the Learning is less"
22,Etisalat,n/a,2022-03-21,4.0,Engineer,"A great place to work in terms of benefits, perks, corporate advantages and skills you will acquire and develop",Very difficult to maintain work-life balance
23,Etisalat,cc complain management,2022-03-21,5.0,Senior Advisor,"good environment and work place 
suitable salaries 
good carrier path",movement takes long time on some steps
24,Etisalat,Etisalat,2022-03-20,3.0,Sales Executive,The company is good for freshers,Busy hours also flexible shifts
25,Etisalat,.,2022-03-19,4.0,Applications Support Engineer,"Team work
Great environment
Supportive team and very kind with new employees",I think no cons i found with my position
