,company,headline,date,overall_rating,author_position,pros,cons
0,Eventbrite,Lovin it! :),2022-04-08,5.0,Senior Benefits Manager,Excellent benefits offered (yes I may be bias) but really appreciate all that Eventbrite has to offer to its employees so far. Great staff and support when you need it! :),I can not find any so far.
1,Eventbrite,So far so good!,2022-04-04,5.0,Software Engineer,"Company culture 
Compensation 
WLB
Opportunities for growth
Interesting problems being solved",None at the moment being that it’s just my first month.
2,Eventbrite,Best,2022-03-13,4.0,Anonymous Employee,Great work-life balance and treatment of employees,Food is not aways great
3,Eventbrite,Amazing,2022-03-11,5.0,Venue Representative,Company is very focused on employee satisfaction.,"No cons, loved everything about it."
4,Eventbrite,Very little executive confidence,2022-03-11,2.0,Anonymous Employee,"Nice People, Location in San Francisco","Leadership is all over the place, Unorganized, Not Transparent"
5,Eventbrite,Excellent Culture,2022-03-07,5.0,Anonymous Employee,I wish all companies had the type of culture that Eventbrite has. They spend a lot of time and effort selecting the type of employees that fit their amazing culture and it makes working their extremely enjoyable and motivating.,Some of the sparkle did start to fade working for the company once that went public and their demands intensified but that can be expected of any publicly traded company.
6,Eventbrite,One of the best companies to work for in 2022 and beyond,2022-02-28,5.0,Anonymous Employee,"-Extremely talented and smart colleagues 
-The product has evolved more in this past year than it has in the history of Eventbrite. It's an exciting time—lots of forward-thinking change
-By far, one of the best companies to work for right now. The Org truly cares about employee career growth and mental wellness. I joined about a year and a half ago, so things may have been different before my time, but I'm allll here for it. 
-The org has invested in building culture across global teams and it's paying off. 
-Leadership is held accountable via employee engagement surveys. They are fast to address feedback and follow through with solutions that stick. 
-Incredible health benefits / Unlimited PTO / First Fridays off every month",-Change never happens without some struggle. There's a lot of technical debt to be worked through (but something we're actively working towards)
7,Eventbrite,"Great Company, Great Leadership",2022-02-24,5.0,Anonymous Employee,Great benefits and work environment,Entry level salary could be better
8,Eventbrite,Working at Eventbrite,2022-02-14,5.0,Senior Technical Program Manager,"Transparent communication from leadership team
Great culture and work -life balance
Excellent benefits
Generous leave policy
Motivated and Supportive people","Nothing as of today, will revisit as we continue to grow here"
9,Eventbrite,Growth,2022-02-05,4.0,Anonymous Employee,There was a fun energetic vibe in the office. Room for growth professionally.,There were growing pains as the Company expanded quickly
10,Eventbrite,Great place to work,2022-02-01,5.0,Senior Data Scientist,"The pay and benefits are great, we get the first Friday of every month off, and everyone I've worked with so far is exceptional. There is a culture of ownership and I feel empowered to make a difference without a lot of bureaucracy.","The only con is that everyone else is so exceptional, I feel like I need to excel just to be average. Not a bad problem to have!"
11,Eventbrite,"Great company culture, tech in need of modernization",2022-01-31,4.0,Senior Backend Software Engineer,"The best part of Eventbrite is the company culture and the support employees receive. There's a very good work/life balance, and I see a lot more respect for this compared to other places I've worked. There's also a very vocal emphasis on creating a welcoming and diverse company culture - it doesn't mean Eventbrite always hits the mark, but I still appreciate that it's a clear emphasis that I see taking action to hit their D&I goals. I also have a lot of opportunities to drive the direction of my own work, which is something I love as an engineer.","It's not the most modern tech stack and a lot of the tech is tied to internal libraries which can be more difficult to work with compared to the more commonly used open source alternatives, but the company is working on modernizing and I'm hopeful this will improve with time"
12,Eventbrite,"Great benefits, company does care about its employees",2022-01-20,4.0,User Experience Researcher,"Awesome benefits like unlimited PTO, wellness stipend, WFH stipend, great health insurance, good work life balance",Messy top level management with lack of direction at times. Great potential to become a great product but poor internal operations make things move inefficiently
13,Eventbrite,work at EB Cork,2022-01-20,1.0,Anonymous Employee,it was great to work at Eventbrite. Very strong positive culture,None really. It was great.
14,Eventbrite,Truly walking the walk,2022-01-10,5.0,Senior Business Development Manager,"Many employers talk the talk, very few walk the walk. Eventbrite walks the walk and I'm thrilled to be on the team!

To name a few of the pros...

- Work/life balance and support to achieve it
- Genuine flexibility
- Lots of support for families
- Very welcoming environment that encourages you to be your authentic self
- Hybrid working - you choose where you work
- No micromanaging
- When we're in the office, it's always stocked with supplies and has beautiful views","There are very few cons to working for Eventbrite. I would suggest the only one is the time difference between global offices (US, UK and AUS) and the challenges that it poses. Everyone tries to manage the difference as much as possible to mitigate meetings outside of hours, however the AUS team misses out on attending US presentations as they happen while we're sleeping. Hopefully after covid we'll have the opportunity to travel to the US and see the presentations/leaders in person."
15,Eventbrite,Awesome company to work for!,2022-01-06,5.0,Senior Software Engineer,"Autonomy, Flexibility, Culture, Time off policy, Transparent",I don't have any cons!
16,Eventbrite,Great company - would recommend,2022-01-05,4.0,Senior CSM,"Ample career development opportunities, talented and kind colleagues, internal mobility and follow through from leadership. I've never seen a business hire so many thoughtful and smart people.","The strategic direction of the business changed frequently (though I believe this is being corrected after feedback in 2020), frequent org structure changes, poorly executed M+A strategy."
17,Eventbrite,Best place to work!,2022-01-05,5.0,Customer Service Specialist,There is a sense of community and management go out of their way to help and understand your needs as an individual so that you can achieve your goals with a set clear path. The team is amazing and we have great clients to work with once you understand your role the skies the limit.,The site could do with better updates but other than that non come to mind.
18,Eventbrite,Ok until Fired,2021-12-31,3.0,Customer Service Representative (CSR),"Great people, benefits, and space.",Too corporate and not enough recognition.
19,Eventbrite,A wolf in sheep's clothing,2021-12-22,2.0,Senior Software Engineer,"- Salary and benefits package : Health insurance, pension plan, life insurance, etc. are offered in Madrid.
- There is a lot of freedom with schedules, which also implies problems.","- Although the stack is starting to modernize, there is still an unassuming amount of technical debt.
- The number of meetings you can have can be overwhelming.
- Improvement plans are disguised layoffs.
- Some layoffs are not even notified.
- If you are a manager, stay as far away from Eventbrite as possible. The average duration of a manager in Madrid is 6 months.
- Not only managers are burned out but also ICs
In the last internal survey more than 40% of employees responded negatively to the question ""I rarely think about looking for a job at another company"".
A very similar number of employees answered negatively to the question ""I see myself working at Eventbrite in two years time"".
- They try to make believe that there is a work-life balance while forcing their employees to work on-call 24x7
- In addition, certain meetings are held at ungodly hours and their usefulness is questionable.
- Complete opacity of salary ranges
- be very careful with the reviews you read. management has changed with many Amazon roles and their style of working (the one in the bottle, if you know what I mean).
- Every 3 months you will be writing feedback from you and your colleagues.
- the HR team is focused on DEI, which honestly doesn't affect me, having all the problems outlined above

I'm sure I'm leaving out more cons, if you think they are not true contact Linkedin with any IC in Madrid and ask them directly."
20,Eventbrite,"Lovely team, great benefits but too many changes",2021-12-03,3.0,Anonymous Employee,"- The people is amazing
- Great perks and benefits
- The teams are great
- Good opportunities for career progression","- Too many changes from leadership.
- Way too ambitious with their growth plan, it's taking a toll on the employees, especially in non-tech, which always end being neglected in tech companies anyway so it's not surprising."
21,Eventbrite,Customer Success Specialist,2021-11-30,5.0,Customer Success Specialist,"Great team to work with, clear objectives and a smooth experience navigating the company!","No cons at all, has been a great experience!"
22,Eventbrite,Amazing benefits and work culture,2021-11-27,5.0,Senior Software Engineer,"- Great benefits: the best healthcare coverage of any company I've worked at
- Good work/life balance: ""Take the time you need"" unlimited vacation policy; people actually use it; managers encourage you to take time off
- Positive learning environment: Lots of mentoring from senior engineers and peers; other engineers always quick to help you learn / debug / pair program

The benefits & work culture at Eventbrite is the best of any company I've worked at. I had an issue with my benefits coverage and reached out to the Eventbrite team a year after I had already left the company - they went above and beyond to help me resolve it, even after I had already left the company. Eventbrite takes work culture very seriously and really prioritizes their employees.",Some growing pains as the engineering team scaled
23,Eventbrite,Management not trustworthy,2021-11-11,2.0,Anonymous Employee,It was a nice team,Bad management and overall company culture
24,Eventbrite,a,2021-10-29,5.0,vp engineer,Great company to work for,There is no disadvantages on this company
25,Eventbrite,Great place to work,2021-10-21,5.0,Anonymous Employee,They are great to their employees.,The pandemic forced them to downsize.
26,Eventbrite,Mid Market AE,2021-10-15,5.0,Account Executive,Great AE position but heavily focused on forecasting,"Covid and the pandemic with events is a tough sell, need more SDR sourcing qualified leads"
27,Eventbrite,Great company,2021-10-13,5.0,Event Coordinator,"Room for growth, and career development","Travel can be costly, but still enjoyable"
28,Eventbrite,Great Place to Work,2021-10-07,5.0,Senior IOS Developer,"- good pay and perks
- stock
- take the time you need vacation policy
- 100% remote is an option as long as you are in the same country as the job listing
- great coworkers that are fun and interesting
- the leadership is concerned with more than just $$$. They do the right thing even if it isn't always profitable.
- very diverse and there are systematic rules set in place to make it more so.","I honestly can't think of anything, it's the best place I've ever worked."
29,Eventbrite,Sr Prod Manager,2021-10-05,3.0,Senior Product Manager,time off and flexible working hours,"Big company, hard to push for changes"
30,Eventbrite,Great group of people,2021-09-19,4.0,Software Engineer,"Excellent people, really good company culture. Great CEO!","Company is lacking in diversity, particularly in management. Pay was lower than other companies in the area."
31,Eventbrite,"Good People, Questionable Strategy",2021-08-30,4.0,Anonymous Employee,"Great office culture, fun people to work with. Challenging problems to solve.",Corporate direction changes with the wind. CFO made $10mm the same year they laid off half the company.
