,company,headline,date,overall_rating,author_position,pros,cons
0,Evolution,Evo,2022-04-06,5.0,Anonymous Employee,There are good atmosphere to work,you can grow fast at evolution
1,Evolution,Great work environment,2022-04-02,5.0,Systems Engineer,"Great colleagues, great work environment",There are no other cons
2,Evolution,Awful management,2022-03-31,1.0,Live Game Presenter,"Fede, except from your colleagues",Too many to mention that’s for sure
3,Evolution,evolution,2022-03-31,4.0,Car Shuffler,evolution helps you to be more highpaid,you can not time but your job
4,Evolution,evolution,2022-03-30,4.0,Team Manager,"good environment 
insurance
gym 
ability to work with different people","full time job
stressful shifts
shifts
nothing else"
5,Evolution,Nice environment with young people,2022-03-29,4.0,Game Presenter,"Easy job, free time, a lot of breaks and a good environment to work in.","The bonus system, you work also for other teams that are paid more than you"
6,Evolution,Depends on the team,2022-03-28,4.0,Typescript Developer,"- A good place to develop your skills and learn good practices
- Relatively good salary
-If you find a team that matches your preferred culture and work style you will find it's a truly great place to work at.","- HR is rather incompetent in some cases.
- Can be rather hectic in some of the dev teams"
7,Evolution,Support all merchants,2022-03-25,5.0,Technical Support Engineer,Very great company also this company changed my life literally. The people are very welcoming and family oriented environment etc. It’s an Amazing company hands down,Being on the 11th floor lol
8,Evolution,bad salar,2022-03-24,1.0,Game Presenter,very low salary in Georgia,"hilarious salary in Georgia, so sad"
9,Evolution,Evolution,2022-03-15,2.0,Service Support Specialist,Face pace environment and career opportunities,Low pay for the work you do
10,Evolution,not bad for students,2022-03-15,4.0,Game Presenter,its ok as a temporary job for students,"bad management, not objective performance evaluation"
11,Evolution,Good place to work,2022-03-14,4.0,Game Presenter,"Good atmosphere, calm job and people","Bad evaluation system, not fair"
12,Evolution,Fun place to work,2022-03-13,4.0,Game Presenter,It’s an easy job but a little disorganized,"Talking to angry people all day,"
13,Evolution,"Coul be better, could be worse",2022-03-10,4.0,Senior Software Engineer,"You'll get a lot of freedom
Company can relocate you to NL
Relatively modern tech stack
Some TF things in code","Try to deploy something somewhere. Good luck!
Flat hierarchy (that only means that there is no way to be promoted)
No bonuses
No equity"
14,Evolution,"Its kinda good, but not too good",2022-03-07,2.0,Anonymous Employee,You almost do nothing and get paid.,It has a lot of stress.
