,company,headline,date,overall_rating,author_position,pros,cons
0,Expedia Group,good environment,2022-04-08,5.0,Software Engineer II,"good environment, interesting work and good infrastructure and tools",rsus are a bit low
1,Expedia Group,Good experience,2022-04-07,3.0,Recruiter,Good experience Good communication Rewardable over time,"Exhausting long days
Worked outside hours"
2,Expedia Group,Detoriating workplace culture,2022-04-07,3.0,Software Development Engineer III,Not as good as it used to be,None that I can think of
3,Expedia Group,Great people,2022-04-06,3.0,Principal Software Engineer,Top level developers and generally enthusiastic people,"Unclear future, tech is in flux"
4,Expedia Group,Great Leadership Team,2022-04-06,4.0,Senior Internal Auditor,Lots of growth and great work life balance,need to work on transparency with employees
5,Expedia Group,Management = nonexistent,2022-04-06,5.0,Tier III Customer Service Representative,"-Great group of coworkers 
-Lunch/snack room","-Required to literally clock out for bathroom breaks 
-Management does not care about you at all and will micromanage you into insanity
-Leads/supervisors are only chosen because of kissing butt"
6,Expedia Group,Great company,2022-04-06,5.0,Infrastructure Engineer,"I've worked in 2 teams, one wasn't great experience because the manager was rather not great. In the other team, the experience has been completely different - really good.
The company cares for inclusion and staff well being, and mainly, I love my job.","Promotios takes a bit long, a lot of the corporate stuff like feedbacks, town halls etc., company goals, quarterly goals, org goals, team goals, my goals,...."
7,Expedia Group,Great company!,2022-04-05,4.0,Marketing Specialist,"Great people to work with and good benefits: 401k match, stock discount, maternity leave, travel and fitness credits.","Global company- can lead to meetings at odd hours although, overall the company has a great work life balance"
8,Expedia Group,Decent perks but growth is minimal,2022-04-05,3.0,Software Engineer II,Campus is nice. Amenities aplenty.,They are not too concerned with what their employees want to do moving forward or what the managers can do to encourage that growth.
9,Expedia Group,-,2022-04-05,3.0,Lodging Partner Associate,"- Opportunities to work on additional projects. Possibility of development.
- Wellness and travel benefits.","- Lack of transparency. Compensation differences within the same role.
- Rarely taking into consideration feedback of their employees.
- Employee evaluation. The system of KPIs, shadowing, labs etc. Stressful and demotivating."
10,Expedia Group,Great as an entry level job,2022-04-04,4.0,Market Associate,"Travel perks, health insurance, health/ fitness allowance","Low pay salary, covid impact"
11,Expedia Group,Good,2022-04-04,4.0,Anonymous Employee,Full stack of technology and challenges,Business is not expanding fast
12,Expedia Group,Great place and benefits,2022-04-04,4.0,Anonymous Employee,High energy and great environment,A lot of on going org restructuring
13,Expedia Group,Love working for Expedia,2022-04-04,5.0,Anonymous Employee,"- Work life balance
- Great benefits
- Ability to grow",Have to adjust to hybrid work model
14,Expedia Group,Great Company/Great Benefits,2022-04-04,4.0,Accountant,The benefits are amazing. The culture is great.,"A little behind the times when it comes to innovation, and technology."
15,Expedia Group,"Great company, uninspiring colleagues",2022-04-04,3.0,Implementation Specialist,"Great company with a strong focus on diversity and inclusion. 
Great CEO. 
Great benefits.","Some inspiring colleagues just waiting for their retirement. 
Many people get away with doing very little for too much money.
Some toxic employees."
16,Expedia Group,Wonderful company and warm culture,2022-04-04,5.0,SDE-III,"- Fast paced tech
- Amazing benefits
- Supportive teammates
- Have got their team structures right",Due to covid some uncertainty has crept in but I think they are here to stay so don't worry too much. Would love to work for them again. :)
17,Expedia Group,Sadly it is going downhill,2022-04-03,2.0,Anonymous Employee,Good benefits and good work-life balance,"Bad management, information is top down and many managers and supervisors have favouritisms. HR does nothing as usual"
18,Expedia Group,Would recommend,2022-04-03,1.0,Software Development Engineer II,Lots of cool stuff to learn and opportunities to grow skills in a supportive environment.,Not a lot of programming work depending on which team you're in.
19,Expedia Group,Okay,2022-04-03,3.0,Software Engineer,- WLB depending on the org you are in,"- Growth is slow
- Some orgs have horrible stack and wlb due to decisions made in the past and they are stuck with it and having difficulty migrating and maintaining infrastructure."
20,Expedia Group,Average Company,2022-04-02,3.0,Software Development Engineer (SDE) II,"Lots of employees benefits like 3 months paternity, free breakfast & lunch, cab facility etc.","There were a lot of layoffs in 2020 due to Covid. Worst part was layoffs were done not on the basis of performance but randomly. Also, there were a lot of people who kept on discussing politics in office and destroying the atmosphere of the team."
21,Expedia Group,Great company to work for!,2022-04-01,5.0,Product Manager,"- Good Travel Perks
- Great work culture
- Great internal resources
- Ample opportunity to move around and try different roles","- Average salary
- Not at the forefront of innovation"
22,Expedia Group,Great Culture,2022-04-01,3.0,Anonymous Employee,Great culture and supportive work environment,Too many Organization and leadership changes
23,Expedia Group,Great WLB,2022-04-01,5.0,Anonymous Employee,"Very inclusive culture, people are not afraid to admit mistakes and move forward from them. The company is always finding ways to be better. Good bonuses and travel/wellbeing benefit. Interesting work and friendly people.","- Pay isn't amazing compared to competitors. 
- Have to go into the office 50% of the time from April 2022, which doesn't suit everyone."
24,Expedia Group,leadership disconnected from reality,2022-03-31,1.0,Anonymous Employee,"There are some amazing people who are unfortunately buried in the org chart at Expedia. Underneath the executive level turmoil and politics, at the heart of the company, there is good work being done through collaboration and relationships. Commitment to the company's success is strong even under trying circumstances.","Executives are so far out of touch with reality that it's laughable. Expectations are high performance, high output, but compensation is not aligned with those expectations. And somehow executives are surprised (and complain at all company meetings) when people leave the company for offers that are more than double the pay for the same or less work. A compelling corporate vision is great, but a vision doesn't pay the bills or send kids to college. 

For those who care less about compensation, their great ideas and long-term strategies are shuffled through so many layers of organizational cruft and politics that the intended value or the idea itself gets lost in the bureaucracy. The supposed goal is to ""move with speed"", but employees can only do that if they're working on an exec's pet project, and even then everyone and their dad has to sit through a million meetings, whittle the idea down so much that it becomes meaningless, and then sign off on a pretty PowerPoint before actual work can happen.

This is also an unhealthy and toxic organization where leaders behave like toddlers throwing tantrums. It's unfortunate that the most senior executives in the company have placed their trust in leaders who yell at people, slam fists on tables, point blame, and otherwise demonstrate their lack of EQ. It's no wonder so many people are ""voting with their feet"" and leaving the company."
25,Expedia Group,Sr Financial Analyst,2022-03-31,3.0,Senior Financial Analyst,"benefits, 401k contribution, paid vacation days","not competitive comp, no career development opportunities"
26,Expedia Group,A lovely place to work,2022-03-31,5.0,Customer Service Lead,"A great place to work, the people are what makes this company made life long friends. The perks are really good aswell.","Can get pressurizing at times, but more pros then cons"
27,Expedia Group,Best experience,2022-03-31,5.0,Account Manager,"the great work environement
pleasant work family balance",The KPI's are sometimes very hard to achieve
28,Expedia Group,Tech support,2022-03-30,4.0,Technical Support,Great team that I work with,Not many growth opportunities available
29,Expedia Group,Travel Industry,2022-03-30,4.0,Technology Lead (US),Dynamic travel industry global foot print,Global footprint challenges integrating different brands
30,Expedia Group,Great company to work,2022-03-30,5.0,Senior Machine Learning Scientist,"Great projects, and good learnings.",Hard to commute to office.
31,Expedia Group,Good,2022-03-30,5.0,Software Development Engineer II,Good work life balance at Expedia,There is nothing bad about Expedia
32,Expedia Group,Fun,2022-03-30,4.0,Market Associate,"Great culture, great perks, convenient location",Key tasks were very repetitive
33,Expedia Group,Good,2022-03-30,4.0,Devops Engineer,"Good environment,you also get work-life balance",Few teams has loose management
34,Expedia Group,Great benefits,2022-03-29,5.0,Technical Solutions Analyst,"- Good compensation
- Travel and Wellness Reimbursement
- Management level listen to the employees concerns
- Fun place to work
- Work life balance","- Sometimes workload too much
- Too fast pace"
35,Expedia Group,Uninspiring CPO,2022-03-29,3.0,"Director, People","Engaging industry, fun people, beautiful offices",Weak link between capability and promotions and comp in the people team - which is the team that’s supposed to lead the way!
36,Expedia Group,Good workplace,2022-03-29,5.0,Lodging Partner Associate III,"healthy environment ,awesome benefits, great leaders","Nothing is bad in the company,"
37,Expedia Group,Perspective from a Fraud Investigator II,2022-03-27,3.0,Fraud Investigator,"I do believe Expedia is as good a company to work for as we can reasonably expect in this capitalist hellscape. Pay is decent, there are good benefits, and like most Seattle-based tech companies, there are considerable additional perks/stipends.","The Fraud team used to be a very desirable team to be on within the company. The pay bump was respectable and while the work was challenging, it was generally known that the employees doing it were respected and felt appreciated and up to the task.

I don't know what exactly has happened to trigger it, but that sentiment has changed drastically in recent years.

Where the Fraud department would once see numerous internal candidates for open positions, that well has dried up. I believe that's due in large part to word getting passed around about the very strict metrics analysts (now investigators) are expected to meet. In addition to these difficulties attracting new hires, attrition appears to be quite high in the department.

Reviewing 10-12 bookings per hour at a 98% accuracy rate is simply not sustainable. Your staff are dying inside trying to meet these expectations while staying engaged enough from working in a production queue day in and day out. The ones who don't care enough to try find corners to cut. The ones who continue to hold themselves to a higher standard of work ethic just burn themselves out because it's futile and never ending and unappreciated. There is a hyper focus on mistakes and none at all on victories unless someone is fortunate enough to stumble into a way to recover millions. And even then, all hands meetings will never acknowledge Fraud analysts.

For a technology company, the systems in the department are archaic and function poorly and unpredictably. The teams responsible for repairing and improving those systems are very unresponsive, largely because they're also working on bigger and more important projects throughout the company, leaving Fraud to limp along with subpar technology.

In bullheaded efforts to save money, this once stellar example of a Fraud team has had tools and subscriptions gradually stripped away until now nearly all research is done only via free open source web searches. People in the industry will recognize this for the shortsighted and huge handicap that it is. Since so many of Fraud leadership don't have real Fraud experience, it is seen simply as collateral damage on a path to management excellence in improving the bottom line.

While analysts /investigators understand that the insistance upon returning to the office is coming from the very top of the company, there remains a great sense of dissatisfaction and betrayal. I have no doubt that the numbers of analysts already seen leaving the department will steadily increase once the return to office occurs (even with the paltry compromise of this hybrid schedule.)"
38,Expedia Group,Innovative,2022-03-27,4.0,Human Resources,"work at home, good pay",not sure yet just started
