,company,headline,date,overall_rating,author_position,pros,cons
0,Favor,convient,2022-03-13,3.0,"Registered Nurse, BSN","make your own schedule, guaranteed money","inconsistent, slow at times, a lot of other drivers to compete with"
1,Favor,Good while in the office,2022-02-10,4.0,Software Engineer,"The office, and office events are amazing.","Covid was rough, Favor was not well positioned to be a fully remote company."
2,Favor,Great company that cares about development from within,2022-01-31,4.0,Customer Support Specialist,"- Flexible hours
- Excellent benefits package
-401k matching","- Lack of innovation
- Frequent bugs and hacks of customer accounts"
3,Favor,Overworked and Underpaid,2022-01-22,3.0,Support Specialist,"-Free snacks and meals throughout the week (pre-Covid)
-Cool people who I genuinely love hanging out with outside of work
-Culture is rad","-Had the first 2 panic attacks of my entire life within the same week (1 of which was at work on the clock)
-Having to take phone calls from people is emotionally exhausting. If Karen doesn't get her food within an hour during rush hour she will flip and you have to take the brunt of it"
4,Favor,Great culture,2022-01-18,5.0,Account Executive,"Great culture, they really care about their people and have a great work/life balance. Very open communication between leadership and the rest of the organization. Also owned by HEB which is a huge plus.",You are always able to raise your hand for new projects but there are little organizational growth opportunities in terms of formal promotions.
5,Favor,Favor Runner,2022-01-11,5.0,Self Employed Driver,Great gif to work if you need a flexible schedule,Searching for a person's residence who doesn't list details
6,Favor,Driver,2021-12-25,4.0,Audio/Visual Technician,Self employed make your own schedule,Too much wear and tear on the vehicle
7,Favor,Favor Runner,2021-12-11,4.0,Call Center Representative,I set my own schedule,Wages are dependent on the numbers of orders.
8,Favor,Great For Independance,2021-12-09,3.0,Courier Driver,"- Answer to yourself
- Discover more about your city
- Discover new places to eat
- If childcare is an issue, you can bring your kids along
- The Promos will make sure you get a certain amount of money","- Promos are not kept up to date with rising gas prices
- If you want money same day, you're at the mercy of the customers tips (and they do not tip well)
- Be prepared to drive 6+ miles for a $4 tip
- Base tip for HEB Fleet orders is $8, regardless if you're lifting 3 (32 pack) cases of water bottles up 3 flights of stairs.
- The amount of driving you will be doing will KILL your vehicle unless properly maintained. All costs for maintenence fall directly on YOU."
9,Favor,It’s Alright,2021-11-28,3.0,Anonymous Employee,"- Nice perks
- Young vibe","- low salaries
- exclusive feeling 
- high turn over"
10,Favor,Great opportunities for those wanting to help your customer 3 days later.,2021-11-07,3.0,Support Specialist,"Friendly co-workers, growth, younger crowd, starting pay and benefits","Not all managers should be managing. Lack of training for multiple roles. Falls short for the customer, hard to defend company when answering customer and runners days later for live issues. Lots of negative complaints with minimal response."
11,Favor,Overworked/Underpaid,2021-11-02,2.0,Trust and Safety Specialist,Work From Home - Delivery Credit,"Workload, Compensation, Benefits, PTO Policies, Transparency, Communication, Engagement, Diversity & Inclusion"
12,Favor,Head of all 1099 contractors.,2021-10-28,4.0,Community Manager,You get to tackle novel and interesting challenges with great team members in a fast-paced and collaborative environment.,Management has problems with communication to support team.
13,Favor,Love this app,2021-10-20,5.0,Netflix Customer Service Representative,"This job is in the money with great bonuses, tips, free food if the store don't take it back, flexible schedule and more..",Some orders are a little time consuming. Traffic can be bad. People may stay on the forth floor. The customer is not available for gate codes. But over all its fine
14,Favor,Great all-around culture,2021-10-06,5.0,Support Specialist,This is just an amazing company with a great culture! Very great training and benefits! Amazing team! Love it here!,No cons that I can think of.
15,Favor,Great,2021-09-28,5.0,Sales,The Weekly Pay is great,The Hours are too much
16,Favor,Do me. A favor,2021-09-18,5.0,Senior Manager,"Excellent everything, great environment, thanks for everything","Nothing to comment here, padre nuestro que estás en los cielos."
17,Favor,Great company,2021-09-18,4.0,Community Manager,"-family enivorment
-happy hours
-office space
-great benefits","- overworked
- working outside of business hours
-"
18,Favor,Culture/benefits are honestly really great!,2021-09-02,5.0,Anonymous Employee,"Mental health days, unlimited PTO, frequent bonuses, remote option",There are none for me specifically
