,company,headline,date,overall_rating,author_position,pros,cons
0,Forrester,Once a great company…. Could be great again,2022-04-08,3.0,Vice President & Principal Analyst,"Culture very collaborative 
Everyone willing to help
Excellent benefits 
Excellent pay for senior people
CEO supportive of employee happiness
It’s a great place to work if you can keep your head down and not make waves.
Office culture is great 
Supportive of working remotely
Fantastic clients 
Opportunity to work with great brands worldwide
Lots of travel opportunities","Political: Management supportive if people keep quiet. If people say the wrong thing or criticize management openly in any way, it seems they soon leave for one reason or another. In this respect it’s like any large company - except Forrester isn’t that large. HR used to care more about employees as people: if an employee needed a change they would try to find another role for them; now it seems it’s easier to move them on. 
No sabbaticals.
It’s impossible to do the job well and hit goals in 40 hours a week. 60 is typical and 80 not uncommon.
No opportunities to move on past VP PA.
Burnout is high.
No problems having tobacco companies as clients.
Lots of travel."
1,Forrester,"Modern, progressive culture inhibited by typical, big-company problems",2022-04-06,3.0,Account Manager,"Pros
- Smart, talented people
- Progressive atmosphere","Cons
- cumbersome & unpredictable bureaucracy
- company politics (egos, spin, conflicts between teams)
- slow & inefficient
- low compensation relative to market (common joke is the only way to get a decent raise is to boomerang, leave & return). merit increases this year were paltry compared to inflation
- attrition currently high, so work pushed off to others without additional compensation"
2,Forrester,Excellent Work Culture,2022-04-05,5.0,Senior Analyst,Phenomenal Analysts and creative individuals.,Work-life balance can be tough for top performing analaysts.
3,Forrester,Company culture not enough to make up for everything that is broken,2022-04-05,3.0,Client Executive,"Smart, helpful, nice people, well respected company.",Pay is below market. Always changing GTM strategy and solutions which causes issues for sales and clients. Our CX is not good. Finance run org vs sales run org.
4,Forrester,Research Associate Entry Level Position,2022-04-05,5.0,Research Associate,"Working with many experts in a given field, being involved in the research via interviews, secondary research, and writing, plenty of opportunities to learn about various different areas/technologies.","Monotonous at times, a lot of call scheduling, exposure to the research is heavily dependent on the team/people you work with, difficult to move up within the research organization."
5,Forrester,Great company with lots of opportunity,2022-04-01,4.0,Anonymous Employee,"Really smart but also nice and approachable people, interesting work, they respect work-life balance.","Need to upgrade their operations to support a dynamic and matrixed workforce, need more emphasis on project management and enablement."
6,Forrester,Wonderful First Year at Forrester!,2022-03-31,5.0,Customer Success Manager,"The training process is fantastic. Basically an 8 week program with a mix of on-demand training that you do yourself, plus live sessions with fellow CSMs who are the instructors. 

Work life balance is awesome - we were given the opportunity to work remotely as often as we like, and it has been nice to be trusted to get our work done from home every day. 

The perks are great - nice vacation package with personal time, floating holidays, volunteer day, 401k match, employee stock purchase plan, etc. They are generous with bonuses and reward you for achievements accordingly. 

My coworkers are warm and were welcoming when I joined the Customer Success Org. A number of people took the time to have ""virtual coffees"" with me and introduce themselves during my first couple of months. 

The growth structure is well mapped out, so you are not stuck in the same role without being promoted for years on end.

Participating in meetings w/ analysts give you the ability to learn such a wealth of knowledge - the ""Forrester MBA.""","The pay could be better, but is not terrible. Compared to a SAAS CSM Position, it does not pay as well. 

Sometimes there's a disconnect between departments. Example - CSMs are told to give the client certain language, but other teams do not relay that same information so put us in a tough spot. 

Lots of products and information to learn right away - can be overwhelming.

Corporate rules can be annoying when it comes to annual raises and bonuses."
7,Forrester,Great place to learn,2022-03-31,4.0,Account Manager,Great learning and development environment. You have the opportunity to work with some of the best business leaders and learn from them directly. The culture is conducive to learning as well. tons of good resources,Comp. does not seem to be on par with the industry.
8,Forrester,"Well respected brand, but that's the end of the good",2022-03-31,2.0,Account Manager,"- Good brand name, people love to talk to us
- Lots of resources internally to help with selling
- Decent work life balance, not the highest stress or energy sales atmosphere","- Low energy sales atmosphere, little team feel
- Low pay relative to everywhere else
- Company leadership is laser focused on stock price, nothing else
- People are fleeing! Low pay is likely why
- Many people are overworked and way behind on SLAs
- Many inexperienced folks in roles that are critical to day to day functions
- Company is heading in the wrong direction, leaving it's legacy in the dust for that shiny new ""ARR"" (we wish we were a SaaS company, but we're not a tech firm)
- Sales leadership is not great, generally inexperienced
- Analysts (our ""product"") are overworked, unavailable, and fleeing the company at an alarming rate
- We're forced to sell products that our clients truly do not want, cannot use, and cannot afford, just to make quota"
9,Forrester,Going through Transition,2022-03-23,3.0,Account Manager IV,The executive team is very transparent. Good company morale.,"Many key analyst are quitting, they are giving significant increases on quota without being able to fulfill with the proper analyst team to deliver. Most employees are overworked and underpaid compared to market value."
10,Forrester,Great Workplace,2022-03-22,5.0,Anonymous Employee,"Wonderful work culture, great employee experience!",Nothing to add at the moment
11,Forrester,Not looking good,2022-03-17,3.0,Sales Sales Enablement Manager,"Flexible work life
We do amazing work and my colleagues are brilliant.","Pay is terrible.
Not transparent about new product.
A lot of broken promises"
12,Forrester,Accountant,2022-03-14,4.0,Accountant,Great place to work. People always willing to help,. . . . .
13,Forrester,Good company,2022-03-09,4.0,Anonymous Employee,Good work life balance. Great management who listen to your needs.,Compensation rates should be higher
14,Forrester,Poor leadership has talent leaving in droves,2022-03-08,1.0,Analyst,"- Mostly good people/peers
- Interesting work in research
- Good money in sales
- Commuter discounts","- No training or growth opportunities 
- Clueless and overbearing management 
- Right wing politics (surprisingly)
- Practically no racial diversity 
- Egotistical and toxic company culture"
15,Forrester,Forrester Practices What It Preaches,2022-03-01,5.0,Customer Success Manager,Working at Forrester for the last few months has been nothing short of an amazing experience. The people at Forrester are some of the kindest and most hard working people I have ever worked with in my career. Everyone is always willing to help each other out and collaboration is encouraged. Everyone has an impact and feedback is well received and implemented. Forrester analysts are a pleasure to work with and care deeply about Forrester clients. I would highly recommend Forrester as a great place to work.,"Training for my role could have been better structured and overall I felt as though I did not want to do next. However, I never felt that I could not ask for help or guidance when needed."
16,Forrester,Amazing Place to Work.  I may never leave,2022-03-01,5.0,Sponsorship Sales Executive,Forrester has a wonderful ecosystem of employees who value a work/life balance. The leadership team really listens to the opinions and concerns of employees and makes thoughtful decisions to improve on the employee experience. Leadership puts the customer first and uses the same train of thought with employees. This is by far the best company I have ever worked for and I feel very lucky to be here.,"Communication among different departments can be tough. Some information is learned by what is heard ""by the water cooler."" That being said, communication is still better than any other employer I have worked for."
17,Forrester,"Great culture, poor compensation",2022-02-25,4.0,Research Associate,"Wonderful people, ample opportunities for career development and personal/professional growth, CEO is incredible. I've loved every team I've been on, and (for the most part) my managers have taken the time to develop me and push me past what I thought I was capable of. I do believe in our work and our industry leaders. I see how hard people work here, and it is inspiring.","Forrester believes they can compensate employees less for having a great culture and for being a leading research firm. It is true that I haven't left due to the people and environment but Forrester is not competitive enough in today's market. I think Forrester would rather keep salaries low, and lose talent then invest in their employees and compensate them appropriately."
18,Forrester,"Collaborative. Respectful, Welcoming Culture and Flexible Workplace",2022-02-24,5.0,Finance Analyst,"The company was transparent, innovative and inclusive when working through Covid related issues, mask mandates and back to office concerns. We maintain a flexible workplace; workers can continue to work remote or choose how many days they want to be in the office. 
Management regularly takes surveys and polls to include employee feedback in their decisions. 
The culture at the company is welcoming, respectful and progressive. 
The salary and benefits are good and the Cambridge office is convenient to the train station.",There are many career opportunities at the firm but you must be self directed to find them.
19,Forrester,Don’t work for Forrester,2022-02-22,1.0,Customer Success Specialist,Nothing good to say about them. Don’t care about their employees and will do anything to hide their dodgy management,"Everything! The management is appalling, HR are useless and will not help in any situation so beware. Not inclusive whatsoever"
20,Forrester,Great company culture,2022-02-21,5.0,Sales Executive,"Professional leaders, collaborative work culture, excellent products and services, customer driven and innovative company that evolves to meet client needs.",Sometimes challenging to strike a balance b/w work and personal.
21,Forrester,Good work life balance but little growth opportunity,2022-02-07,4.0,Anonymous Employee,The work life balance is great and the people are always kind!,There is no defined career path and growth here is slower than at most other firms.
22,Forrester,Great place to work,2022-02-07,5.0,Consultant,"Transparency 
Interesting work
Good work life balance
Autonomy
Nice colleagues","A few old school analysts are difficult to work with
Average 401k contribution 
Difficult to get feedback"
