,company,headline,date,overall_rating,author_position,pros,cons
0,Garena,Gaming company with strong growrh,2022-03-29,4.0,Project Manager,Strong gaming products with steady growth,Sometimes overtime; have to coordinate with global offices
1,Garena,Great culture,2022-03-23,4.0,Product Manager,"Good culture, everyone here is driven to succeed","Remuneration and bonus, depending on the team, can be quite little."
2,Garena,Good experience,2022-03-23,5.0,Influencer Marketing Manager,"Good managers, enjoy my job",Everything is good here nothing to complain
3,Garena,-,2022-03-22,4.0,Senior Associate,Some teams are great and fun,Some teams are too focused on monetization and forgets that we should be gamer first
4,Garena,Hr,2022-03-16,1.0,Human Resources Generalist,Found none since I joined,"Management issues in india, too much expectations from employees"
5,Garena,"Great business outlook, friendly culture",2022-03-11,5.0,Anonymous Employee,"- People are smart
- Coworkers get things done
- Willing to let individuals drive projects from an early stage of their career
- Work culture is healthy","- You need to earn the trust of those above you
- Relative lack of internal business performance update"
6,Garena,Overall a good place to start your career with,2022-03-11,4.0,Anonymous Employee,"-Work-life balance
-Team management
-Fun to work
-Supporting colleagues","-Work pressure
-Over expectations
-last moment pressure"
7,Garena,Nice environment,2022-03-07,5.0,Game Operation,"Good learning curve, fast paced environment",pressure and time management is must here
8,Garena,Basic,2022-03-02,3.0,Senior Frontend Engineer,free and nice working space,uncleared ranking system with uncleared promotion rules
9,Garena,Best place for Gaming lover,2022-02-23,5.0,Management Associate,High salary with good environment.,"If you are not the game players, it is not suitable."
10,Garena,Work experience as a fresh grad,2022-02-21,5.0,Data Analyst,"Good pay, good working environment","Less work-life balance, high working pressure"
11,Garena,Can be work life balance if you know how to work fast,2022-02-02,5.0,Associate,Helps new full0timer to understand the process very well even if it takes time.,"The neighbourhood is expensive, it is located in Kuningan"
12,Garena,good,2022-01-30,5.0,ESports Coordinator,because the company is very good,i think they should focus more on the feed backs of the people
13,Garena,Very good company to work in,2022-01-26,5.0,Management Associate,"Large pantry, gym discounts, good working environment and culture",Be prepared to work extra hours
14,Garena,good,2022-01-26,5.0,Anonymous Employee,"very good culture, growing company",nothing. company is awesome. Everyone should come work for Garena
15,Garena,-,2022-01-19,3.0,Senior Product Manager,nice team to work with,"maybe too many Chinese staff, not that international"
16,Garena,Good place,2022-01-10,5.0,Senior Software Engineer,"Snacks, WLB, comfortable working place, friendly colleagues",WFH is not a option
17,Garena,A decent place to work at,2022-01-06,4.0,Product Manager,A great starting point to kickstart a career in gaming. Very entrepreneurial as you will have the opportunities to own and drive projects most of the time.,"Work-life balance can be hugely improved. 
The performance of the individual is heavily dependent on the performance of the product. If the product performance in the market is not good, no matter how hardworking you are, your individual performance will never be more than average."
18,Garena,n/a,2021-12-20,5.0,Talent Acquisition,Great work environment and new-gen company,no comment for this part
19,Garena,Great environment for junior people,2021-12-07,5.0,Senior Game Operation,Lots of mentorship and challenges for junior roles,high working hour is frequently seen
20,Garena,Free fire,2021-12-05,5.0,IT IS Best,It is the best game in the world and India's world's best game,Free fire all updates are meaningful and useful and very good
21,Garena,Garena company,2021-12-01,2.0,Computer Science/Engineering,I'm playing in ff .I'm interested in garena company,"Graphics
sloew net work.
Low pric
I'd haked 
Block mail"
22,Garena,Review,2021-12-01,4.0,Anonymous Employee,Flexibility and working culture is a plus point,Too laid back at times
23,Garena,Good company to be in when you are young,2021-12-01,3.0,Anonymous Employee,Give chances and opportunity to young people,Lack of structure and work life balance
24,Garena,Best Workplace,2021-11-30,5.0,Anonymous Employee,"Culture, Working Environment, Team Lead",There is None of cons
25,Garena,Fun place to work when you are in the right department,2021-11-29,4.0,Associate,"- Good compensation package
- Fun work environment
- A lot of freedom to express your idea
- Good office facility","- Limited promotion opportunity
- Lack of appreciation 
- No hustle no gain, indirectly encouraging lack of work-life balance"
26,Garena,Great Working environment,2021-11-25,5.0,Anonymous Employee,"Great bosses, Fun colleagues, Work becomes enjoyment in the team.",Unsure of future progression. Hectic worklife.
27,Garena,A young and aggressive company with many opportunities,2021-11-24,5.0,Anonymous Employee,"High flexibility 
Work life balance 
Quick tempo",Projects and members change very fast
28,Garena,Good,2021-11-21,5.0,Data Analyst/Data Scientist,"Big, with free snacks, activities",Not located in city center
29,Garena,Garena,2021-11-15,4.0,Data Analyst,"Friendly colleagues, working space is not crowded.","Salary is low, hiring new employees with higher salary"
30,Garena,good place,2021-11-15,4.0,Business Analyst,"more opportunities, can take ownership",all good for me :)
31,Garena,Bureaucratic firm,2021-11-02,2.0,Product Manager,"Good working environment, pay is not bad if you were a coder.",Bureaucratic. Your manager doesn't know (he doesn't really care) about what you're doing. Pushy deadlines without thorough testing would inevitably lead to system crash.
32,Garena,Nice,2021-11-02,5.0,Moderator,Good compony of games Makers,Nothing to say here by
33,Garena,Great place to grow,2021-10-31,4.0,Senior Associate%2C Game Operations,"Good working culture, fast paced and opportunities to grow aplenty","Career path is unsure, Chinese speaking favored"
34,Garena,Good to geow,2021-10-28,3.0,Anonymous Employee,"Good Salary, good challanges, free snacks, travels","Overtime working, no social events."
35,Garena,Great Place to Work,2021-10-12,5.0,Anonymous Employee,"- Strong focus on personal and professional development
- Great company culture
- Structured feedback and appraisal system",- Occasionally expected to work beyond office hours
36,Garena,Review,2021-10-08,5.0,Management Assistant,It is a good environment.,Some works require hard skill.
37,Garena,Team management,2021-10-04,4.0,Creative Production,I like that they let member of the team to take full responsibility which is very challenging and really help the team grow.,There was no one to train me during training period. So it was quite hard for me to catch on what everyone was doing.
38,Garena,-,2021-10-03,5.0,Product Associate,Good environment and good team player,I have no idea in this company
39,Garena,Stay away,2021-10-02,1.0,Manager,Free Fire is doing well,"Very dishonest and unethical management. If you are a fresh grad, it may be ok at first. But once you start learning about how things work, you will be disappointed."
