,company,headline,date,overall_rating,author_position,pros,cons
0,Globacom,not a good placve to work for young engineers,2022-04-04,1.0,RAN Engineer,"Training yourself on the job
good for expatriates and bad for the majority of locals in terms of remunerations",staff are not well compensated for the services being offered and not training or any form of benefits
1,Globacom,No growth,2022-03-31,2.0,Field Service Engineer (FSE),Benefits when in management position,No growth and no conscious human resource training
2,Globacom,Job,2022-03-30,2.0,Anonymous Employee,You get to meet different people,"Lack of career growth and poor management system.
Poor business process."
3,Globacom,Globacom,2022-03-25,3.0,Customer Service Representative,You get free time to run side hustles,No clear career progression path
4,Globacom,Telecom company,2022-03-23,3.0,Bss Engineer,"Job security, work load balance.","No carrier growth, insufficient training"
5,Globacom,Salary review,2022-03-22,3.0,Management Trainee,It's good place to work.,The organisational structure is not so organized
6,Globacom,No growth,2022-03-19,2.0,Customer Care Representative,"steady work and pay
great colleagues","No pay increase.
No room for growth.
Terrible work conditions and benefits."
7,Globacom,Avoid,2022-03-15,1.0,Anonymous Employee,Good Salary for expats is there,"Too much internal politics
Unethecial values"
8,Globacom,Fair,2022-03-11,3.0,Care Assistant,you are able to have free time,you get a Low pay
9,Globacom,"Good PR but poor company structure, infrastructure and renumeration",2022-03-10,1.0,Anonymous Employee,Looks good from the outside because of the fine TV ads,"Bad office infrastructure, Terrible renumeration and slow to no growth for staffs in the company"
10,Globacom,Good Company,2022-03-10,4.0,Chief Technology Officer Chief Technology Officer,The company is good pay master,"Very Long working hours
Complex Procedures"
11,Globacom,Management Trainee,2022-03-04,2.0,Network Performance Engineer,You are going to gain from the work on the experience,Promotions can prove to be difficult
12,Globacom,Organizational Structure,2022-03-03,3.0,Data Communications and Networks,"Free hands to do your job
Encourages self development
Mid reporting procedures","Poor organizational structure
Poor employee welfare"
13,Globacom,Globacom Limited,2022-02-23,4.0,Channel Sales Executive,Because it's in Nigeria my home country,It's not easy if you are in sales
14,Globacom,Work at Globacom,2022-02-22,1.0,Field Engineer,Lots of room to learn on your own.,Poor remuneration and bad management practices. No room for growth.
15,Globacom,Poor outlook,2022-02-21,1.0,Anonymous Employee,Good exposure to Telecom industry,"No training
No promotions
Toxic work environment"
16,Globacom,Enterprise Glo rating,2022-02-19,5.0,Enterprise Regional Support Engineer,Allows their employees to be expressive on the job. Innovation is encouraged to solving issues and deployment of solutions to customers,Support on the job is low and career growth is nonexistent with corresponding remuneration
17,Globacom,"great people, minimal structure",2022-02-18,3.0,Business Analyst,"great pay, for those who get it","poor structure, no career progression"
18,Globacom,Not exactly great,2022-02-11,2.0,Customer Care Representative,"None for me, maybe just the popular name of the company",No real opportunities for career progression
19,Globacom,Career,2022-02-07,4.0,Manager,"1. Opportunities,
2.Welfare 
3. Mobility, 
4. Growth, 
5. Team work","1. Renumeration
2. Mortgage
3. Incentives
4. Overtime
5. Training"
20,Globacom,Salary structure,2022-02-07,4.0,Sales Operations Manager,Good working environment for staff,None noticed yet in the company
21,Globacom,"A place where career path is developed, scalable and innovation is welcomed.",2022-02-05,4.0,Reg Sales Manager,The company has a good structured career path for staff and welcomes innovations from all staff members.,There is a drawback in providing competitive service that counter competition. staff training comes in once in a while.
22,Globacom,Globacom review,2022-01-25,3.0,Customer Service Representative,"Salaries are always paid on time
They do not owe salaries",Low career growth and Slow promotion
23,Globacom,salary,2022-01-23,2.0,Customer Care Representative,"Free 6K airtime per month 
Staff bus available
Salary is guaranteed.
You can hardly get laid off if you do your job.","Poor work environment
Poor working equipment for staff.In addition, gender favoritism against male staffs in terms of in house recruitment"
24,Globacom,Do your job and go home attitude,2022-01-20,2.0,Customer Service Representative,Some amazing colleagues and bosses.,"No growth or promotion structure
Poor Management
salary review is almost a never to happen thing; you can earn the-same salary for 5 years and even more."
25,Globacom,Great place to learn,2022-01-19,4.0,OMCR Engineer,Learn alot on the job. Great place to start a career.,No good salary structure for entry level.
26,Globacom,RF Network Optimization,2022-01-16,3.0,Network Optimization Engineer,"Great company to work, you will meet amazing people.",You work always with minimal supervition
27,Globacom,Working at Glo,2022-01-16,2.0,Anonymous Employee,A good place to have good use of your time.,Not a place for fresh graduates. No training and you may experience career stagnancy.
