,company,headline,date,overall_rating,author_position,pros,cons
0,Globe Telecom,Good colleagues,2022-04-08,4.0,Project Manager,"- good colleagues
- home environment","- too much work
- outside office meetings"
1,Globe Telecom,Good,2022-04-07,5.0,Carrier Sales Representative,Good company with healthy staff,None to be honest to nag
2,Globe Telecom,Accelerated Career Growth,2022-04-07,5.0,Anonymous Employee,Exposed to a lot of different facets of the business,Hours can be long and workload can be too much
3,Globe Telecom,Good company,2022-04-05,3.0,Sales,"Good benefits, Huge company, Nice people, Professionals","Toxic culture, Hard to get along, Work 24/7, Bad boss"
4,Globe Telecom,great telco company but too much bureaucracy,2022-04-05,3.0,Anonymous Employee,"competitive benefits, good learning ground about telco",too much bureaucracy. doesn't respect time.
5,Globe Telecom,Good working environment,2022-04-05,4.0,Solutions Architect,You can work anywhere within the building. Best place would be the indoor Starbucks in 8th F (if you're a programmer),Too much bureaucracy and politics
6,Globe Telecom,Great place to work at,2022-04-04,5.0,Manager,"Great benefits and employee programs
Collaborative teams",Working schedule and maybe some of the teams
7,Globe Telecom,Great place to work while you're young,2022-03-31,4.0,Strategy Lead,"- Growth is fast
- A lot of opportunities to experience different roles because of regular organizational restructuring 
- Pay is good for a first job
- Benefits are standard, enough leaves
- Employee centered decisions - they handled the pandemic really well compared to other companies, giving employees and their families access to vaccines and medicines, COVID tests","- Fast paced
- Long hours, OT most of the time 
- Not much work life balance but ok trade off if you're in it for the growth"
8,Globe Telecom,Work-Life Balance,2022-03-30,5.0,Research and Development Engineer,"Great salary, promotes work life balance",Can't think of any cons
9,Globe Telecom,Good Company,2022-03-30,5.0,Product Manager,Great benefits and company culture,Can't think of any cons
10,Globe Telecom,Meh,2022-03-30,4.0,Facilities Engineer,Challenging and more room to grow,Fast paced. Expect to work overtime hours
11,Globe Telecom,BEST EMPLOYER OF THE YEAR,2022-03-25,5.0,Senior Retail Manager,A lot of benefits and perks,Roles and salaries are sometimes not aligned due to sudden movements
12,Globe Telecom,Ok,2022-03-24,3.0,Business Analyst,"Paid overtime, coworkers are pretty much like family","Overtime becoming a norm, no work life balance"
13,Globe Telecom,Good company,2022-03-15,4.0,Network Engineer,"Incentives, flexible benefits, people centered","Low compensation, no OT pay"
14,Globe Telecom,Working with Globe,2022-03-13,3.0,Solution Designer,The people and the environment in my team is really great. I have gained and learned a lot from this experience.,Even though there are a lot of bonuses offered the base salary is not enough.
15,Globe Telecom,Challenging and Demanding,2022-03-10,4.0,Account Manager,"Salary, sales incentive plan, car plan with gasoline allowance
Learnings and dynamic environment","Overtime. On call. Everyday. All week, including weekends."
16,Globe Telecom,Great benefits but detrimental to health.,2022-03-09,4.0,Sales Manager,Good to work for a Recognized brand.,Good to try for the experience.
17,Globe Telecom,Challenging,2022-03-08,3.0,Solutions Designer,"- Innovative
- pay
- bonuses
- benefits","- Overwhelming work
- Toxic culture"
18,Globe Telecom,Workplace,2022-03-07,4.0,Channel Sales Manager,High Salary & good compensations,High Pressure job & very fast paced
19,Globe Telecom,Lots of room for growth,2022-03-06,4.0,Product Designer,"Great team, benefits, and culture.",Lots of teams that decision making in projects take time
20,Globe Telecom,Tech,2022-03-01,5.0,Process Manager,Front row seat on emerging technologies,Teams have different sets of culture or processes
21,Globe Telecom,High Quality Work Environment and very good compensation,2022-02-28,5.0,Core Network and Facilities Management Engineer,"Offers a lot of trainings, good pay, great working environment, could see that we can work here until our retirement age","Due to work nature, work-life balance may be sacrificed."
22,Globe Telecom,good,2022-02-28,5.0,Student,I had friendly co workers and fun environment.,They offer commission based for the position I had.
23,Globe Telecom,Takes good care of employees,2022-02-25,4.0,Expert,"- plenty of opportunities. can easily transfer from one department to another. 
- great employee benefits, bonuses, and engagement activities. provides plenty of support to its employees most esp. during covid.
- really nice office in bgc — has its own starbucks, mini grocery, food stalls, gym, court, garden dining, etc.",- everything is fast paced and you are consistently expected to adapt quickly
24,Globe Telecom,Benefits,2022-02-23,5.0,Anonymous Employee,"Unparalleled benefits, supportive managers and bosses, innovative projects","Long working hours, some bureaucracies difficult to navigate"
25,Globe Telecom,Sounds amazing but isnt,2022-02-22,2.0,Senior Account Manager,Good pay and good benefits,Toxic environment and work culture
26,Globe Telecom,Life at Globe,2022-02-21,3.0,Media Specialist,"Very casual and cozy environment, makes you at ease to work. Modern and eco-friendly office.",Poor management and work flow process on specific departments.
27,Globe Telecom,"Fast paced, Non-Family culture",2022-02-18,2.0,Anonymous Employee,"Basic pay only, but performance bonuses are good","At least in my group, people are workaholic, no personal relationship, slow growth"
