,company,headline,date,overall_rating,author_position,pros,cons
0,Grab,Good place to work,2022-04-08,4.0,QA Engineer,"Good work culture, great team and management",Not using good automation framework
1,Grab,Great place to learn,2022-04-07,5.0,Manager,"Great manager, competitive salary, good working atmosphere",Work life balance can be a bit unbalance
2,Grab,Should work with Grab?,2022-04-07,4.0,Customer Experience Specialist,"Having a great Benefits

Good Teammates and working environment 

Have a good work life balance","Facing with pressure work sometimes

Overload work on weekend and Public Holidays 

Fast change and many data updating everyday"
3,Grab,Overall good,2022-04-06,4.0,Software Engineer,Great work life balance. Friendly managers.,If feels like the company's growth is limited.
4,Grab,Long ago review,2022-04-06,5.0,Grab Food Ops,pantry is constantly filled with food,the working culture is kind of tiring
5,Grab,Great,2022-04-06,5.0,Anonymous Employee,Work here im telling you it is great,just alot of work but always supportive
6,Grab,"Long hours , small money",2022-04-06,3.0,Delivery Driver,"Same day and instant cash withdrawal
Flexible",Low pay with long working hours
7,Grab,Intern Experience,2022-04-05,4.0,Software Engineer(Internship),"- team is awesome and flexible
- mentor is responsible","- most interns work on individual projects, not really diving deep into the daily routines"
8,Grab,its a good team!,2022-04-05,5.0,Engagement Support Coordinator,You can handle social media to engage driver and give them some information about Grab. Manage issues that are happening around the driver,Really Nice. I think working at Grab is a very interesting experience for me
9,Grab,not that good,2022-04-05,3.0,Senior DevSecOps Engineer,"good upper management especially the co founders
good culture",very less increment almost 9% yearly if you are best performer
10,Grab,"An amazing to work , learn and grow",2022-04-05,5.0,QA Engineer,"The management is really good and emphasizes employee benefits.
The work-life balance is always a priority. 
You will get to learn new things because the company operates in different countries and in every country they have different services.",I didn't find any cons.
11,Grab,"Extremely political, biased environment",2022-04-05,1.0,Data Scientist,Perks are good. Prefer not to say about certain practices.,"Across teams, something I noticed was biased behaviour during events/day to day work because you are a foreigner/belong to certain race or gender. No regard for privacy of minority employees and also diversity and inclusion initiatives are nothing but a hoax. Even if you politely suggest something against a particular tech/business decision which can be harmful in long run, they resort to group bullying and makes pressure for forceful resignations. Unworthy individuals are promoted on hard work of others due to their race/connections in upper management. Credit for good work and entire projects are stolen in name of employee monitoring and disciplinary actions. Better invest your time and energy towards working for a non toxic environment. They don't value hardworking and honest employees but rather are removed covertly in name of *** (A popular practice with Amazon). Abusive people managers are rewarded for harassment, upon confrontation steal hard work and make people physically/mentally sick. No support during hard times."
12,Grab,Procurement,2022-04-04,4.0,Assistant Manager,"Great staff benefits, flexible working environment","Stressful environment, management not supportive"
13,Grab,On you,2022-04-04,4.0,Grab Food Ops,"- On time own target
- Bonus on weekday and weekends
- Daily cash out but minimum $50","- tiring (depend on your vehicle type)
- entertaining some ""funny"" customer"
14,Grab,Good work life balance,2022-04-03,4.0,Anonymous Employee,Provides good work life balance.,Direction changes too often sometimes.
15,Grab,Good,2022-04-03,3.0,Customer Service Representative,"Healthy environment, good compensation, medical health support","always OT, no yearly bonus"
16,Grab,Grab Review,2022-04-03,5.0,Senior Customer Experience Specialist,Best environment with more change to climb up the opportunites.,lack of manpower for backup works.
17,Grab,Political culture,2022-04-02,2.0,Anonymous Employee,"-Good exposure because you get to see others' work
-Salary is quite decent
-Work life balance","-Highly political environment which makes it hard to focus on work
-No bonding session or rather leadership doesn't care  (at least for my team)
-Promote based on the initiatives you lead, which resulted in people owning projects and not sharing their work. Projects will forever be MVP  because there's lack of collaboration or rather people are selfishly focusing on their own project only. 
-There's no roadmap from top. You from the bottom come out with the roadmap, the vision and the work. 
-Too much male egos"
18,Grab,Balanced work and life,2022-04-01,5.0,Assistant Manager,Fairness of employee performance management,"Fast paced, sometimes unclear chain of command"
19,Grab,Great place to work,2022-04-01,5.0,Associate,"- Balanced work-life balance
- Many opportunities to learn
- Great people",-None that I can think of
20,Grab,Good pay. Good benefits but manager sucks.,2022-04-01,5.0,Administrative Assistant,"Great colleague, benefits, pay, maternity benefits and flexi benefits","The manager in my department is racist,"
21,Grab,cool company,2022-04-01,3.0,Data Scientist,"fun projects, fast moving industry",bad management and long working hours
22,Grab,Inclusive environment,2022-03-31,4.0,Anonymous Employee,"They have a big focus on L&D, which is great",Manager was toxic and chased a lot of employees away
23,Grab,Good Workplace,2022-03-31,5.0,Senior Software Engineer,Good Work Life Balance at Grab,Maybe teams could have much better vision and leads
24,Grab,Food runner,2022-03-31,4.0,Food Runner,"Flexible time, you can earn more than RM3000 per month","Not a good for career development and long term period, risky work"
25,Grab,"Paid well with competitve benefits, good for growth",2022-03-31,4.0,Senior Data Scientist,"With competitive pay, RSU, bonus, also flexible benefits plan",Currently do not find cons.
26,Grab,Overall a good experience,2022-03-30,5.0,Finance,"Good working environment, good colleagues, good culture, good benefits",Huge amount of workload for your portfolio
27,Grab,A great place to work!,2022-03-30,5.0,Operations Manager,"A more mature startup, with enourmous enery of growth from its leaders","In hectic period, work/life balance is something to work on"
