,company,headline,date,overall_rating,author_position,pros,cons
0,Gracenote,Nice Place,2022-04-02,3.0,Staff Editor,It is a great place to work.,The incriment is very less.
1,Gracenote,Research,2022-03-20,4.0,Resdential Advisor,Great place for working. Fun atmosphere,Not flexible hours. Too little shift
2,Gracenote,Live scored sports around the globe,2022-03-11,3.0,Sports Ingest Executive,Good team to work with,Shifts can get a bit taxing.
3,Gracenote,Okay,2022-03-07,2.0,Rich Media Specialist,"- Really friendly and nice workers
- Nice career ""starter"" job,","- Low pay
- Burnout is rampant
- Retention is low
- Repetitive tasks (data entry is the real job title)"
4,Gracenote,Great Learning Experience,2022-02-23,5.0,,"Good work life balance
You can create your own framework here .
Great learning.","The importance of QA in the organisation is less.
Low Pay.
They won't retain the good employees"
5,Gracenote,Great company,2022-02-22,5.0,Hiring Manager,Always there for workers when needed,No cons for this conpany
6,Gracenote,Great place to work.,2022-02-18,4.0,Staff Editor,"Good managers, you don't take your work home with you, good work-life balance, positive environment.",Career growth is extremely slow.
7,Gracenote,Good for freshers,2022-02-15,3.0,SSE- Development,Work life balance is good,Some projects are not development projects
8,Gracenote,I like it,2022-02-11,5.0,Senior Editor,"Like the culture, very diverse and inclusive. Great people.",I feel a little underpaid and some managers (not all) like to micromanage.
9,Gracenote,Good place to work,2022-02-03,5.0,"Senior Director, Engineering","There are many reasons why anyone can choose Gracenote across globe. Few are employee friendly, diversified, open door policy, lots of learning & good growth opportunities.",Practically there are none. Very few selective employees can debate thats company is not a good pay master. To some extent it can be true which is same for any MNC company.
10,Gracenote,Good organization,2022-02-02,4.0,Senior Project Manager,Work life balance and culture,None that I think of.
11,Gracenote,Good work culture and supportive manager,2022-01-16,5.0,Staff Editor,Good work culture and supportive manager.,None except two Saturdays are working in the company.
12,Gracenote,Great atmosphere and work culture,2022-01-12,4.0,Staff Editor,"Healthy work-life balance
Great environment
Inclusive culture","Pay could be better
Growth can be extremely slow"
13,Gracenote,Good but low on remuneration,2022-01-08,4.0,Editor,"Time flexibility, crosskilling, friendly, understanding, smart working from home","Low remuneration, less recognition, monotony,"
14,Gracenote,Senior sales representative,2022-01-04,3.0,Director of Sales,"strong support staff
collaborative environment 
forward thinking in terms of new product development","management checks and balances could use a closer review
results are mainly based on revenue goals and achievement
revenue goals should be in line with new product development"
15,Gracenote,Good place to work,2021-12-26,3.0,Senior Manager,"Work life balance , work from home provided","Very low increment, very slow carrer growth , small company"
16,Gracenote,Working here sucked,2021-12-21,2.0,Software Engineer,Free coffee and sometimes there was pizza.,Toxic management and low pay.
17,Gracenote,Loved the company when it was Private! Once fun  and pervasive culture  no longer exists after the acquisition!,2021-12-12,4.0,Senior Product Manager Technical Products,"(1) Entertainment industry culture - you get to work with motivated teams who solve interesting customer problems .
(2) High visibility as an individual if you work hard.
(3) Product Management team is good but they need to find a way to retain talent as most young PMs end up finding very competitive salaries in the Bay. Same applies to Engineers but I felt the Engineering leadership is more giving and rewarding than the Product Management.","(1) Salary can be bit more competitive for the complex problems we solve. RSUs are a joke for Technical talent working in this company.
(2) Customer Experience team needs to be more hands on with the product as opposed to being a complaint box. 
(3) Due to unlimited vacation policy, some employees take unfair advantage of it and go on vacation at will regardless of how hard the other teammates are working. They always have this ""everything can wait until I return"" attitude."
18,Gracenote,Learning and tech stack is good,2021-12-10,4.0,Senior Software Engineer,"Work life
 balance
Technology 
stack
Using all new technologies","Hikes can be better
Should retain talent"
19,Gracenote,Good Company,2021-12-06,3.0,Content Editor,"Good working environment
Get to learn new things
Good facilities","Slow growth
Low Salary
Politics in the upper management"
20,Gracenote,Nice workplace for people who want a stable job,2021-11-29,3.0,Process Coordinator,"Work with NIce people
Good working environment","NO room for growth
Different culture with Nielsen (Merged completely)"
21,Gracenote,Ok Ok- A Comfort Zone,2021-11-23,3.0,Content Editor,"Good working environment
Friendly co-workers
Good engagement ativities","Poor salary and appraisals
Your experience will suck if the manager is not good."
22,Gracenote,Content writer,2021-11-19,3.0,Content Writer,I don't have any problem with them,"They are great company, great"
23,Gracenote,One of the best I've worked at in 20 years,2021-11-18,5.0,Anonymous Employee,"Helpful colleagues across the board.
The company fosters an atmosphere of integrity, cooperation and collaboration and I've not seen another company where people feel free to own up to mistakes instead of playing the cover-up/blame game.
Employees are treated humanely and with compassion.
Work/Life balance is taken seriously, at least in my own engineering org. Taking personal time off when needed is not at all an issue if one has been keeping up with one's work.
Density of musicians per square foot is the highest at any company I've worked at.
Interesting tech and projects.","Admin red tape.
Payscales could be better, but I am willing to take this in stride given the pros above.
Not certain what the career path timelines are."
24,Gracenote,Flexible mid sized company,2021-11-07,4.0,Devops Engineer,"- Amazing boss
- Amazing culture
- Flexible lifestyle",- Salary could be much better
25,Gracenote,S,2021-10-30,5.0,Personal Banker,"Good place to work, would recommend","No work life balance, okay"
26,Gracenote,None,2021-10-14,3.0,"Research Editor, Special Lists",Good employee benefits & salary package,Colleagues are not too supportive
27,Gracenote,Good,2021-10-11,4.0,Staff Editor,"Work life balance
Supportive team all round","Restrictive writing style
Non-streamlined process
Have had to work one weekend"
28,Gracenote,Good Company to make progress,2021-10-08,4.0,Senior Softeware Engineer,"Flexible working hours
Unlimited PTO
401(K) match","No RSUs,
Tiny/ insignificant discounts on ESPP"
29,Gracenote,Stay away!,2021-10-05,1.0,Editor,The only advantages are the one given by law,Poor management and boring job
30,Gracenote,Test,2021-10-01,2.0,Customer Service Manager,Good hours to work daily,No flexibility for time off
31,Gracenote,Stable company with good perks,2021-09-20,3.0,Staff Editor,"Flexible hours, good projects, understanding management",Inconsiderate and extremely rude managers
32,Gracenote,Media entertainment info and reviews of television channel programmers for all STB and websites.,2021-09-15,5.0,EPG Executive,Most comfortable atmosphere and entertainment business culture.,"TV programs live monitoring in STB and editors will provide judgment information about the TV series for next episode. Sometimes, it's provide false information to the viewers."
33,Gracenote,"Good employees, below average salary",2021-09-10,3.0,Staff Editor,"Employees that support each other
Diversity, equity and Inclusion",Not competitive salary as per the market norms.
34,Gracenote,Workspace culture,2021-08-24,5.0,Staff Editor,"Some of the best people to work with.
Good understanding of work-life balance.",Hours can be hectic at times.
35,Gracenote,Friendly team,2021-08-16,4.0,Schedule Editor,I had great colleagues and the company provided good training. The work/life balance was also really good. They allow you to do flexi-time which is nice.,The main con was just that the job could be quite repetitive. But other than that it's a great company and definitely a good place to gain some experience.
36,Gracenote,Cool,2021-08-12,3.0,Project Manager,Good service and nice staff,Not super fun can be boring
37,Gracenote,"Great people, standard corporate culture",2021-08-02,3.0,Rich Media Specialist,"The people at Gracenote are amazing, the work can be fun, and the pay is decent, many flexible roles and opportunity to work from home or negotiate hours for external/person study part time.","Needed better training resources, work-life balance for all teams, overtime budgets for all teams, greater response to retrospective requests, made no adjustments to KPIs for teams working overtime to meet workload, little opportunity for growth within roles."
38,Gracenote,Great work environment,2021-07-31,4.0,Software Developer II,"New technologies 
Work life balance 
Work from home 
Nice people to work with","Less salary compared to other companies 
Office location should be near to downtown"
39,Gracenote,Great Place to work,2021-07-29,5.0,Data Entry Analyst,"Flexible hours
Great management
Fun work
Easy work
Get to meet folks",There are not to many negatives to this job. It is what it is.
