,company,headline,date,overall_rating,author_position,pros,cons
0,Grubhub,Pay could be better,2022-04-10,4.0,Specialist,"Grubhub is a great place to work! Upper management really values employee work/life balance, half Fridays at work are great. Tons of resources available for employees to refer to for growth development.",Definitely underpaid for the position.
1,Grubhub,Beware,2022-04-08,1.0,Restaurant Sales Executive,"If you have a busy schedule outside of 9-5 this is a good job to streamline commute time (i.e. college, kids, extracurriculars)","Hard to find a place to start. Was told the ""first three months are guaranteed $3,000 commissions."" The way they structured the onboarding was that it ran three days over into a new month. Was informed that 'guaranteed' commission is only guaranteed for a full month from start to finish. So don't expect to see that till your 5th paycheck (2.5 months). The industry standard for this role is much higher in terms of base salary (1.5x to be precise) so do not be manipulated by the 'guaranteed commissions'. The OTE mentioned in your interview is probably exaggerated from the sales that happened in the heat of COVID. If you do take this role know that Grubhub has irritated a lot of restaurants by posting their menus without permission - $15/hour is not worth you getting cussed out every day. Competitors have adjusted to the exit of COVID fears by offering very high signing bonuses for restaurants - you do not get that same luxury here (UberEats offers upwards of $200K for one restaurant Grubhub offers a free tablet). Expect to be put into territories that are essentially the backwash of previous reps. Job security is low and the turnover is high. If you take this job, use it as a stepping stone and move on. In my tenure three senior executives left within a one-year time frame - so guess the turnover at the lower levels. I left several months ago but know this now - every call you make, you have to say ""this is a recorded line."" If you are a tenured sales rep you know this screams ""solicitation"" and triggers sales resistance from the start."
2,Grubhub,Good place to grow,2022-04-08,4.0,Customer Service Representative,"I had great managers at Grubhub, and was encouraged to develop in my career. We also had half days every friday. Great benefits including a weekly","There used to be a bonus for customer service agents, but that was taken away so the pay is not as good."
3,Grubhub,GrubHub has an amazing culture with competitive pay!,2022-04-07,5.0,Restaurant Sales Executive,I really enjoy going to work every day!,"There are very few cons, if any!"
4,Grubhub,Not for the weak,2022-04-06,3.0,Restaurant Onboarding Specialist,Weekly grubhub meal perks (which was convenient),"The work life balance can be difficult to reach monthly metrics.
Too many added task to the role itself."
5,Grubhub,Not a great experience,2022-04-05,2.0,Anonymous Employee,"remote work, and decent training","pay is terrible, quick to hire and fire"
6,Grubhub,"Great culture and WLB, nice people",2022-04-05,4.0,Software Engineer,"Data driven culture
Really nice and pleasant environment + people
WLB is great",Work can be a little boring but that's up to the individual
7,Grubhub,Great Company!,2022-04-04,5.0,Anonymous Employee,Amazing company with a great culture!,"The company is great, no cons"
8,Grubhub,Driver,2022-04-03,3.0,Driver,Flexibility and sometimes good if busy,Sometimes slow and pay can fluctuate on gas prices
9,Grubhub,Great Company!,2022-04-01,5.0,Account Exevutive,Everyone is incredibly supportive and nice great culture especially for sales,None I can speak to
10,Grubhub,Great! But just another job.,2022-03-31,4.0,Operations Manager,"Time off - Flex PTO
401 K
Insurance
Stock Options
Laid back culture","Strategy isn't driven by passionate people.
Mission is diluted."
11,Grubhub,Driver,2022-03-30,5.0,Truck Driver,Good side gig to be honest,It a bit times where pay is low
12,Grubhub,Gotta be able to grind,2022-03-29,5.0,Inside Sales,"Remote flexibility 
Good commission 
Good management",None that really stand out
13,Grubhub,Good Company,2022-03-28,5.0,Restaurant Executive,"Meal credit
Employee training and collaboration 
Flexibility
Commission","Difficult markets
Remote is hard for collaboration"
14,Grubhub,Great Company Culture,2022-03-28,5.0,Inside Sales Executive,Wonderful culture great benefits happy.,Things change very often must be adaptable
15,Grubhub,Great place to work full of authentic people!,2022-03-28,5.0,Anonymous Employee,"-supportive, collaborative and innovative culture
-authentic and upbeat employees
-flexible and great work/life balance
-ability for your voice and ideas to be heard and make an impact","-things change fast, we are a fast-pace environment so this is not necessarily a con for all!"
16,Grubhub,You get what you put in,2022-03-27,3.0,Driver,"Quick pay
Able to decline orders you don’t want to do",You will destroy your car
17,Grubhub,Constant Changes,2022-03-27,4.0,Sales Executive,"Work from home, Meal Perks","Constant major/impactful changes on day to day life, seemingly always chasing Doordash"
18,Grubhub,Not too bad,2022-03-25,3.0,Anonymous Employee,Can Work when you want,Low tips for large orders
19,Grubhub,Fantastic Opportunity,2022-03-25,5.0,Remote Sales Representative,"Great Benefits, Four Day Work Week, Benefits start after 30 days, mentorship program, Meal perks, Grubhub Gear, allowance for home internet, Salary plus Commission","salary less than expected, overlap of phone training, assigned territories need to be scrubbed"
20,Grubhub,Good Company overall,2022-03-24,3.0,Workforce Management Analyst,"Collaboration with co-workers , Half day Fridays, Free food","Management, favoritism,  rapid changes on a daily, no direction,"
21,Grubhub,Good start,2022-03-24,5.0,Restaurant Fulfillment Specialist,"Great culture. 
Good bonus structure.","Constantly changing.
If you are not good with your bonus you won’t make much."
22,Grubhub,Raises Depend on How Good Your Manager is,2022-03-23,3.0,Restaurant Care Specialist,You can move up in the company easily if you have a manager that actually care about your growth,There are some trash managers in Restaurant Care department.
23,Grubhub,Nice people,2022-03-23,4.0,Anonymous Employee,I really like the people,None that I can think of at the moment
24,Grubhub,Not very good,2022-03-22,2.0,Account Advisor,"$50/week (2 meals essentially with fees) food allowance

Cool coworkers","Base pay around minimum wage 

Always changing and aggressive quota

Big turnaround in employees

Products issues/high cancellations affect retention quota"
25,Grubhub,Market dependent,2022-03-22,4.0,Driver,"If you happen to work in a lucrative market 15-20 dollar orders can be frequent, though dependent on time frame.","time to make good money is usually shorter, market dynamics vary wildly"
26,Grubhub,Solid Entry Level Sales Job,2022-03-22,4.0,Inside Sales Representative,"- Lucrative commission structure 
- Great way to enhance sales skills
- Awesome work environment","- Minimal communication from upper management to sales reps
- Pay can change rapidly"
27,Grubhub,Sales Job,2022-03-21,4.0,Inside Sales Representative,"good training, good pay, must be a good salesperson",experience in sales would have helped me
28,Grubhub,Customer service,2022-03-21,4.0,Food Delivery Driver,It was flexible. Good pay. Easy to manage,Gas's was expensive. Customer were rude. Directions were bad
29,Grubhub,Sales,2022-03-20,3.0,Sales Representative,Have opportunities to work remote,The base salary is very low
30,Grubhub,"Solid Culture, Pay is Decent",2022-03-17,4.0,Inside Sales Executive,"Super friendly, laid back culture. Progressive and involved.
Weekly GrubHub stipend.
Remote opportunities but also have really cool offices.
Pay plan is nice with high volume of sales.","Salary isn't very competitive.
Lots of Cold Calling. 
Pay plan fluctuates a lot.
Corporate is starting to get disconnected from workforce."
31,Grubhub,I have had a bad experience.,2022-03-17,2.0,Senior User Experience Researcher,Very smart people. Excellent benefits overall.,Poor communication from management and leadership.
32,Grubhub,"Interesting, Challenging, but Fun",2022-03-15,4.0,Data Scientist,"Smart, friendly co-workers
Challenging and interesting projects
Nice work location
Supportive company vibe",Concern that services such as GH are detrimental to small restaurants.
33,Grubhub,"Not bad, but not great",2022-03-13,3.0,Dispatcher,"They did provide snacks for employees, and gave a decent severance package for those who lost their jobs due to automation.",Eliminated positions due to computer automation.
34,Grubhub,"Travel Optional, but beware",2022-03-12,4.0,Sales Representative,"Hybrid work plan (2 days office, 3 days WFH)
Uncapped commission with top performers clearing $100k/year
All Fridays end at 1PM local time
Great Benefits
Paid business travel","Company policy is ""travel optional."" However, travel is integral to being a top performer. I'd estimate that most reps spend 15%-20% of the year on the road. Face to face is way more effective than over the phone. None of this was clearly communicated during the interview process.

If travel is not an option for you, you will be doing this job at a disadvantage compared to those that travel. This will be reflected in your metrics.

Oh yeah, if you miss quota 2 months out of 12, you are subject for termination. If the most effective way to hit quota is to travel for face to face meetings, then travel is unofficially required (if anything to keep your sanity as the end of the month approaches and you're still shy of hitting the monthly quota)."
35,Grubhub,Positive Experience,2022-03-08,5.0,Customer Service Representative (CSR),"Good place to learn, great team",Large company felt like I got lost in the shuffle
36,Grubhub,"Great company overall, just has a horrible pay structure",2022-03-08,4.0,Sales Fulfillment Specialist,This company has outstanding perks with excellent people to work for.,The pay is extremely low and sometimes unliveable in certain areas
37,Grubhub,Not your everyday cold calling sales.,2022-03-07,2.0,Inside Sales Executive,Relaxed culture. Decent training. Some managers willing to assist.,"Cold calling is not the right description of the job. It is more like a warm call, but the other party is already strongly against your product. You get a list of restaurants to call and are made to call each either daily or every other day. These people have said no to GH ussually 50-100 times. Therefore as soon as you disclose why you are calling they become incredibly hostile. Management has the idea of ""match their energy"" so I was asked to get hostile and argue back with the restaurants on the phone asking you to stop calling them. This can lead to developing some very bad sales habits in my book. No one wants called by a screaming salesperson demanding that they buy their product. I have never been hung up on so much in all my day of sales and cold calling."
38,Grubhub,Great people,2022-03-07,4.0,Restaurant Fulfillment Specialist,Great people and great culture,There are multiple and constant changes in the department and on the role
39,Grubhub,Pretty good. Midwest vibes meets Technology,2022-03-06,4.0,Anonymous Employee,"Good people, nice place to work. Decent benefits.",It could have been better if they let us work remote without it having to happen because of Covid.
40,Grubhub,Pretty good. Midwest vibes meets Technology,2022-03-06,4.0,Anonymous Employee,"Good people, nice place to work. Decent benefits.",It could have been better if they let us work remote without it having to happen because of Covid.
41,Grubhub,Intern,2022-03-06,4.0,Software Engineer(Internship),Good and balanced work environment,salary could be higher as well as PTO.
