,company,headline,date,overall_rating,author_position,pros,cons
0,HT Media,New business,2022-04-05,3.0,Brand Manager,Work life balance is there,Not a good compensation structure
1,HT Media,amazing company,2022-04-04,5.0,Associate,amazing company. work life balance. helps you grow,work from office should not be mandatory
2,HT Media,Decide for yourself,2022-03-30,1.0,Manager,"none, nil, zero
no family/social life",No concern for employee well being (Mental and Physical health)
3,HT Media,Neutral,2022-03-26,3.0,Anonymous Employee,Work life balance is good,pay can be more competitive
4,HT Media,The Radio Division needs a complete overhaul,2022-03-21,1.0,Marketing Manager,"None at all, the previous CEO was a man with too much pride and zero leadership which trickled down to the management.","Previous-CEO lacked leadership and was an authoritarian
Leaders are confused and along with bad programming decisions it just makes for a disaster
Lack of Leadership
Zero facilities and benefits
I have no words to explain the pressure cooker kind of environment that is sold in the name of being a corporate which promotes toxic hustle culture"
5,HT Media,Deputy Manager,2022-03-16,5.0,Deputy Manager,One of the best and oldest Media house in India,Slow digitalization and less growth
6,HT Media,Nice company,2022-03-16,5.0,Manager,It's very good company to work,There no bad experience here.
7,HT Media,Not worth your time and energy,2022-03-15,1.0,Assistant Manager,Nothing much to be said,"Least paid salary as per the market and your experience
Management is the worst of the all 
Hr policies are maid the manner just to such you blood
Attrition rates are highest"
8,HT Media,Good work life balance,2022-03-09,4.0,Anonymous Employee,Good people and great work life balance,"Not willing to take risk, bureaucratic"
9,HT Media,Nice,2022-03-09,4.0,Anonymous Employee,Great place to work and nice environment,I have no such comment as everything was satisfactory
10,HT Media,Great,2022-03-07,5.0,Anonymous Employee,"Great workplace, very enjoyable place to be",Limited experience with co workers
11,HT Media,Aspiring Analyst,2022-03-02,5.0,Analyst,"Work culture, Diversity, Supportive staffs",Good work culture with no politics
12,HT Media,Startup with great leaders,2022-03-02,5.0,Data Scientist,You will get lot to learn,Work life balance is not good
13,HT Media,Good company to make your career,2022-02-27,5.0,Sales Manager,"New learnings - trainings
Scope of earning rewards, awards and recognition
Support from seniors","Over looked, very minute cons"
14,HT Media,Used to be a great place to work...,2022-02-14,3.0,Anonymous Employee,"Some great people to work with
Sense of being part of something that makes a difference","Has become more short-term oriented
A lot of great people have left"
15,HT Media,SOFTWARE ENGINNER,2022-02-10,4.0,Software Engineer,"the learning environment is very good,people are very helpful",legacy code some time very difficult to handle
16,HT Media,It was fine,2022-02-10,4.0,Business Development Executive,"Co operative and supportive
Good environment","Lack of communication
Management doesn't care"
17,HT Media,Decent,2022-01-28,3.0,Assistant Manager,"Good work
 Canteen nice
People friendly","Too much politics
Top heavy structure"
18,HT Media,Great Company,2022-01-26,5.0,Software Engineer,"Good mentors , great management, Com[etitive salary",Work environment can get a bit stressful
19,HT Media,Good on the Digital side,2022-01-20,4.0,Multimedia Producer,Scope for personal career growth on the digital side.,Print legacy does overshadow growth efforts and it's hard to make big changes to keep up with trends.
20,HT Media,"Zero appraisals, zero appreciation",2022-01-19,1.0,Correspondent,"-Reputed, but professional growth is limited.","-Limited progress
-Favouritism
-Office politics
-No job security"
21,HT Media,Professional organization. Lots of stress,2022-01-17,3.0,Sales Manager,Professional org. HR Driven Org,"Work Life balance, Stress, Pressure"
22,HT Media,Good,2022-01-12,5.0,Anonymous Employee,A good place to work,Less Salary was the only problem
23,HT Media,Good for freshers,2022-01-07,3.0,Journalist,It raises your technical skills as well as soft skills. Company's policy is very clear and easy to work with the organisation. I'm definitely sure that this media Co. Is superior for those who want to make career in print media..,Sometimes you have to compromise with the shift and you may also need to go outside your residential ares as company want.
24,HT Media,Na,2022-01-04,4.0,Deputy Brand Manager,Inclusive and ethical work culture,Traditional firm but trying to pivot
25,HT Media,Great Place to work,2022-01-03,4.0,Manager,Company Gives the required flexibility to work,not many opportunity to learn new things or skills
26,HT Media,Great Experiance,2022-01-03,5.0,Zonal Head,Good company with high values,Less career growth due to lacks of program to enhance analytical skills and IT skills.
27,HT Media,Sale and BD,2022-01-03,5.0,Business Development Manager,Very good and career booster,Less leaves and everything is fine
