,company,headline,date,overall_rating,author_position,pros,cons
0,Healthgrades,Great Employer,2022-03-09,4.0,Anonymous Employee,Good people who are talented.,Benefits could be improved as well as market adjustments for salary.
1,Healthgrades,Don’t. Please don’t.,2022-02-12,1.0,Customer Service Representative,They start you off at a decent wage with a promise to learn more and increase your hourly.,"I was a temp for HG, now Mercury Healthcare. Turn over is very very high. They use 5 temp agencies to fill these jobs with a promise of FT hire after 90 days. That’s 90 business days, regardless is you work weekends. This job is blatant data collection on behalf of health systems across the United States. You get calls from folks who just want to talk to their doctor, collect names, addresses, phone numbers, etc. then connect them to their doctor. You provide references for people needing new doctors as well. That’s not too bad. People will fight you on this though, especially if they are already established patients. “My doctor already has this information, why am I giving it to you?” And you are told to lie to them that you assist in scheduling appointments. Training is ONE WEEK, with the promise of being able to learn more “phases” as time passes. The supervisors don’t know anything, they are young, eager to prove themselves, and bullies. No one checks your progress until a QA score comes in. You only have yourself as an advocate. If you want to quit, they will hold your things hostage and pack them up to send back to your temp agency. Maybe. Don’t bother, it’s a ruse to get people in the door, the job is hard, you get calls from legitimate crazy people or people having health crisis’. It wears you down. Your agency won’t tel you anything unless you call them, and then only maybe. Literally no one knows what is going on. No one."
2,Healthgrades,"Good experience, great first job",2022-02-07,4.0,Anonymous Employee,"-Opportunity to move and learn different roles within the company
-Available and approachable upper management
-Great benefits
-Super helpful HR team","-Those in higher roles have been there for a while and growth is difficult, you hit your ceiling rather quickly
-Pay is not competitive enough"
3,Healthgrades,Mission Driven,2022-01-27,4.0,Director,It is a mission driven organization,Tools routinely don’t work as they should
4,Healthgrades,Great Design Team,2022-01-18,4.0,Software Engineer,Everything I learned about the Product Design process was from working here. Amazing team.,"Large company, easy to feel lost"
5,Healthgrades,Influence Health Data Engineer,2022-01-09,5.0,Data Engineer,"Startup vibe (snacks , bring your pet to office, wfh)",Not a lot of guidance
6,Healthgrades,Lack of direction and poor communication,2021-12-22,2.0,Senior Software Engineer,"Great team members, very knowledgeable.","Poor communication, focus and direction from upper management."
7,Healthgrades,Potentially great,2021-12-17,3.0,Consumer Strategist,"Great benefits package
Wealth of data to dig into and leverage","No training program
Lack of communication among teams 
Repeated layoffs"
8,Healthgrades,Find direction and aggressively work toward it.,2021-12-14,2.0,Anonymous Employee,Fair compensation and healthcare benefits and good location if you like working downtown.,Unorganized and no sense of direction. There have been several layoffs within the last couple of years.
9,Healthgrades,Amazing company!,2021-12-11,5.0,Senior Talent Acquisition Partner,"Small, close nit team, amazing leadership and autonomy",I can’t think of any cons. I truly enjoyed working there
10,Healthgrades,Great company,2021-12-07,5.0,Customer Service Specialist,Patient and flexible. Great work environment.,Didn't find any cons actually
11,Healthgrades,Could work better on company communication,2021-11-05,3.0,Analytics Manager,"Good benefits, 6 weeks PTO",Needs to work on cross company communication
12,Healthgrades,Lack of direction and focus,2021-11-03,2.0,Anonymous Employee,Great team members with years of knowledge and huge commitment to clients,Lack of direction and focus. Too many priorities and not enough focus on doing a few things well.
13,Healthgrades,Not bad all told,2021-10-04,3.0,Quality Assurance Tester,"Great location, parking, benefits, facilities",Supervisory management was a revolving door during the nine years I was there. Ranged in quality from above-average to very bad. This reflected more on the lack of ability to attract talent more than anything.
14,Healthgrades,Loved it,2021-10-01,5.0,Customer Specialist,"Healthgrades are very hands on during training, they help you understand whatever question you have. I loved having my own space and own desk.. what I loved the most is after I had everything down packed I was able to be up-trained.",None that I can think of.
15,Healthgrades,Great People,2021-09-29,5.0,Customer Success,"Great colleagues and co-workers, every day is different which makes the job exciting and challenging.",Corporate red time sometimes need to be cut through; lack of follow-through on employee advancement & growth
16,Healthgrades,Review,2021-09-21,3.0,Contact Center Supervisor,Fun activities and good moral in contact center overall,"Rush out new software platforms before they are ready, or have worked through all troubleshooting, training not long enough"
17,Healthgrades,Not flexible,2021-09-16,3.0,Customer Relations Specialist,"They make it a fun work place, pay is decent for the job, paid training.","They only allow some people to work from home (supervisors mainly), not flexible on hours."
18,Healthgrades,Interesting company with a unique product offering that's going through a significant transition,2021-08-25,4.0,Senior Product Manager,"- Remote opportunities
- Shift in focus to be more of a data analytics and software platform company
- Healthcare data analytics and software industry experience
- Many hardworking colleagues with passion for clients, our products, and healthcare
- 6 Weeks Vacation","There's been huge change recently with a lot of executives leaving and longtime employees deciding to leave due to burnout. 

Private equity ownership makes taking a role at this company a bit risky, as they could easily decide to squeeze as much value out of the company as possible while eliminating re-investment in product innovation."
19,Healthgrades,Great place to work,2021-08-05,5.0,Senior Director Sales,"Great friends, culture, products, etc.",Hard to get a title increase or base pay increase
20,Healthgrades,Room for growth with the best coworkers around,2021-08-02,5.0,"Team Lead, Software Engineering","Excellent room for growth for jr, mid-level engineers and plenty of opportunities to step up into leadership roles within the department. Coworkers are some of the best folks I've ever been around. The company truly does care about it's employees and takes care of them as best they can. Other employees also care deeply for each other, the trust leads to great products in the engineering department.",The overall direction and goals of the company at a high level appear to be nonexistent or they aren't well communicated.
21,Healthgrades,Great place to work for…long hours,2021-07-22,4.0,Consumer Strategist,The culture is great and has great leadership,Quite a bit of turnover. They haven’t matched the 401k benefit since covid (16+ months) and they expect a lot out of their employees for less money than they deserve.
22,Healthgrades,NA,2021-07-21,2.0,Anonymous Employee,Great historical colleagues and company,Products and people not supported
23,Healthgrades,Not good for your soul,2021-07-20,2.0,Senior Project Manager,"Nice downtown location and extended PTO policy. Some very intelligent, dedicated resources who work hard and mean well. 

HR team in Denver is awesome.","Not the worst place I've worked, but it's close. Acquisitions and associated layoffs/ RIFs are a part of corporate life, but the way HG handles them is shameful: no transparency (even though that is a company tenet) and horrible execution. 

Management leverages employees like pawns to address performance challenges with other employees that they don't want to deal with.

Leadership is lacking to non-existent and there is always a ""shiny new thing"" to chase regardless of the impact to employees. Evariant acquisition and leadership communication was deplorable. 

As many other reviews state, there is finger pointing and blame, adversarial relationships between teams and when you work to solve that problem, it goes unrecognized. Reward and acknowledgement go to people who respond to emails all hours of the night regardless of what they were doing during actual work hours.

If you have any self-worth, you do not want to work for Healthgrades."
24,Healthgrades,.,2021-07-12,5.0,Director%2C Data Engineering,Great work culture and senior leadership,none that I can think of
25,Healthgrades,Sliding Big Time,2021-07-09,1.0,Senior Customer Success Director,Market leader in the space.,Product support has really disintegrated. Many challenges arising with clients due to lack of functionality and unclear product direction.
26,Healthgrades,Great place to work,2021-07-05,5.0,Digital Analyst,"Great PTO, culture, and teammates",Lots of change after acquisitions
27,Healthgrades,Great place to grow and challenge your technical abilities,2021-06-30,5.0,Solutions Architect,I love the idea of helping to develop cutting-edge software products and I know I could start delivering results from Day 1,Very ordered and structured organization some time is a con for easy changes.
28,Healthgrades,Yikes,2021-06-29,1.0,Data Analyst,Can't really speak to that right now,"Not great, good luck to ya"
29,Healthgrades,Good,2021-06-23,4.0,Anonymous Employee,"People/work culture
Modern tech
Flexible hours
Generous PTO","Lots of roadblocks
Budget cuts
Vision seems to be a bit blurred"
30,Healthgrades,"If you're a job-seeker, look elsewhere",2021-06-21,2.0,Anonymous Employee,"- most of the people you work with are friendly
- 30 days PTO, fully eligible as soon as you start (no payout or rollover though, use it or lose it)","- Annual increases based on ""total compensation"", which ended up reducing the overall raise %. Cheap way to save a few bucks. 
- No 401k match, no bonuses
- Toxic culture where the most praised/recognized employees are those who never (truly, never) stop working. Teams work against each other and have conflicting interests. 
- An unreasonable amount of work will be piled on your plate and everyone in the company will be coming to you asking why it's not done yet
- Mass exodus of people quitting and not being backfilled
- 10-hour workdays are typical and coworkers often expect you to take calls outside of a normal 9-5 schedule and you are seen as difficult if you don't
- Selling products to clients before they are built and significant delays on delivery of these products
- When products are delivered, they are full of bugs and clients are often the ones finding them
- Leadership of engineering/product teams refuses to take accountability or ownership of any issues
- You will be asked to lie to clients or not reveal information about delays or the product not existing yet"
31,Healthgrades,Great place,2021-06-21,5.0,Creative Copywriter,Flexible Environment to work in,None. Everything was great there.
