,company,headline,date,overall_rating,author_position,pros,cons
0,Iksula,Deep learning but unclear management,2022-04-07,3.0,Senior Manager,"Good exposure, Cross functional opportunity","Unclear management
Strategy changes every now and then
No interest in employee development/engagement"
1,Iksula,This is really good work place and people's are really supportive.,2022-04-04,4.0,Drupal Developer,Good experience to work with such organisation,It is the best place for learning.
2,Iksula,Iksula,2022-03-31,4.0,Senior Team Lead,The working atmosphere is cool and the management team very helpful to execute new things for the employees.,Nothing more to say for cons.
3,Iksula,Senior ECommerce Manager,2022-03-28,5.0,Senior ECommerce Manager,"Good Place to work
Good Office
Good Employee policies","Precise, 
Timely, Management, 
Training, 
Processes"
4,Iksula,Great company to work with,2022-03-28,5.0,Senior Finance Executive,Employees can take part in discussion/Meetings in order to make process smooth. Employees are been rewarded for their good performance. Supportive Teammates & management that will reduce your pressure .,Team bonding should be there in such Work from home culture.
5,Iksula,Working atmosphere is cool,2022-03-25,4.0,Software Developer,Working atmosphere is cool and management team very helpful to execute new things for the employees.,Nothing more to say for cons.
6,Iksula,Poor experience,2022-03-24,1.0,,Good for freshers as you will be assigned to projects very early. Salary is on time.,"Tech department is going worse day by day. No work-life balance. 
You are required  to work on weekends. 
You are required to work till late night. 
There is no compensation except the salary provided. Appraisals are not upto the mark. You are not compensated unless you show them another offer and resign. 

There is no quality of work as a Software developer. Senior management agrees to unrealistic timelines with the client and ask developers to meet it anyhow.  Code quality is so poor that something on the production breaks every other day. 

There is so much resource scarcity that your projects are changed every 2-3 months based on the requirement. There is no growth here as a senior software developer. To meet the resource crunch freshers are recruited who have no idea what is going on."
7,Iksula,jb,2022-03-24,3.0,IT Deptarment,"Good, For freshers is good work",Salary Depend upon your dept
8,Iksula,Working culture,2022-03-21,5.0,Senior Network Engineer/IT Manager,Working atmosphere is cool and management team very helpful to execute new things for the employees.,Nothing more to say for cons.
9,Iksula,Good working experience,2022-03-20,4.0,ECommerce Consultant,"You are given credit for the good work done
time management
easy to reach out managers","sometimes we need to stretch the work to more than 12 hours and even after that the next day we have to work that much only. 
We never get extra time. According to work, the appraisal is too low."
10,Iksula,Great Work Culture & Diverse Work,2022-03-17,5.0,Senior Business Analyst,"- Work culture is the best here. Everyone including the top management is supportive. If anyone has any problem, they can always seek guidance from the management. 
- New ideas are not disregarded, even if they have miniscule impact
- Diverse work experience. You get an opportunity to work with different departments, which helps in not just brushing your technical skills but also your soft skills
- Salary is on time : No delay","- No team outings 
- Minimal employee-employee interaction due to working from home"
