,company,headline,date,overall_rating,author_position,pros,cons
0,InVision,SDR,2022-04-07,5.0,Sales Development Representative,"Great work life balance, good work culture, fully remote, growing product",Fully remote if you struggle with collaborating remotely.
1,InVision,The Best Experience,2022-04-04,5.0,Executive Assistant,"Opportunity to work with great people
Incredible culture
Remote work life
Great perks",Can't think of any cons - I had a great experience during my time at InVision
2,InVision,Nice people,2022-03-30,3.0,Principal Designer,"Remote, interesting space to work",Had a rough few years with tough competition
3,InVision,"Outclassed by competitors, and burning into the ground",2022-03-22,1.0,Anonymous Employee,- Decent salary compared to market rate,"- Management and leadership have no idea what goes on or what people are doing
- Product is being outclassed in every way by competitors
- Constant pivot in product strategy causing confusion and uncertainty throughout the business
- Still supporting old, archaic products that aren't even updated anymore
- Lack of transparency"
4,InVision,Good company,2022-03-22,5.0,Senior Software Engineer,Every thing is good there,No cons as I know
5,InVision,Excellent Company Culture,2022-03-21,5.0,Senior BI Engineer,"Co-workers are really nice to work with, and everyone is allowed to make contribution in his/her own unique way. Very little micromanagement. ICs most often work independently and are empowered by management. Pleasant company culture.","Company has been going through many changes due to market competition, which means everyone should be agile in adapting changes. And since everyone is remote, everyone should be a self starter when it comes to work and planning."
6,InVision,Good leadership,2022-03-18,3.0,Account Executive,Great people to work with,Business direction changes a lot
7,InVision,"Amazing company to work for, excited every day",2022-03-17,5.0,Senior Engineering Manager,"I've been here for a little over 6 months and don't regret my choice... InVision has an awesome and open company culture with the first company principle being humility. I continually find everyone from ICs to senior leadership open to ideas, willing to collaborate across all levels, and happy to say when they don't know something or need more information.

To get the bullet list of Pros, here you go:

* Humble company culture
* Deeply collaborative
* I'm a cis-gendered white guy, but am part of multiple ERGs and from my perspective, the company is very inclusive and supportive of everyone
* Love the people I'm working with
* Monthly all-hands meetings to keep the entire company informed of our progress
* Involved and caring leadership team
* Focus on career development","* We're moving so fast, that it's sometimes difficult to keep up with everything going on across the organization.
* Working for a fully remote company has challenges, but they're the same cons (schedule coordination, occasional feeling of disconnection) that you'd have with any fully remote company"
8,InVision,All the opprotunity to make a difference,2022-03-09,5.0,Manager,"-Best humans I've worked with in a long time
-Company culture that most often lives up to what is aspired
-A great place to develop your career if you can deal with ambiguity and look for ways to add value
-Leaders truly care for their teams","Not every company is perfect for every employee. My values and needs are a great match for what InVision can offer. You need to love a challenge, be ok with change, and ensure you are your own advocate."
9,InVision,This Company Gets It!,2022-03-08,5.0,Director of Global Support,"- Strong leadership
- Great product 
- Large focus on innovation
- Fantastic culture of collaboration and respect
- Big player in the market
- Fully remote since company started
- Competitive benefits","- Face to face meetings, in person, are on pause until the pandemic is over"
10,InVision,Great company,2022-03-07,5.0,Anonymous Employee,"100% remote and will continue to be. Very flexible work schedule. Smart, driven and friendly team to work with. Exciting product!",A lot of technology to learn but that just takes time.
11,InVision,"Passionate people in a collaborative, welcoming space!",2022-03-07,5.0,Anonymous Employee,"Benefits are amazing!! The people at THE best I've ever worked with! The leadership at InVision is pretty incredible. I've gained so much trust in my team, leaders and the product pretty quickly. I'm grateful to be working remotely, and with a supportive, inclusive group of people who all strive to come to work as themselves. I LOVE that!!!!!!",Maybe that just some teams are understaffed.
12,InVision,Great company,2022-02-22,5.0,BDM Manager,Love this company can’t think of anything bad to say,Remote working can sometimes be a struggle
13,InVision,More focused and momentous than ever,2022-02-17,5.0,Anonymous Employee,"- Solid strategic footing after some soul searching
- Incredible focus and momentum
- Product is fun to work with and work on; it truly makes day-to-day remote collaboration more enjoyable and effective
- Amazing people - some of the smartest, kindest, and collaborative
- Fast-paced, iterative startup mentality that may be somewhat unique for a late stage startup
- Remote from conception - this company has it down","Not a con, but because it operates like a true startup, you’ll need to expect unique challenges that come with it. For example, Data Analytics team is smaller than some other places, you need to prioritize ruthlessly."
14,InVision,One of the best companies I have worked at,2022-02-14,5.0,Senior Director,some of the best people and culture,change in strategy often for a late stage startup
15,InVision,Good Organisation,2022-02-11,4.0,Software Engineer,"Friendly, diversified team.
Mutual respect,
Nice perks.
Team members were very helpful",Lack of clear cut direction on product
16,InVision,Great place to work at,2022-02-10,5.0,Associate Product Designer,"– Culture & values: Team spirit, humility & mentoring, caring
– Team support 
– Great benefits 
– Working from home
– Flexibility, team drive to move into the same direction & pivot if needed to produce great work
– Work-life-balance
– Exciting times pivoting from just working on a design software to serve a broader audience with Freehand/cross-collab
– Working with the most talented designers from different backgrounds, high-performer attitude","– (Not really a con, but tip) Working from home requires self-starter attitude & great communication skills"
17,InVision,"Great people, terrible management",2022-02-08,2.0,Anonymous Employee,-Great people (IC and lower level management),"-Frequent re-orgs and strategy pivots will give you whiplash
-Executive leadership is led by their own feelings rather than the data in front of them
-Below average compensation"
18,InVision,To the MOON!,2022-02-08,5.0,Sales Leader,Freehand is on fire! Come join us as we travel to the moon!,"Still don't have everything on the rocket ship polished, but we are getting there!"
19,InVision,Great people,2022-02-04,4.0,Staff Software Engineer,Absolutely great people to work with.,Leadership feels a bit poor on execution.
20,InVision,Amazing Culture!,2022-02-03,5.0,Staff Accountant,"This company is amazing. Everyone is so welcoming and energized to give their best for the company. In my department, everyone is extremely nice and helpful with one another. I have never been trained this amazing at any of my prior jobs. The culture and benefits here show that the company really cares about its employees.",I honestly do not see any cons at the moment.
21,InVision,Long Haul,2022-02-02,5.0,Team Leader,"I joined InVision as one of the earliest hires. Tasked with building and scaling the foundations of the company. As the company grew I continuously had the opportunity to pivot within the company focusing on growing teams and solving issues. In short, following my passion. A couple of my managers over the years, especially Clark the CEO, were consistently supportive in my personal & professional growth.",The biggest con I felt was the company never developed a reward and engagement program aimed at employees who stayed with the company for the long haul (4+ years). Following the lead of other companies who implemented programs like Sabbaticals & additional stock option grants once all previous shares had been vested.
22,InVision,"Amazing Culture, Solid Leadership",2022-02-02,5.0,Anonymous Employee,Company truly seems to care about the people. The work is interesting and collaborative.,Various product shifts and restructuring create the need to constantly shift and reprioritize.
23,InVision,A wonderful team  making cool stuff,2022-02-01,5.0,Product Manager,"- amazing people (seriously, the team is the best! Happy to call many current and former InVisioners friends, even though I am no longer at the company)
- remote-first company
- cool products
- great benefits
- they care about your growth and well-being
- you'll learn a lot
- trail-blazer in the design community
- brand recognition
- strong diversity - I felt welcome and comfortable to be me","- there's been a revolving door - though management is working on that
- crowded market
- lot of meetings"
24,InVision,"Great team, right market, inclusive for real",2022-02-01,5.0,Customer Team,"* I so appreciate my colleagues. They’re not just smart and driven — they’re truly supportive of one another. There are skills I have now that I didn’t a year ago because I’m always learning from them. And this crazy last year of COVID would have much less manageable without them. 
* Building on the “collaboration” side of the value prop and technology has been such a good move. The change in our platform over the last 4-5 months has been stunning. And we’re getting great feedback from the market on it. It’s exciting to be in such a needed, relevant space and have long-time customers so invested with us. 
* I feel supported in a way that isn’t just about my work or my team’s work—but about me being me at work. It’s the first time I’ve felt this way in my many, many years working in tech. There’s formal structure in place to support this (ERGs, diversity panels). But 1:1 interactions are this way, too.","* we’ve had to manage many staff changes through this transition. It’s opened up a lot of new opportunities for people to grow, but it’s also hard work to get everyone resettled. 
* the lack of IRL events due to COVID has been really tough on some team members. I get it, and it’s definitely the responsible thing to do. But for those who have been most isolated during the pandemic, it’s stressful."
25,InVision,"Fast pace, great team",2022-02-01,4.0,Anonymous Employee,"The talent and culture at InVision is the best I’ve experienced in my career. The bar is high, the pace is fast, but in a few short years, I have learnt decades worth not just about sales & customer success, but business operations, go to market, product etc via cross functional collaboration and the start up culture of the company. On a personal level, the company has always been remote so there were no growing pains associated with the pandemic & you are trusted (not micromanaged) to do your work while still living your life. When I need to deal with a sick child, or lockdown measures, etc or in general as it relates to work/life balance and ensuring I take time off- I am always encouraged to do so. The company also takes D&I initiatives seriously & invest in resources to raise awareness on relevant issues & to ensure a safe workplace for all.","No matter how long we’ve been around, we truly operate like a start up: the pace is fast, environment is chaotic, and things that may have been true yesterday, may not be true tomorrow. The environment requires you to be resilient, figure things out- with sometimes limited resources- and be willing to contribute outside of your said job description. This isn’t the place for you if you need a lot of guidance and structure to do your best work. Be prepared for challenging but exciting work as the business shifts to a new platform & product experience."
26,InVision,Amazing Remote Company + Amazing Career Growth,2022-02-01,5.0,Senior Marketing Manager,"Truly amazing remote company, that has a rockstar team. It's great when you work in a company where everyone around you is striving to do their best work, and have management that supports that culture. Working at InVision has taught me an immense amount, and I really got to spread my wings when it came to implementing creative ideas and initiatives across my area within marketing.

If you're reading glassdoor and considering working at InVision, think no more. I worked there for 5 years and it was one of the best experiences of my career.","None, really amazing place to work"
27,InVision,Gaining speed,2022-02-01,5.0,Anonymous Employee,"-I'm a bit more than a year into my tenure and excited to see the step-change recent momentum, clarity and energy around the product strategy
- A good 'flat org' vibe, hitting a lot of the right marks for inclusivity and a sense of 'best idea wins'
- Remote-native company that is a well-oiled machine on certain processes, policies and norms that other companies are still muddling through
- I feel deep personal connections to my colleagues and to the company's success, and this loyalty is not unique to me, it seems to be authentic and widespread; this is maybe more surprising given the fully remote operating model","- As well-oiled a machine as this can be as a remote company, I do miss in-person connection opportunities with colleagues and hope that in the not too distant future they will reintroduce ""IRL"" (In Real Life) events"
28,InVision,Best 3 years,2022-01-31,5.0,Anonymous Employee,"I was not looking to make a move but a prior co-worker approached me to join and it was the best decision ever. I love my co-workers, being full time remote allows me the flexibility to pick my kids up from school every day and take them to ski school in the winter. My coworkers are smart, organized, driven and understanding of the world we work from.","Having limited ability to meet in person challenges everyone to get to know each other over zoom. Some limited face to face time is valuable, but hasn't been as possible the last couple of years with covid and I have missed that ability to meet up in person a couple times a year."
29,InVision,5-STARS! (Really?),2022-01-27,3.0,Production Coordinator,Decent clients and full-time talent. Some cool perks and mentors.,"The past couple of years have hit them hard, like many in the industry."
