,company,headline,date,overall_rating,author_position,pros,cons
0,Instacart,Great Company to work for while my position lasted.,2022-04-09,4.0,Site Manager,"Professional environment, good benefits, pay was competitive.","The company is ever-evolving, so the positions required changed often. This caused lay-offs in certain areas. Simply put, the company was, and most likely still is, experiencing growing pains."
1,Instacart,good,2022-04-09,5.0,Anonymous Employee,"great money, 100 a day.","hard on car, spending to much on gas"
2,Instacart,Way too fast paced,2022-04-08,2.0,Mobile Developer,"* Engaging work
* Good process
* Smart engineers","* Way too fast paced
* Absolutely no QA to speak of"
3,Instacart,It was ok.,2022-04-06,3.0,Customer Care Representative,A free premium Instacart membership.,I was a typical call center job. Not much cons I can go into detail about.
4,Instacart,Good pay,2022-04-06,4.0,Anonymous Employee,"Chose how often/when you work, great tips, easy",Batches became minimal and so did the pay
5,Instacart,It's OK for a little while,2022-04-06,2.0,Trainer,"Very flexible schedule, and as such allows for you to have a second job.",Pay raises are very rare. Policies change all the time especially when it is about the minimum hours allowed to work. Unrealistic expectations when it comes to metrics
6,Instacart,Easy,2022-04-05,4.0,Civil Engineer Intern,You can work whenever you want,Not consistent sometimes when looking to work
7,Instacart,Flexible,2022-04-05,5.0,Homemaker,Flexible! I enjoy having a job that I can just work occasionally!,Wear and tear on my vehicle and I can’t work it from home.
8,Instacart,Great place to work,2022-04-05,5.0,Staff Software Engineer,"Fast paced, tons of learning, great coworkers","You have to be your own advocate for WLB, can be frustrating to be constantly moving from one project to the next"
9,Instacart,good job,2022-04-05,5.0,Anonymous Employee,"flexible hours, easy app, pays well",can be hard to remember to use the credit card
10,Instacart,Great company to work with!,2022-04-05,5.0,Sales Team Leader,I believe in the company mission so my work matters,Different manager styles are not always in line with overall company culture
11,Instacart,Just okay,2022-04-04,3.0,Anonymous Employee,Flexible schedule Pretty nice customers,"Varied pay
Spotty customer service/help through the app"
12,Instacart,Instacart,2022-04-03,4.0,Anonymous Employee,"Easy work, flexible hours when you do full service",Pay was not especially high
13,Instacart,Service,2022-04-03,5.0,Full Service Shopper,Good for extra money when you are at fix,Sometimes hard to get orders
14,Instacart,Overall good company to work for,2022-04-03,4.0,Finance,Defined & clear company vision,Fast paced environment and long hours
15,Instacart,Yes it’s good,2022-04-03,5.0,Nursing Student RN,It’s very good doing to do,Not very bad to be here
16,Instacart,Easy,2022-04-02,3.0,In Store Shopper,Listen to music while working,They put you on break automatically
17,Instacart,n/a,2022-04-01,3.0,Finnce Associate,easy to get jobs proactively,gas money and milage can be a lot sometimes
18,Instacart,Working At Instacart,2022-03-30,4.0,Technical Project Manager,"Very flexible in working hours and vacations 
Has a pool of smart and motivated folks to work with",Could be overwhelming for people who are not used to fast paced work environment
19,Instacart,Poor trajectory,2022-03-28,2.0,Senior Software Engineer,"High quality engineers, leader in grocery delivery. Remote","Poor WLB on most teams. Company is probably still overvalued at current valuation. IPO is permanently on the horizon but never arrives. Everyone is hired at L5 unless they're friends with a director. No bonuses, benefits are mediocre. Growth is slowing and business is trending down."
20,Instacart,Flexible,2022-03-28,4.0,Shopper,Flexible and easy to work,Gas price too high and barely batches
21,Instacart,Not Enough,2022-03-27,3.0,At-Home Advisor,It’s. A good start because you are your boss,Don’t have good benefits to start out with
22,Instacart,Great,2022-03-25,5.0,Application Support Analyst,great workplace great office nice remote,Too much work but good learning
23,Instacart,Site Manager,2022-03-25,3.0,Site Manager,Great team of individuals that worked well together. Enjoyed my time there.,Team was downsized due to converting to retail partner assuming in store operations
24,Instacart,Insta Cart Shopper,2022-03-25,4.0,Insta Carter,"Easy money, fast money and flexible hours",Using your own gas for the deliveries
25,Instacart,Great,2022-03-24,5.0,Anonymous Employee,I loved that the work hours were flexible.,Some areas of the city were not very busy.
26,Instacart,Unorganized company,2022-03-24,2.0,Anonymous Employee,Work from home opportunity pros,Unorganized. Unprofessional. Rude management. They don’t care.
27,Instacart,Service,2022-03-24,4.0,Customer Service,good. fast-paced. nice. open minded,not available. not available. not available.
28,Instacart,Good food,2022-03-24,3.0,Anonymous Employee,"Good food. Until you become vegan, then not so good.",A lonely place with lots of gossips.
29,Instacart,Good to work when you want,2022-03-24,4.0,Shopper,"Work when you want
Somewhat active work
Can cashout when you want, paid weekly","Customers can be demanding and rude,
depending on tips"
30,Instacart,Great company poised to become an even greater company,2022-03-23,4.0,Senior Solutions Architect,"Flexible work environment, very fast paced. 
Unlimited vacation, good perks, generous in health and retirement benefits. 
Opportunity to do many things and get involved in many areas without approval.","Sometimes culture is chaotic as processes are still being developed
Change is constant in leadership"
31,Instacart,Fast and chaotic,2022-03-23,2.0,User Experience Researcher,fast paced dynamic environment with lots of opportunities,"extremely chaotic, lots of turnover and lack of clear direction. product managers throwing spaghetti at the wall"
32,Instacart,Great,2022-03-23,5.0,Delivery Driver,Flexible schedule and great team,Wifi-cellular service at Walmart is very low
33,Instacart,Overrated and chaotic pre-growth IPO,2022-03-23,2.0,Product Manager,"Excited work-force, can be fast-moving, can find pockets of good teams.","Political, re-orgs, overladen with processes and approvals, not much product innovation (let's try to make it faster, cheaper, more reliable), unclear decision making hierarchy, lots of movement but not in a clearly direction"
34,Instacart,The pay can be decent if you hustle,2022-03-23,3.0,Personal Shopper,You have complete freedom to work when you want,The pay fluctuates wildly and they change the pay structure at any moment
35,Instacart,Instacart,2022-03-23,3.0,Administrative Assistant,"Flexible hours, people are nice",Pay fluctuates way too much
36,Instacart,Run Far Away,2022-03-22,1.0,Software Engineer,"Free food in office
Work from home","No work life balance
Company is a smaller version of Facebook/meta - leaders from there. Toxic. 
Unattainable expectations that start at the top and trickle down to the little ones 
Patchwork product
All fluff, waiting for signs of progress 
People will make a max exodus once we go public. No one believes in the longevity of this company or leaders who are all here for the payout."
37,Instacart,Chaos all over the place,2022-03-22,1.0,Senior Engineer,compensation is comparable to other same tier companies witha. downside of paper money for rsus,"over valued company
really bad management, specially the lower level management. The C-level is trying to improve things by giving benefits, but they can do only so much.
no sense of liquidity creating chaos within the company
work is chaotic - no proper vision or goal
zero work life balance"
38,Instacart,Support Specialist,2022-03-20,5.0,Customer Service Specialist,Great company and culture. Probably the best.,Constant change in the company.
39,Instacart,Instacart,2022-03-20,4.0,Delivery Driver,Work for yourself and set your own hours.,At times not enough work available.
40,Instacart,Exciting growth,2022-03-18,5.0,Senior Accountant,"Team-oriented, great company culture, exciting growth and business model",Salary felt low at the time for the tech industry
41,Instacart,Subpar,2022-03-17,1.0,Customer Service Representative,They provided amazing Snacks in the office,This company is trash and exploits contractors
42,Instacart,Fast paced tech,2022-03-17,3.0,Anonymous Employee,"Food, WFH, nice office, apart of innovation","Cliques, sometimes toxic culture and low pay at the time"
43,Instacart,Decent job,2022-03-17,5.0,Office Administration,"Made my own schedule, paid accordingly.",Unhappy with lack of business structure.
44,Instacart,pandemic special,2022-03-15,3.0,Job,somewhat independent.  fairly easy    though repetitive.,"the independence can cost mgmt oversight  and getting your account deactivated.. I'm not sure how to reactivate.. If it's an app based job? and marketed as ""independent"" you should just be able to go back into doing it."
45,Instacart,Instacart,2022-03-15,3.0,Anonymous Employee,Flexible work when you want,Don’t pay enough to cover mileage
46,Instacart,costumer service,2022-03-15,3.0,Delivery Driver,"easy job, free schedule, good tips","slow week, costumer service is bad, long miles for delivery"
47,Instacart,Job placement,2022-03-15,3.0,Customer Care Agent,Rooms for advancement and lots of overtime.,Unprofessional and poorly ran. Lots of favoritism in the office.
48,Instacart,Great ownership and impact,2022-03-14,4.0,Senior Engineering Manager,Great ownership and impact. Decent work-life balance.,Stock is a bit over-evaluated
49,Instacart,Don’t do it,2022-03-14,1.0,Sales Development Representative (SDR),I really enjoyed my coworkers.,"The management can do better. A lot of the TL’s don’t know what they’re doing. It’s very micromanaged, unprofessional and underpaid. Management doesn’t know what direction they want to go in."
50,Instacart,Instacart,2022-03-13,3.0,Customer Service Representative,"Flexible , immediate pay , cool","Not enough money, long distances"
51,Instacart,Great way to make extra money,2022-03-12,4.0,Shopper,fast cash when you need it,replacements at stores can be hard
52,Instacart,"Good supplementary income, time consuming and not much work available",2022-03-11,3.0,Instacart Full Service Shopper,"Generally easy
Work Alone, little communication required
Fun","Time Consuming
Not many orders available 
Lots of driving"
