,company,headline,date,overall_rating,author_position,pros,cons
0,Just Eat Takeaway.com,Great culture of learning and transparency,2022-04-08,4.0,Software Engineer,"Great culture of learning, fun and transparency

Senior management listen to requests of employees - e.g., desire to work from home more often

Great place to learn solid software engineering skills if that's your discipline

Great employee benefits","Recent merger of Just Eat and Takeaway.com has caused some friction internally with some projects starting and being tanked and several senior management staff members leaving the business. This is expected with a merger, though."
1,Just Eat Takeaway.com,Best company to work for,2022-04-07,5.0,Senior Test Automation Engineer,"Good salary 
Excellent perks 
Remote work","None
It’s perfect
Can’t find a single flaw"
2,Just Eat Takeaway.com,"Very flexible, great support, great company events, good salaries, work-life balance",2022-04-07,5.0,Software Engineer,"Very flexible, great support, great company events, good salaries, work-life balance",I don't have any cons right now.
3,Just Eat Takeaway.com,Great international and diverse company,2022-04-07,5.0,Live Operations Specialist,"Diverse, multinational, great teams, good salary, potential to learn and grow, hybrid work.",Shifts and working days are rotative.
4,Just Eat Takeaway.com,"Comfortable job but merger boiled away the speed, innovation, and care for the customer",2022-04-05,4.0,Technology Manager,"It's a comfortable place to work, pay and benefits are good, except for on-call you'll rarely go home stressed unless you choose to.

Working on large event based distributed systems can be an interesting learning experience if you've not done it before.","Since the merger, the UK (Just Eat) side has lots most of it's own character. 

Promotion process has become much more bureaucratic, turn around used to be 1 month and now it's 3 months. The whole process is driven by the Amsterdam office and doesn't seem to be aware of differences between other country divisions.

Leadership seem desperate to ship new functionality but the business can't keep up. This results in half baked products going to market with unhappy customers & restaurants meaning worse launches than hoped for.

Decisions are completely driven by financials and not by customer satisfaction. This has resulted numerous times in worse financial results than expected and the parts of the company going into fire-fighting mode for going against the customer / restaurant data to begin with."
5,Just Eat Takeaway.com,Bureaucratic but means well and the teams are very good,2022-04-03,4.0,Project Manager,"Team atmosphere, technical staff know what they're doing (esp developers and product managers), good progression if you make it clear you want to advance","Need to do a song and dance about your achievements, bureaucratic and convoluted review process yearly, outside your own department it's difficult to get support for initiatives"
6,Just Eat Takeaway.com,great for students,2022-04-02,5.0,Delivery Driver,very flexible so can work around your schedule,software problems can sometimes occur
7,Just Eat Takeaway.com,Review,2022-04-02,3.0,Principal Software Engineer,"- Freedom of tech choices, every team can choose their stack
- Fun and friendly camaraderie environment on lower levels","- Freedom of tech choices, every team has a different stack
- Rather authoritarian senior management"
8,Just Eat Takeaway.com,good,2022-04-01,3.0,Driver Coordinator,"good pay, good foood, good people",weird hours and can be stressful
9,Just Eat Takeaway.com,Account Manager,2022-04-01,4.0,Anonymous Employee,"Flexible working 
Good benefits
Good work life balance","Not massively clear direction 
Some processes and tech are pretty backward
Communications between departments poor"
